rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R3;r3=R4;r4=R2;r5=R10;c1=int:1","benchmark_awfy_bounce_noopt",426
12,540100,6,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R6;c2=int:256;r3=R8;r4=R2;c3=func@6040","benchmark_awfy_bounce_noopt",92
13,510000,2,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r4,r2,c2) | LINKATTR1_REG_REG_REG(r5,r4,r2)","r1=R6;r2=R4;r3=R5;c1=label@810;r4=R0;c2=int:0;r5=R7","benchmark_awfy_bounce_noopt",773
14,510000,2,1,6,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R0;r2=R9;r3=R5;c1=int:1;c2=int:256;r4=R6","benchmark_awfy_bounce_noopt",274
15,510000,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R0;r2=R9;r3=R5;c1=int:1;c2=int:256","benchmark_awfy_bounce_noopt",272
16,500100,2,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","c1=int:1;r1=R2;c2=int:74755;r2=R1;r3=R0","benchmark_awfy_bounce_noopt",193
17,500100,2,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R2;c2=int:74755","benchmark_awfy_bounce_noopt",191
18,500000,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | MKREF_REG_REG(r5,r4)","c1=label@887;r1=R12;r2=R0;r3=R5;c2=int:0;r4=R13;r5=R6","benchmark_awfy_bounce_noopt",839
19,500000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1) | IGT_REG_REG_INT(r4,r1,c2)","r1=R5;r2=R2;r3=R10;c1=int:1;r4=R4;c2=int:500","benchmark_awfy_bounce_noopt",463
20,500000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R2;r2=R5;r3=R4;r4=R10;c1=int:3;r5=R3;c2=int:4","benchmark_awfy_bounce_noopt",438
21,500000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R5;r2=R10;c1=int:3;r3=R2;c2=int:1","benchmark_awfy_bounce_noopt",459
22,500000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | MKREF_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r5)","r1=R13;r2=R0;r3=R5;r4=R6;r5=R7","benchmark_awfy_bounce_noopt",846
23,500000,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | IADD_REG_REG_REG(r5,r2,r4)","r1=R0;c1=int:0;r2=R3;r3=R10;c2=int:1;r4=R4;c3=int:2;r5=R5","benchmark_awfy_bounce_noopt",415
24,500000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | MKREF_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R0;r2=R5;c1=int:0;r3=R13;r4=R6","benchmark_awfy_bounce_noopt",842
25,500000,1,1,3,candidate,"MKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r1)","r1=R6;r2=R13;r3=R7","benchmark_awfy_bounce_noopt",850
26,500000,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r3,c3)","c1=int:1;r1=R0;c2=int:0;r2=R3;r3=R10;r4=R4;c3=int:2","benchmark_awfy_bounce_noopt",413
27,500000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R5;r2=R10;c1=int:1;r3=R4;c2=int:500","benchmark_awfy_bounce_noopt",466
28,500000,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r3,c2) | IADD_REG_REG_REG(r1,r2,r4)","r1=R2;r2=R4;r3=R10;c1=int:3;r4=R3;c2=int:4","benchmark_awfy_bounce_noopt",441
29,500000,1,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3) | LOAD_REG_INT(r1,c1)","r1=R13;r2=R7;r3=R6;c1=int:1","benchmark_awfy_bounce_noopt",853
30,162600,6,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R7;r2=R2;c1=int:3;r3=R6;r4=R5;c2=int:1","benchmark_awfy_bounce_noopt",326
31,142700,5,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R2;c1=int:74755;r2=R1;r3=R0;c2=int:1","benchmark_awfy_bounce_noopt",197
32,142600,4,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3) | ICOPY_REG_REG(r3,r2)","c1=label@537;r1=R4;r2=R2;c2=int:500;r3=R3;r4=R10;c3=int:1","benchmark_awfy_bounce_noopt",478
33,142600,4,1,4,over_3_symbols,"DTOI_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R8;r2=R5;r3=R10;c1=int:2","benchmark_awfy_bounce_noopt",523
34,142600,4,1,6,over_3_symbols,"ITOD_REG(r1) | LOAD_REG_INT(r2,c1) | SWAP_REG_REG(r3,r1) | CALL_REG_FUNC_REG(r4,c2,r2)","r1=R2;r2=R6;c1=int:1;r3=R7;r4=R8;c2=func@18696","benchmark_awfy_bounce_noopt",502
35,142600,4,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ITOD_REG(r1) | LOAD_REG_INT(r3,c2) | SWAP_REG_REG(r4,r1)","r1=R2;r2=R10;c1=int:2;r3=R6;c2=int:1;r4=R7","benchmark_awfy_bounce_noopt",498
36,142600,1,1,6,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c2) | DLT_REG_REG_DECIMAL(r1,r2,c3) | BRF_ID_REG(c4,r1)","c1=int:1;c2=int:2;r1=R1;r2=R4;c3=decimal@449600;c4=label@23","abs",6
37,142600,1,1,5,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c2) | DLT_REG_REG_DECIMAL(r1,r2,c3)","c1=int:1;c2=int:2;r1=R1;r2=R4;c3=decimal@449600","abs",4
38,142600,1,1,3,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c3)","c1=int:0;c2=int:1;c3=int:2","abs",2
39,142600,4,1,8,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R5;c1=label@537;r2=R4;r3=R2;c2=int:500;r4=R3;r5=R10;c3=int:1","benchmark_awfy_bounce_noopt",476
40,133100,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | INC_REG(r3) | BR_ID(c3)","c1=label@883;r1=R4;r2=R1;c2=int:1;r3=R5;c3=label@835","benchmark_awfy_bounce_noopt",876
41,133100,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | IADD_REG_REG_INT(r4,r4,c2) | INC_REG(r5)","r1=R7;r2=R14;c1=label@883;r3=R4;r4=R1;c2=int:1;r5=R5","benchmark_awfy_bounce_noopt",873
42,71300,1,1,5,over_3_symbols,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | DSUB_REG_DECIMAL_REG(r3,c1,r2) | RET_REG(r3)","r1=R1;r2=R4;c1=decimal@449600;c2=label@23;r3=R2","abs",10
43,71300,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ITOD_REG(r3)","r1=R6;r2=R5;r3=R4;r4=R10;c1=int:2","benchmark_awfy_bounce_noopt",557
44,71300,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | ITOD_REG(r1)","r1=R3;r2=R2;c1=int:0","benchmark_awfy_bounce_noopt",488
45,71300,2,1,5,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c1)","r1=R4;r2=R5;c1=int:500;c2=label@537;r3=R2","benchmark_awfy_bounce_noopt",472
46,71300,2,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c1)","r1=R7;r2=R8;c1=int:0;c2=label@597;r3=R5","benchmark_awfy_bounce_noopt",541
47,71300,2,1,6,over_3_symbols,"ITOD_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ITOD_REG(r2) | LOAD_REG_INT(r4,c2)","r1=R3;r2=R2;r3=R10;c1=int:2;r4=R6;c2=int:1","benchmark_awfy_bounce_noopt",496
48,71300,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c2)","r1=R3;r2=R10;c1=int:1;r3=R2;c2=int:0","benchmark_awfy_bounce_noopt",484
49,71300,2,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ITOD_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ITOD_REG(r2)","r1=R3;c1=int:0;r2=R2;r3=R10;c2=int:2","benchmark_awfy_bounce_noopt",493
50,71300,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | DLT_REG_REG_DECIMAL(r1,r2,c2) | BRF_ID_REG(c3,r1) | DSUB_REG_DECIMAL_REG(r3,c2,r2)","c1=int:2;r1=R1;r2=R4;c2=decimal@449600;c3=label@23;r3=R2","abs",8
51,71300,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | DTOI_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R4;r2=R6;r3=R3;r4=R8;r5=R10;c1=int:2","benchmark_awfy_bounce_noopt",578
52,71300,2,1,5,over_3_symbols,"UNLINK_REG(r1) | DTOI_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r2)","r1=R4;r2=R3;r3=R8;r4=R10;c1=int:2","benchmark_awfy_bounce_noopt",581
53,71300,2,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ITOD_REG(r2) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R4;r3=R10;c1=int:2;r4=R5;c2=int:1","benchmark_awfy_bounce_noopt",560
54,71300,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | ITOD_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R3;c1=int:0;r2=R2;r3=R10;c2=int:2","benchmark_awfy_bounce_noopt",491
55,70900,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R8;r2=R3;r3=R0;c1=int:1;r4=R10;c2=int:3","benchmark_awfy_bounce_noopt",589
56,50000,2,1,5,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R3;c1=int:65536;r2=R1;r3=R5;c2=int:1","benchmark_awfy_bounce_noopt",237
57,40000,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3) | ICOPY_REG_REG(r2,r1)","r1=R3;c1=int:13849;c2=int:65536;r2=R1;r3=R5;c3=int:1","benchmark_awfy_bounce_noopt",233
58,40000,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | RET_REG(r2)","r1=R1;r2=R3;r3=R5;c1=int:1","benchmark_awfy_bounce_noopt",245
59,40000,1,1,5,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2) | IMOD_REG_REG_INT(r1,r1,c3)","r1=R3;r2=R2;c1=int:1309;c2=int:13849;c3=int:65536","benchmark_awfy_bounce_noopt",227
60,40000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R1;r2=R5;c1=int:1;r3=R3","benchmark_awfy_bounce_noopt",241
61,40000,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R2;r2=R5;c1=int:1;r3=R3;c2=int:1309;c3=int:13849","benchmark_awfy_bounce_noopt",223
62,40000,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2)","c1=int:1;r1=R2;r2=R5;r3=R3;c2=int:1309","benchmark_awfy_bounce_noopt",219
63,40000,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R2;r2=R5","benchmark_awfy_bounce_noopt",217
64,40000,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","c1=int:1;r1=R2;r2=R5;r3=R3;c2=int:1309","benchmark_awfy_bounce_noopt",221
65,40000,1,1,7,over_3_symbols,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R2;r2=R3;c1=int:13849;c2=int:65536;r3=R1;r4=R5;c3=int:1","benchmark_awfy_bounce_noopt",231
66,35900,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | RET_REG(r3)","r1=R8;r2=R3;r3=R0;c1=int:1","benchmark_awfy_bounce_noopt",718
67,35800,1,1,5,over_3_symbols,"DSUB_REG_REG_REG(r1,r2,r1) | DTOI_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R8;r2=R3;r3=R5;r4=R10;c1=int:2","benchmark_awfy_bounce_noopt",519
68,35800,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r2,r4,c1)","r1=R5;r2=R8;r3=R0;c1=int:1;r4=R10","benchmark_awfy_bounce_noopt",529
69,35800,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ILT_REG_REG_INT(r4,r2,c2) | UNLINK_REG(r2)","r1=R0;c1=int:1;r2=R8;r3=R10;r4=R7;c2=int:0","benchmark_awfy_bounce_noopt",534
70,35800,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | DSUB_REG_REG_REG(r3,r4,r3) | DTOI_REG(r3)","r1=R2;r2=R7;r3=R8;r4=R3","benchmark_awfy_bounce_noopt",514
71,35800,1,1,6,over_3_symbols,"UNLINK_REG(r1) | DSUB_REG_REG_REG(r2,r3,r2) | DTOI_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R2;r2=R8;r3=R3;r4=R5;r5=R10;c1=int:2","benchmark_awfy_bounce_noopt",517
72,35800,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ILT_REG_REG_INT(r5,r3,c2)","r1=R5;r2=R0;c1=int:1;r3=R8;r4=R10;r5=R7;c2=int:0","benchmark_awfy_bounce_noopt",532
73,35500,1,1,5,over_3_symbols,"DSUB_REG_REG_REG(r1,r1,r2) | DTOI_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R2;r3=R8;r4=R10;c1=int:4","benchmark_awfy_bounce_noopt",648
74,35500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ILT_REG_REG_INT(r4,r2,c3) | UNLINK_REG(r2)","r1=R0;c1=int:1;r2=R8;r3=R10;c2=int:3;r4=R7;c3=int:0","benchmark_awfy_bounce_noopt",663
75,35500,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | DSUB_REG_REG_REG(r3,r3,r4) | DTOI_REG(r3)","r1=R3;r2=R5;r3=R6;r4=R2","benchmark_awfy_bounce_noopt",643
76,35500,1,1,6,over_3_symbols,"UNLINK_REG(r1) | DSUB_REG_REG_REG(r2,r2,r3) | DTOI_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R3;r2=R6;r3=R2;r4=R8;r5=R10;c1=int:4","benchmark_awfy_bounce_noopt",646
77,35500,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | ILT_REG_REG_INT(r4,r1,c3)","r1=R8;r2=R0;c1=int:1;r3=R10;c2=int:3;r4=R7;c3=int:0","benchmark_awfy_bounce_noopt",661
78,35400,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_INT(r4,r2,c3) | UNLINK_REG(r2)","r1=R0;c1=int:1;r2=R8;r3=R10;c2=int:3;r4=R7;c3=int:500","benchmark_awfy_bounce_noopt",594
79,35400,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | IGT_REG_REG_INT(r4,r1,c3)","r1=R8;r2=R0;c1=int:1;r3=R10;c2=int:3;r4=R7;c3=int:500","benchmark_awfy_bounce_noopt",592
80,30000,3,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R4;r2=R7;r3=R5;c1=int:1;r4=R0;c2=int:256","benchmark_awfy_bounce_noopt",301
81,30000,3,1,6,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r4,r3)","r1=R4;r2=R5;c1=int:1;r3=R0;c2=int:256;r4=R6","benchmark_awfy_bounce_noopt",304
82,20000,2,1,7,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r1,r1,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R4;c1=int:300;c2=int:150;r3=R7;r4=R2;c3=int:2","benchmark_awfy_bounce_noopt",351
83,20000,2,1,5,over_3_symbols,"ISUB_REG_REG_INT(r1,r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R6;c1=int:150;r2=R7;r3=R2;c2=int:2","benchmark_awfy_bounce_noopt",355
84,20000,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | IMOD_REG_REG_INT(r2,r3,c1) | ISUB_REG_REG_INT(r2,r2,c2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R0;r2=R6;r3=R4;c1=int:300;c2=int:150;r4=R7;r5=R2;c3=int:2","benchmark_awfy_bounce_noopt",348
85,10200,3,1,5,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | SETNUMDGTS_INT(c2) | SETNUMFUZ_INT(c3) | SETNUMFRM_INT(c4)","r1=R0;c1=string@56;c2=int:18;c3=int:0;c4=int:1","benchmark_awfy_bounce_noopt",184
86,10100,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET_REG(r2)","r1=R1;r2=R0;c1=int:1;r3=R2","benchmark_awfy_bounce_noopt",200
87,10100,2,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c4)","r1=R0;c1=int:2;c2=string@56;c3=int:18;c4=int:0","benchmark_awfy_bounce_noopt",181
88,10000,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | MKREF_REG_REG(r5,r6)","c1=label@810;r1=R6;r2=R0;r3=R4;c2=int:0;r4=R7;r5=R9;r6=R2","benchmark_awfy_bounce_noopt",777
89,10000,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | INC_REG(r3) | BR_ID(c1)","r1=R7;r2=R10;r3=R4;c1=label@773","benchmark_awfy_bounce_noopt",801
90,10000,1,1,6,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r4,c2) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R6;r2=R4;c1=int:500;r3=R7;r4=R2;c2=int:3","benchmark_awfy_bounce_noopt",322
91,10000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c1)","r1=R4;r2=R2;c1=int:1;r3=R7;r4=R5","benchmark_awfy_bounce_noopt",297
