rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,172394,2,1,9,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r1,c1,c2,r6,r3,c3)","r1=R4;r2=R67;r3=R3;r4=R68;r5=R6;c1=int:23;c2=int:6;r6=R5;c3=int:1","benchmark_awfy_richards_opt",3014
29,65790,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | BR_ID(c2)","r1=R9;r2=R15;c1=int:2;r3=R7;c2=label@6860","benchmark_awfy_richards_opt",7011
30,65790,1,1,5,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2)","r1=R13;r2=R9;r3=R15;c1=int:2;c2=int:256","benchmark_awfy_richards_opt",6997
31,64637,3,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2)","c1=label@3076;r1=R6;r2=R5;c2=int:0;r3=R8","benchmark_awfy_richards_opt",3065
32,63481,8,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R9;r2=R68;c1=int:0;c2=label@3460;r3=R17;r4=R67","benchmark_awfy_richards_opt",3261
33,59880,1,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1)","r1=R9;r2=R7;r3=R6;c1=int:25;c2=int:6;r4=R5;c3=int:1;c4=label@6951","benchmark_awfy_richards_opt",6930
34,59825,3,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R25;r2=R53;r3=R51;c1=int:0","benchmark_awfy_richards_opt",3871
35,55790,3,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=label@3748;r1=R24;r2=R28;r3=R67;r4=R23;r5=R1","benchmark_awfy_richards_opt",3464
36,53683,3,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2)","r1=R7;r2=R6;r3=R11;c1=int:0;r4=R0","benchmark_awfy_richards_opt",2133
37,53463,2,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@3759;r1=R35;r2=R68;c2=int:3;c3=label@4243","benchmark_awfy_richards_opt",3752
38,53463,2,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R35;r2=R68;c1=int:2;c2=label@3759;c3=int:3","benchmark_awfy_richards_opt",3748
39,51167,11,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1","benchmark_awfy_richards_opt",465
40,46496,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R15;r2=R13;c1=int:20;c2=int:6;r3=R14;r4=R10;c3=int:1;r5=R17;c4=int:0","benchmark_awfy_richards_opt",2875
41,45687,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7","benchmark_awfy_richards_opt",2103
42,44175,7,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4)","r1=R5;r2=R3;r3=R1;c1=int:0;r4=R9","benchmark_awfy_richards_opt",3138
43,42540,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R5;r2=R6;c1=label@3048;r3=R8;r4=R9;c2=int:0","benchmark_awfy_richards_opt",3034
44,41859,10,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R13;r2=R12;c1=int:1;r3=R11;c2=int:9","benchmark_awfy_richards_opt",469
45,41163,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5)","r1=R7;r2=R6;c1=int:23;c2=int:6;r3=R9;r4=R5;c3=int:1;c4=label@6930;r5=R2;c5=int:0","benchmark_awfy_richards_opt",6911
46,40814,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINKN_REG_REG(r2,r3) | BR_ID(c2)","r1=R15;c1=int:2;r2=R2;r3=R10;c2=label@6860","benchmark_awfy_richards_opt",6980
47,40814,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3)","r1=R7;r2=R6;c1=int:19;c2=int:6;r3=R2;r4=R5;c3=int:1;c4=label@6908;r5=R9","benchmark_awfy_richards_opt",6889
48,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1)","r1=R2;r2=R10;c1=int:6;r3=R5;c2=int:1;r4=R15;c3=int:2","benchmark_awfy_richards_opt",6972
49,40814,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4)","r1=R5;r2=R15;c1=int:2;r3=R2;r4=R10","benchmark_awfy_richards_opt",6978
50,38010,3,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3)","r1=R3;r2=R9;c1=int:0;r3=R6;r4=R11;c2=int:25;c3=int:6;r5=R68;c4=int:1","benchmark_awfy_richards_opt",3180
51,38010,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3)","r1=R6;r2=R11;c1=int:23;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3172
52,37200,4,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4)","r1=R9;r2=R5;r3=R3;r4=R6","benchmark_awfy_richards_opt",3143
53,35253,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BRTF_ID_ID_REG(c3,c4,r2)","c1=label@6951;r1=R9;r2=R2;c2=int:1;c3=label@6964;c4=label@6989","benchmark_awfy_richards_opt",6941
54,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5)","r1=R6;r2=R67;c1=int:20;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:17;r6=R5;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3126
55,34873,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3)","r1=R9;r2=R27;c1=int:15;r3=R10;r4=R28;c2=int:0;r5=R7;c3=int:1","benchmark_awfy_richards_opt",2834
56,33249,6,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@3460;r1=R9;r2=R17;r3=R67;r4=R7;c2=int:8","benchmark_awfy_richards_opt",3265
57,33246,3,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1)","r1=R60;c1=int:18;c2=int:1;r2=R6","benchmark_awfy_richards_opt",342
58,33245,2,1,5,candidate,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@2655;r1=R5;r2=R3;c2=int:5;c3=label@2663","benchmark_awfy_richards_opt",2648
59,33245,2,1,6,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_INT(r5,r3,c1)","r1=R4;r2=R13;r3=R3;r4=R14;r5=R5;c1=int:0","benchmark_awfy_richards_opt",2638
60,33245,2,1,4,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R6;c1=int:0;c2=label@2680","benchmark_awfy_richards_opt",2668
61,33245,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3)","r1=R3;r2=R14;r3=R5;c1=int:0;c2=label@2655","benchmark_awfy_richards_opt",2641
62,33245,2,1,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R5;r2=R3;c1=int:0;c2=label@2655;c3=int:5","benchmark_awfy_richards_opt",2644
63,32545,6,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R17;r2=R19;r3=R14;r4=R18;r5=R67","benchmark_awfy_richards_opt",3357
64,32545,6,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R14;r2=R18;r3=R67;r4=R17;r5=R25","benchmark_awfy_richards_opt",3360
65,32545,6,1,6,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2)","r1=R6;r2=R20;c1=int:6;r3=R8;c2=int:1;r4=R5","benchmark_awfy_richards_opt",3323
66,32543,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | COPY_REG_REG(r4,r5)","r1=R2;r2=R9;r3=R10;r4=R8;r5=R0","benchmark_awfy_richards_opt",2756
67,32538,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R23;r2=R1;r3=R25;c1=int:0;c2=label@3525","benchmark_awfy_richards_opt",3470
68,27884,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r5,r3,c1)","r1=R51;r2=R68;r3=R50;r4=R1;r5=R53;c1=int:0","benchmark_awfy_richards_opt",4260
69,25583,7,1,8,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3)","c1=label@3670;r1=R21;r2=R8;r3=R28;c2=int:10;r4=R20;r5=R23;c3=int:0","benchmark_awfy_richards_opt",3652
70,25579,6,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4)","r1=R1;r2=R6;c1=int:22;r3=R4;r4=R3","benchmark_awfy_richards_opt",362
71,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4)","r1=R10;r2=R9;r3=R28;c1=int:0;r4=R7;r5=R27;c2=int:1","benchmark_awfy_richards_opt",2838
72,24758,2,1,5,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5)","r1=R11;r2=R8;r3=R3;r4=R9;r5=R6","benchmark_awfy_richards_opt",2717
73,24758,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R3;r2=R9;r3=R8;r4=R6;c1=label@2732;r5=R11","benchmark_awfy_richards_opt",2721
74,24627,1,1,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2)","c1=label@3048;r1=R8;r2=R9;c2=int:0","benchmark_awfy_richards_opt",3037
75,24627,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R9;r2=R7;c1=int:0;c2=label@6964;c3=label@6989","benchmark_awfy_richards_opt",6951
76,24409,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3)","r1=R27;c1=int:18;r2=R7;r3=R9;c2=int:17;r4=R10;r5=R28;c3=int:0","benchmark_awfy_richards_opt",2816
77,23253,9,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R4;r2=R13;c1=int:0;r3=R12;r4=R17;r5=R11;c2=int:9;r6=R10","benchmark_awfy_richards_opt",634
78,23253,9,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r2)","r1=R17;r2=R11;c1=int:9;r3=R10;r4=R60","benchmark_awfy_richards_opt",639
79,23252,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c1)","r1=R32;r2=R68;r3=R31;r4=R1;r5=R36;c1=int:0","benchmark_awfy_richards_opt",3765
80,23252,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R31;r2=R1;r3=R36;c1=int:0;c2=label@3863","benchmark_awfy_richards_opt",3768
81,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3)","r1=R1;r2=R7;r3=R5;r4=R6;r5=R67;c1=int:20;c2=int:6;r6=R9;r7=R68;c3=int:1","benchmark_awfy_richards_opt",3121
82,23250,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | COPY_REG_REG(r6,r2)","r1=R6;r2=R11;c1=int:19;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:0;r6=R67","benchmark_awfy_richards_opt",3198
83,23250,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BRTF_ID_ID_REG(c2,c3,r2)","r1=R9;c1=int:1;r2=R8;c2=label@3113;c3=label@3261","benchmark_awfy_richards_opt",3100
84,23250,1,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1)","r1=R9;r2=R7;c1=int:1;r3=R8","benchmark_awfy_richards_opt",3097
85,23250,1,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r2,r5,c3)","r1=R3;r2=R9;r3=R6;r4=R67;c1=int:20;c2=int:6;r5=R68;c3=int:1","benchmark_awfy_richards_opt",3146
86,23250,1,1,9,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4)","r1=R6;r2=R67;c1=int:20;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R5;c4=int:0","benchmark_awfy_richards_opt",3149
87,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4)","r1=R5;r2=R6;r3=R67;c1=int:20;c2=int:6;r4=R9;r5=R68;c3=int:1;r6=R3;c4=int:17","benchmark_awfy_richards_opt",3124
88,23249,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3)","r1=R18;r2=R13;c1=int:23;c2=int:6;r3=R20;r4=R10;c3=int:1;r5=R16;c4=int:24","benchmark_awfy_richards_opt",2905
89,23248,4,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2)","r1=R30;r2=R28;r3=R31;c1=int:25;r4=R22;c2=int:2","benchmark_awfy_richards_opt",3480
90,23248,4,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R29;r2=R32;r3=R28;r4=R30;r5=R26","benchmark_awfy_richards_opt",3508
91,23246,1,1,7,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2)","r1=R0;r2=R27;r3=R10;c1=int:15;r4=R9;r5=R28;c2=int:0","benchmark_awfy_richards_opt",2744
92,23246,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R11;r2=R10;r3=R27;r4=R13;r5=R25","benchmark_awfy_richards_opt",2947
93,23246,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R10;r2=R5;r3=R7;r4=R28;r5=R9;r6=R3","benchmark_awfy_richards_opt",2866
