rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | COPY_REG_REG(r5,r1)","r1=R1;r2=R27;r3=R14;c1=int:2;r4=R3;r5=R13","benchmark_awfy_richards_opt",2853
14,65790,1,1,10,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r1,c3) | BTOI_REG(r5) | IEQ_REG_REG_INT(r6,r5,c4)","r1=R3;r2=R68;r3=R6;r4=R4;c1=int:23;c2=int:6;r5=R5;c3=int:1;r6=R8;c4=int:0","benchmark_awfy_richards_opt",3017
15,65790,1,1,6,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | SETTP_REG_INT(r1,c3)","r1=R15;c1=int:1;r2=R13;r3=R9;c2=int:2;c3=int:256","benchmark_awfy_richards_opt",6993
16,65790,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R13;r2=R15;c1=int:2;c2=int:1;r3=R9","benchmark_awfy_richards_opt",6989
17,65790,1,1,11,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c2,c3,r7,r4,c4)","r1=R1;c1=int:0;r2=R4;r3=R67;r4=R3;r5=R68;r6=R6;c2=int:23;c3=int:6;r7=R5;c4=int:1","benchmark_awfy_richards_opt",3011
18,65790,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R4;r3=R67;r4=R3;r5=R68","benchmark_awfy_richards_opt",3007
19,65790,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2) | CALL2_REG_FUNC_REG_REG(r4,c3,r3,r2)","r1=R13;r2=R9;r3=R15;c1=int:2;c2=int:256;r4=R7;c3=func@109696","benchmark_awfy_richards_opt",6997
20,64637,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r3,r2) | BR_ID(c3)","c1=label@3076;r1=R6;r2=R5;c2=int:0;r3=R8;c3=label@3110","benchmark_awfy_richards_opt",3065
21,59825,3,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R25;r2=R53;r3=R51;c1=int:0;c2=label@3928","benchmark_awfy_richards_opt",3871
22,59825,3,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r5,c4)","r1=R51;r2=R41;c1=int:5;c2=int:6;r3=R53;r4=R32;c3=int:1;r5=R25;c4=int:0","benchmark_awfy_richards_opt",3863
23,53683,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R11;c2=int:0;r5=R0","benchmark_awfy_richards_opt",2129
24,53463,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R35;r2=R68;c1=int:2;c2=label@3759;c3=int:3;c4=label@4243","benchmark_awfy_richards_opt",3748
25,51136,2,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@4243;r1=R35;r2=R41;r3=R67;r4=R32;r5=R68;r6=R31;r7=R1","benchmark_awfy_richards_opt",3759
26,46496,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1) | BRF_ID_REG(c5,r5)","r1=R15;r2=R13;c1=int:20;c2=int:6;r3=R14;r4=R10;c3=int:1;r5=R17;c4=int:0;c5=label@2960","benchmark_awfy_richards_opt",2875
27,44175,7,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5)","r1=R3;r2=R67;c1=int:17;r3=R5;r4=R1;c2=int:0;r5=R9","benchmark_awfy_richards_opt",3134
28,42540,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c1)","r1=R8;r2=R5;c1=int:0;r3=R6;c2=label@3048;r4=R9","benchmark_awfy_richards_opt",3030
29,41859,10,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R12;r2=R11;c1=int:9;r3=R13;c2=int:1","benchmark_awfy_richards_opt",465
30,41163,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5) | ICOPY_REG_REG(r6,r5)","r1=R7;r2=R6;c1=int:23;c2=int:6;r3=R9;r4=R5;c3=int:1;c4=label@6930;r5=R2;c5=int:0;r6=R8","benchmark_awfy_richards_opt",6911
31,41163,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4) | LOAD_REG_INT(r1,c5)","r1=R2;r2=R7;r3=R6;c1=int:23;c2=int:6;r4=R9;r5=R5;c3=int:1;c4=label@6930;c5=int:0","benchmark_awfy_richards_opt",6908
32,40814,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R5;r2=R15;c1=int:2;r3=R2;r4=R10;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",6968
33,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1) | UNLINKN_REG_REG(r1,r2)","r1=R2;r2=R10;c1=int:6;r3=R5;c2=int:1;r4=R15;c3=int:2","benchmark_awfy_richards_opt",6972
34,40814,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4) | BR_ID(c2)","r1=R5;r2=R15;c1=int:2;r3=R2;r4=R10;c2=label@6860","benchmark_awfy_richards_opt",6978
35,38010,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","r1=R6;r2=R11;c1=int:23;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3172
36,37200,4,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4) | UNLINK_REG(r5)","r1=R5;r2=R3;r3=R1;c1=int:0;r4=R9;r5=R6","benchmark_awfy_richards_opt",3138
37,35253,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3) | BRTF_ID_ID_REG(c5,c6,r5)","r1=R7;r2=R6;c1=int:25;c2=int:6;r3=R9;r4=R5;c3=int:1;c4=label@6951;r5=R2;c5=label@6964;c6=label@6989","benchmark_awfy_richards_opt",6933
38,35253,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1) | LOAD_REG_INT(r5,c3)","r1=R9;r2=R7;r3=R6;c1=int:25;c2=int:6;r4=R5;c3=int:1;c4=label@6951;r5=R2","benchmark_awfy_richards_opt",6930
39,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5) | IGETUNLINK_REG_REG(r3,r6)","r1=R6;r2=R67;c1=int:20;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R3;c4=int:17;r6=R5;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3126
40,33248,5,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c3)","r1=R9;r2=R68;c1=int:0;c2=label@3460;r3=R17;r4=R67;r5=R7;c3=int:8","benchmark_awfy_richards_opt",3261
41,33245,2,1,7,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_INT(r5,r3,c1) | BRT_ID_REG(c2,r5)","r1=R4;r2=R13;r3=R3;r4=R14;r5=R5;c1=int:0;c2=label@2655","benchmark_awfy_richards_opt",2638
42,33245,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3) | IGT_REG_REG_INT(r3,r1,c3)","r1=R3;r2=R14;r3=R5;c1=int:0;c2=label@2655;c3=int:5","benchmark_awfy_richards_opt",2641
43,33245,2,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R5;r2=R3;c1=int:0;c2=label@2655;c3=int:5;c4=label@2663","benchmark_awfy_richards_opt",2644
44,32545,6,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r3)","r1=R17;r2=R19;r3=R14;r4=R18;r5=R67;r6=R25","benchmark_awfy_richards_opt",3357
45,32545,6,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R14;r2=R18;r3=R67;r4=R17;r5=R25;c1=label@3458","benchmark_awfy_richards_opt",3360
46,32545,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r4)","r1=R8;r2=R19;c1=int:2;r3=R6;r4=R20;c2=int:6;c3=int:1;r5=R5","benchmark_awfy_richards_opt",3319
47,27884,1,1,8,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | IEQ_REG_REG_INT(r7,r5,c1)","r1=R61;r2=R67;r3=R51;r4=R68;r5=R50;r6=R1;r7=R53;c1=int:0","benchmark_awfy_richards_opt",4257
48,27884,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R51;r2=R68;r3=R50;r4=R1;r5=R53;c1=int:0;c2=label@4367","benchmark_awfy_richards_opt",4260
49,25579,2,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | COPY_REG_REG(r3,r4)","c1=label@3759;r1=R35;r2=R68;c2=int:3;c3=label@4243;r3=R41;r4=R67","benchmark_awfy_richards_opt",3752
50,25579,2,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r2)","r1=R35;r2=R68;c1=int:3;c2=label@4243;r3=R41;r4=R67;r5=R32","benchmark_awfy_richards_opt",3755
51,25573,2,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3) | IGETUNLINK_REG_REG(r3,r5)","r1=R9;r2=R27;c1=int:15;r3=R10;r4=R28;c2=int:0;r5=R7;c3=int:1","benchmark_awfy_richards_opt",2834
52,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4) | UNLINKN_REG_REG(r1,r2)","r1=R10;r2=R9;r3=R28;c1=int:0;r4=R7;r5=R27;c2=int:1","benchmark_awfy_richards_opt",2838
53,24758,2,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5) | BRF_ID_REG(c1,r1)","r1=R11;r2=R8;r3=R3;r4=R9;r5=R6;c1=label@2732","benchmark_awfy_richards_opt",2717
54,24627,1,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2) | BR_ID(c3)","c1=label@3048;r1=R8;r2=R9;c2=int:0;c3=label@3110","benchmark_awfy_richards_opt",3037
55,24627,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r3,r4)","r1=R5;r2=R6;c1=label@3048;r3=R8;r4=R9;c2=int:0","benchmark_awfy_richards_opt",3034
56,23253,9,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4) | COPY_REG_REG(r7,r5)","r1=R4;r2=R13;c1=int:0;r3=R12;r4=R17;r5=R11;c2=int:9;r6=R10;r7=R60","benchmark_awfy_richards_opt",634
57,23252,1,1,8,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | INE_REG_REG_INT(r7,r5,c1)","r1=R41;r2=R67;r3=R32;r4=R68;r5=R31;r6=R1;r7=R36;c1=int:0","benchmark_awfy_richards_opt",3762
58,23252,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R32;r2=R68;r3=R31;r4=R1;r5=R36;c1=int:0;c2=label@3863","benchmark_awfy_richards_opt",3765
59,23250,1,1,9,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3)","r1=R9;r2=R5;r3=R3;r4=R6;r5=R67;c1=int:20;c2=int:6;r6=R68;c3=int:1","benchmark_awfy_richards_opt",3143
60,23250,1,1,12,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | LINKATTR1_REG_REG_INT(r8,r5,c4)","r1=R1;r2=R7;r3=R5;r4=R6;r5=R67;c1=int:20;c2=int:6;r6=R9;r7=R68;c3=int:1;r8=R3;c4=int:17","benchmark_awfy_richards_opt",3121
61,23250,2,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | COPY_REG_REG(r6,r4)","r1=R3;r2=R9;c1=int:0;r3=R6;r4=R11;c2=int:19;c3=int:6;r5=R68;c4=int:1;r6=R67","benchmark_awfy_richards_opt",3193
62,23250,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c1,c2,r7,r4,c3)","r1=R5;r2=R67;c1=int:20;c2=int:6;r3=R7;r4=R68;c3=int:1;r5=R1;r6=R6;r7=R9","benchmark_awfy_richards_opt",3113
63,23250,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1) | BRTF_ID_ID_REG(c2,c3,r3)","r1=R9;r2=R7;c1=int:1;r3=R8;c2=label@3113;c3=label@3261","benchmark_awfy_richards_opt",3097
64,23250,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r2,r5,c3) | IEQ_REG_REG_INT(r6,r2,c4)","r1=R3;r2=R9;r3=R6;r4=R67;c1=int:20;c2=int:6;r5=R68;c3=int:1;r6=R5;c4=int:0","benchmark_awfy_richards_opt",3146
65,23250,1,1,9,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R6;r2=R67;c1=int:20;c2=int:6;r3=R9;r4=R68;c3=int:1;r5=R5;c4=int:0","benchmark_awfy_richards_opt",3149
66,23250,1,1,12,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4) | MINLINKATTR1_REG_REG_REG_INT(r1,r6,r7,c5)","r1=R5;r2=R6;r3=R67;c1=int:20;c2=int:6;r4=R9;r5=R68;c3=int:1;r6=R3;c4=int:17;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3124
67,23248,4,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3)","c1=label@3525;r1=R25;r2=R30;r3=R28;r4=R31;c2=int:25;r5=R22;c3=int:2","benchmark_awfy_richards_opt",3477
68,23248,4,1,9,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r5,r3,c3,r4,c4)","r1=R30;r2=R28;r3=R31;c1=int:25;r4=R22;c2=int:2;r5=R21;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",3480
69,23248,4,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | COPY_REG_REG(r6,r3)","r1=R29;r2=R32;r3=R28;r4=R30;r5=R26;r6=R67","benchmark_awfy_richards_opt",3508
70,23248,4,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r2) | COPY_REG_REG(r5,r3)","r1=R32;r2=R30;c1=int:2;r3=R29;r4=R28;r5=R26","benchmark_awfy_richards_opt",3504
71,23246,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1) | LINKATTR1_REG_REG_INT(r3,r1,c3)","r1=R27;c1=int:18;c2=int:1;r2=R0;r3=R10;c3=int:15","benchmark_awfy_richards_opt",2738
72,23246,1,1,8,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R13;r2=R1;r3=R10;r4=R5;r5=R7;r6=R28;r7=R9;r8=R3","benchmark_awfy_richards_opt",2863
73,23246,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R0;r2=R27;r3=R10;c1=int:15;r4=R9;r5=R28;c2=int:0;r6=R2","benchmark_awfy_richards_opt",2744
74,23246,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R7;r2=R9;c1=int:1;r3=R27;c2=int:18;c3=int:17","benchmark_awfy_richards_opt",2810
75,23246,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R11;r2=R10;r3=R27;r4=R13;r5=R25;c1=label@3003","benchmark_awfy_richards_opt",2947
76,23246,1,1,12,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r7,r8,c1,c2,r9,r1,c3)","r1=R10;r2=R5;r3=R7;r4=R28;r5=R9;r6=R3;r7=R15;r8=R13;c1=int:20;c2=int:6;r9=R14;c3=int:1","benchmark_awfy_richards_opt",2866
