rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,737611,13,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_noopt",0
12,163960,3,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R10;c1=int:256;r2=R5;r3=R6;r4=R11;r5=R0;c2=func@29544;r6=R4","benchmark_awfy_towers_noopt",930
13,163850,3,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R6;c1=int:2;r2=R12;c2=int:256;r3=R7;r4=R3","benchmark_awfy_towers_noopt",606
14,163850,3,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R12;c1=int:256;r2=R7;r3=R3;r4=R8","benchmark_awfy_towers_noopt",609
15,163820,10,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R3;c1=int:0;r2=R2;r3=R1;c2=int:2","benchmark_awfy_towers_noopt",206
16,163820,2,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R1;r2=R4;c2=int:3","benchmark_awfy_towers_noopt",244
17,163810,4,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R17;c1=int:256;r2=R6;r3=R7;r4=R19;r5=R8;r6=R20","benchmark_awfy_towers_noopt",1124
18,163810,4,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | CALL_REG_FUNC_REG(r7,c1,r8)","r1=R6;r2=R17;r3=R7;r4=R19;r5=R8;r6=R20;r7=R9;c1=func@36680;r8=R5","benchmark_awfy_towers_noopt",1127
19,136630,5,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@510;r1=R1;r2=R6;r3=R11;c2=int:2;r4=R3","benchmark_awfy_towers_noopt",498
20,122860,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R11;r2=R6;r3=R4;c1=int:3;r4=R10;c2=int:256;r5=R5","benchmark_awfy_towers_noopt",946
21,109340,4,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R11;c1=int:2;r3=R3;c2=label@563","benchmark_awfy_towers_noopt",501
22,109240,4,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINK_REG(r2)","c1=label@661;r1=R8;r2=R7;r3=R11;c2=int:2;r4=R12","benchmark_awfy_towers_noopt",635
23,109240,4,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R8;r2=R13;c1=int:0;c2=label@661;r3=R7;r4=R11;c3=int:2;r5=R12","benchmark_awfy_towers_noopt",631
24,82160,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r2,r4)","r1=R12;r2=R7;r3=R6;c1=int:1;r4=R3;c2=int:256","benchmark_awfy_towers_noopt",579
25,82050,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r3)","r1=R6;r2=R11;c1=int:3;r3=R1;c2=label@510","benchmark_awfy_towers_noopt",489
26,82050,1,1,6,over_3_symbols,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@21344;r2=R1;c2=int:0;r3=R5;r4=R13","benchmark_awfy_towers_noopt",474
27,82050,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3)","c1=int:1;r1=R3;c2=string@21344;r2=R1;c3=int:0","benchmark_awfy_towers_noopt",472
28,82050,1,1,7,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@21344;r2=R1;c2=int:0;r3=R5;r4=R13;c3=label@512","benchmark_awfy_towers_noopt",476
29,82050,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SWAP_REG_REG(r5,r6)","r1=R5;r2=R10;r3=R0;c1=int:256;r4=R6;r5=R7;r6=R12","benchmark_awfy_towers_noopt",955
30,82020,3,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R1;r2=R6;c1=label@510;r3=R11;c2=int:2","benchmark_awfy_towers_noopt",493
31,82020,3,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r1,r3,c2) | COPY_REG_REG(r4,r1)","r1=R6;c1=label@510;r2=R1;r3=R11;c2=int:2;r4=R3","benchmark_awfy_towers_noopt",496
32,81990,6,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | ICOPY_REG_REG(r1,r2)","r1=R2;r2=R3;c1=int:0;r3=R1;c2=int:2","benchmark_awfy_towers_noopt",204
33,81930,3,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R2;c2=int:0","benchmark_awfy_towers_noopt",329
34,81910,1,1,3,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | RET_REG(r1)","r1=R2;r2=R1;c1=string@1416","benchmark_awfy_towers_noopt",254
35,81910,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R5;r2=R6;c1=int:1;r3=R7;r4=R10","benchmark_awfy_towers_noopt",984
36,81910,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2) | UNLINK_REG(r1)","r1=R1;r2=R4;c1=int:3;r3=R2;c2=string@1416","benchmark_awfy_towers_noopt",250
37,81910,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R6;r2=R10;c1=int:1;r3=R5;r4=R7","benchmark_awfy_towers_noopt",980
38,81910,1,1,6,over_3_symbols,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R1;c1=string@21344;r2=R3;r3=R14;c2=int:0;c3=label@748","benchmark_awfy_towers_noopt",725
39,81910,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","c1=int:1;r1=R4;r2=R18;c2=label@1151","benchmark_awfy_towers_noopt",1110
40,81910,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | COPY_REG_REG(r3,r1)","c1=int:1;r1=R1;r2=R4;c2=int:3;r3=R2","benchmark_awfy_towers_noopt",246
41,81910,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | RET_REG(r1)","c1=int:1;r1=R1;r2=R3;c2=int:2","benchmark_awfy_towers_noopt",272
42,81910,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | SETTP_REG_INT(r2,c3)","c1=int:1;r1=R4;c2=int:2;r2=R10;c3=int:256","benchmark_awfy_towers_noopt",923
43,81910,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R4;r2=R18","benchmark_awfy_towers_noopt",1108
44,81910,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c3)","c1=int:1;r1=R1;r2=R4;c2=int:3;r3=R2;c3=string@1416","benchmark_awfy_towers_noopt",248
45,81910,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | SETTP_REG_INT(r2,c3) | SWAP_REG_REG(r3,r2)","c1=int:1;r1=R4;c2=int:2;r2=R10;c3=int:256;r3=R5","benchmark_awfy_towers_noopt",925
46,81910,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2) | IEQ_REG_REG_INT(r2,r3,c3)","c1=int:1;r1=R1;c2=string@21344;r2=R3;r3=R14;c3=int:0","benchmark_awfy_towers_noopt",723
47,81910,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r1,c3)","r1=R1;r2=R7;c1=label@859;r3=R5;r4=R8;c2=int:1;c3=int:256","benchmark_awfy_towers_noopt",788
48,81910,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IADD_REG_REG_INT(r5,r3,c1) | UNLINK_REG(r3)","r1=R12;r2=R7;r3=R6;r4=R10;c1=int:1;r5=R5","benchmark_awfy_towers_noopt",977
49,81910,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r5,c1) | IADD_REG_REG_INT(r6,r2,c1)","r1=R0;r2=R6;r3=R12;r4=R7;r5=R10;c1=int:1;r6=R5","benchmark_awfy_towers_noopt",974
50,81910,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r1,c2)","r1=R10;r2=R5;r3=R11;r4=R6;r5=R4;c1=int:3;c2=int:256","benchmark_awfy_towers_noopt",943
51,81910,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | LINKATTR1_REG_REG_INT(r4,r1,c1)","r1=R10;r2=R5;r3=R0;r4=R6;r5=R12;r6=R7;c1=int:1","benchmark_awfy_towers_noopt",971
52,81910,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R6;r2=R7;r3=R10;c1=int:1;r4=R5","benchmark_awfy_towers_noopt",988
53,81900,2,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R12;r2=R18;c1=int:1;r3=R10;c2=int:4;r4=R17;c3=int:256;r5=R11","benchmark_awfy_towers_noopt",1159
54,81830,3,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R7;r2=R12;r3=R6;c1=int:1;r4=R11;c2=int:3","benchmark_awfy_towers_noopt",642
55,81830,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R7;r2=R11;c1=int:2;r3=R12;r4=R6;c2=int:1","benchmark_awfy_towers_noopt",638
56,81810,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1)","r1=R2;c1=int:1;r2=R3;r3=R5;c2=int:2","benchmark_awfy_towers_noopt",304
57,81800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R3;r2=R6;r3=R2;r4=R5;c1=int:3","benchmark_awfy_towers_noopt",294
58,81800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R2;r2=R3;c1=int:1;r3=R5;c2=int:2","benchmark_awfy_towers_noopt",301
59,81800,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c2)","r1=R2;r2=R5;c1=int:3;r3=R3;c2=int:1","benchmark_awfy_towers_noopt",297
60,81800,1,1,6,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","c1=int:1;r1=R3;r2=R6;r3=R2;r4=R5;c2=int:3","benchmark_awfy_towers_noopt",290
61,81800,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2)","c1=int:1;r1=R3;r2=R6","benchmark_awfy_towers_noopt",288
62,81800,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | COPY_REG_REG(r3,r1)","c1=int:1;r1=R3;r2=R6;r3=R2;r4=R5;c2=int:3","benchmark_awfy_towers_noopt",292
63,81800,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R7;r2=R12;r3=R3;c1=int:256;r4=R8;r5=R5;c2=func@14640;r6=R6","benchmark_awfy_towers_noopt",612
64,81800,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R12;r2=R7;r3=R3;r4=R8;r5=R13;c1=int:0;c2=label@661","benchmark_awfy_towers_noopt",625
65,54750,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@512;r1=R5;r2=R6;r3=R11;c2=int:3;r4=R1","benchmark_awfy_towers_noopt",486
66,54750,2,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | ICOPY_REG_REG(r5,r3)","r1=R5;r2=R13;c1=int:0;c2=label@512;r3=R6;r4=R11;c3=int:3;r5=R1","benchmark_awfy_towers_noopt",482
67,54740,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R3;r2=R8;r3=R13;c1=int:0;c2=label@661;r4=R7;r5=R11;c3=int:2","benchmark_awfy_towers_noopt",628
68,54630,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R7;r2=R11;c1=int:3;r3=R6;c2=label@712","benchmark_awfy_towers_noopt",650
69,54610,2,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r5,r3)","r1=R3;r2=R14;c1=int:0;c2=label@748;r3=R4;r4=R13;c3=int:2;r5=R1","benchmark_awfy_towers_noopt",730
70,54610,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R8;r2=R13;c1=int:2;r3=R7;c2=label@855","benchmark_awfy_towers_noopt",817
71,40960,1,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R4;r2=R18;c1=int:1;c2=label@1151;r3=R5;c3=int:3;r4=R17;c4=int:256","benchmark_awfy_towers_noopt",1114
72,40960,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3)","c1=int:1;r1=R4;r2=R18;c2=label@1151;r3=R5;c3=int:3","benchmark_awfy_towers_noopt",1112
73,40960,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | BR_ID(c1)","r1=R17;r2=R6;r3=R19;r4=R7;r5=R20;r6=R8;c1=label@1253","benchmark_awfy_towers_noopt",1140
74,40950,1,1,10,over_3_symbols,"ISUB_REG_INT_REG(r1,c1,r2) | ISUB_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_INT(r5,r6,c2) | LOAD_REG_INT(r7,c3)","r1=R7;c1=int:3;r2=R19;r3=R8;r4=R20;r5=R12;r6=R18;c2=int:1;r7=R10;c3=int:4","benchmark_awfy_towers_noopt",1151
75,40950,1,1,10,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | LOAD_REG_INT(r6,c2) | SETTP_REG_INT(r7,c3)","r1=R8;r2=R7;r3=R20;r4=R12;r5=R18;c1=int:1;r6=R10;c2=int:4;r7=R17;c3=int:256","benchmark_awfy_towers_noopt",1155
76,40950,1,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | LOAD_REG_INT(r5,c2) | SETTP_REG_INT(r6,c3)","r1=R20;r2=R14;r3=R13;r4=R18;c1=int:1;r5=R11;c2=int:4;r6=R17;c3=int:256","benchmark_awfy_towers_noopt",1216
77,40950,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ENDLIFE_REG(r1) | RET()","r1=R8;r2=R14;r3=R20;r4=R15","benchmark_awfy_towers_noopt",1245
78,40950,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ISUB_REG_REG_INT(r2,r5,c1) | LOAD_REG_INT(r6,c2)","r1=R19;r2=R13;r3=R20;r4=R14;r5=R18;c1=int:1;r6=R11;c2=int:4","benchmark_awfy_towers_noopt",1213
79,40950,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r6,c2)","r1=R19;r2=R13;r3=R8;r4=R14;r5=R11;c1=int:3;r6=R17;c2=int:256","benchmark_awfy_towers_noopt",1185
80,40950,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | ENDLIFE_REG(r3)","r1=R17;r2=R12;r3=R8;r4=R14;r5=R20;r6=R15","benchmark_awfy_towers_noopt",1242
81,40950,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | ISUB_REG_REG_INT(r4,r7,c1)","r1=R17;r2=R12;r3=R19;r4=R13;r5=R20;r6=R14;r7=R18;c1=int:1","benchmark_awfy_towers_noopt",1210
82,40950,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | LOAD_REG_INT(r2,c1)","r1=R17;r2=R11;r3=R19;r4=R13;r5=R8;r6=R14;c1=int:3","benchmark_awfy_towers_noopt",1182
83,27380,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R1;c1=int:0;r2=R5;r3=R13;c2=label@512;r4=R6;r5=R11;c3=int:3","benchmark_awfy_towers_noopt",479
84,27370,1,1,9,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | LINKATTR1_REG_REG_INT(r4,r5,c4)","r1=R1;c1=string@21344;r2=R3;r3=R14;c2=int:0;c3=label@748;r4=R4;r5=R13;c4=int:2","benchmark_awfy_towers_noopt",727
85,27300,1,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | ENDLIFE_REG(r2) | BR_ID(c1)","r1=R3;r2=R7;c1=label@913","benchmark_awfy_towers_noopt",850
86,27300,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R1;r2=R7;r3=R6;c1=int:1;c2=int:256","benchmark_awfy_towers_noopt",770
87,27300,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | ENDLIFE_REG(r3)","r1=R3;r2=R13;c1=int:6;r3=R7","benchmark_awfy_towers_noopt",846
88,27300,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R7;r2=R13;c1=int:6;r3=R1;r4=R6;c2=int:1","benchmark_awfy_towers_noopt",766
89,27300,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r1,r3)","r1=R7;r2=R6;c1=int:1;r3=R1;c2=int:256","benchmark_awfy_towers_noopt",773
90,27290,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R3;r2=R7;c1=label@631;r3=R1;r4=R6;c2=int:1","benchmark_awfy_towers_noopt",558
91,27290,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R11;c1=int:6;r3=R3;c2=label@631;r4=R1","benchmark_awfy_towers_noopt",554
92,27290,1,1,7,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3)","r1=R7;c1=label@631;r2=R1;r3=R6;c2=int:1;r4=R12;c3=int:256","benchmark_awfy_towers_noopt",561
