ledger_id,pattern_id,revision,role,normalized_pattern,window,dynamic_count,entry_count,workload_count,site_observations,max_sites_per_entry,module_observations,max_modules_per_entry,modes,optimized_occurrence,unoptimized_occurrence,entries,workloads,rxseq_statuses,example_module,example_start,evidence_links,semantic_review_status,opcode_effect_completeness,opcode_effects,control_flow_risk,liveness_risk,alias_risk,reference_risk,exception_risk,interrupt_risk,likely_owner,proposed_lowering,prerequisite,measured_disposition,status,selected,selection_reason
seq-4-2246277045@nr05-6a064499f327-rxseq-schema4,seq-4-2246277045,nr05-6a064499f327-rxseq-schema4,historical,"IMULT_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c2)",4,341000,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1141,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; BSETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_ALL;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,no,no,yes,needs-proof,compiler-or-rxas,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-3376739232@nr05-6a064499f327-rxseq-schema4,seq-4-3376739232,nr05-6a064499f327-rxseq-schema4,historical,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r4,r5,r1)",4,341000,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1099,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IDIV_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; BSETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_ALL;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,no,no,yes,needs-proof,compiler-or-rxas,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-4088161771@nr05-6a064499f327-rxseq-schema4,seq-4-4088161771,nr05-6a064499f327-rxseq-schema4,historical,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IADD_REG_REG_INT(r4,r5,c2)",4,341000,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,481,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IGT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IADD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-932309684@nr05-6a064499f327-rxseq-schema4,seq-4-932309684,nr05-6a064499f327-rxseq-schema4,historical,"LOAD_REG_INT(r1,c1) | RNE_REG_REG_STRING(r2,r3,c2) | BRF_ID_REG(c3,r2) | LOAD_REG_INT(r4,c4)",4,170500,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,990,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; RNE_REG_REG_STRING[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-2954470348@nr05-6a064499f327-rxseq-schema4,seq-4-2954470348,nr05-6a064499f327-rxseq-schema4,historical,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IMOD_REG_REG_INT(r3,r4,c3) | IMULT_REG_REG_INT(r3,r3,c3)",4,341000,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1088,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,RNE_REG_REG_STRING[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMOD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-2819116563@nr05-6a064499f327-rxseq-schema4,seq-4-2819116563,nr05-6a064499f327-rxseq-schema4,historical,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IMOD_REG_REG_INT(r3,r4,c3) | IMULT_REG_REG_INT(r3,r3,c4)",4,341000,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1130,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,RNE_REG_REG_STRING[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMOD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-3521335751@nr05-6a064499f327-rxseq-schema4,seq-4-3521335751,nr05-6a064499f327-rxseq-schema4,historical,"SWAP_REG_REG(r1,r2) | IMULT_REG_REG_INT(r3,r4,c1) | IDIV_REG_REG_INT(r2,r5,c2) | IADD_REG_REG_REG(r3,r3,r2)",4,170500,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1054,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IDIV_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,no,no,yes,needs-proof,compiler-or-rxas,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-3115155909@nr05-6a064499f327-rxseq-schema4,seq-4-3115155909,nr05-6a064499f327-rxseq-schema4,historical,"SWAP_REG_REG(r1,r2) | RNE_REG_REG_STRING(r3,r4,c1) | BRF_ID_REG(c2,r3) | LOAD_REG_INT(r5,c3)",4,170500,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1022,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; RNE_REG_REG_STRING[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-2166200834@nr05-6a064499f327-rxseq-schema4,seq-4-2166200834,nr05-6a064499f327-rxseq-schema4,historical,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IMULT_REG_REG_INT(r5,r6,c1) | IDIV_REG_REG_INT(r4,r7,c2)",4,170500,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1051,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IDIV_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,no,no,yes,needs-proof,compiler-or-rxas,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-385062835@nr05-6a064499f327-rxseq-schema4,seq-4-385062835,nr05-6a064499f327-rxseq-schema4,historical,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | RNE_REG_REG_STRING(r5,r6,c1) | BRF_ID_REG(c2,r5)",4,170500,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1019,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; SWAP_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_12;W=RXOP_OP_12;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; RNE_REG_REG_STRING[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRF_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-2918294908@nr05-6a064499f327-rxseq-schema4,seq-4-2918294908,nr05-6a064499f327-rxseq-schema4,historical,"BGETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_REG(r4,r4,r1) | INC_REG(r3) | BR_ID(c1)",4,1024,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1273,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,BGETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; INC_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; BR_ID[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-1522215347@nr05-6a064499f327-rxseq-schema4,seq-4-1522215347,nr05-6a064499f327-rxseq-schema4,historical,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IADD_REG_REG_REG(r5,r5,r2) | INC_REG(r4)",4,1024,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1270,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BGETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; INC_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-4259745331@nr05-6a064499f327-rxseq-schema4,seq-4-4259745331,nr05-6a064499f327-rxseq-schema4,historical,"BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_INT(r2,r2,c3) | IMOD_REG_REG_INT(r2,r2,c4)",4,2048,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,363,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IMOD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-3585323182@nr05-6a064499f327-rxseq-schema4,seq-4-3585323182,nr05-6a064499f327-rxseq-schema4,historical,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | BSETU8_REG_REG_REG(r2,r3,r1) | INC_REG(r3)",4,1024,1,1,1,1,1,1,noopt,no,yes,base64-noopt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,370,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq,mechanical-complete,complete,IADD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IMOD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; BSETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_ALL;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; INC_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,no,no,yes,needs-proof,compiler-or-rxas,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-4217491957@nr05-6a064499f327-rxseq-schema4,seq-4-4217491957,nr05-6a064499f327-rxseq-schema4,historical,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IADD_REG_REG_REG(r6,r6,r4)",4,2048,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,1266,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,IGT_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BGETU8_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-4-1027270093@nr05-6a064499f327-rxseq-schema4,seq-4-1027270093,nr05-6a064499f327-rxseq-schema4,historical,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r4,r2,c2) | IADD_REG_REG_INT(r4,r4,c3)",4,2048,2,1,2,1,2,1,noopt;opt,yes,yes,base64-noopt;base64-opt,base64,over_3_symbols,benchmark_base64_roundtrip_noopt,359,performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq,mechanical-complete,complete,IGT_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IMULT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; IADD_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
