sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
11,rxbvm,recorded,1,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1205083,8.31,100,1,2026-07-19T16:24:07Z,2026-07-19T16:24:15Z,raw/011-rxbvm-recorded-r01-p2-cellB.stdout.txt,raw/011-rxbvm-recorded-r01-p2-cellB.stderr.txt
12,rxbvm,recorded,1,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1202296,8.33,100,1,2026-07-19T16:24:15Z,2026-07-19T16:24:23Z,raw/012-rxbvm-recorded-r01-p3-cellC.stdout.txt,raw/012-rxbvm-recorded-r01-p3-cellC.stderr.txt
13,rxbvm,recorded,2,1,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1203036,8.33,100,1,2026-07-19T16:24:23Z,2026-07-19T16:24:32Z,raw/013-rxbvm-recorded-r02-p1-cellB.stdout.txt,raw/013-rxbvm-recorded-r02-p1-cellB.stderr.txt
14,rxbvm,recorded,2,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1197967,8.36,100,1,2026-07-19T16:24:32Z,2026-07-19T16:24:40Z,raw/014-rxbvm-recorded-r02-p2-cellC.stdout.txt,raw/014-rxbvm-recorded-r02-p2-cellC.stderr.txt
15,rxbvm,recorded,2,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1199920,8.35,100,1,2026-07-19T16:24:40Z,2026-07-19T16:24:48Z,raw/015-rxbvm-recorded-r02-p3-cellA.stdout.txt,raw/015-rxbvm-recorded-r02-p3-cellA.stderr.txt
16,rxvm,recorded,2,1,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1204236,8.32,100,1,2026-07-19T16:24:48Z,2026-07-19T16:24:57Z,raw/016-rxvm-recorded-r02-p1-cellB.stdout.txt,raw/016-rxvm-recorded-r02-p1-cellB.stderr.txt
17,rxvm,recorded,2,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1208712,8.29,100,1,2026-07-19T16:24:57Z,2026-07-19T16:25:05Z,raw/017-rxvm-recorded-r02-p2-cellC.stdout.txt,raw/017-rxvm-recorded-r02-p2-cellC.stderr.txt
18,rxvm,recorded,2,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1214738,8.25,100,1,2026-07-19T16:25:05Z,2026-07-19T16:25:13Z,raw/018-rxvm-recorded-r02-p3-cellA.stdout.txt,raw/018-rxvm-recorded-r02-p3-cellA.stderr.txt
19,rxvm,recorded,3,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1204634,8.32,100,1,2026-07-19T16:25:13Z,2026-07-19T16:25:22Z,raw/019-rxvm-recorded-r03-p1-cellC.stdout.txt,raw/019-rxvm-recorded-r03-p1-cellC.stderr.txt
20,rxvm,recorded,3,2,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1213080,8.26,100,1,2026-07-19T16:25:22Z,2026-07-19T16:25:30Z,raw/020-rxvm-recorded-r03-p2-cellA.stdout.txt,raw/020-rxvm-recorded-r03-p2-cellA.stderr.txt
21,rxvm,recorded,3,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1197229,8.37,100,1,2026-07-19T16:25:30Z,2026-07-19T16:25:38Z,raw/021-rxvm-recorded-r03-p3-cellB.stdout.txt,raw/021-rxvm-recorded-r03-p3-cellB.stderr.txt
22,rxbvm,recorded,3,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1220417,8.21,100,1,2026-07-19T16:25:38Z,2026-07-19T16:25:46Z,raw/022-rxbvm-recorded-r03-p1-cellC.stdout.txt,raw/022-rxbvm-recorded-r03-p1-cellC.stderr.txt
23,rxbvm,recorded,3,2,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1195065,8.38,100,1,2026-07-19T16:25:46Z,2026-07-19T16:25:55Z,raw/023-rxbvm-recorded-r03-p2-cellA.stdout.txt,raw/023-rxbvm-recorded-r03-p2-cellA.stderr.txt
24,rxbvm,recorded,3,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1197666,8.36,100,1,2026-07-19T16:25:55Z,2026-07-19T16:26:03Z,raw/024-rxbvm-recorded-r03-p3-cellB.stdout.txt,raw/024-rxbvm-recorded-r03-p3-cellB.stderr.txt
25,rxbvm,recorded,4,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1194531,8.38,100,1,2026-07-19T16:26:03Z,2026-07-19T16:26:12Z,raw/025-rxbvm-recorded-r04-p1-cellC.stdout.txt,raw/025-rxbvm-recorded-r04-p1-cellC.stderr.txt
26,rxbvm,recorded,4,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1183827,8.46,100,1,2026-07-19T16:26:12Z,2026-07-19T16:26:20Z,raw/026-rxbvm-recorded-r04-p2-cellB.stdout.txt,raw/026-rxbvm-recorded-r04-p2-cellB.stderr.txt
27,rxbvm,recorded,4,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1202232,8.33,100,1,2026-07-19T16:26:20Z,2026-07-19T16:26:28Z,raw/027-rxbvm-recorded-r04-p3-cellA.stdout.txt,raw/027-rxbvm-recorded-r04-p3-cellA.stderr.txt
28,rxvm,recorded,4,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1206526,8.30,100,1,2026-07-19T16:26:28Z,2026-07-19T16:26:37Z,raw/028-rxvm-recorded-r04-p1-cellC.stdout.txt,raw/028-rxvm-recorded-r04-p1-cellC.stderr.txt
29,rxvm,recorded,4,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1205196,8.31,100,1,2026-07-19T16:26:37Z,2026-07-19T16:26:45Z,raw/029-rxvm-recorded-r04-p2-cellB.stdout.txt,raw/029-rxvm-recorded-r04-p2-cellB.stderr.txt
30,rxvm,recorded,4,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1202359,8.33,100,1,2026-07-19T16:26:45Z,2026-07-19T16:26:53Z,raw/030-rxvm-recorded-r04-p3-cellA.stdout.txt,raw/030-rxvm-recorded-r04-p3-cellA.stderr.txt
31,rxvm,recorded,5,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1210118,8.28,100,1,2026-07-19T16:26:53Z,2026-07-19T16:27:02Z,raw/031-rxvm-recorded-r05-p1-cellA.stdout.txt,raw/031-rxvm-recorded-r05-p1-cellA.stderr.txt
32,rxvm,recorded,5,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1195794,8.38,100,1,2026-07-19T16:27:02Z,2026-07-19T16:27:10Z,raw/032-rxvm-recorded-r05-p2-cellC.stdout.txt,raw/032-rxvm-recorded-r05-p2-cellC.stderr.txt
33,rxvm,recorded,5,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1191252,8.41,100,1,2026-07-19T16:27:10Z,2026-07-19T16:27:19Z,raw/033-rxvm-recorded-r05-p3-cellB.stdout.txt,raw/033-rxvm-recorded-r05-p3-cellB.stderr.txt
34,rxbvm,recorded,5,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1177628,8.51,100,1,2026-07-19T16:27:19Z,2026-07-19T16:27:27Z,raw/034-rxbvm-recorded-r05-p1-cellA.stdout.txt,raw/034-rxbvm-recorded-r05-p1-cellA.stderr.txt
35,rxbvm,recorded,5,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1193407,8.39,100,1,2026-07-19T16:27:27Z,2026-07-19T16:27:36Z,raw/035-rxbvm-recorded-r05-p2-cellC.stdout.txt,raw/035-rxbvm-recorded-r05-p2-cellC.stderr.txt
36,rxbvm,recorded,5,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1192798,8.40,100,1,2026-07-19T16:27:36Z,2026-07-19T16:27:44Z,raw/036-rxbvm-recorded-r05-p3-cellB.stdout.txt,raw/036-rxbvm-recorded-r05-p3-cellB.stderr.txt
37,rxbvm,recorded,6,1,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1189524,8.42,100,1,2026-07-19T16:27:44Z,2026-07-19T16:27:52Z,raw/037-rxbvm-recorded-r06-p1-cellB.stdout.txt,raw/037-rxbvm-recorded-r06-p1-cellB.stderr.txt
38,rxbvm,recorded,6,2,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1194670,8.38,100,1,2026-07-19T16:27:52Z,2026-07-19T16:28:01Z,raw/038-rxbvm-recorded-r06-p2-cellA.stdout.txt,raw/038-rxbvm-recorded-r06-p2-cellA.stderr.txt
39,rxbvm,recorded,6,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1186279,8.44,100,1,2026-07-19T16:28:01Z,2026-07-19T16:28:09Z,raw/039-rxbvm-recorded-r06-p3-cellC.stdout.txt,raw/039-rxbvm-recorded-r06-p3-cellC.stderr.txt
