rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R19;r2=R17;r3=R18;r4=R5;r5=R16;c1=int:1","benchmark_awfy_bounce_opt",1049
21,500000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R19;r2=R16;c1=int:1;r3=R18;c2=int:500","benchmark_awfy_bounce_opt",1089
22,500000,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r3,c2) | IADD_REG_REG_REG(r1,r2,r4)","r1=R5;r2=R18;r3=R16;c1=int:3;r4=R17;c2=int:4","benchmark_awfy_bounce_opt",1064
23,500000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R8;r2=R7;r3=R16;r4=R14;c1=int:0","benchmark_awfy_bounce_opt",1030
24,500000,1,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3) | COPY_REG_REG(r4,r2)","r1=R14;r2=R8;r3=R7;r4=R16","benchmark_awfy_bounce_opt",1028
25,142700,5,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R6;c1=int:74755;r2=R5;r3=R4;c2=int:1","benchmark_awfy_bounce_opt",928
26,142600,4,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3) | ICOPY_REG_REG(r3,r2)","c1=label@1172;r1=R18;r2=R5;c2=int:500;r3=R17;r4=R16;c3=int:1","benchmark_awfy_bounce_opt",1101
27,142600,4,1,4,over_3_symbols,"DCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | DLT_REG_REG_DECIMAL(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R17;r2=R5;c1=decimal@23440;c2=label@1140","benchmark_awfy_bounce_opt",1122
28,142600,4,1,4,over_3_symbols,"DTOI_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R17;r2=R19;r3=R16;c1=int:2","benchmark_awfy_bounce_opt",1158
29,142600,4,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ITOD_REG(r2)","r1=R17;r2=R5;r3=R16;c1=int:2","benchmark_awfy_bounce_opt",1111
30,142600,4,1,3,candidate,"ITOD_REG(r1) | DCOPY_REG_REG(r2,r1) | UNLINK_REG(r1) | DLT_REG_REG_DECIMAL(r1,r2,c1)","r1=R5;r2=R17;c1=decimal@23440","benchmark_awfy_bounce_opt",1120
31,142600,4,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R17;r2=R16;c1=int:1;r3=R5;c2=int:2","benchmark_awfy_bounce_opt",1107
32,142600,4,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R19;r2=R16;c1=int:2;r3=R17;r4=R14;c2=int:1","benchmark_awfy_bounce_opt",1160
33,142600,4,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ITOD_REG(r1) | DCOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R5;r2=R16;c1=int:2;r3=R17","benchmark_awfy_bounce_opt",1116
34,142600,4,1,8,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R19;c1=label@1172;r2=R18;r3=R5;c2=int:500;r4=R17;r5=R16;c3=int:1","benchmark_awfy_bounce_opt",1099
35,142600,4,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ITOD_REG(r2) | DCOPY_REG_REG(r1,r2)","r1=R17;r2=R5;r3=R16;c1=int:2","benchmark_awfy_bounce_opt",1114
36,133100,1,1,7,over_3_symbols,"ENDLIFE_REG(r1) | BRF_ID_REG(c1,r2) | IADD_REG_REG_INT(r3,r3,c2) | BCTP_ID_REG(c3,r4)","r1=R14;c1=label@1422;r2=R20;r3=R1;c2=int:1;c3=label@1010;r4=R6","benchmark_awfy_bounce_opt",1413
37,71300,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | DSUB_REG_DECIMAL_REG(r2,c2,r3) | DCOPY_REG_REG(r1,r2) | BR_ID(c3)","c1=label@1224;r1=R17;r2=R5;c2=decimal@23440;r3=R18;c3=label@1229","benchmark_awfy_bounce_opt",1212
38,71300,2,1,5,over_3_symbols,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | DSUB_REG_DECIMAL_REG(r3,c1,r2) | DCOPY_REG_REG(r1,r3)","r1=R17;r2=R18;c1=decimal@23440;c2=label@1224;r3=R5","benchmark_awfy_bounce_opt",1208
39,71300,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | DTOI_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r2)","r1=R18;r2=R17;r3=R20;r4=R16;c1=int:2","benchmark_awfy_bounce_opt",1229
40,71300,2,1,5,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c1)","r1=R18;r2=R19;c1=int:500;c2=label@1172;r3=R5","benchmark_awfy_bounce_opt",1095
41,71300,2,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c1)","r1=R19;r2=R20;c1=int:0;c2=label@1245;r3=R17","benchmark_awfy_bounce_opt",1176
42,71300,2,1,5,over_3_symbols,"UNLINK_REG(r1) | DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | DSUB_REG_DECIMAL_REG(r3,c1,r2)","r1=R17;r2=R18;c1=decimal@23440;c2=label@1224;r3=R5","benchmark_awfy_bounce_opt",1206
43,70900,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R20;r2=R17;r3=R14;c1=int:1;r4=R16;c2=int:3","benchmark_awfy_bounce_opt",1237
44,60000,6,1,5,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R9;c1=int:65536;r2=R7;r3=R6;c2=int:1","benchmark_awfy_bounce_opt",279
45,40000,4,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IMULT_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R6;r2=R0;r3=R8;c1=int:1;r4=R9;c2=int:1309","benchmark_awfy_bounce_opt",262
46,40000,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3) | ICOPY_REG_REG(r2,r1)","r1=R9;c1=int:13849;c2=int:65536;r2=R7;r3=R6;c3=int:1","benchmark_awfy_bounce_opt",275
47,40000,4,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r2,r1)","r1=R5;r2=R9;r3=R0;r4=R6","benchmark_awfy_bounce_opt",296
48,40000,4,1,5,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2) | IMOD_REG_REG_INT(r1,r1,c3)","r1=R9;r2=R8;c1=int:1309;c2=int:13849;c3=int:65536","benchmark_awfy_bounce_opt",269
49,40000,4,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R9;r2=R6;c1=int:1;r3=R5;r4=R0","benchmark_awfy_bounce_opt",292
50,40000,4,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R8;r2=R6;c1=int:1;r3=R9;c2=int:1309;c3=int:13849","benchmark_awfy_bounce_opt",265
51,40000,4,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r1,r4) | BR_ID(c1)","r1=R9;r2=R0;r3=R6;r4=R5;c1=label@309","benchmark_awfy_bounce_opt",299
52,40000,4,1,7,over_3_symbols,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R8;r2=R9;c1=int:13849;c2=int:65536;r3=R7;r4=R6;c3=int:1","benchmark_awfy_bounce_opt",273
53,35900,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | ICOPY_REG_REG(r4,r3)","r1=R20;r2=R17;r3=R14;c1=int:1;r4=R15","benchmark_awfy_bounce_opt",1394
54,35900,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r2)","r1=R14;c1=int:1;r2=R15;r3=R8;r4=R16;r5=R20","benchmark_awfy_bounce_opt",1399
55,35900,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2) | COPY_REG_REG(r4,r5)","r1=R20;r2=R14;c1=int:1;r3=R15;r4=R8;r5=R16","benchmark_awfy_bounce_opt",1397
56,35800,1,1,4,over_3_symbols,"DSUB_REG_DECIMAL_REG(r1,c1,r1) | DTOI_REG(r1) | DCOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R20;c1=decimal@23440;r2=R17;c2=label@1158","benchmark_awfy_bounce_opt",1147
57,35800,1,1,3,candidate,"ENDLIFE_REG(r1) | DSUB_REG_DECIMAL_REG(r2,c1,r2) | DTOI_REG(r2) | DCOPY_REG_REG(r1,r2)","r1=R17;r2=R20;c1=decimal@23440","benchmark_awfy_bounce_opt",1145
58,35800,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R19;r2=R17;r3=R14;c1=int:1;r4=R20;r5=R16","benchmark_awfy_bounce_opt",1164
59,35800,1,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ILT_REG_REG_INT(r4,r2,c2) | UNLINK_REG(r2)","r1=R14;c1=int:1;r2=R20;r3=R16;r4=R19;c2=int:0","benchmark_awfy_bounce_opt",1169
60,35800,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ILT_REG_REG_INT(r1,r3,c2)","r1=R19;r2=R14;c1=int:1;r3=R20;r4=R16;c2=int:0","benchmark_awfy_bounce_opt",1167
61,35500,1,1,4,over_3_symbols,"DSUB_REG_DECIMAL_REG(r1,c1,r2) | DTOI_REG(r1) | DCOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R18;c1=decimal@23440;r2=R17;c2=label@1315","benchmark_awfy_bounce_opt",1304
62,35500,1,1,3,candidate,"ENDLIFE_REG(r1) | DSUB_REG_DECIMAL_REG(r1,c1,r2) | DTOI_REG(r1) | DCOPY_REG_REG(r2,r1)","r1=R18;c1=decimal@23440;r2=R17","benchmark_awfy_bounce_opt",1302
63,35500,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ILT_REG_REG_INT(r4,r2,c3) | UNLINK_REG(r2)","r1=R14;c1=int:1;r2=R20;r3=R16;c2=int:3;r4=R19;c3=int:0","benchmark_awfy_bounce_opt",1326
64,35500,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | ILT_REG_REG_INT(r4,r1,c3)","r1=R20;r2=R14;c1=int:1;r3=R16;c2=int:3;r4=R19;c3=int:0","benchmark_awfy_bounce_opt",1324
65,35400,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_INT(r4,r2,c3) | UNLINK_REG(r2)","r1=R14;c1=int:1;r2=R20;r3=R16;c2=int:3;r4=R19;c3=int:500","benchmark_awfy_bounce_opt",1242
66,35400,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2) | IGT_REG_REG_INT(r4,r1,c3)","r1=R20;r2=R14;c1=int:1;r3=R16;c2=int:3;r4=R19;c3=int:500","benchmark_awfy_bounce_opt",1240
67,30000,3,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1)","r1=R4;r2=R9;r3=R11;r4=R0;r5=R7;c1=int:1","benchmark_awfy_bounce_opt",317
68,30000,3,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1) | ICOPY_REG_REG(r4,r1)","r1=R8;r2=R4;r3=R11;c1=int:1;r4=R10","benchmark_awfy_bounce_opt",347
69,30000,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | COPY_REG_REG(r4,r5)","r1=R4;r2=R2;c1=int:1;r3=R9;r4=R11;r5=R0","benchmark_awfy_bounce_opt",313
70,30000,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","r1=R8;r2=R11;c1=int:1;r3=R4","benchmark_awfy_bounce_opt",343
71,30000,3,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R8;r2=R11;c1=int:1;r3=R10","benchmark_awfy_bounce_opt",350
72,20000,2,1,6,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_INT(r1,r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3) | ICOPY_REG_REG(r2,r1)","r1=R8;c1=int:300;c2=int:150;r2=R9;r3=R2;c3=int:2","benchmark_awfy_bounce_opt",429
73,20000,2,1,5,over_3_symbols,"ISUB_REG_REG_INT(r1,r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R8;c1=int:150;r2=R9;r3=R2;c2=int:2","benchmark_awfy_bounce_opt",433
74,20000,2,1,7,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IMULT_REG_REG_INT(r5,r4,c2)","r1=R9;r2=R13;r3=R0;r4=R7;c1=int:1;r5=R4;c2=int:1309","benchmark_awfy_bounce_opt",380
75,10101,3,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_bounce_opt",0
76,10101,3,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_bounce_opt",2
77,10000,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | MKREF_REG_REG(r5,r6)","c1=label@985;r1=R7;r2=R0;r3=R6;c2=int:0;r4=R8;r5=R10;r6=R2","benchmark_awfy_bounce_opt",953
78,10000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r4,r2)","r1=R7;r2=R9;r3=R6;c1=int:1;r4=R5","benchmark_awfy_bounce_opt",287
79,10000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R7;r2=R6;c1=int:1;r3=R9","benchmark_awfy_bounce_opt",283
80,10000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET_REG(r2)","r1=R9;r2=R2;c1=int:4;r3=R8","benchmark_awfy_bounce_opt",501
81,10000,1,1,8,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | MKREF_REG_REG(r4,r5) | LOAD_REG_INT(r6,c1) | SETTP_REG_INT(r4,c2)","r1=R8;r2=R0;r3=R6;r4=R10;r5=R2;r6=R9;c1=int:1;c2=int:768","benchmark_awfy_bounce_opt",960
82,10000,1,1,7,over_3_symbols,"LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1) | IMULT_REG_REG_INT(r5,r4,c2)","r1=R0;r2=R17;r3=R6;r4=R8;c1=int:1;r5=R9;c2=int:1309","benchmark_awfy_bounce_opt",259
83,10000,1,1,8,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | MKREF_REG_REG(r4,r5) | LOAD_REG_INT(r6,c2)","r1=R0;r2=R6;c1=int:0;r3=R8;r4=R10;r5=R2;r6=R9;c2=int:1","benchmark_awfy_bounce_opt",956
84,10000,1,1,7,over_3_symbols,"MKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | CALL_REG_FUNC_REG(r4,c3,r3)","r1=R10;r2=R2;r3=R9;c1=int:1;c2=int:768;r4=R11;c3=func@11960","benchmark_awfy_bounce_opt",964
85,10000,1,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c4)","r1=R2;c1=int:5;c2=string@464;c3=int:18;c4=int:0","benchmark_awfy_bounce_opt",241
86,10000,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)","c1=int:1;r1=R0;r2=R17","benchmark_awfy_bounce_opt",253
87,10000,1,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | UNLINK_REG(r1)","c1=int:1;r1=R0","benchmark_awfy_bounce_opt",251
88,10000,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","c1=int:1;r1=R0;r2=R17;r3=R6","benchmark_awfy_bounce_opt",255
89,10000,1,1,5,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | SETNUMDGTS_INT(c2) | SETNUMFUZ_INT(c3) | SETNUMFRM_INT(c4)","r1=R2;c1=string@464;c2=int:18;c3=int:0;c4=int:1","benchmark_awfy_bounce_opt",244
90,10000,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IMULT_REG_REG_INT(r1,r4,c2)","r1=R4;r2=R11;r3=R0;r4=R7;c1=int:1;c2=int:1309","benchmark_awfy_bounce_opt",320
91,10000,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r4,r2) | UNLINK_REG(r2)","r1=R7;r2=R9;r3=R6;c1=int:1;r4=R5","benchmark_awfy_bounce_opt",290
