rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4200000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",878
12,1680000,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | STEMGET_REG_REG_REG(r4,r5,r3) | SCOPY_REG_REG(r3,r4)","r1=R75;c1=string@34264;r2=R51;r3=R79;r4=R71;r5=R4","benchmark_rexxcps_levelb_opt",597
13,1680000,1,1,5,candidate,"DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2) | STEMSET_REG_REG_REG(r3,r4,r2)","r1=R79;c1=decimal@40288;r2=R76;r3=R4;r4=R75","benchmark_rexxcps_levelb_opt",614
14,1680000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1)","r1=R71;r2=R25;r3=R72;c1=int:0","benchmark_rexxcps_levelb_opt",553
15,1680000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R72;r2=R25;c1=string@38944;c2=label@590","benchmark_rexxcps_levelb_opt",576
16,1680000,1,1,6,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | DEQ_REG_REG_DECIMAL(r2,r5,c1)","r1=R76;r2=R79;r3=R4;r4=R75;r5=R25;c1=decimal@40720","benchmark_rexxcps_levelb_opt",618
17,1680000,1,1,9,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r4,c2,r5) | STEMGET_REG_REG_REG(r6,r7,r4)","r1=R67;r2=R25;r3=R68;c1=label@644;r4=R72;c2=string@34264;r5=R51;r6=R65;r7=R4","benchmark_rexxcps_levelb_opt",524
18,1680000,1,1,8,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | CONCAT_REG_STRING_REG(r3,c3,r4) | CONCAT_REG_STRING_REG(r5,c3,r4)","r1=R72;r2=R25;c1=decimal@39496;c2=label@638;r3=R75;c3=string@34264;r4=R51;r5=R79","benchmark_rexxcps_levelb_opt",590
19,1680000,1,1,4,candidate,"DTOS_REG(r1) | LOAD_REG_INT(r2,c1) | STRLEN_REG_REG(r2,r1) | BR_ID(c2)","r1=R71;r2=R72;c1=int:0;c2=label@566","benchmark_rexxcps_levelb_opt",556
20,1680000,1,1,7,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | DEQ_REG_REG_DECIMAL(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R76;r2=R4;r3=R75;r4=R79;r5=R25;c1=decimal@40720;c2=label@638","benchmark_rexxcps_levelb_opt",621
21,1680000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r3,r1)","r1=R79;r2=R71;c1=decimal@40288;r3=R76","benchmark_rexxcps_levelb_opt",609
22,1680000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DGT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c1,r1)","r1=R72;r2=R65;r3=R25;c1=label@553","benchmark_rexxcps_levelb_opt",539
23,1680000,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DADD_REG_REG_DECIMAL(r3,r3,c1)","r1=R71;r2=R4;r3=R79;c1=decimal@40288","benchmark_rexxcps_levelb_opt",605
24,1680000,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DGT_REG_REG_REG(r3,r4,r3)","r1=R65;r2=R4;r3=R72;r4=R25","benchmark_rexxcps_levelb_opt",535
25,1680000,1,1,3,candidate,"STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R79;c1=decimal@40288;r2=R76","benchmark_rexxcps_levelb_opt",612
26,1620000,2,1,7,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c2) | STEMGET_REG_REG_REG(r4,r5,r3)","c1=label@733;r1=R79;r2=R75;c2=string@44112;r3=R72;r4=R67;r5=R8","benchmark_rexxcps_levelb_opt",700
27,1620000,2,1,5,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | BR_ID(c1)","r1=R76;r2=R72;r3=R8;r4=R75;c1=label@743","benchmark_rexxcps_levelb_opt",722
28,1620000,2,1,5,candidate,"DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2) | STEMSET_REG_REG_REG(r3,r4,r2)","r1=R72;c1=decimal@35632;r2=R76;r3=R8;r4=R75","benchmark_rexxcps_levelb_opt",718
29,1620000,2,1,5,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c1) | STEMGET_REG_REG_REG(r3,r4,r2) | SCOPY_REG_REG(r2,r3)","r1=R75;c1=string@44112;r2=R72;r3=R67;r4=R8","benchmark_rexxcps_levelb_opt",703
30,1620000,2,1,4,candidate,"LOAD_REG_STRING(r1,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R72;c1=string@44112;r2=R67;r3=R8","benchmark_rexxcps_levelb_opt",706
31,1620000,2,1,7,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_STRING(r3,c3) | LOAD_REG_STRING(r4,c3)","r1=R79;r2=R41;c1=string@1272;c2=label@733;r3=R75;c3=string@44112;r4=R72","benchmark_rexxcps_levelb_opt",696
32,1620000,2,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r3,r1)","r1=R72;r2=R67;c1=decimal@35632;r3=R76","benchmark_rexxcps_levelb_opt",713
33,1620000,2,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DMULT_REG_REG_DECIMAL(r3,r3,c1)","r1=R67;r2=R8;r3=R72;c1=decimal@35632","benchmark_rexxcps_levelb_opt",709
34,1620000,2,1,3,candidate,"STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R72;c1=decimal@35632;r2=R76","benchmark_rexxcps_levelb_opt",716
35,840000,1,1,6,candidate,"APPEND_REG_REG(r1,r2) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3)","r1=R21;r2=R27;c1=string@80664;r3=R19;r4=R28;r5=R15","benchmark_rexxcps_levelb_opt",1254
36,840000,1,1,10,candidate,"BCF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | CONCAT_REG_REG_STRING(r6,r7,c2) | APPEND_REG_REG(r6,r8)","c1=label@1284;r1=R20;r2=R12;r3=R13;r4=R14;r5=R15;r6=R21;r7=R26;c2=string@80664;r8=R27","benchmark_rexxcps_levelb_opt",1242
37,840000,1,1,14,candidate,"BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG_REG(r6,r7,r8,r9) | NULLN_REG_REG_REG_REG(r10,r11,r12,r13)","c1=label@439;r1=R64;r2=R13;r3=R11;r4=R10;r5=R9;r6=R7;r7=R6;r8=R5;r9=R3;r10=R2;r11=R0;r12=R42;r13=R43","benchmark_rexxcps_levelb_opt",458
38,840000,1,1,8,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4) | SCOPY_REG_REG(r8,r5)","r1=R19;r2=R21;r3=R28;r4=R15;r5=R12;r6=R13;r7=R14;r8=R16","benchmark_rexxcps_levelb_opt",1261
39,840000,1,1,8,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r2,r1,r3) | SCOPY_REG_REG(r4,r2) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R21;c1=string@80664;r2=R19;r3=R28;r4=R15;r5=R12;r6=R13;r7=R14","benchmark_rexxcps_levelb_opt",1257
40,840000,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | APPEND_REG_REG(r1,r3) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r4,r1,r5)","r1=R21;r2=R26;c1=string@80664;r3=R27;r4=R19;r5=R28","benchmark_rexxcps_levelb_opt",1250
41,840000,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | LOAD_REG_STRING(r3,c2) | STEMSET_REG_REG_REG(r4,r1,r3) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R67;c1=string@34264;r2=R51;r3=R68;c2=string@34392;r4=R4","benchmark_rexxcps_levelb_opt",487
42,840000,1,1,7,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | REQ_REG_REG_REG(r1,r5,r3) | BRF_ID_REG(c2,r1)","r1=R68;c1=string@34264;r2=R51;r3=R65;r4=R4;r5=R41;c2=label@515","benchmark_rexxcps_levelb_opt",498
43,840000,1,1,7,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMRESET_REG_REG(r3,r1) | REQ_REG_REG_STRING(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R82;c1=string@41528;r2=R51;r3=R8;r4=R41;c2=string@37520;c3=label@662","benchmark_rexxcps_levelb_opt",644
44,840000,1,1,12,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7) | NULLN_REG_REG_REG_REG(r8,r9,r10,r11)","r1=R64;r2=R51;r3=R63;c1=label@439;r4=R13;r5=R11;r6=R10;r7=R9;r8=R7;r9=R6;r10=R5;r11=R3","benchmark_rexxcps_levelb_opt",454
45,840000,1,1,6,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | LOAD_REG_STRING(r3,c2) | STEMSET_REG_REG_REG(r4,r2,r3)","r1=R51;r2=R67;c1=string@34264;r3=R68;c2=string@34392;r4=R4","benchmark_rexxcps_levelb_opt",485
46,840000,1,1,9,candidate,"LOAD_REG_DECIMAL(r1,c1) | DGT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | CONCAT_REG_STRING_REG(r5,c3,r6)","r1=R66;c1=decimal@35632;r2=R67;r3=R25;r4=R68;c2=label@644;r5=R72;c3=string@34264;r6=R51","benchmark_rexxcps_levelb_opt",521
47,840000,1,1,7,candidate,"LOAD_REG_DECIMAL(r1,c1) | LOAD_REG_DECIMAL(r2,c2) | DGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R68;c1=decimal@35944;r2=R66;c2=decimal@35632;r3=R67;r4=R25;c3=label@644","benchmark_rexxcps_levelb_opt",518
48,840000,1,1,6,candidate,"LOAD_REG_DECIMAL(r1,c1) | LOAD_REG_DECIMAL(r2,c2) | LOAD_REG_DECIMAL(r3,c1) | DGT_REG_REG_REG(r4,r1,r2)","r1=R25;c1=decimal@35632;r2=R68;c2=decimal@35944;r3=R66;r4=R67","benchmark_rexxcps_levelb_opt",515
49,840000,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | BCF_ID_REG(c2,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | CONCAT_REG_REG_STRING(r6,r7,c3)","r1=R20;c1=int:1;c2=label@1284;r2=R12;r3=R13;r4=R14;r5=R15;r6=R21;r7=R26;c3=string@80664","benchmark_rexxcps_levelb_opt",1239
50,840000,1,1,8,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3) | LOAD_REG_STRING(r4,c4)","r1=R90;c1=string@50512;r2=R91;c2=string@17520;r3=R92;c3=string@50712;r4=R93;c4=string@50832","benchmark_rexxcps_levelb_opt",841
51,840000,1,1,8,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R91;c1=string@17520;r2=R92;c2=string@50712;r3=R93;c3=string@50832;r4=R90;c4=int:768","benchmark_rexxcps_levelb_opt",844
52,840000,1,1,7,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | SETTP_REG_INT(r3,c3) | SETTP_REG_INT(r4,c3)","r1=R92;c1=string@50712;r2=R93;c2=string@50832;r3=R90;c3=int:768;r4=R91","benchmark_rexxcps_levelb_opt",847
53,840000,1,1,7,candidate,"LOAD_REG_STRING(r1,c1) | PARSEPOS2_REG_REG_REG_INT(r2,r3,r1,c2) | SCOPY_REG_REG(r4,r2) | SCOPY_REG_REG(r5,r3)","r1=R46;c1=string@48784;r2=R13;r3=R6;c2=int:5;r4=R61;r5=R62","benchmark_rexxcps_levelb_opt",827
54,840000,1,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2) | SETTP_REG_INT(r4,c2)","r1=R93;c1=string@50832;r2=R90;c2=int:768;r3=R91;r4=R92","benchmark_rexxcps_levelb_opt",850
55,840000,1,1,7,candidate,"LOAD_REG_STRING(r1,c1) | STEMSET_REG_REG_REG(r2,r3,r1) | CONCAT_REG_STRING_REG(r1,c2,r4) | STEMGET_REG_REG_REG(r5,r2,r1)","r1=R68;c1=string@34392;r2=R4;r3=R67;c2=string@34264;r4=R51;r5=R65","benchmark_rexxcps_levelb_opt",491
56,840000,1,1,8,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | ITOS_REG(r4) | CONCAT_REG_STRING_REG(r5,c1,r4) | LOAD_REG_STRING(r6,c2)","r1=R48;r2=R49;r3=R50;r4=R51;r5=R67;c1=string@34264;r6=R68;c2=string@34392","benchmark_rexxcps_levelb_opt",481
57,840000,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | CONCAT_REG_REG_STRING(r5,r6,c1) | APPEND_REG_REG(r5,r7) | CONCAT_REG_REG_STRING(r5,r5,c1)","r1=R12;r2=R13;r3=R14;r4=R15;r5=R21;r6=R26;c1=string@80664;r7=R27","benchmark_rexxcps_levelb_opt",1245
58,840000,1,1,10,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7) | ITOS_REG(r8) | CONCAT_REG_STRING_REG(r9,c1,r8)","r1=R44;r2=R45;r3=R46;r4=R47;r5=R48;r6=R49;r7=R50;r8=R51;r9=R67;c1=string@34264","benchmark_rexxcps_levelb_opt",476
59,840000,1,1,12,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8) | NULLN_REG_REG_REG(r9,r10,r11) | ITOS_REG(r12)","r1=R2;r2=R0;r3=R42;r4=R43;r5=R44;r6=R45;r7=R46;r8=R47;r9=R48;r10=R49;r11=R50;r12=R51","benchmark_rexxcps_levelb_opt",471
60,840000,1,1,15,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8) | NULLN_REG_REG_REG_REG(r9,r10,r11,r12) | NULLN_REG_REG_REG(r13,r14,r15)","r1=R7;r2=R6;r3=R5;r4=R3;r5=R2;r6=R0;r7=R42;r8=R43;r9=R44;r10=R45;r11=R46;r12=R47;r13=R48;r14=R49;r15=R50","benchmark_rexxcps_levelb_opt",466
61,840000,1,1,16,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8) | NULLN_REG_REG_REG_REG(r9,r10,r11,r12) | NULLN_REG_REG_REG_REG(r13,r14,r15,r16)","r1=R13;r2=R11;r3=R10;r4=R9;r5=R7;r6=R6;r7=R5;r8=R3;r9=R2;r10=R0;r11=R42;r12=R43;r13=R44;r14=R45;r15=R46;r16=R47","benchmark_rexxcps_levelb_opt",461
62,840000,1,1,6,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r4,r5) | PARSEWORDS3D_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r6,r1)","r1=R0;r2=R1;r3=R2;r4=R3;r5=R28;r6=R8","benchmark_rexxcps_levelb_opt",1217
63,840000,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r4,r5) | PARSEWORDS3D_REG_REG_REG_REG(r1,r2,r3,r4)","c1=int:9;c2=int:1;c3=int:2;r1=R0;r2=R1;r3=R2;r4=R3;r5=R28","benchmark_rexxcps_levelb_opt",1213
64,840000,1,1,8,candidate,"PARSEPOS2_REG_REG_REG_INT(r1,r2,r3,c1) | SCOPY_REG_REG(r4,r1) | SCOPY_REG_REG(r5,r2) | LOAD_REG_STRING(r6,c2)","r1=R13;r2=R6;r3=R46;c1=int:5;r4=R61;r5=R62;r6=R90;c2=string@50512","benchmark_rexxcps_levelb_opt",830
65,840000,1,1,7,candidate,"PARSEWORDS3D_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R0;r2=R1;r3=R2;r4=R3;r5=R8;r6=R9;r7=R10","benchmark_rexxcps_levelb_opt",1225
66,840000,1,1,9,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | BCF_ID_REG(c2,r3) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7)","r1=R10;r2=R2;r3=R20;c1=int:1;c2=label@1284;r4=R12;r5=R13;r6=R14;r7=R15","benchmark_rexxcps_levelb_opt",1236
67,840000,1,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_STRING(r4,c2) | LOAD_REG_STRING(r5,c3)","r1=R62;r2=R6;r3=R90;c1=string@50512;r4=R91;c2=string@17520;r5=R92;c3=string@50712","benchmark_rexxcps_levelb_opt",838
68,840000,1,1,7,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3D_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3) | SCOPY_REG_REG(r7,r4)","r1=R3;r2=R28;r3=R0;r4=R1;r5=R2;r6=R8;r7=R9","benchmark_rexxcps_levelb_opt",1222
69,840000,1,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | BCF_ID_REG(c2,r5)","r1=R9;r2=R1;r3=R10;r4=R2;r5=R20;c1=int:1;c2=label@1284","benchmark_rexxcps_levelb_opt",1233
70,840000,1,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | LOAD_REG_STRING(r6,c2)","r1=R61;r2=R13;r3=R62;r4=R6;r5=R90;c1=string@50512;r6=R91;c2=string@17520","benchmark_rexxcps_levelb_opt",835
71,840000,1,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | BCTP_ID_REG(c1,r7)","r1=R55;r2=R7;r3=R40;r4=R0;r5=R59;r6=R45;c1=label@454;r7=R51","benchmark_rexxcps_levelb_opt",943
72,840000,1,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | BR_ID(c1)","r1=R16;r2=R12;r3=R17;r4=R13;r5=R18;r6=R14;c1=label@1242","benchmark_rexxcps_levelb_opt",1273
73,840000,1,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_INT(r7,c1)","r1=R8;r2=R0;r3=R9;r4=R1;r5=R10;r6=R2;r7=R20;c1=int:1","benchmark_rexxcps_levelb_opt",1230
74,840000,1,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r4,c2,r5,r1,r2,r3)","r1=R91;c1=int:768;r2=R92;r3=R93;r4=R87;c2=func@50968;r5=R90","benchmark_rexxcps_levelb_opt",856
75,840000,1,1,5,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R90;c1=int:768;r2=R91;r3=R92;r4=R93","benchmark_rexxcps_levelb_opt",853
76,840000,1,1,7,candidate,"STEMSET_REG_REG_REG(r1,r2,r3) | CONCAT_REG_STRING_REG(r3,c1,r4) | STEMGET_REG_REG_REG(r5,r1,r3) | REQ_REG_REG_REG(r3,r6,r5)","r1=R4;r2=R67;r3=R68;c1=string@34264;r4=R51;r5=R65;r6=R41","benchmark_rexxcps_levelb_opt",494
77,60004,4,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R32;c1=int:1;r2=R30;c2=int:100;r3=R29;c3=label@323","benchmark_rexxcps_levelb_opt",269
78,60001,2,2,8,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3) | LOAD_REG_INT(r4,c4)","r1=R41;c1=string@1272;r2=R40;c2=string@384;r3=R51;c3=int:1;r4=R63;c4=int:14","benchmark_rexxcps_levelb_opt",442
79,60000,1,1,8,candidate,"BCF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3) | LOAD_REG_INT(r4,c4)","c1=label@957;r1=R36;r2=R41;c2=string@1272;r3=R40;c3=string@384;r4=R51;c4=int:1","benchmark_rexxcps_levelb_opt",439
80,60000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r2,c3) | SEQ_REG_REG_STRING(r3,r2,c4)","c1=label@743;r1=R76;r2=R41;c2=string@1272;c3=string@17168;r3=R82;c4=string@45616","benchmark_rexxcps_levelb_opt",737
81,60000,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7)","r1=R63;c1=int:14;r2=R64;r3=R51;c2=label@439;r4=R13;r5=R11;r6=R10;r7=R9","benchmark_rexxcps_levelb_opt",451
82,60000,1,1,7,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | IGT_REG_REG_REG(r4,r2,r3)","r1=R40;c1=string@384;r2=R51;c2=int:1;r3=R63;c3=int:14;r4=R64","benchmark_rexxcps_levelb_opt",445
