rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
241,98,1,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r3,r4) | IGTE_REG_REG_REG(r2,r3,r5) | BRF_ID_REG(c1,r2)","r1=R7;r2=R47;r3=R19;r4=R35;r5=R40;c1=label@445","parseExec",428
242,98,1,1,9,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | MINATTRS_REG_REG_INT(r7,r8,c1)","r1=R80;r2=R29;r3=R79;r4=R27;r5=R39;r6=R8;r7=R22;r8=R55;c1=int:0","parseExec",3084
243,98,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R81;r2=R82;r3=R38;c1=int:2;c2=label@3163","parseExec",3114
244,98,7,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | CALL_REG_FUNC_REG(r4,c3,r5)","r1=R71;c1=int:768;r2=R72;r3=R73;c2=int:256;r4=R74;c3=func@44960;r5=R69","benchmark_rexxcps_levelb_noopt",1246
245,98,1,1,8,over_3_symbols,"STRLEN_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_STRING(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R27;r2=R29;r3=R8;c1=int:1;r4=R18;c2=string@31136;r5=R4;c3=int:0","parseExec",119
246,98,7,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | MINATTRS_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r3,c1) | SCOPY_REG_REG(r5,r4)","r1=R75;r2=R70;r3=R74;c1=int:1;r4=R73;r5=R40","benchmark_rexxcps_levelb_noopt",1259
247,98,7,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1) | SETTP_REG_INT(r5,c2)","r1=R70;r2=R75;r3=R71;c1=int:768;r4=R72;r5=R73;c2=int:256","benchmark_rexxcps_levelb_noopt",1243
248,98,1,1,5,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4)","r1=R83;r2=R23;r3=R21;c1=int:0;r4=R7","parseExec",3397
249,98,1,1,5,over_3_symbols,"UNLINK_REG(r1) | MINATTRS_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1)","r1=R82;r2=R23;r3=R55;c1=int:0;r4=R81","parseExec",3104
250,84,4,1,7,over_3_symbols,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r1,r3) | LOAD_REG_INT(r5,c2)","r1=R48;r2=R29;c1=string@26552;r3=R30;r4=R46;r5=R53;c2=int:1234","benchmark_rexxcps_levelb_noopt",439
251,84,3,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R16;r2=R8;r3=R9","stem",561
