rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
342,28,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1)","r1=R105;c1=string@31136;r2=R106","parseExec",5539
343,28,2,1,3,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1)","r1=R41;r2=R29;c1=string@26040","benchmark_rexxcps_levelb_noopt",434
344,28,2,1,4,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R6;c1=string@36144;r2=R8;c2=int:0","_address",7981
345,28,1,1,2,candidate,"STOD_REG(r1) | DGT_REG_REG_REG(r1,r2,r1)","r1=R48;r2=R52","benchmark_rexxcps_levelb_noopt",590
346,28,1,1,3,candidate,"STOD_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R63;r2=R62;c1=int:1","benchmark_rexxcps_levelb_noopt",761
347,28,1,1,2,candidate,"STRLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;r2=R1","length",25
348,28,2,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | BEQ_ID_REG_INT(c1,r3,c2)","r1=R2;r2=R22;c1=label@9084;r3=R10;c2=int:0","_address",9075
349,27,1,1,3,candidate,"BRF_ID_REG(c1,r1) | RET_INT(c2)","c1=label@15818;r1=R22;c2=int:0","_address",15813
350,27,2,1,3,candidate,"DMULT_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1)","r1=R69;r2=R68;r3=R59","benchmark_rexxcps_levelb_noopt",1002
351,27,2,1,2,candidate,"FTOD_REG(r1) | DMULT_REG_REG_REG(r2,r2,r1)","r1=R68;r2=R69","benchmark_rexxcps_levelb_noopt",1000
352,27,2,1,2,candidate,"LOAD_REG_FLOAT(r1,c1) | FTOD_REG(r1)","r1=R68;c1=float@28760","benchmark_rexxcps_levelb_noopt",997
353,27,2,1,3,candidate,"STOD_REG(r1) | LOAD_REG_FLOAT(r2,c1)","r1=R69;r2=R68;c1=float@28760","benchmark_rexxcps_levelb_noopt",995
354,27,2,1,3,candidate,"SWAP_REG_REG(r1,r2) | BR_ID(c1)","r1=R2;r2=R57;c1=label@1045","benchmark_rexxcps_levelb_noopt",1030
