opcode	class	family	components	component_count	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	rxvm_count	rxvm_saved_dispatches	rxvm_component_handler_avg_ns	rxvm_macro_handler_avg_ns	rxvm_handler_delta_percent	rxvm_component_full_avg_ns	rxvm_macro_full_avg_ns	rxvm_full_delta_percent	rxvm_full_delta_share_ppm	rxvm_macro_time_share_percent	rxvm_profile_signal	rxvm_observation_band	rxbvm_count	rxbvm_saved_dispatches	rxbvm_component_handler_avg_ns	rxbvm_macro_handler_avg_ns	rxbvm_handler_delta_percent	rxbvm_component_full_avg_ns	rxbvm_macro_full_avg_ns	rxbvm_full_delta_percent	rxbvm_full_delta_share_ppm	rxbvm_macro_time_share_percent	rxbvm_profile_signal	rxbvm_observation_band	coherence_review	implementation_review	decision	review_notes	temporary_register_policy
ISETUNLINKN_REG_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	3	sequential	store-and-cleanup	exact-effects	normal	rxc-combiner	field-copy-and-two-restores	0	0	37.519718	0.000000	-100.000000	69.033875	10.668843	-84.545496	0.000000	0.000000	inactive	zero	0	0	37.374236	0.000000	-100.000000	69.643523	10.914233	-84.328431	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
UNLINKBR_REG_ID	2	unlink-cleanup	UNLINK_REG;BR_ID	2	branch_same_frame	cleanup-and-branch	exact-effects	normal	rxc-combiner	restore-and-direct-branch	18200	18200	24.491255	13.067308	-46.645007	45.556416	23.757099	-47.851254	-325.506485	0.019512	indicated-saving	1000+	18200	18200	24.496411	13.068297	-46.652198	46.065732	24.013171	-47.871942	-328.337938	0.019457	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ILOADSETUNLINKN_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	4	sequential	constant-store-and-cleanup	compiler-temp-elided	normal	rxc-direct	set-int-through-alias-and-two-restores	0	0	50.351184	0.000000	-100.000000	92.370060	10.668843	-88.449891	0.000000	0.000000	inactive	zero	0	0	49.596723	0.000000	-100.000000	92.622438	10.914233	-88.216427	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Compact form removes the compiler-only loaded register.	compiler-temporary-elided
SETLINKATTR1_REG_REG_INT_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_INT	2	sequential	capacity-and-link	exact-effects	normal	rxc-direct	set-capacity-validate-and-link	0	0	27.636881	0.000000	-100.000000	48.646319	10.668843	-78.068551	0.000000	0.000000	inactive	zero	0	0	26.608156	0.000000	-100.000000	48.121014	10.914233	-77.319196	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETLINKATTR1_REG_REG_INT_REG	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG	2	sequential	capacity-and-link	exact-effects	normal	rxc-direct-or-combiner	set-capacity-validate-and-link	19415	19415	28.000066	13.973989	-50.093014	49.009504	24.642832	-49.718259	-388.131605	0.022259	indicated-saving	1000+	19415	19415	26.950769	13.646459	-49.365233	48.463627	24.560692	-49.321391	-379.646395	0.021674	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETLINKATTR1_REG_REG_INT_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	3	sequential	capacity-index-and-link	compiler-temp-elided	normal	rxc-direct-or-combiner	set-capacity-checked-add-and-link	0	0	40.937745	0.000000	-100.000000	72.451902	10.668843	-85.274586	0.000000	0.000000	inactive	zero	0	0	39.193039	0.000000	-100.000000	71.462326	10.914233	-84.727292	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.	compiler-temporary-elided
MINLINKATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT	2	sequential	ensure-capacity-and-link	exact-effects	normal	rxc-direct-or-combiner	conditional-capacity-and-link	28002	28002	28.152866	17.100886	-39.257034	49.162304	27.769728	-43.514184	-491.470562	0.039287	indicated-saving	1000+	28002	28002	28.047150	15.410364	-45.055511	49.560008	26.324596	-46.883390	-532.267663	0.035301	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
MINLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_REG_INT;LINKATTR1_REG_REG_REG	2	sequential	ensure-capacity-index-and-link	exact-effects	normal	rxc-direct-or-combiner	checked-add-conditional-capacity-and-link	195365	195365	29.079028	17.956492	-38.249340	50.088466	28.625334	-42.850447	-3440.212225	0.287815	indicated-saving	1000+	195365	195365	29.332996	17.219922	-41.295046	50.845854	28.134154	-44.667751	-3629.836347	0.275213	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ITOF_REG_REG	2	typed-conversion-copy	ICOPY_REG_REG;ITOF_REG	2	sequential	copy-and-convert	exact-effects	normal	rxc-combiner	inline-int-and-float-writes	1	1	32.403725	125.000000	285.758121	53.413163	135.668843	153.998894	0.067486	0.000010	possible-slowdown	1-99	1	1	29.661788	250.000000	742.835221	51.174646	260.914233	409.850584	0.171582	0.000020	possible-slowdown	1-99	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
STOI_REG_REG	2	typed-conversion-copy	STOI_REG;ICOPY_REG_REG	2	sequential	convert-and-copy	compiler-temp-elided	normal	rxc-combiner	direct-string-to-destination-int	0	0	42.465969	0.000000	-100.000000	63.475407	10.668843	-83.192164	0.000000	0.000000	inactive	zero	0	0	47.213822	0.000000	-100.000000	68.726680	10.914233	-84.119366	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Does not retain the source register integer-field side effect.	compiler-temporary-elided
FDIVSUB_REG_REG_REG_FLOAT	2	arithmetic	FDIV_REG_REG_REG;FSUB_REG_REG_FLOAT	2	sequential	producer-consumer	exact-effects	coherence-review	rxc-combiner	two-inline-float-operations	0	0	166.000000	0.000000	-100.000000	187.009438	10.668843	-94.295025	0.000000	0.000000	inactive	zero	0	0	334.000000	0.000000	-100.000000	355.512858	10.914233	-96.930003	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Retains the intermediate quotient register.	temporary-register-passed
FMULTICOPY_REG_FLOAT_REG_REG	2	arithmetic	FMULT_REG_REG_FLOAT;ICOPY_REG_REG	2	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	inline-float-multiply-and-int-copy	0	0	12.655595	0.000000	-100.000000	33.665033	10.668843	-68.308831	0.000000	0.000000	inactive	zero	0	0	12.427374	0.000000	-100.000000	33.940232	10.914233	-67.842787	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Couples independent register effects.	no-compiler-temporary-output
FSUBILOAD_REG_REG_FLOAT_REG_INT	2	arithmetic	FSUB_REG_REG_FLOAT;LOAD_REG_INT	2	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	inline-float-subtract-and-set-int	0	0	12.831466	0.000000	-100.000000	33.840904	10.668843	-68.473529	0.000000	0.000000	inactive	zero	0	0	12.222487	0.000000	-100.000000	33.735345	10.914233	-67.647484	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Couples independent register effects.	no-compiler-temporary-output
ITOSCONCAT_REG_STRING_REG	2	string-conversion-concat	ITOS_REG;CONCAT_REG_STRING_REG	2	sequential	producer-consumer	exact-effects	clear-advantage-required	rxc-combiner	conversion-and-concat-helpers	12600	12600	78.750259	70.254127	-10.788704	99.759697	80.922970	-18.882102	-194.724855	0.072625	indicated-saving	1000+	12600	12600	77.745817	71.011587	-8.661855	99.258675	81.925820	-17.462307	-178.661636	0.073197	indicated-saving	1000+	pending	pending-hot-path-audit	undecided	Retains the converted source register as an explicit output.	temporary-register-passed
SCONCATITOS_REG_STRING_REG	2	string-conversion-concat	SCONCAT_REG_REG_STRING;ITOS_REG	2	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	sconcat-and-conversion-helpers	5	5	201.412462	449.800000	123.322825	222.421900	460.468843	107.024957	0.976513	0.000185	possible-slowdown	1-99	5	5	1075.704823	299.600000	-72.148493	1097.217681	310.514233	-71.699852	-3.217894	0.000123	indicated-saving	1-99	pending	pending-hot-path-audit	undecided	Couples independent register effects.	no-compiler-temporary-output
ILOADGETATTRS_REG_INT_REG_REG_INT	2	load-get-attributes	LOAD_REG_INT;GETATTRS_REG_REG_INT	2	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	two-set-int-calls	0	0	26.291509	0.000000	-100.000000	47.300947	10.668843	-77.444759	0.000000	0.000000	inactive	zero	0	0	25.501469	0.000000	-100.000000	47.014327	10.914233	-76.785305	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Couples independent register effects.	no-compiler-temporary-output
IGETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	3	sequential	direct-attribute-read	compiler-temp-elided	normal	rxc-direct	direct-validated-field-read	0	0	38.013511	0.000000	-100.000000	69.527668	10.668843	-84.655256	0.000000	0.000000	inactive	zero	0	0	37.867607	0.000000	-100.000000	70.136894	10.914233	-84.438671	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.	compiler-temporary-elided
