vm,opcode,class,family,components,component_count,terminal_transition,coherence_shape,side_effect_policy,review_bar,producer,handler_shape,candidate_count,saved_dispatches,baseline_macro_count,baseline_macro_average_ns,candidate_macro_total_ns,candidate_macro_average_ns,baseline_component_average_ns,estimated_baseline_handler_total_ns,handler_delta_ns,handler_delta_percent,baseline_terminal_transition_average_ns,candidate_terminal_transition_average_ns,estimated_baseline_full_average_ns,candidate_full_average_ns,estimated_baseline_full_total_ns,candidate_full_total_ns,full_delta_ns,full_delta_percent,candidate_profile_total_ns,full_delta_share_ppm,candidate_macro_time_share_percent,component_averages_below_timer_min,candidate_macro_below_timer_min,profile_signal,observation_band,calculation_status,missing_components,timer_read_min_ns,baseline_instruction_count,candidate_instruction_count,temporary_register_policy
rxvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,1,call-window-preparation,SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG,4,sequential,call-setup,exact-effects,normal,rxas-backstop,inline-status-and-swaps,1407,4221,0,0.000000,25838,18.363895,74.855178,105321.236,-79483.236,-75.467436,10.504719,10.668843,116.874054,29.032737,164441.794,40849.062,-123592.732,-75.158954,1218862209,-101.400086,0.002120,4,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,NULLN_REG_REG,1,multi-null,NULL_REG;NULL_REG,2,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-value-zero,116308,116308,0,0.000000,1591334,13.682068,25.485321,2964146.702,-1372812.702,-46.313926,10.504719,10.668843,46.494759,24.350911,5407712.393,2832205.744,-2575506.649,-47.626546,1218862209,-2113.041680,0.130559,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,NULLN_REG_REG_REG,1,multi-null,NULL_REG;NULL_REG;NULL_REG,3,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-value-zero,31450,62900,0,0.000000,458142,14.567313,38.227981,1202270.013,-744128.013,-61.893585,10.504719,10.668843,69.742138,25.236156,2193390.241,793677.100,-1399713.142,-63.815053,1218862209,-1148.376848,0.037588,3,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,NULLN_REG_REG_REG_REG,1,multi-null,NULL_REG;NULL_REG;NULL_REG;NULL_REG,4,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-value-zero,239426,718278,0,0.000000,3696020,15.437004,50.970642,12203696.877,-8507676.877,-69.713931,10.504719,10.668843,92.989517,26.105846,22264108.187,6250418.306,-16013689.880,-71.926033,1218862209,-13138.228228,0.303235,4,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ILOADCOPY_REG_REG_INT,1,constant-load-direct-destination,LOAD_REG_INT;ICOPY_REG_REG,2,sequential,producer-consumer,exact-effects,coherence-review,rxas-backstop,set-int-and-field-copy,0,0,0,0.000000,0,0.000000,25.487061,0.000,0.000,-100.000000,10.504719,10.668843,46.496499,10.668843,0.000,0.000,0.000,-77.054525,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,temporary-register-passed
rxvm,ILOADN_REG_INT_REG_INT,1,constant-load-direct-destination,LOAD_REG_INT;LOAD_REG_INT,2,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,two-set-int-calls,0,0,0,0.000000,0,0.000000,25.662932,0.000,0.000,-100.000000,10.504719,10.668843,46.672370,10.668843,0.000,0.000,0.000,-77.140988,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ILOADN_REG_REG_INT,1,constant-load-direct-destination,LOAD_REG_INT;LOAD_REG_INT,2,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,two-set-int-calls,0,0,0,0.000000,0,0.000000,25.662932,0.000,0.000,-100.000000,10.504719,10.668843,46.672370,10.668843,0.000,0.000,0.000,-77.140988,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPCALL_REG_FUNC_REG_REG_REG,2,call-window-through-call,SWAP_REG_REG;CALL_REG_FUNC_REG,2,call_enter_frame,call-setup-and-call,exact-effects,normal,rxc-direct,inline-swap-and-call-macro,802,802,0,0.000000,97514,121.588529,221.966825,178017.393,-80503.393,-45.222207,9.967685,10.232040,242.439228,131.820568,194436.261,105720.096,-88716.165,-45.627377,1218862209,-72.786050,0.008000,1,0,exact-cell-required,100-999,unmatched-call-population,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,2,call-window-through-call,SETTP_REG_INT;SWAP_REG_REG;CALL_REG_FUNC_REG,3,call_enter_frame,call-setup-and-call,exact-effects,normal,rxc-direct,inline-status-swap-and-call-macro,10100,20200,0,0.000000,2599266,257.353069,234.763994,2371116.344,228149.656,9.622035,9.967685,10.232040,265.741117,267.585109,2683985.283,2702609.602,18624.319,0.693905,1218862209,15.280085,0.213253,2,0,exact-cell-required,1000+,unmatched-call-population,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETTPCALL_REG_FUNC_REG_REG_INT,2,call-window-through-call,SETTP_REG_INT;CALL_REG_FUNC_REG,2,call_enter_frame,call-setup-and-call,exact-effects,normal,rxc-direct,inline-status-and-call-macro,56968,56968,0,0.000000,14528285,255.025365,210.133575,11970889.509,2557395.491,21.363454,9.967685,10.232040,230.605979,265.257405,13137161.408,15111183.844,1974022.436,15.026248,1218862209,1619.561606,1.191955,1,0,exact-cell-required,1000+,unmatched-call-population,,41,17746147,16220865,no-compiler-temporary-output
rxvm,UNLINKN_REG_REG,2,unlink-cleanup,UNLINK_REG;UNLINK_REG,2,sequential,homogeneous-cleanup,exact-effects,normal,rxc-combiner,inline-alias-restores,44136,44136,0,0.000000,617031,13.980220,24.864123,1097402.924,-480371.924,-43.773523,10.504719,10.668843,45.873561,24.649063,2024675.470,1087911.037,-936764.434,-46.267387,1218862209,-768.556467,0.050624,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ISETUNLINK_REG_REG,2,unlink-cleanup,ICOPY_REG_REG;UNLINK_REG,2,sequential,store-and-cleanup,exact-effects,normal,rxc-direct-or-combiner,inline-field-copy-and-restore,9800,9800,0,0.000000,151792,15.488980,25.087657,245859.034,-94067.034,-38.260556,10.504719,10.668843,46.097094,26.157822,451751.525,256346.657,-195404.867,-43.254944,1218862209,-160.317439,0.012454,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,IGETUNLINK_REG_REG,2,unlink-cleanup,ICOPY_REG_REG;UNLINK_REG,2,sequential,load-and-cleanup,exact-effects,normal,rxc-direct-or-combiner,save-restore-and-field-copy,40331,40331,0,0.000000,547278,13.569661,25.087657,1011810.277,-464532.277,-45.911006,10.504719,10.668843,46.097094,24.238504,1859141.913,977563.091,-881578.822,-47.418587,1218862209,-723.280134,0.044901,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ILOADSETUNLINK_REG_INT,2,unlink-cleanup,LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG,3,sequential,constant-store-and-cleanup,compiler-temp-elided,normal,rxc-direct,set-int-through-alias-and-restore,0,0,0,0.000000,0,0.000000,37.919123,0.000,0.000,-100.000000,10.504719,10.668843,69.433279,10.668843,0.000,0.000,0.000,-84.634396,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,ISETUNLINKN_REG_REG_REG,2,unlink-cleanup,ICOPY_REG_REG;UNLINK_REG;UNLINK_REG,3,sequential,store-and-cleanup,exact-effects,normal,rxc-combiner,field-copy-and-two-restores,0,0,0,0.000000,0,0.000000,37.519718,0.000,0.000,-100.000000,10.504719,10.668843,69.033875,10.668843,0.000,0.000,0.000,-84.545496,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,UNLINKBR_REG_ID,2,unlink-cleanup,UNLINK_REG;BR_ID,2,branch_same_frame,cleanup-and-branch,exact-effects,normal,rxc-combiner,restore-and-direct-branch,18200,18200,0,0.000000,237825,13.067308,24.491255,445740.849,-207915.849,-46.645007,10.560441,10.689792,45.556416,23.757099,829126.764,432379.210,-396747.554,-47.851254,1218862209,-325.506485,0.019512,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ILOADSETUNLINKN_REG_INT_REG,2,unlink-cleanup,LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG,4,sequential,constant-store-and-cleanup,compiler-temp-elided,normal,rxc-direct,set-int-through-alias-and-two-restores,0,0,0,0.000000,0,0.000000,50.351184,0.000,0.000,-100.000000,10.504719,10.668843,92.370060,10.668843,0.000,0.000,0.000,-88.449891,1218862209,0.000000,0.000000,4,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,SETLINKATTR1_REG_REG_INT_INT,2,attribute-index-link,SETATTRS_REG_INT;LINKATTR1_REG_REG_INT,2,sequential,capacity-and-link,exact-effects,normal,rxc-direct,set-capacity-validate-and-link,0,0,0,0.000000,0,0.000000,27.636881,0.000,0.000,-100.000000,10.504719,10.668843,48.646319,10.668843,0.000,0.000,0.000,-78.068551,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETLINKATTR1_REG_REG_INT_REG,2,attribute-index-link,SETATTRS_REG_INT;LINKATTR1_REG_REG_REG,2,sequential,capacity-and-link,exact-effects,normal,rxc-direct-or-combiner,set-capacity-validate-and-link,19415,19415,0,0.000000,271305,13.973989,28.000066,543621.289,-272316.289,-50.093014,10.504719,10.668843,49.009504,24.642832,951519.524,478440.579,-473078.945,-49.718259,1218862209,-388.131605,0.022259,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETLINKATTR1_REG_REG_INT_REG_INT,2,attribute-index-link,SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG,3,sequential,capacity-index-and-link,compiler-temp-elided,normal,rxc-direct-or-combiner,set-capacity-checked-add-and-link,0,0,0,0.000000,0,0.000000,40.937745,0.000,0.000,-100.000000,10.504719,10.668843,72.451902,10.668843,0.000,0.000,0.000,-85.274586,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,MINLINKATTR1_REG_REG_INT,2,attribute-index-link,MINATTRS_REG_INT;LINKATTR1_REG_REG_INT,2,sequential,ensure-capacity-and-link,exact-effects,normal,rxc-direct-or-combiner,conditional-capacity-and-link,28002,28002,0,0.000000,478859,17.100886,28.152866,788336.548,-309477.548,-39.257034,10.504719,10.668843,49.162304,27.769728,1376642.826,777607.930,-599034.895,-43.514184,1218862209,-491.470562,0.039287,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,MINLINKATTR1_REG_REG_REG_INT,2,attribute-index-link,MINATTRS_REG_REG_INT;LINKATTR1_REG_REG_REG,2,sequential,ensure-capacity-index-and-link,exact-effects,normal,rxc-direct-or-combiner,checked-add-conditional-capacity-and-link,195365,195365,0,0.000000,3508070,17.956492,29.079028,5681024.289,-2172954.289,-38.249340,10.504719,10.668843,50.088466,28.625334,9785533.105,5592388.433,-4193144.672,-42.850447,1218862209,-3440.212225,0.287815,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ITOF_REG_REG,2,typed-conversion-copy,ICOPY_REG_REG;ITOF_REG,2,sequential,copy-and-convert,exact-effects,normal,rxc-combiner,inline-int-and-float-writes,1,1,0,0.000000,125,125.000000,32.403725,32.404,92.596,285.758121,10.504719,10.668843,53.413163,135.668843,53.413,135.669,82.256,153.998894,1218862209,0.067486,0.000010,2,0,possible-slowdown,1-99,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,STOI_REG_REG,2,typed-conversion-copy,STOI_REG;ICOPY_REG_REG,2,sequential,convert-and-copy,compiler-temp-elided,normal,rxc-combiner,direct-string-to-destination-int,0,0,0,0.000000,0,0.000000,42.465969,0.000,0.000,-100.000000,10.504719,10.668843,63.475407,10.668843,0.000,0.000,0.000,-83.192164,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,FDIVSUB_REG_REG_REG_FLOAT,2,arithmetic,FDIV_REG_REG_REG;FSUB_REG_REG_FLOAT,2,sequential,producer-consumer,exact-effects,coherence-review,rxc-combiner,two-inline-float-operations,0,0,0,0.000000,0,0.000000,166.000000,0.000,0.000,-100.000000,10.504719,10.668843,187.009438,10.668843,0.000,0.000,0.000,-94.295025,1218862209,0.000000,0.000000,0,0,inactive,zero,missing-components,FSUB_REG_REG_FLOAT,41,17746147,16220865,temporary-register-passed
rxvm,FMULTICOPY_REG_FLOAT_REG_REG,2,arithmetic,FMULT_REG_REG_FLOAT;ICOPY_REG_REG,2,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,inline-float-multiply-and-int-copy,0,0,0,0.000000,0,0.000000,12.655595,0.000,0.000,-100.000000,10.504719,10.668843,33.665033,10.668843,0.000,0.000,0.000,-68.308831,1218862209,0.000000,0.000000,1,0,inactive,zero,missing-components,FMULT_REG_REG_FLOAT,41,17746147,16220865,no-compiler-temporary-output
rxvm,FSUBILOAD_REG_REG_FLOAT_REG_INT,2,arithmetic,FSUB_REG_REG_FLOAT;LOAD_REG_INT,2,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,inline-float-subtract-and-set-int,0,0,0,0.000000,0,0.000000,12.831466,0.000,0.000,-100.000000,10.504719,10.668843,33.840904,10.668843,0.000,0.000,0.000,-68.473529,1218862209,0.000000,0.000000,1,0,inactive,zero,missing-components,FSUB_REG_REG_FLOAT,41,17746147,16220865,no-compiler-temporary-output
rxvm,ITOSCONCAT_REG_STRING_REG,2,string-conversion-concat,ITOS_REG;CONCAT_REG_STRING_REG,2,sequential,producer-consumer,exact-effects,clear-advantage-required,rxc-combiner,conversion-and-concat-helpers,12600,12600,0,0.000000,885202,70.254127,78.750259,992253.267,-107051.267,-10.788704,10.504719,10.668843,99.759697,80.922970,1256972.183,1019629.417,-237342.767,-18.882102,1218862209,-194.724855,0.072625,1,0,indicated-saving,1000+,complete,,41,17746147,16220865,temporary-register-passed
rxvm,SCONCATITOS_REG_STRING_REG,2,string-conversion-concat,SCONCAT_REG_REG_STRING;ITOS_REG,2,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,sconcat-and-conversion-helpers,5,5,0,0.000000,2249,449.800000,201.412462,1007.062,1241.938,123.322825,10.504719,10.668843,222.421900,460.468843,1112.110,2302.344,1190.235,107.024957,1218862209,0.976513,0.000185,0,0,possible-slowdown,1-99,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,ILOADGETATTRS_REG_INT_REG_REG_INT,2,load-get-attributes,LOAD_REG_INT;GETATTRS_REG_REG_INT,2,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,two-set-int-calls,0,0,0,0.000000,0,0.000000,26.291509,0.000,0.000,-100.000000,10.504719,10.668843,47.300947,10.668843,0.000,0.000,0.000,-77.444759,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,IGETATTR1_REG_REG_INT,2,attribute-index-link,LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG,3,sequential,direct-attribute-read,compiler-temp-elided,normal,rxc-direct,direct-validated-field-read,0,0,0,0.000000,0,0.000000,38.013511,0.000,0.000,-100.000000,10.504719,10.668843,69.527668,10.668843,0.000,0.000,0.000,-84.655256,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,MINIGETATTR1_REG_REG_INT,2,attribute-index-link,MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG,4,sequential,direct-attribute-read,compiler-temp-elided,normal,rxc-direct,conditional-capacity-and-field-read,0,0,0,0.000000,0,0.000000,53.240522,0.000,0.000,-100.000000,10.504719,10.668843,95.259398,10.668843,0.000,0.000,0.000,-88.800220,1218862209,0.000000,0.000000,4,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,ISETATTR1_REG_INT_REG,2,attribute-index-link,LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG,3,sequential,direct-attribute-write,compiler-temp-elided,normal,rxc-direct-or-combiner,direct-validated-field-write,19253,38506,0,0.000000,252823,13.131616,38.013511,731874.127,-479051.127,-65.455399,10.504719,10.668843,69.527668,23.800458,1338616.186,458230.226,-880385.959,-65.768364,1218862209,-722.301465,0.020743,3,1,indicated-saving,1000+,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,ISETATTR1_REG_INT_INT,2,attribute-index-link,LINKATTR1_REG_REG_INT;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG,4,sequential,direct-attribute-write,compiler-temp-elided,normal,rxc-direct,direct-validated-constant-field-write,0,0,0,0.000000,0,0.000000,50.844977,0.000,0.000,-100.000000,10.504719,10.668843,92.863853,10.668843,0.000,0.000,0.000,-88.511307,1218862209,0.000000,0.000000,4,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,RELINKATTR1_REG_REG_INT,2,attribute-index-link,UNLINK_REG;LINKATTR1_REG_REG_INT,2,sequential,relink,exact-effects,normal,rxc-combiner,restore-validate-and-link,0,0,0,0.000000,0,0.000000,25.357916,0.000,0.000,-100.000000,10.504719,10.668843,46.367354,10.668843,0.000,0.000,0.000,-76.990616,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,UNLINKRELINKATTR1_REG_REG_REG_INT,2,attribute-index-link,UNLINK_REG;UNLINK_REG;LINKATTR1_REG_REG_INT,3,sequential,cleanup-and-relink,exact-effects,normal,rxc-combiner,two-restores-validate-and-link,0,0,0,0.000000,0,0.000000,37.789977,0.000,0.000,-100.000000,10.504719,10.668843,69.304134,10.668843,0.000,0.000,0.000,-84.605763,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LINKSETATTRS_REG_REG_INT_INT,2,attribute-index-link,LINKATTR1_REG_REG_INT;SETATTRS_REG_INT,2,sequential,link-and-capacity,exact-effects,normal,rxc-combiner,validate-link-and-set-capacity,0,0,0,0.000000,0,0.000000,27.636881,0.000,0.000,-100.000000,10.504719,10.668843,48.646319,10.668843,0.000,0.000,0.000,-78.068551,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT,2,attribute-index-link,LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT,3,sequential,link-capacity-and-index,exact-effects,coherence-review,rxc-combiner,validate-link-capacity-and-checked-add,0,0,0,0.000000,0,0.000000,40.574559,0.000,0.000,-100.000000,10.504719,10.668843,72.088716,10.668843,0.000,0.000,0.000,-85.200399,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2,attribute-index-link,LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG,4,sequential,link-capacity-index-and-link,compiler-temp-elided,normal,rxc-combiner,validate-link-capacity-checked-add-and-link,0,0,0,0.000000,0,0.000000,53.863599,0.000,0.000,-100.000000,10.504719,10.668843,95.882475,10.668843,0.000,0.000,0.000,-88.873000,1218862209,0.000000,0.000000,4,0,inactive,zero,complete,,41,17746147,16220865,compiler-temporary-elided
rxvm,SETATTRSADD_REG_INT_REG_REG_INT,2,attribute-index-link,SETATTRS_REG_INT;IADD_REG_REG_INT,2,sequential,capacity-and-index,exact-effects,coherence-review,rxc-combiner,set-capacity-and-checked-add,0,0,0,0.000000,0,0.000000,27.648705,0.000,0.000,-100.000000,10.504719,10.668843,48.658143,10.668843,0.000,0.000,0.000,-78.073880,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LINKILOAD_REG_REG_REG_REG_INT,2,attribute-index-link,LINKATTR1_REG_REG_REG;LOAD_REG_INT,2,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,validate-link-and-set-int,0,0,0,0.000000,0,0.000000,26.120506,0.000,0.000,-100.000000,10.504719,10.668843,47.129944,10.668843,0.000,0.000,0.000,-77.362921,1218862209,0.000000,0.000000,2,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETLINKILOAD_REG_REG_INT_REG_REG_INT,2,attribute-index-link,SETATTRS_REG_INT;LINKATTR1_REG_REG_REG;LOAD_REG_INT,3,sequential,independent-bundle,exact-effects,clear-advantage-required,rxc-combiner,capacity-validate-link-and-set-int,0,0,0,0.000000,0,0.000000,40.831532,0.000,0.000,-100.000000,10.504719,10.668843,72.345689,10.668843,0.000,0.000,0.000,-85.252967,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,UNLINKLINKATTR1_REG_REG_REG_INT,2,attribute-index-link,UNLINK_REG;LINKATTR1_REG_REG_INT,2,sequential,cleanup-and-link,exact-effects,normal,rxc-combiner,restore-validate-and-link,15,15,0,0.000000,1248,83.200000,25.357916,380.369,867.631,228.102675,10.504719,10.668843,46.367354,93.868843,695.510,1408.033,712.522,102.445978,1218862209,0.584580,0.000102,2,0,possible-slowdown,1-99,complete,,41,17746147,16220865,no-compiler-temporary-output
