rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
156,1,1,1,5,candidate,"BCMPB_REG_REG_REG(r1,r2,r3) | BNE_ID_REG_INT(c1,r1,c2) | RET_INT(c2)","r1=R6;r2=R13;r3=R14;c1=label@498;c2=int:0","binary",488
157,1,1,1,5,candidate,"BLEN_REG_REG(r1,r2) | BLEN_REG_REG(r3,r4) | IEQ_REG_REG_REG(r5,r1,r3)","r1=R1;r2=R13;r3=R3;r4=R14;r5=R5","binary",472
158,1,1,1,5,candidate,"BLEN_REG_REG(r1,r2) | IEQ_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R3;r2=R14;r3=R5;r4=R1;c1=label@498","binary",475
159,1,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BCMPB_REG_REG_REG(r2,r3,r4)","c1=label@498;r1=R5;r2=R6;c2=int:0;r3=R13;r4=R14","binary",482
160,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@41;r1=R7;r2=R8;r3=R0;c2=int:1","benchmark_base64_roundtrip_noopt",29
161,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@15;r1=R13;c2=int:512;r2=R0;c3=label@18","benchmark_base64_roundtrip_noopt",6
162,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R11;r2=R1;c1=string@10776","benchmark_base64_roundtrip_noopt",247
163,1,1,1,4,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r3)","r1=R11;r2=R8;c1=string@10352;r3=R1","benchmark_base64_roundtrip_noopt",237
164,1,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | LOAD_REG_INT(r3,c3)","r1=R11;c1=string@9832;r2=R5;c2=string@9984;r3=R9;c3=int:1","benchmark_base64_roundtrip_noopt",214
165,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R7;r2=R0;c1=int:0;c2=int:1;c3=label@41","benchmark_base64_roundtrip_noopt",21
166,1,1,1,6,candidate,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R5;r2=R1;r3=R3;c1=label@498;r4=R6;c2=int:0","binary",478
167,1,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R5;r2=R8;c1=int:1;c2=label@60","benchmark_base64_roundtrip_noopt",38
168,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R7;c1=int:1;c2=label@41;r2=R8;r3=R0","benchmark_base64_roundtrip_noopt",25
169,1,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:1;r2=R4;r3=R2;c2=label@1095","benchmark_base64_roundtrip_noopt",1072
170,1,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2)","r1=R1;r2=R11","benchmark_base64_roundtrip_noopt",245
171,1,1,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SCONCAT_REG_REG_STRING(r2,r2,c1)","r1=R8;r2=R11;c1=string@10352","benchmark_base64_roundtrip_noopt",235
172,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R5;r2=R11;c1=string@9832;c2=string@9984","benchmark_base64_roundtrip_noopt",212
173,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | BCMPB_REG_REG_REG(r1,r2,r3) | BNE_ID_REG_INT(c2,r1,c1)","r1=R6;c1=int:0;r2=R13;r3=R14;c2=label@498","binary",485
174,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r2,r3) | BLEN_REG_REG(r1,r4)","r1=R3;c1=int:0;r2=R1;r3=R13;r4=R14","binary",469
175,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R5;c1=int:1;r2=R7;r3=R0;c2=int:0","benchmark_base64_roundtrip_noopt",18
176,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R9;c1=int:1;r2=R8;r3=R5;c2=label@94","benchmark_base64_roundtrip_noopt",66
177,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R2;c1=int:1023;r2=R1;r3=R3;c2=label@312","benchmark_base64_roundtrip_noopt",282
178,1,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | BLEN_REG_REG(r1,r3)","r1=R1;c1=int:0;r2=R3;r3=R13","binary",466
179,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R0;c1=int:0;r2=R2;r3=R3;c2=int:1","benchmark_base64_roundtrip_noopt",1053
180,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R3;c1=int:0;r2=R2;c2=int:1023;r3=R1","benchmark_base64_roundtrip_noopt",279
181,1,1,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R2;c1=int:0;r2=R3;c2=int:1;r3=R5;c3=func@15992;r4=R7;c4=int:256;r5=R4","benchmark_base64_roundtrip_noopt",1056
182,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SWAP_REG_REG(r3,r4)","r1=R3;c1=int:1024;r2=R1;c2=int:2;r3=R2;r4=R0","benchmark_base64_roundtrip_noopt",263
183,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3) | CALL_REG_FUNC_REG(r4,c2,r1)","r1=R1;c1=int:2;r2=R2;r3=R0;r4=R4;c2=func@12064","benchmark_base64_roundtrip_noopt",266
184,1,1,1,6,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R3;c1=string@256;r2=R9;c2=int:1;r3=R8;r4=R5","benchmark_base64_roundtrip_noopt",63
185,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R8;r2=R0;c1=int:1;r3=R5","benchmark_base64_roundtrip_noopt",32
186,1,1,1,5,candidate,"NULL_REG(r1) | BRTPANDT_ID_REG_INT(c1,r2,c2) | COPY_REG_REG(r3,r2)","r1=R2;c1=label@15;r2=R13;c2=int:512;r3=R0","benchmark_base64_roundtrip_noopt",4
187,1,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R0;r2=R3;c1=int:1024;r3=R1;c2=int:2","benchmark_base64_roundtrip_noopt",261
188,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R0;c3=int:0;r2=R2","benchmark_base64_roundtrip_noopt",1049
189,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | BRTPANDT_ID_REG_INT(c3,r2,c4)","c1=int:18;c2=int:1;r1=R2;c3=label@15;r2=R13;c4=int:512","benchmark_base64_roundtrip_noopt",0
190,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R0;r2=R3;c3=int:1024","benchmark_base64_roundtrip_noopt",257
191,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | LOAD_REG_INT(r1,c4) | LOAD_REG_INT(r2,c4)","c1=int:18;c2=int:1;c3=int:2;r1=R1;c4=int:0;r2=R3","binary",462
192,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R11;c1=string@10776;c2=int:0","benchmark_base64_roundtrip_noopt",251
193,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2)","r1=R11;c1=string@10352;r2=R1","benchmark_base64_roundtrip_noopt",241
194,1,1,1,9,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R11;c1=string@9984;r2=R9;c2=int:1;r3=R8;c3=func@6288;r4=R3;c4=int:256;r5=R10","benchmark_base64_roundtrip_noopt",218
195,1,1,1,8,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c2,r4,r5,c1,r6)","r1=R4;c1=int:256;r2=R10;r3=R8;c2=func@7432;r4=R9;r5=R2;r6=R11","benchmark_base64_roundtrip_noopt",145
196,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R8;r2=R5;c1=int:1","benchmark_base64_roundtrip_noopt",36
197,1,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r3,c1) | IGT_REG_REG_REG(r2,r4,r3)","r1=R7;r2=R4;r3=R5;c1=int:1;r4=R2","benchmark_base64_roundtrip_noopt",1069
198,1,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r4,r3)","r1=R3;r2=R10;r3=R8;r4=R11","benchmark_base64_roundtrip_noopt",232
199,1,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r2,c2)","r1=R0;r2=R2;r3=R3;c1=int:0;c2=int:1023","benchmark_base64_roundtrip_noopt",276
200,1,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | INE_REG_REG_INT(r4,r5,c1)","r1=R4;r2=R10;r3=R2;r4=R11;r5=R8;c1=int:0","benchmark_base64_roundtrip_noopt",158
