rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2014400,12,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R21;r2=R17;c1=int:2;c2=int:6;r3=R22;r4=R15;c3=int:1;r5=R20","benchmark_awfy_permute_opt",210
28,432950,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1)","c1=int:1;r1=R3;r2=R28;r3=R4","benchmark_awfy_permute_opt",778
29,432950,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R3;r2=R28","benchmark_awfy_permute_opt",776
30,432950,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","c1=int:1;r1=R3;r2=R28;r3=R4","benchmark_awfy_permute_opt",780
31,432600,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R5;c1=int:2;r2=R28;c2=int:256;r3=R6;r4=R7;r5=R3","benchmark_awfy_permute_opt",812
32,432600,2,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R28;c1=int:256;r2=R6;r3=R7;r4=R3;r5=R2;c2=func@7248;r6=R5","benchmark_awfy_permute_opt",815
33,251950,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r2,r4,c1)","r1=R16;r2=R18;r3=R19;r4=R17;c1=int:2","benchmark_awfy_permute_opt",192
34,251950,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R24;r2=R22;r3=R21;r4=R25;c1=int:2","benchmark_awfy_permute_opt",297
35,251950,2,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IADD_REG_REG_REG(r4,r5,r4) | BR_ID(c1)","r1=R28;r2=R11;r3=R25;r4=R14;r5=R7;c1=label@168","benchmark_awfy_permute_opt",361
36,251950,2,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | IADD_REG_REG_REG(r5,r6,r5)","r1=R27;r2=R28;r3=R11;r4=R25;r5=R14;r6=R7","benchmark_awfy_permute_opt",359
37,251950,2,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r1,r3,c1) | SETATTRS_REG_INT(r1,c2)","r1=R18;r2=R19;r3=R17;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",195
38,251950,2,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R22;r2=R21;r3=R25;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",300
39,251650,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@1072;r1=R5;r2=R12;r3=R28;r4=R9;r5=R3;r6=R10;r7=R7","benchmark_awfy_permute_opt",847
40,251650,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R28;r2=R12;r3=R16;c1=int:2;c2=int:256;r4=R17","benchmark_awfy_permute_opt",944
41,251650,1,1,8,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R5;r2=R7;r3=R6;c1=label@1072;r4=R12;r5=R28;r6=R9;r7=R3","benchmark_awfy_permute_opt",843
42,251650,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r7)","r1=R3;r2=R18;r3=R22;r4=R28;r5=R19;r6=R20;r7=R7","benchmark_awfy_permute_opt",966
43,251650,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | ICOPY_REG_REG(r6,r3)","r1=R28;r2=R17;r3=R3;r4=R18;r5=R22;r6=R19","benchmark_awfy_permute_opt",963
44,251650,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R16;r2=R28;r3=R12;c1=int:2;c2=int:256","benchmark_awfy_permute_opt",942
45,251650,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R16;r2=R22;c1=int:2;c2=int:6;r3=R17;r4=R19;c3=int:1","benchmark_awfy_permute_opt",998
46,251650,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2) | IADD_REG_REG_INT(r1,r4,c3)","r1=R14;r2=R13;r3=R12;c1=int:2;c2=int:6;r4=R9;c3=int:1","benchmark_awfy_permute_opt",879
47,251650,1,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r2,c1)","r1=R18;r2=R16;r3=R28;r4=R12;c1=int:2","benchmark_awfy_permute_opt",940
48,181000,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | COPY_REG_REG(r5,r6)","r1=R7;c1=int:-1;r2=R12;r3=R14;r4=R13;c2=label@372;r5=R17;r6=R11","benchmark_awfy_permute_opt",165
49,181000,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R13;c1=int:0;r2=R7;c2=int:-1;r3=R12;r4=R14;c3=label@372","benchmark_awfy_permute_opt",162
50,180950,1,1,9,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2) | LOAD_REG_INT(r4,c3) | SETTP_REG_INT(r5,c4)","c1=label@1076;r1=R4;r2=R3;r3=R29;c2=int:1;r4=R5;c3=int:2;r5=R28;c4=int:256","benchmark_awfy_permute_opt",805
51,180950,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | ILT_REG_REG_REG(r5,r1,r3)","r1=R7;r2=R3;r3=R6;c1=int:0;r4=R8;c2=int:-1;r5=R5","benchmark_awfy_permute_opt",834
52,180950,1,1,8,over_3_symbols,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ISUB_REG_REG_INT(r3,r2,c3) | LOAD_REG_INT(r4,c4)","r1=R4;r2=R29;c1=int:0;c2=label@1076;r3=R3;c3=int:1;r4=R5;c4=int:2","benchmark_awfy_permute_opt",801
53,180950,1,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R3;r2=R29;c1=int:1;r3=R5;c2=int:2;r4=R28;c3=int:256;r5=R6","benchmark_awfy_permute_opt",808
54,180950,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | ICOPY_REG_REG(r2,r1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R3;r2=R7;r3=R6;c1=int:0;r4=R8;c2=int:-1","benchmark_awfy_permute_opt",831
55,180950,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ICOPY_REG_REG(r4,r3) | LOAD_REG_INT(r2,c1)","r1=R28;r2=R6;r3=R3;r4=R7;c1=int:0","benchmark_awfy_permute_opt",828
56,180950,1,1,7,over_3_symbols,"UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | ISUB_REG_REG_INT(r4,r3,c3)","r1=R2;r2=R4;r3=R29;c1=int:0;c2=label@1076;r4=R3;c3=int:1","benchmark_awfy_permute_opt",799
57,600,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | SETATTRS_REG_INT(r5,c2)","r1=R17;r2=R11;r3=R15;r4=R14;r5=R19;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",175
58,600,2,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2) | LINKATTR1_REG_REG_INT(r5,r3,c2)","r1=R15;r2=R14;r3=R19;r4=R17;c1=int:2;c2=int:6;r5=R18","benchmark_awfy_permute_opt",178
59,600,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R18;r2=R19;c1=int:6;r3=R16","benchmark_awfy_permute_opt",188
60,600,2,1,9,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r4,c2) | SETATTRS_REG_INT(r3,c1) | IADD_REG_REG_INT(r5,r6,c3)","r1=R19;r2=R18;c1=int:6;r3=R21;r4=R17;c2=int:2;r5=R22;r6=R15;c3=int:1","benchmark_awfy_permute_opt",206
61,600,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | ICOPY_REG_REG(r4,r3)","r1=R19;r2=R17;c1=int:2;c2=int:6;r3=R18;r4=R16","benchmark_awfy_permute_opt",181
62,600,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R18;r2=R17;c1=int:2;c2=int:6;r3=R19;r4=R21","benchmark_awfy_permute_opt",199
63,600,2,1,4,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | ICOPY_REG_REG(r3,r2) | UNLINK_REG(r2)","r1=R19;c1=int:6;r2=R18;r3=R16","benchmark_awfy_permute_opt",185
64,600,2,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c1) | LINKATTR1_REG_REG_INT(r3,r4,c2) | SETATTRS_REG_INT(r3,c1)","r1=R18;c1=int:6;r2=R19;r3=R21;r4=R17;c2=int:2","benchmark_awfy_permute_opt",203
65,350,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R14;c1=int:5;r2=R12;c2=int:2;r3=R11;c3=int:256;r4=R13","benchmark_awfy_permute_opt",140
66,350,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R12;c1=int:2;r2=R11;c2=int:256;r3=R13;r4=R8;c3=func@7248","benchmark_awfy_permute_opt",143
67,300,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r2,c2)","c1=label@372;r1=R12;r2=R17;r3=R11;r4=R15;r5=R14;r6=R19;c2=int:2","benchmark_awfy_permute_opt",172
68,300,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r1,c3)","r1=R11;r2=R17;r3=R22;c1=int:5;r4=R20;c2=int:2;c3=int:256","benchmark_awfy_permute_opt",258
69,300,1,1,7,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r2)","r1=R12;r2=R14;r3=R13;c1=label@372;r4=R17;r5=R11;r6=R15","benchmark_awfy_permute_opt",168
70,300,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R11;r2=R21;r3=R25;r4=R23;r5=R14;c1=int:2","benchmark_awfy_permute_opt",277
71,300,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r1,c2)","r1=R20;r2=R11;r3=R17;r4=R22;c1=int:5;c2=int:2","benchmark_awfy_permute_opt",256
72,300,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | LINKATTR1_REG_REG_INT(r3,r1,c2)","r1=R21;r2=R25;c1=int:2;c2=int:6;r3=R22","benchmark_awfy_permute_opt",302
73,300,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R19;r2=R18;r3=R17;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",197
74,300,1,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r1,c1)","r1=R22;r2=R20;r3=R11;r4=R17;c1=int:5","benchmark_awfy_permute_opt",254
75,100,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R7;r2=R6;c1=int:1;r3=R8;r4=R5","benchmark_awfy_permute_opt",91
76,100,2,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R8;c1=int:0;r2=R7;r3=R6;c2=int:1","benchmark_awfy_permute_opt",88
77,50,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@426;r1=R3;r2=R6;c2=int:3;c3=string@56;r3=R8;c4=int:0","benchmark_awfy_permute_opt",79
78,50,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LINKATTR1_REG_REG_INT(r5,r3,c2)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:0;r5=R8;c2=int:1","benchmark_awfy_permute_opt",100
79,50,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c1) | BRF_ID_REG(c2,r5)","r1=R5;r2=R10;r3=R2;r4=R9;r5=R29;c1=int:8660;c2=label@423","benchmark_awfy_permute_opt",386
80,50,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IADD_REG_REG_INT(r4,r3,c1) | UNLINK_REG(r3)","r1=R11;r2=R10;r3=R7;c1=int:1;r4=R12","benchmark_awfy_permute_opt",118
81,50,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R10;r2=R11;r3=R29;c1=int:1;r4=R9","benchmark_awfy_permute_opt",374
82,50,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | ICOPY_REG_REG(r4,r3)","r1=R10;r2=R5;r3=R7;c1=int:0;r4=R8;c2=int:1","benchmark_awfy_permute_opt",103
83,50,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | ICOPY_REG_REG(r5,r4)","r1=R14;r2=R10;r3=R11;r4=R29;c1=int:1;r5=R9","benchmark_awfy_permute_opt",372
84,50,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r3)","r1=R7;r2=R8;r3=R5;r4=R6;r5=R10","benchmark_awfy_permute_opt",95
85,50,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R8;r2=R7;r3=R11;r4=R10;c1=int:1","benchmark_awfy_permute_opt",113
86,50,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r2,c2)","r1=R8;r2=R12;r3=R14;c1=int:5;c2=int:2","benchmark_awfy_permute_opt",135
87,50,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R9;r2=R29;r3=R5;r4=R10;r5=R2","benchmark_awfy_permute_opt",381
88,50,1,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R3;r2=R4;r3=R1;c1=label@426;r4=R6;c2=int:3;c3=string@56","benchmark_awfy_permute_opt",75
89,50,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R8;r2=R11;c1=int:1;r3=R12;r4=R14;c2=int:5","benchmark_awfy_permute_opt",131
90,50,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R29;r2=R10;c1=int:1;r3=R9;r4=R5","benchmark_awfy_permute_opt",377
