rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
235,100,1,1,3,candidate,"BCF_ID_REG(c1,r1) | BR_ID(c2)","c1=label@302;r1=R34;c2=label@297","benchmark_rexxcps_levelb_opt",297
236,100,1,1,4,candidate,"FADD_REG_REG_REG(r1,r2,r1) | BCTP_ID_REG(c1,r3)","r1=R21;r2=R34;c1=label@275;r3=R32","benchmark_rexxcps_levelb_opt",319
237,32,2,1,3,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3)","r1=R0;r2=R6;r3=R36","trace",4179
238,18,18,2,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R100;c1=int:256;r2=R101;c2=int:0","benchmark_rexxcps_levelb_opt",1103
239,17,2,2,5,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULL_REG(r5)","r1=R21;r2=R19;r3=R17;r4=R15;r5=R13","trace",4436
240,16,1,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)","r1=R35;c1=int:18;c2=int:1","trace",4173
241,16,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4)","c1=label@4528;r1=R11;r2=R15;r3=R13;r4=R12","trace",4509
242,16,1,1,4,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R20;r2=R0;r3=R23;r4=R1","trace",4722
243,16,1,1,4,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R24;r2=R35;r3=R19;c1=int:17","trace",4703
244,16,1,1,4,candidate,"COPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r1,c1)","r1=R5;r2=R7;r3=R12;c1=string@28856","trace",4207
245,16,1,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R0;r2=R19","trace",4710
246,16,1,1,4,candidate,"ENDLIFE_REG(r1) | INE_REG_REG_INT(r2,r3,c1)","r1=R20;r2=R23;r3=R18;c1=int:0","trace",4774
247,16,1,1,3,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R20;r2=R21;c1=int:1","trace",4788
248,16,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R23;r2=R1;r3=R21;r4=R3","trace",4725
249,16,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)","r1=R1;r2=R19;r3=R20;r4=R0","trace",4719
250,16,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R35;c1=int:16;r2=R20;c2=int:17","trace",4794
251,16,1,1,4,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | SETSTRPOS_REG_REG(r4,r1)","r1=R15;r2=R13;r3=R12;r4=R14","trace",4512
252,16,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)","r1=R19;r2=R35;c1=int:17;r3=R0","trace",4706
253,16,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2)","r1=R21;r2=R35;c1=int:16;r3=R20;c2=int:1","trace",4784
254,16,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1)","r1=R19;r2=R35;c1=int:16;r3=R1","trace",4715
255,16,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R20;r2=R35;c1=int:17;r3=R23;c2=int:16","trace",4798
256,16,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2)","r1=R23;r2=R35;c1=int:16;r3=R21;r4=R20;c2=int:0","trace",4802
257,16,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3)","r1=R19;c1=int:1;r2=R18;r3=R23","trace",4731
258,16,1,1,4,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3)","r1=R21;r2=R20;r3=R23;c1=int:0","trace",4806
259,16,1,1,6,candidate,"NULL_REG(r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c1,r3,c2,r4)","r1=R7;r2=R9;c1=int:3;r3=R6;c2=int:256;r4=R10","trace",4184
260,16,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | NULL_REG(r3)","r1=R6;r2=R36;r3=R7","trace",4181
261,16,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | REQ_REG_REG_STRING(r2,r1,c1)","r1=R3;r2=R23;c1=string@28856","trace",4692
262,16,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3)","r1=R21;r2=R3;r3=R20","trace",4813
263,16,16,1,5,candidate,"SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r2,c2,r3,r1)","r1=R4;c1=int:768;r2=R0;c2=func@1281912;r3=R21","trace",12212
264,16,1,1,3,candidate,"STRLOWER_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)","r1=R7;r2=R8;r3=R5","trace",4204
265,16,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | STRLOWER_REG_REG(r3,r4)","r1=R6;r2=R10;r3=R7;r4=R8","trace",4201
