rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,769814,41,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1;r5=R7","benchmark_awfy_richards_noopt",931
26,106604,1,1,7,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R1;r2=R2;c1=int:0;c2=label@4284;r3=R6;r4=R13;c3=int:2","benchmark_awfy_richards_noopt",4154
27,106604,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3) | BRF_ID_REG(c1,r5)","r1=R13;r2=R4;r3=R6;r4=R5;c1=label@4230;r5=R7","benchmark_awfy_richards_noopt",4183
28,106604,1,1,7,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LOAD_REG_INT(r5,c2)","r1=R2;c1=label@4284;r2=R1;r3=R6;r4=R13;c2=int:2;r5=R3","benchmark_awfy_richards_noopt",4158
29,103799,10,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","c1=label@2666;r1=R7;r2=R3;c2=int:2;r3=R25;c3=int:256;r4=R4","benchmark_awfy_richards_noopt",2639
30,100667,10,1,8,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | LOAD_REG_INT(r5,c3)","r1=R3;c1=int:6;r2=R4;r3=R8;c2=int:1;r4=R2;r5=R5;c3=int:0","benchmark_awfy_richards_noopt",1464
31,94496,6,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R17;c1=int:256;r2=R13;r3=R14;r4=R19;r5=R15;r6=R8","benchmark_awfy_richards_noopt",1999
32,94496,6,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | CALL_REG_FUNC_REG(r7,c1,r8)","r1=R13;r2=R17;r3=R14;r4=R19;r5=R15;r6=R8;r7=R4;c1=func@45584;r8=R12","benchmark_awfy_richards_noopt",2002
33,92655,5,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETATTRS_REG_INT(r1,c3) | IADD_REG_REG_INT(r4,r3,c4)","r1=R4;r2=R7;c1=int:19;r3=R3;c2=int:2;c3=int:6;r4=R5;c4=int:1","benchmark_awfy_richards_noopt",2105
34,92655,5,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r4,r1,c3) | LINKATTR1_REG_REG_REG(r5,r3,r4)","r1=R3;r2=R7;c1=int:2;r3=R4;c2=int:6;r4=R5;c3=int:1;r5=R2","benchmark_awfy_richards_noopt",2109
35,92655,5,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | UNLINK_REG(r3)","r1=R4;c1=int:6;r2=R5;r3=R3;c2=int:1;r4=R2","benchmark_awfy_richards_noopt",2113
36,84577,16,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R14;r3=R8;r4=R12;c1=int:20","benchmark_awfy_richards_noopt",974
37,83075,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3) | UNLINK_REG(r3)","r1=R4;r2=R26;c1=int:1;r3=R5;r4=R3;r5=R1","benchmark_awfy_richards_noopt",2563
38,83075,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | ICOPY_REG_REG(r5,r4)","r1=R3;c1=int:6;r2=R4;r3=R26;c2=int:1;r4=R5;r5=R1","benchmark_awfy_richards_noopt",2560
39,81977,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | RET_REG(r4)","r1=R2;r2=R3;r3=R4;c1=label@1659;r4=R5;c2=int:1","benchmark_awfy_richards_noopt",1647
40,80553,7,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LOAD_REG_INT(r5,c2) | ICOPY_REG_REG(r3,r5)","r1=R4;r2=R8;c1=int:1;r3=R2;r4=R3;r5=R5;c2=int:0","benchmark_awfy_richards_noopt",1467
41,79753,9,1,9,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7;r5=R10;r6=R12;c3=int:22","benchmark_awfy_richards_noopt",935
42,75803,17,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R9;c1=int:0;r2=R2;c2=int:7;r3=R17;c3=int:256;r4=R3","benchmark_awfy_richards_noopt",413
43,75790,3,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R4;c2=int:0","benchmark_awfy_richards_noopt",392
44,74952,10,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | ICOPY_REG_REG(r5,r4)","r1=R6;r2=R9;c1=int:17;r3=R1;c2=int:0;r4=R7;r5=R0","benchmark_awfy_richards_noopt",1377
45,74952,10,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R6;r2=R1;c1=int:0;r3=R7;r4=R0","benchmark_awfy_richards_noopt",1381
46,68933,9,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r4)","r1=R6;r2=R4;r3=R10;r4=R8","benchmark_awfy_richards_noopt",1951
47,66954,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R3;r2=R18;c1=int:27;r3=R2;c2=label@3097","benchmark_awfy_richards_noopt",3074
48,65791,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R2;r2=R13;c1=int:22;r3=R1;c2=int:2","benchmark_awfy_richards_noopt",4135
49,65790,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R11;r3=R6;r4=R13;c1=int:2","benchmark_awfy_richards_noopt",4238
50,65790,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LOAD_REG_INT(r2,c3)","c1=int:1;r1=R1;c2=int:0;r2=R3;c3=int:2","benchmark_awfy_richards_noopt",2524
51,65790,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LOAD_REG_INT(r2,c3) | SETTP_REG_INT(r3,c4)","c1=int:1;r1=R1;c2=int:0;r2=R3;c3=int:2;r3=R25;c4=int:256","benchmark_awfy_richards_noopt",2526
52,65790,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r5,r1,c1)","r1=R13;r2=R9;r3=R6;r4=R10;r5=R11;c1=int:2","benchmark_awfy_richards_noopt",4265
53,65790,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5)","r1=R6;r2=R10;r3=R11;r4=R13;c1=int:2;r5=R5","benchmark_awfy_richards_noopt",4268
54,65790,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r3,c2)","r1=R11;r2=R6;r3=R13;c1=int:2;r4=R8;c2=int:256","benchmark_awfy_richards_noopt",4243
55,65790,1,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LOAD_REG_INT(r5,c1)","r1=R10;r2=R11;r3=R6;r4=R13;c1=int:2;r5=R8","benchmark_awfy_richards_noopt",4241
56,61249,5,1,9,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETATTRS_REG_INT(r2,c3) | IADD_REG_REG_INT(r4,r5,c4)","c1=label@1966;r1=R7;r2=R9;r3=R17;c2=int:20;c3=int:6;r4=R10;r5=R18;c4=int:1","benchmark_awfy_richards_noopt",1867
57,58123,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R4;r2=R5;r3=R6;r4=R7;c1=int:0","benchmark_awfy_richards_noopt",1855
58,57300,3,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R3;c1=label@1767;r3=R5;r4=R6;c2=int:0","benchmark_awfy_richards_noopt",1755
59,53463,2,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R15;r2=R26;c1=int:2;c2=label@2759;c3=int:3;c4=label@2794","benchmark_awfy_richards_noopt",2748
60,52554,19,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R8;c1=int:1;r2=R5;c2=int:256;r3=R9;r4=R6;c3=func@10104","benchmark_awfy_richards_noopt",95
61,51850,7,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R10;r2=R26;c1=int:0;c2=label@2715;r3=R8;c3=int:1;r4=R25;c4=int:256","benchmark_awfy_richards_noopt",2688
62,51136,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | RET_REG(r7)","r1=R25;r2=R17;r3=R26;r4=R18;r5=R1;r6=R19;r7=R14","benchmark_awfy_richards_noopt",2781
63,50537,3,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r3,c1) | BRF_ID_REG(c2,r1)","r1=R27;r2=R25;r3=R4;c1=int:0;c2=label@3579","benchmark_awfy_richards_noopt",3550
64,48821,3,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R7;r3=R6;r4=R8;r5=R11;c1=int:2","benchmark_awfy_richards_noopt",2468
65,47877,2,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | LOAD_REG_INT(r1,c1) | RET_REG(r1)","r1=R5;r2=R3;c1=int:0","benchmark_awfy_richards_noopt",1713
66,47789,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | BR_ID(c1)","r1=R23;r2=R26;r3=R25;c1=label@3919","benchmark_awfy_richards_noopt",3788
67,46496,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2) | UNLINK_REG(r3)","r1=R6;r2=R18;c1=int:1;r3=R4;r4=R5;r5=R7;c2=int:0","benchmark_awfy_richards_noopt",1851
68,46496,2,1,8,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | IEQ_REG_REG_INT(r5,r4,c3)","r1=R5;c1=int:6;r2=R6;r3=R18;c2=int:1;r4=R4;r5=R7;c3=int:0","benchmark_awfy_richards_noopt",1848
69,46492,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | SWAP_REG_REG(r7,r8)","r1=R4;r2=R11;r3=R5;r4=R1;r5=R6;r6=R12;r7=R7;r8=R8","benchmark_awfy_richards_noopt",2484
70,45687,3,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | LOAD_REG_INT(r5,c2)","r1=R6;r2=R9;c1=int:17;r3=R10;c2=int:0;r4=R5;r5=R7","benchmark_awfy_richards_noopt",1343
71,45687,3,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r3,r4)","r1=R6;r2=R10;c1=int:0;r3=R5;r4=R7","benchmark_awfy_richards_noopt",1347
72,44175,7,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r1)","r1=R5;r2=R7;r3=R8","benchmark_awfy_richards_noopt",2605
73,44175,7,1,9,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | MINATTRS_REG_REG_INT(r4,r6,c2) | LINKATTR1_REG_REG_REG(r7,r4,r6)","r1=R5;r2=R3;r3=R4;r4=R8;r5=R25;c1=int:17;r6=R1;c2=int:0;r7=R7","benchmark_awfy_richards_noopt",2589
74,43520,12,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R10;r2=R8;r3=R9;r4=R14","benchmark_awfy_richards_noopt",970
75,43360,4,1,8,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r5,c2) | SWAP_REG_REG(r6,r5)","r1=R8;r2=R5;r3=R6;r4=R12;c1=int:3;r5=R17;c2=int:256;r6=R13","benchmark_awfy_richards_noopt",1992
76,43360,2,1,6,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3)","c1=int:1;r1=R6;r2=R9;c2=int:17;r3=R10;c3=int:0","benchmark_awfy_richards_noopt",1339
77,43360,2,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3) | LINKATTR1_REG_REG_REG(r4,r1,r3)","c1=int:1;r1=R6;r2=R9;c2=int:17;r3=R10;c3=int:0;r4=R5","benchmark_awfy_richards_noopt",1341
78,43360,4,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | UNLINK_REG(r5)","r1=R17;r2=R13;r3=R19;r4=R14;r5=R8;r6=R15","benchmark_awfy_richards_noopt",2015
79,43360,4,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3) | UNLINK_REG(r5)","r1=R19;r2=R14;r3=R8;r4=R15;r5=R5","benchmark_awfy_richards_noopt",2018
80,42549,3,1,8,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2) | IADD_REG_REG_INT(r4,r5,c3)","r1=R3;r2=R4;r3=R12;c1=int:24;c2=int:6;r4=R5;r5=R1;c3=int:1","benchmark_awfy_richards_noopt",2281
81,42549,3,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2)","r1=R5;r2=R3;r3=R4;r4=R12;c1=int:24;c2=int:6","benchmark_awfy_richards_noopt",2279
82,42540,2,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2) | RET_REG(r3)","r1=R3;c1=label@1767;r2=R5;r3=R6;c2=int:0","benchmark_awfy_richards_noopt",1757
83,41859,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R5;c1=int:1;r3=R4;r4=R9;c2=int:9","benchmark_awfy_richards_noopt",1095
84,41859,4,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R5;r2=R9;c1=int:9;r3=R6;c2=int:1;r4=R4","benchmark_awfy_richards_noopt",1091
85,41237,2,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R4;r2=R27;r3=R25;c1=int:0","benchmark_awfy_richards_noopt",3547
86,41163,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3) | LOAD_REG_INT(r5,c3)","r1=R4;r2=R8;c1=int:1;r3=R5;r4=R3;c2=label@1686;r5=R2;c3=int:0","benchmark_awfy_richards_noopt",1670
87,40814,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | SETATTRS_REG_INT(r2,c4)","c1=label@4230;r1=R7;r2=R8;r3=R13;c2=int:21;r4=R4;c3=int:2;c4=int:6","benchmark_awfy_richards_noopt",4191
88,40814,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3) | LOAD_REG_INT(r5,c1)","r1=R4;r2=R8;c1=int:1;r3=R2;r4=R3;c2=label@1659;r5=R5","benchmark_awfy_richards_noopt",1643
