rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,862469,46,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7","benchmark_awfy_richards_noopt",935
12,271084,22,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R7;r2=R8;r3=R12;c1=int:24","benchmark_awfy_richards_noopt",955
13,255032,38,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R10;r2=R14;r3=R8","benchmark_awfy_richards_noopt",974
14,245462,13,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2)","r1=R8;r2=R12;c1=int:24;c2=int:6","benchmark_awfy_richards_noopt",957
15,239000,7,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r3)","r1=R19;r2=R14;r3=R8;r4=R15","benchmark_awfy_richards_noopt",2018
16,236953,25,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R1;r2=R0;c1=int:22;r3=R3","benchmark_awfy_richards_noopt",263
17,235484,14,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R13;r2=R17;r3=R14;r4=R19;r5=R15;r6=R8","benchmark_awfy_richards_noopt",2002
18,219120,27,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R6;r2=R9;c1=int:17;r3=R10;c2=int:0;r4=R5","benchmark_awfy_richards_noopt",1343
19,218896,6,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | SETATTRS_REG_INT(r1,c3)","c1=int:1;r1=R8;r2=R12;c2=int:21;c3=int:6","benchmark_awfy_richards_noopt",929
20,204259,22,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R10;r2=R7;r3=R8","benchmark_awfy_richards_noopt",953
21,189834,7,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R2;r2=R3;c1=label@1767;r3=R5","benchmark_awfy_richards_noopt",1755
22,182074,19,1,3,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R7;c1=int:0;r2=R5","benchmark_awfy_richards_noopt",1203
23,172394,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r2,c2)","r1=R6;r2=R13;c1=int:2;r3=R3;c2=int:256","benchmark_awfy_richards_noopt",4163
24,165076,5,1,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R5;r2=R2;c1=int:0;r3=R3","benchmark_awfy_richards_noopt",1751
25,164504,4,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R5;c1=label@1966;r2=R7;r3=R9;r4=R17;c2=int:20","benchmark_awfy_richards_noopt",1865
26,163476,9,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4)","r1=R8;r2=R10;r3=R12;c1=int:22;r4=R13","benchmark_awfy_richards_noopt",1067
27,158027,14,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R0;r2=R7;r3=R6","benchmark_awfy_richards_noopt",1389
28,158027,14,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R7;r2=R6;r3=R1;r4=R0","benchmark_awfy_richards_noopt",1385
29,157166,8,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R6;r2=R5;r3=R7;r4=R9;c1=int:9","benchmark_awfy_richards_noopt",1321
30,149489,12,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:0","benchmark_awfy_richards_noopt",1351
31,124517,5,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | RET_REG(r2)","c1=label@1659;r1=R2;r2=R5;c2=int:1","benchmark_awfy_richards_noopt",1651
32,106953,2,1,3,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINK_REG(r1)","r1=R2;r2=R5;c1=int:0","benchmark_awfy_richards_noopt",1749
33,106953,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BTOI_REG(r3)","r1=R4;r2=R9;c1=int:1;r3=R2;r4=R3","benchmark_awfy_richards_noopt",1741
34,106953,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BTOI_REG(r1) | IEQ_REG_REG_INT(r4,r1,c1)","r1=R2;r2=R3;r3=R4;r4=R5;c1=int:0","benchmark_awfy_richards_noopt",1745
35,106605,3,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R1;r2=R2","benchmark_awfy_richards_noopt",4143
36,106605,1,1,4,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R1;r2=R2;c1=int:0;c2=label@4284","benchmark_awfy_richards_noopt",4154
37,106605,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R13;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_noopt",4150
38,106604,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LOAD_REG_INT(r4,c2)","c1=label@4284;r1=R1;r2=R6;r3=R13;c2=int:2;r4=R3","benchmark_awfy_richards_noopt",4160
39,106604,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | BRF_ID_REG(c1,r3)","r1=R6;r2=R5;c1=label@4230;r3=R7","benchmark_awfy_richards_noopt",4186
40,103799,10,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","c1=label@2666;r1=R7;r2=R3;c2=int:2;r3=R25;c3=int:256","benchmark_awfy_richards_noopt",2639
41,100667,10,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LOAD_REG_INT(r5,c2)","r1=R4;r2=R8;c1=int:1;r3=R2;r4=R3;r5=R5;c2=int:0","benchmark_awfy_richards_noopt",1467
42,92655,5,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | UNLINK_REG(r2)","r1=R5;r2=R3;c1=int:1;r3=R2;r4=R4","benchmark_awfy_richards_noopt",2116
43,92655,5,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETATTRS_REG_INT(r1,c3)","r1=R4;r2=R7;c1=int:19;r3=R3;c2=int:2;c3=int:6","benchmark_awfy_richards_noopt",2105
44,92655,5,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r4,r1,c3)","r1=R3;r2=R7;c1=int:2;r3=R4;c2=int:6;r4=R5;c3=int:1","benchmark_awfy_richards_noopt",2109
45,89239,5,1,5,over_3_symbols,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R11;c1=int:0;c2=label@1374","benchmark_awfy_richards_noopt",1363
46,83075,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3)","r1=R4;r2=R26;c1=int:1;r3=R5;r4=R3;r5=R1","benchmark_awfy_richards_noopt",2563
47,81977,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R3;r3=R4;c1=label@1659;r4=R5;c2=int:1","benchmark_awfy_richards_noopt",1647
48,79753,9,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2)","r1=R9;r2=R13;c1=int:1;r3=R7;r4=R8;r5=R10;r6=R12;c2=int:22","benchmark_awfy_richards_noopt",938
49,79036,7,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | RET_REG(r5)","r1=R25;r2=R14;r3=R1;r4=R15;r5=R8","benchmark_awfy_richards_noopt",2738
50,75803,17,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R9;c1=int:0;r2=R2;c2=int:7;r3=R17;c3=int:256","benchmark_awfy_richards_noopt",413
51,75790,3,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R4;c2=int:0","benchmark_awfy_richards_noopt",394
52,74952,10,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | ICOPY_REG_REG(r4,r3)","r1=R6;r2=R1;c1=int:0;r3=R7;r4=R0","benchmark_awfy_richards_noopt",1381
53,66954,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | BR_ID(c1)","r1=R3;r2=R2;c1=label@3097","benchmark_awfy_richards_noopt",3078
54,65791,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | ICOPY_REG_REG(r3,r1)","r1=R2;r2=R13;c1=int:22;r3=R1;c2=int:2","benchmark_awfy_richards_noopt",4135
55,65790,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2) | LOAD_REG_INT(r2,c3)","c1=int:1;r1=R1;c2=int:0;r2=R3;c3=int:2","benchmark_awfy_richards_noopt",2526
56,65790,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R25;r2=R4;r3=R26;r4=R5;c1=label@2688;r5=R6","benchmark_awfy_richards_noopt",2547
57,65790,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R6;r2=R10;r3=R11;r4=R13;c1=int:2","benchmark_awfy_richards_noopt",4268
58,65790,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LOAD_REG_INT(r4,c1)","r1=R11;r2=R6;r3=R13;c1=int:2;r4=R8","benchmark_awfy_richards_noopt",4243
59,61249,5,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | SETATTRS_REG_INT(r2,c3)","c1=label@1966;r1=R7;r2=R9;r3=R17;c2=int:20;c3=int:6","benchmark_awfy_richards_noopt",1867
60,58822,6,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LOAD_REG_INT(r3,c2)","r1=R3;c1=label@1767;r2=R5;r3=R6;c2=int:0","benchmark_awfy_richards_noopt",1757
61,58123,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1)","r1=R4;r2=R5;r3=R6;r4=R7;c1=int:0","benchmark_awfy_richards_noopt",1855
62,57437,9,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | BR_ID(c1)","r1=R6;r2=R5;c1=label@1396","benchmark_awfy_richards_noopt",1421
63,57308,4,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R9;r2=R8;r3=R17;c1=int:23;c2=int:6","benchmark_awfy_richards_noopt",1890
64,53463,2,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@2759;r1=R15;r2=R26;c2=int:3;c3=label@2794","benchmark_awfy_richards_noopt",2752
65,53463,2,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R15;r2=R26;c1=int:2;c2=label@2759;c3=int:3","benchmark_awfy_richards_noopt",2748
66,52554,19,1,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R5;c1=int:256;r2=R9;r3=R6;c2=func@10104;r4=R8","benchmark_awfy_richards_noopt",98
67,51850,7,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3)","r1=R10;r2=R26;c1=int:0;c2=label@2715;r3=R8;c3=int:1","benchmark_awfy_richards_noopt",2688
68,51167,5,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R5;r2=R9;c1=int:9;r3=R6;c2=int:1","benchmark_awfy_richards_noopt",1091
69,50537,3,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r1,r3,c1)","r1=R27;r2=R25;r3=R4;c1=int:0","benchmark_awfy_richards_noopt",3550
70,50204,3,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | LOAD_REG_INT(r1,c1)","r1=R5;r2=R3;c1=int:0","benchmark_awfy_richards_noopt",1713
71,47877,2,1,3,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | RET_REG(r2)","r1=R3;r2=R5;c1=int:0","benchmark_awfy_richards_noopt",1715
72,46496,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R6;r2=R18;c1=int:1;r3=R4;r4=R5;r5=R7;c2=int:0","benchmark_awfy_richards_noopt",1851
73,45687,3,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LOAD_REG_INT(r4,c1)","r1=R6;r2=R10;c1=int:0;r3=R5;r4=R7","benchmark_awfy_richards_noopt",1347
74,44175,7,1,8,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | MINATTRS_REG_REG_INT(r4,r6,c2)","r1=R5;r2=R3;r3=R4;r4=R8;r5=R25;c1=int:17;r6=R1;c2=int:0","benchmark_awfy_richards_noopt",2589
75,43520,12,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R10;r2=R8;r3=R9;r4=R14","benchmark_awfy_richards_noopt",970
76,43360,4,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | SETTP_REG_INT(r5,c2)","r1=R8;r2=R5;r3=R6;r4=R12;c1=int:3;r5=R17;c2=int:256","benchmark_awfy_richards_noopt",1992
77,43360,2,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3)","c1=int:1;r1=R6;r2=R9;c2=int:17;r3=R10;c3=int:0","benchmark_awfy_richards_noopt",1341
78,43360,4,1,3,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R8;r2=R15;r3=R5","benchmark_awfy_richards_noopt",2021
79,41859,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R6;r2=R5;c1=int:1;r3=R4;r4=R9;c2=int:9","benchmark_awfy_richards_noopt",1095
80,40814,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3)","c1=label@4230;r1=R7;r2=R8;r3=R13;c2=int:21;r4=R4;c3=int:2","benchmark_awfy_richards_noopt",4191
81,40814,1,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r4) | LINKATTR1_REG_REG_INT(r5,r6,c1)","r1=R3;r2=R8;r3=R9;r4=R4;r5=R5;r6=R13;c1=int:2","benchmark_awfy_richards_noopt",4209
82,38702,2,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R5;r2=R6;r3=R7;r4=R11;c1=int:0","benchmark_awfy_richards_noopt",1361
83,34873,4,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | SETATTRS_REG_INT(r4,c2)","r1=R10;r2=R8;r3=R9;r4=R4;r5=R17;c1=int:24;c2=int:6","benchmark_awfy_richards_noopt",1928
84,34873,6,1,7,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R6;r2=R12;c1=int:0;r3=R7;r4=R5;r5=R11;c2=int:1","benchmark_awfy_richards_noopt",2453
85,33245,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@2060;r1=R2;r2=R7;c2=int:5;c3=label@2072","benchmark_awfy_richards_noopt",2053
86,33245,1,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R2;r2=R7;c1=int:0;c2=label@2060;c3=int:5","benchmark_awfy_richards_noopt",2049
87,33245,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | ILT_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R2;r2=R7;c2=int:0","benchmark_awfy_richards_noopt",2045
88,33245,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | ILT_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1)","c1=int:1;r1=R2;r2=R7;c2=int:0;c3=label@2060","benchmark_awfy_richards_noopt",2047
89,32585,7,1,4,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2)","r1=R6;r2=R7;c1=int:0;r3=R5","benchmark_awfy_richards_noopt",1201
90,32545,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r4) | LOAD_REG_INT(r5,c1)","r1=R2;r2=R4;r3=R5;r4=R3;r5=R1;c1=int:1","benchmark_awfy_richards_noopt",2120
91,32544,7,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R9;r2=R7;c1=int:0;c2=label@3243;r3=R3;r4=R18;c3=int:10","benchmark_awfy_richards_noopt",3215
92,32543,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R1;r2=R3;r3=R4;r4=R7;c1=int:19","benchmark_awfy_richards_noopt",2100
93,32538,2,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R2;r2=R19;c2=int:0","benchmark_awfy_richards_noopt",3029
94,32538,2,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=int:1;r1=R2;r2=R19;c2=int:0;c3=label@3058","benchmark_awfy_richards_noopt",3031
95,26736,3,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2)","r1=R6;r2=R11;c1=int:15;r3=R12;c2=int:0","benchmark_awfy_richards_noopt",2447
96,25583,7,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","c1=label@3243;r1=R9;r2=R3;r3=R18;c2=int:10;r4=R19;c3=int:0","benchmark_awfy_richards_noopt",3219
97,25579,3,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r1)","r1=R7;r2=R10","benchmark_awfy_richards_noopt",950
98,25579,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R10;r2=R12;c1=int:22;r3=R7","benchmark_awfy_richards_noopt",946
99,25579,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | ICOPY_REG_REG(r1,r4)","r1=R7;r2=R8;r3=R9;r4=R10;r5=R12;c1=int:22","benchmark_awfy_richards_noopt",942
100,25571,2,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINATTRS_REG_REG_INT(r2,r4,c2)","r1=R7;r2=R6;r3=R11;c1=int:17;r4=R12;c2=int:0","benchmark_awfy_richards_noopt",2425
101,24758,2,1,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r4)","r1=R11;r2=R10;r3=R6;r4=R4","benchmark_awfy_richards_noopt",1947
102,24085,7,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r3,r5)","r1=R9;r2=R13;c1=int:1;r3=R10;r4=R8;r5=R14","benchmark_awfy_richards_noopt",966
103,24070,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r1,r3,c1)","r1=R10;r2=R8;r3=R12;c1=int:22","benchmark_awfy_richards_noopt",1065
104,23256,2,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | RET_REG(r2)","r1=R5;r2=R7;r3=R9;c1=int:9","benchmark_awfy_richards_noopt",1323
105,23252,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | INE_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R6;r2=R31;c2=int:0","benchmark_awfy_richards_noopt",3358
106,23252,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | INE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=int:1;r1=R6;r2=R31;c2=int:0;c3=label@3532","benchmark_awfy_richards_noopt",3360
107,23250,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2)","r1=R26;r2=R5;c1=label@2688;r3=R6;r4=R3;r5=R25;c2=int:20","benchmark_awfy_richards_noopt",2550
108,23250,2,1,2,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | RET()","r1=R5;r2=R3","benchmark_awfy_richards_noopt",1531
