rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1957200,6,1,6,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6)","r1=R52;r2=R11;r3=R40;r4=R5;r5=R56;r6=R42","benchmark_rexxcps_levelb_opt",896
2,1933900,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3)","r1=R65;r2=R4;r3=R72","benchmark_rexxcps_levelb_opt",542
3,1631000,3,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMGET_REG_REG_REG(r3,r4,r2)","r1=R51;r2=R68;c1=string@34184;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",501
4,1631000,5,1,6,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40","benchmark_rexxcps_levelb_opt",891
5,1631000,5,1,6,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42;r6=R52","benchmark_rexxcps_levelb_opt",888
6,1304800,2,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | SCOPY_REG_REG(r1,r3)","r1=R72;c1=string@34184;r2=R51;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",538
7,1304800,4,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2)","r1=R60;c1=string@51272;r2=R47;r3=R11;r4=R5;r5=R42","benchmark_rexxcps_levelb_opt",885
8,1304800,4,1,6,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1)","r1=R61;r2=R13;r3=R62;r4=R6;r5=R90;c1=string@50432","benchmark_rexxcps_levelb_opt",848
9,1281500,3,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1)","r1=R76;r2=R79;r3=R4;r4=R75","benchmark_rexxcps_levelb_opt",629
10,978600,3,1,5,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3)","r1=R56;r2=R42;r3=R60;c1=string@53696;r4=R48","benchmark_rexxcps_levelb_opt",902
11,652800,2,2,4,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | BR_ID(c2)","r1=R72;c1=int:0;r2=R71;c2=label@573","benchmark_rexxcps_levelb_opt",565
12,652401,3,2,6,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c3)","r1=R90;c1=string@50432;r2=R91;c2=string@17440;r3=R92;c3=string@50632","benchmark_rexxcps_levelb_opt",854
13,652400,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2)","c1=label@649;r1=R72;r2=R51;r3=R75;c2=string@34184","benchmark_rexxcps_levelb_opt",601
14,652400,1,1,5,candidate,"BRT_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2)","c1=label@655;r1=R67;r2=R51;r3=R72;c2=string@34184","benchmark_rexxcps_levelb_opt",533
