entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-retained,71,79,44,STOD_REG,83,3792,45,0,1041,0.014413,complete
rexxcps-opaque-retained,72,96,67,BLE_ID_REG_INT,73,1628,22,0,250,0.006188,complete
rexxcps-opaque-retained,73,106,91,BLE_ID_REG_REG,70,958,13,0,83,0.003641,complete
rexxcps-opaque-retained,74,98,62,FCOPY_REG_REG,61,1622,26,0,375,0.006165,complete
rexxcps-opaque-retained,75,42,13,FTOS_REG,60,19416,323,166,4167,0.073799,complete
rexxcps-opaque-retained,76,80,37,RET_INT,58,3752,64,0,417,0.014261,complete
rexxcps-opaque-retained,77,64,26,DTOS_REG,57,6331,111,0,542,0.024064,complete
rexxcps-opaque-retained,77,94,54,DCOPY_REG_REG,57,1879,32,0,208,0.007142,complete
rexxcps-opaque-retained,79,86,39,SETOBJTYPE_REG_STRING,52,2957,56,0,1041,0.011239,complete
rexxcps-opaque-retained,79,91,50,LOAD_REG_FLOAT,52,1959,37,0,542,0.007446,complete
rexxcps-opaque-retained,81,97,57,BEQ_ID_REG_INT,51,1624,31,0,333,0.006173,complete
rexxcps-opaque-retained,82,40,9,DCALL_REG_REG_REG,49,21337,435,167,2666,0.081100,complete
rexxcps-opaque-retained,83,103,62,BGE_ID_REG_REG,44,1168,26,0,250,0.004439,complete
rexxcps-opaque-retained,84,78,28,SRCMETHODSEL_REG_REG_STRING,42,3874,92,0,416,0.014725,complete
rexxcps-opaque-retained,84,95,48,CONCAT_REG_STRING_REG,42,1706,40,0,167,0.006484,complete
rexxcps-opaque-retained,84,101,58,FGT_REG_REG_REG,42,1289,30,0,167,0.004899,complete
rexxcps-opaque-retained,87,119,123,BNE_ID_REG_REG,37,415,11,0,83,0.001577,complete
rexxcps-opaque-retained,88,57,16,ASSERTTYPE_REG_STRING,35,10042,286,166,583,0.038169,complete
rexxcps-opaque-retained,88,87,31,SEQ_REG_REG_STRING,35,2623,74,0,833,0.009970,complete
rexxcps-opaque-retained,90,105,54,BPOFF,33,1085,32,0,292,0.004124,complete
rexxcps-opaque-retained,91,84,27,BCF_ID_REG,32,2999,93,0,2125,0.011399,complete
rexxcps-opaque-retained,91,108,61,STRPOS_REG_REG_REG,32,877,27,0,375,0.003333,complete
rexxcps-opaque-retained,91,116,85,BTOI_REG,32,459,14,0,83,0.001745,complete
rexxcps-opaque-retained,94,59,14,FTOD_REG,30,8918,297,166,917,0.033897,complete
rexxcps-opaque-retained,94,89,33,RET_STRING,30,2042,68,0,334,0.007761,complete
rexxcps-opaque-retained,94,102,46,FADD_REG_REG_REG,30,1250,41,0,417,0.004751,complete
rexxcps-opaque-retained,97,93,34,FNDBLNK_REG_REG_REG,29,1914,66,0,1167,0.007275,complete
rexxcps-opaque-retained,98,68,18,DADD_REG_REG_DECIMAL,28,5458,194,83,1084,0.020745,complete
rexxcps-opaque-retained,98,76,20,DGT_REG_REG_REG,28,4248,151,0,2083,0.016146,complete
rexxcps-opaque-retained,98,100,43,FEQ_REG_REG_FLOAT,28,1334,47,0,333,0.005070,complete
rexxcps-opaque-retained,98,106,52,FLT_REG_REG_FLOAT,28,958,34,0,167,0.003641,complete
rexxcps-opaque-retained,102,73,19,DMULT_REG_REG_DECIMAL,27,5042,186,83,1417,0.019164,complete
rexxcps-opaque-retained,103,104,38,APPEND_REG_REG,19,1125,59,0,417,0.004276,complete
rexxcps-opaque-retained,104,88,22,STRLOWER_REG_REG,16,2123,132,41,1334,0.008069,complete
rexxcps-opaque-retained,105,119,41,APPENDCHAR_REG_REG,8,415,51,0,250,0.001577,complete
rexxcps-opaque-retained,106,1,1,SRCFPROCSEL_REG_STRING_REG,7,22361001,3194428,2800708,3556292,84.992459,complete
rexxcps-opaque-retained,106,74,7,ISTYPE_REG_REG_STRING,7,4750,678,416,1000,0.018054,complete
rexxcps-opaque-retained,106,115,36,ITOF_REG,7,460,65,0,167,0.001748,complete
rexxcps-opaque-retained,109,110,24,POSCHAR_REG_REG_REG,6,708,118,41,292,0.002691,complete
rexxcps-opaque-retained,110,63,5,SAY_REG,5,6375,1275,542,3625,0.024231,complete
rexxcps-opaque-retained,110,110,21,SCONCAT_REG_STRING_REG,5,708,141,42,208,0.002691,complete
rexxcps-opaque-retained,112,5,2,MTIME_REG,4,198376,49594,375,196792,0.754012,complete
rexxcps-opaque-retained,112,60,4,SAY_STRING,4,7792,1948,334,5792,0.029617,complete
rexxcps-opaque-retained,112,114,23,FDIV_REG_REG_FLOAT,4,501,125,0,250,0.001904,complete
rexxcps-opaque-retained,112,116,25,SCONCAT_REG_REG_STRING,4,459,114,83,209,0.001745,complete
rexxcps-opaque-retained,116,122,32,FDIV_REG_REG_REG,3,209,69,42,84,0.000794,complete
rexxcps-opaque-retained,117,112,15,STOF_REG,2,583,291,167,416,0.002216,complete
rexxcps-opaque-retained,117,123,29,SAPPEND_REG_REG,2,166,83,83,83,0.000631,complete
rexxcps-opaque-retained,119,90,3,RXVERS_REG,1,2000,2000,2000,2000,0.007602,complete
rexxcps-opaque-retained,119,109,6,JUMPR_REG_BINARY,1,750,750,750,750,0.002851,complete
rexxcps-opaque-retained,119,113,8,FSUB_REG_REG_REG,1,542,542,542,542,0.002060,complete
rexxcps-opaque-retained,119,118,10,BLT_ID_REG_INT,1,417,417,417,417,0.001585,complete
rexxcps-opaque-retained,119,121,12,RNE_REG_REG_REG,1,334,334,334,334,0.001270,complete
rexxcps-opaque-retained,119,124,29,FDIV_REG_FLOAT_REG,1,83,83,83,83,0.000315,complete
rexxcps-opaque-retained,119,125,45,INE_REG_REG_REG,1,42,42,42,42,0.000160,complete
rexxcps-opaque-stripped,1,3,105,BRF_ID_REG,30373,383670,12,0,3292,1.630330,complete
rexxcps-opaque-stripped,2,7,105,ENDLIFE_REG,14337,181115,12,0,625,0.769612,complete
rexxcps-opaque-stripped,3,6,105,NULL_REG,14326,182419,12,0,125,0.775153,complete
rexxcps-opaque-stripped,4,8,105,ICOPY_REG_REG,11501,149275,12,0,1000,0.634315,complete
rexxcps-opaque-stripped,5,9,91,IEQ_REG_REG_INT,9390,124445,13,0,500,0.528804,complete
rexxcps-opaque-stripped,6,10,91,SCOPY_REG_REG,8489,115526,13,0,917,0.490905,complete
rexxcps-opaque-stripped,7,11,105,BR_ID,8297,101696,12,0,2833,0.432137,complete
rexxcps-opaque-stripped,8,12,105,BRT_ID_REG,7711,97419,12,0,292,0.413963,complete
rexxcps-opaque-stripped,9,13,105,LOAD_REG_INT,7086,89296,12,0,167,0.379446,complete
rexxcps-opaque-stripped,10,15,105,IADD_REG_REG_INT,5842,74633,12,0,750,0.317138,complete
rexxcps-opaque-stripped,11,14,80,STRCHAR_REG_REG_REG,5826,88075,15,0,459,0.374257,complete
