rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,12515000,87,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R25;r2=R16;r3=R26;r4=R20;r5=R27;r6=R21","rxjson",1169
16,1315000,10,1,5,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R19;r2=R33;r3=R27;c1=int:93;c2=label@1603","rxjson",1584
17,1315000,10,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c2)","c1=label@1592;r1=R19;r2=R33;r3=R27;c2=int:93","rxjson",1581
18,1315000,10,1,5,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R19;r2=R27;r3=R37;c1=label@1592;r4=R33","rxjson",1577
19,1125000,7,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R34;c1=int:1;r2=R59;r3=R33;r4=R60;r5=R28","rxjson",1731
20,795000,4,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R58;r2=R27;r3=R37;c1=label@1821","rxjson",1804
21,745001,5,2,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_json_parser_opt",0
22,745001,5,2,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_json_parser_opt",4
23,745001,5,2,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_json_parser_opt",2
24,740000,6,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R24;c1=int:5;r2=R16;c2=int:256;r3=R25","rxjson",1163
25,740000,6,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R28;r2=R19;r3=R29;r4=R17;r5=R18;c1=func@2281184;r6=R24","rxjson",1178
26,735000,5,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SETTP_REG_INT(r5,c1)","r1=R27;r2=R15;r3=R29;r4=R18;r5=R20;c1=int:256","rxjson",1248
27,655000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | IGTE_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c1,r2)","r1=R18;r2=R22;r3=R103;r4=R102;c1=label@11151","rxjson",11140
28,655000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1)","r1=R14;r2=R103;r3=R1;r4=R101;r5=R22;c1=int:34","rxjson",11151
29,655000,6,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3)","r1=R58;c1=int:44;c2=label@1905;r2=R27;c3=int:1","rxjson",1817
30,655000,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2)","c1=int:1;r1=R15;r2=R101","rxjson",11067
31,655000,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","c1=int:1;r1=R15;r2=R101;r3=R16;r4=R102","rxjson",11069
32,650000,3,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R31;r2=R58;r3=R18;c1=int:0;c2=label@1731","rxjson",1713
33,650000,3,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IEQ_REG_REG_INT(r4,r5,c1)","r1=R29;r2=R57;r3=R31;r4=R58;r5=R18;c1=int:0","rxjson",1710
34,630000,3,1,5,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R26;r2=R18;r3=R103;c1=int:34;c2=label@11200","rxjson",11181
35,630000,3,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2)","c1=label@11189;r1=R26;r2=R18;r3=R103;c2=int:34","rxjson",11178
36,630000,3,1,5,over_3_symbols,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R26;r2=R103;r3=R24;c1=label@11189;r4=R18","rxjson",11174
37,615000,5,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R34;c1=int:0;r2=R19;r3=R27;r4=R37;c2=label@1592","rxjson",1574
38,610000,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R50;c1=int:-1;r2=R46;r3=R60;c2=int:0;c3=label@12230","rxjson",12216
39,590000,8,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R38;c1=int:1;r2=R37;c2=label@1445","rxjson",1437
40,480000,3,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R28;r2=R27;c1=int:34;c2=label@11237;r3=R103;c3=int:1","rxjson",11218
41,480000,2,1,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R19;r2=R27;r3=R37;c1=label@1905;r4=R49;c2=int:-1","rxjson",1615
42,475000,4,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | IEQ_REG_REG_INT(r3,r3,c1)","r1=R8;r2=R9;r3=R10;c1=int:0","rxjson",9197
43,475000,4,1,4,over_3_symbols,"ENDLIFE_REG(r1) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R9;r2=R10;c1=int:0;c2=label@9210","rxjson",9199
44,460000,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | LOAD_REG_INT(r3,c2)","c1=label@11237;r1=R28;r2=R103;c2=int:1;r3=R29","rxjson",11222
45,460000,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | IGTE_REG_REG_REG(r5,r6,r3)","r1=R18;r2=R101;r3=R24;r4=R102;r5=R26;r6=R103","rxjson",11168
46,460000,2,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c1) | ICOPY_REG_REG(r3,r2)","r1=R103;c1=int:1;r2=R29;r3=R43","rxjson",11225
47,460000,2,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ILT_REG_REG_REG(r3,r1,r4)","r1=R103;c1=int:1;r2=R19;c2=int:0;r3=R26;r4=R24","rxjson",11200
48,460000,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | IGTE_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c1,r3)","r1=R24;r2=R102;r3=R26;r4=R103;c1=label@11189","rxjson",11171
49,460000,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R19;c1=int:0;r2=R18;r3=R101;r4=R24;r5=R102","rxjson",11165
50,440000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3)","c1=label@12658;r1=R49;r2=R50;c2=int:-1;r3=R46;r4=R60;c3=int:0","rxjson",12213
51,420000,3,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | COPY_REG_REG(r3,r4)","c1=label@1905;r1=R58;r2=R27;c2=int:1;r3=R62;r4=R33","rxjson",1821
52,370000,2,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3)","r1=R22;r2=R1;c1=int:34;c2=label@11926;r3=R19;c3=int:0","rxjson",11158
53,370000,29,1,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R17;r2=R19;r3=R20","rxjson",1132
54,305000,4,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R28;r2=R5;r3=R20;r4=R3;r5=R37;r6=R1","rxjson",1490
55,295000,4,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=label@12690;r1=R61;r2=R58;r3=R101;r4=R57;r5=R102","rxjson",12045
56,290000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | COPY_REG_REG(r3,r4)","c1=label@11926;r1=R22;r2=R19;c2=int:0;r3=R18;r4=R101","rxjson",11162
57,290000,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R53;r2=R106;r3=R52;r4=R107;r5=R54;r6=R108","rxjson",12063
58,260000,3,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R103;c1=int:1;r2=R82;r3=R60;r4=R55;c2=label@12628","rxjson",12613
59,225000,2,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_REG(r3,r4,r5)","c1=label@12648;r1=R83;r2=R103;c2=int:1;r3=R82;r4=R60;r5=R55","rxjson",12610
60,205000,1,1,6,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4)","r1=R79;r2=R76;r3=R103;r4=R71;c1=int:48;c2=label@13186","rxjson",13171
61,205000,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2)","c1=label@13207;r1=R72;r2=R79;r3=R76;r4=R103;r5=R71;c2=int:48","rxjson",13168
62,195000,4,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R33;r2=R0;r3=R28;r4=R5;r5=R20;r6=R3","rxjson",1487
63,180000,2,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R61;r2=R1;c1=int:91;c2=label@12690;r3=R58;r4=R101","rxjson",12041
64,180000,2,1,5,over_3_symbols,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3)","r1=R83;r2=R1;c1=int:48;c2=label@13083;c3=int:57","rxjson",13072
65,170000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2)","c1=label@15100;r1=R23;r2=R22;r3=R82;r4=R18;c2=int:0","rxjson",13621
66,170000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R48;r2=R82;r3=R81;c1=label@14447","rxjson",14430
67,170000,1,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3)","r1=R82;c1=int:1;r2=R21;c2=int:-1;r3=R48;r4=R84;c3=int:0","rxjson",14452
68,170000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R17;r2=R82;r3=R49;r4=R80;r5=R50;r6=R81","rxjson",14358
69,170000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | COPY_REG_REG(r4,r5)","r1=R22;r2=R82;r3=R18;c1=int:0;r4=R24;r5=R80","rxjson",13624
70,170000,1,1,5,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r4,r2)","r1=R23;r2=R82;r3=R81;c1=label@15100;r4=R22","rxjson",13617
71,155000,3,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | RET_REG(r3)","r1=R21;r2=R20;r3=R58","rxjson",1934
72,150000,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@13186;r1=R71;r2=R79;c2=int:57;c3=label@13191","rxjson",13179
73,150000,1,1,5,over_3_symbols,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R71;r2=R79;c1=int:48;c2=label@13186;c3=int:57","rxjson",13175
74,145000,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r5,c1)","r1=R54;r2=R108;r3=R56;r4=R109;r5=R103;c1=int:1","rxjson",12069
75,145000,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r3,c1) | COPY_REG_REG(r4,r5)","r1=R56;r2=R109;r3=R103;c1=int:1;r4=R67;r5=R58","rxjson",12072
76,145000,3,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | BNE_ID_REG_INT(c1,r3,c2)","r1=R38;r2=R36;c1=label@10661;r3=R35;c2=int:0","rxjson",10651
77,145000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R55;r2=R105;r3=R53;r4=R106;r5=R52;r6=R107","rxjson",12060
78,145000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R60;r2=R104;r3=R55;r4=R105;r5=R53;r6=R106","rxjson",12057
79,105000,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@13322;r1=R73;r2=R79;c2=int:101;c3=label@13432","rxjson",13315
80,95000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r3,r1)","c1=label@13083;r1=R83;r2=R1;c2=int:57;r3=R82","rxjson",13076
81,95000,1,1,6,over_3_symbols,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@13086;r1=R82;r2=R83;r3=R1;c2=int:48;c3=label@13083","rxjson",13069
82,95000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | COPY_REG_REG(r3,r4)","r1=R82;r2=R83;c1=label@13480;r3=R76;r4=R101","rxjson",13083
83,95000,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGTE_REG_REG_INT(r3,r2,c3)","r1=R82;r2=R1;c1=int:45;c2=label@13086;r3=R83;c3=int:48","rxjson",13065
84,95000,1,1,5,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c2,r3)","r1=R83;r2=R1;c1=int:57;r3=R82;c2=label@13480","rxjson",13079
85,85000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | ILT_REG_REG_REG(r3,r2,r4)","c1=label@13199;r1=R73;r2=R103;c2=int:1;r3=R72;r4=R75","rxjson",13157
86,85000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@13157;r1=R73;r2=R79;c2=int:57;c3=label@13199","rxjson",13150
87,85000,3,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","c1=label@1905;r1=R19;r2=R49;c2=int:-1;r3=R50;c3=int:0","rxjson",1619
88,85000,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2)","r1=R103;c1=int:1;r2=R72;r3=R75;c2=label@13207","rxjson",13160
89,85000,1,1,6,over_3_symbols,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R73;r2=R79;c1=int:57;c2=label@13199;r3=R103;c3=int:1","rxjson",13153
90,85000,3,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R28;c1=int:0;r2=R24;c2=int:13;r3=R0;c3=int:256","rxjson",1233
91,80000,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","c1=label@12041;r1=R46;r2=R47;c2=int:14;r3=R101;c3=int:256","rxjson",11930
92,80000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c1,r2)","r1=R17;r2=R21;r3=R82;r4=R81;c1=label@13582","rxjson",13565
93,80000,1,1,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IADD_REG_REG_INT(r1,r1,c1)","c1=int:1;r1=R82","rxjson",13488
94,80000,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3)","c1=int:1;r1=R82;r2=R14;r3=R80","rxjson",13490
95,80000,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | RET_REG(r5)","r1=R112;r2=R60;r3=R113;r4=R61;r5=R43","rxjson",12033
96,75000,6,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R20;r2=R21;r3=R13;r4=R97","rxjson",1136
97,70000,5,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@9362;r1=R25;r2=R26;r3=R22;c2=int:0;c3=label@9333","rxjson",9319
98,70000,5,1,6,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R25;r2=R14;c1=int:0;c2=label@9362;r3=R26;r4=R22","rxjson",9315
99,70000,5,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R22;r2=R21;c1=int:1;r3=R13;r4=R24;c2=label@9305;c3=int:0","rxjson",9290
100,70000,5,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3)","r1=R17;c1=int:0;r2=R20;c2=string@31136;r3=R25;r4=R21;c3=int:1","rxjson",9258
101,70000,5,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R20;c1=string@31136;r2=R25;r3=R21;c2=int:1;c3=label@9274","rxjson",9261
102,70000,5,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3)","r1=R15;c1=string@321248;r2=R17;c2=int:0;r3=R20;c3=string@31136","rxjson",9255
103,70000,5,1,5,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R24;r2=R23;r3=R40;r4=R21;r5=R1","rxjson",9247
104,70000,5,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R18;r2=R15;r3=R25;c1=int:1;c2=label@9287","rxjson",9274
105,70000,5,1,6,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3)","r1=R24;r2=R23;r3=R22;r4=R21;c1=int:1;r5=R13","rxjson",9287
106,65000,4,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R21;r2=R1;r3=R15;c1=string@321248;r4=R17;c2=int:0","rxjson",9252
107,65000,4,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1)","r1=R23;r2=R40;r3=R21;r4=R1;r5=R15;c1=string@321248","rxjson",9249
108,65000,4,1,6,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4)","r1=R23;r2=R22;r3=R20;r4=R14;r5=R19;c1=int:1","rxjson",9355
109,65000,4,1,7,over_3_symbols,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_INT_REG(r4,c1,r3) | BLE_ID_REG_INT(c2,r4,c3)","r1=R20;r2=R23;r3=R14;r4=R19;c1=int:1;c2=label@9378;c3=int:0","rxjson",9358
110,60000,3,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3)","c1=label@1940;r1=R38;r2=R26;r3=R25","rxjson",1476
111,60000,3,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4)","r1=R23;r2=R22;r3=R38;r4=R21","rxjson",10406
112,55000,2,1,5,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | NULL_REG(r4)","r1=R8;r2=R1;r3=R3;c1=label@11055;r4=R13","rxjson",9228
113,50000,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c2,r1)","c1=label@12230;r1=R46;r2=R60;r3=R55;c2=label@12303","rxjson",12223
114,50000,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | REQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@10424;r1=R35;r2=R38;c2=string@1905032;c3=label@10429","rxjson",10417
