profiles=22 observed=184 rank176=FEQ_REG_REG_FLOAT score=8.600608655152898e-08 raw=2
121 BGT_ID_REG_REG                                score=0.00764987 raw=343000
122 FDIVSUB_REG_REG_REG_FLOAT                     score=0.00388329 raw=501000
123 ISHL_REG_REG_INT                              score=0.00387554 raw=500000
124 SETTPSWAP_REG_INT_REG                         score=0.00261934 raw=200000
125 ILTE_REG_REG_INT                              score=0.00248846 raw=190002
126 IAND_REG_REG_INT                              score=0.00226963 raw=19998
127 ILTE_REG_REG_REG                              score=0.00170257 raw=130000
128 BLEN_REG_REG                                  score=0.00150773 raw=113008
129 BLT_ID_REG_REG                                score=0.00144064 raw=110000
130 CALL1_REG_FUNC_REG                            score=0.00131103 raw=30424
131 BLT_ID_REG_INT                                score=0.00117888 raw=90004
132 IXOR_REG_REG_INT                              score=0.00113311 raw=9984
133 BCMPB_REG_REG_REG                             score=0.00065488 raw=50002
134 LOAD_REG_BINARY                               score=0.00054617 raw=41000
135 IXOR_REG_REG_REG                              score=0.00048832 raw=63000
136 STOBIN_REG                                    score=0.00026193 raw=20000
137 BCOPY_REG_REG                                 score=0.00015327 raw=11000
138 LOADSETTP2_REG_INT_REG_INT                    score=0.00013114 raw=10004
139 RGT_REG_REG_STRING                            score=0.00013097 raw=10000
140 RLT_REG_REG_STRING                            score=0.00013097 raw=10000
141 STRUPPER_REG_REG                              score=0.00012178 raw=2832
142 CALL_REG_FUNC_REG                             score=0.00008703 raw=2014
143 FNDNBLNK_REG_REG_REG                          score=0.00007164 raw=1666
144 STRCHAR_REG_REG_REG                           score=0.00007143 raw=1661
145 FCOPY_REG_REG                                 score=0.00005195 raw=1208
146 FDIV_REG_REG_FLOAT                            score=0.00005178 raw=1204
147 FTOS_REG                                      score=0.00005178 raw=1204
148 BPOFF                                         score=0.00005160 raw=1200
149 CALL_REG_FUNC                                 score=0.00005160 raw=1200
150 ITOF_REG                                      score=0.00005160 raw=1200
151 MTIME_REG                                     score=0.00005160 raw=1200
152 BRESIZE_REG_REG                               score=0.00004465 raw=2002
153 NOT_REG_REG                                   score=0.00003715 raw=864
154 GETANDTP_REG_REG_INT                          score=0.00003647 raw=848
155 STOF_REG                                      score=0.00002580 raw=600
156 BINTOS_REG                                    score=0.00002230 raw=1000
157 RET_STRING                                    score=0.00001720 raw=400
158 INC1                                          score=0.00001330 raw=80
159 ISHL_REG_REG_REG                              score=0.00000775 raw=1000
160 SCONCAT_REG_REG_STRING                        score=0.00000285 raw=48
161 SAY_REG                                       score=0.00000206 raw=32
162 SAY_STRING                                    score=0.00000198 raw=30
163 STOI_REG                                      score=0.00000163 raw=22
164 STRLOWER_REG_REG                              score=0.00000138 raw=32
165 APPENDCHAR_REG_REG                            score=0.00000082 raw=19
166 POSCHAR_REG_REG_REG                           score=0.00000069 raw=16
167 LOAD_REG_DECIMAL                              score=0.00000052 raw=12
168 SETNUMFUZ_INT                                 score=0.00000043 raw=10
169 SETNUMSTD_INT                                 score=0.00000043 raw=10
170 BNE_ID_REG_REG                                score=0.00000034 raw=8
171 SCONCAT_REG_STRING_REG                        score=0.00000034 raw=8
172 BLE_ID_REG_REG                                score=0.00000017 raw=4
173 FDIV_REG_FLOAT_REG                            score=0.00000017 raw=4
174 SETNUMCAS_INT                                 score=0.00000017 raw=4
175 FDIV_REG_REG_REG                              score=0.00000009 raw=2
176 FEQ_REG_REG_FLOAT                             score=0.00000009 raw=2
177 FEXTR_REG_REG_REG                             score=0.00000009 raw=2
178 FLT_REG_REG_FLOAT                             score=0.00000009 raw=2
179 FNDBLNK_REG_REG_REG                           score=0.00000009 raw=2
180 IMULT_REG_REG_REG                             score=0.00000009 raw=2
181 RXVERS_REG                                    score=0.00000009 raw=2
182 SCONCAT_REG_REG_REG                           score=0.00000009 raw=2
183 SETNUMFRM_INT                                 score=0.00000009 raw=2
184 STOI_REG_REG                                  score=0.00000009 raw=2
