workload,vm,entry,domain,status
sieve,rxbvm,opt,frame_entry,complete
sieve,rxbvm,opt,value_operations,complete
sieve,rxbvm,opt,branch_sites,complete
permute,rxbvm,noopt,instructions,complete
permute,rxbvm,noopt,procedures,complete
permute,rxbvm,noopt,allocations,complete
permute,rxbvm,noopt,call_census,complete
permute,rxbvm,noopt,frame_entry,complete
permute,rxbvm,noopt,value_operations,complete
permute,rxbvm,noopt,branch_sites,complete
permute,rxbvm,opt,instructions,complete
permute,rxbvm,opt,procedures,complete
permute,rxbvm,opt,allocations,complete
permute,rxbvm,opt,call_census,complete
permute,rxbvm,opt,frame_entry,complete
permute,rxbvm,opt,value_operations,complete
permute,rxbvm,opt,branch_sites,complete
mandelbrot,rxbvm,noopt,instructions,complete
mandelbrot,rxbvm,noopt,procedures,complete
mandelbrot,rxbvm,noopt,allocations,complete
mandelbrot,rxbvm,noopt,call_census,complete
mandelbrot,rxbvm,noopt,frame_entry,complete
mandelbrot,rxbvm,noopt,value_operations,complete
mandelbrot,rxbvm,noopt,branch_sites,complete
mandelbrot,rxbvm,opt,instructions,complete
mandelbrot,rxbvm,opt,procedures,complete
mandelbrot,rxbvm,opt,allocations,complete
mandelbrot,rxbvm,opt,call_census,complete
mandelbrot,rxbvm,opt,frame_entry,complete
mandelbrot,rxbvm,opt,value_operations,complete
mandelbrot,rxbvm,opt,branch_sites,complete
towers,rxbvm,noopt,instructions,complete
towers,rxbvm,noopt,procedures,complete
towers,rxbvm,noopt,allocations,complete
towers,rxbvm,noopt,call_census,complete
towers,rxbvm,noopt,frame_entry,complete
towers,rxbvm,noopt,value_operations,complete
towers,rxbvm,noopt,branch_sites,complete
towers,rxbvm,opt,instructions,complete
towers,rxbvm,opt,procedures,complete
towers,rxbvm,opt,allocations,complete
towers,rxbvm,opt,call_census,complete
towers,rxbvm,opt,frame_entry,complete
towers,rxbvm,opt,value_operations,complete
towers,rxbvm,opt,branch_sites,complete
bounce,rxbvm,noopt,instructions,complete
bounce,rxbvm,noopt,procedures,complete
bounce,rxbvm,noopt,allocations,complete
bounce,rxbvm,noopt,call_census,complete
bounce,rxbvm,noopt,frame_entry,complete
bounce,rxbvm,noopt,value_operations,complete
bounce,rxbvm,noopt,branch_sites,complete
bounce,rxbvm,opt,instructions,complete
bounce,rxbvm,opt,procedures,complete
bounce,rxbvm,opt,allocations,complete
bounce,rxbvm,opt,call_census,complete
bounce,rxbvm,opt,frame_entry,complete
bounce,rxbvm,opt,value_operations,complete
bounce,rxbvm,opt,branch_sites,complete
storage,rxbvm,noopt,instructions,complete
storage,rxbvm,noopt,procedures,complete
storage,rxbvm,noopt,allocations,complete
storage,rxbvm,noopt,call_census,complete
storage,rxbvm,noopt,frame_entry,complete
storage,rxbvm,noopt,value_operations,complete
storage,rxbvm,noopt,branch_sites,complete
storage,rxbvm,opt,instructions,complete
storage,rxbvm,opt,procedures,complete
storage,rxbvm,opt,allocations,complete
storage,rxbvm,opt,call_census,complete
storage,rxbvm,opt,frame_entry,complete
storage,rxbvm,opt,value_operations,complete
storage,rxbvm,opt,branch_sites,complete
list,rxbvm,noopt,instructions,complete
list,rxbvm,noopt,procedures,complete
list,rxbvm,noopt,allocations,complete
list,rxbvm,noopt,call_census,complete
list,rxbvm,noopt,frame_entry,complete
list,rxbvm,noopt,value_operations,complete
list,rxbvm,noopt,branch_sites,complete
list,rxbvm,opt,instructions,complete
list,rxbvm,opt,procedures,complete
list,rxbvm,opt,allocations,complete
list,rxbvm,opt,call_census,complete
list,rxbvm,opt,frame_entry,complete
list,rxbvm,opt,value_operations,complete
list,rxbvm,opt,branch_sites,complete
richards,rxbvm,noopt,instructions,complete
richards,rxbvm,noopt,procedures,complete
richards,rxbvm,noopt,allocations,complete
richards,rxbvm,noopt,call_census,complete
richards,rxbvm,noopt,frame_entry,complete
richards,rxbvm,noopt,value_operations,complete
richards,rxbvm,noopt,branch_sites,complete
richards,rxbvm,opt,instructions,complete
richards,rxbvm,opt,procedures,complete
richards,rxbvm,opt,allocations,complete
richards,rxbvm,opt,call_census,complete
richards,rxbvm,opt,frame_entry,complete
richards,rxbvm,opt,value_operations,complete
richards,rxbvm,opt,branch_sites,complete
json,rxbvm,noopt,instructions,complete
json,rxbvm,noopt,procedures,complete
json,rxbvm,noopt,allocations,complete
json,rxbvm,noopt,call_census,complete
json,rxbvm,noopt,frame_entry,complete
json,rxbvm,noopt,value_operations,complete
json,rxbvm,noopt,branch_sites,complete
json,rxbvm,opt,instructions,complete
json,rxbvm,opt,procedures,complete
json,rxbvm,opt,allocations,complete
json,rxbvm,opt,call_census,complete
json,rxbvm,opt,frame_entry,complete
json,rxbvm,opt,value_operations,complete
json,rxbvm,opt,branch_sites,complete
base64,rxbvm,noopt,instructions,complete
base64,rxbvm,noopt,procedures,complete
base64,rxbvm,noopt,allocations,complete
base64,rxbvm,noopt,call_census,complete
base64,rxbvm,noopt,frame_entry,complete
base64,rxbvm,noopt,value_operations,complete
base64,rxbvm,noopt,branch_sites,complete
base64,rxbvm,opt,instructions,complete
base64,rxbvm,opt,procedures,complete
base64,rxbvm,opt,allocations,complete
base64,rxbvm,opt,call_census,complete
base64,rxbvm,opt,frame_entry,complete
base64,rxbvm,opt,value_operations,complete
base64,rxbvm,opt,branch_sites,complete
rexxcps,rxbvm,noopt,instructions,complete
rexxcps,rxbvm,noopt,procedures,complete
rexxcps,rxbvm,noopt,allocations,complete
rexxcps,rxbvm,noopt,call_census,complete
rexxcps,rxbvm,noopt,frame_entry,complete
rexxcps,rxbvm,noopt,value_operations,complete
rexxcps,rxbvm,noopt,branch_sites,complete
rexxcps,rxbvm,opt,instructions,complete
rexxcps,rxbvm,opt,procedures,complete
rexxcps,rxbvm,opt,allocations,complete
rexxcps,rxbvm,opt,call_census,complete
rexxcps,rxbvm,opt,frame_entry,complete
rexxcps,rxbvm,opt,value_operations,complete
rexxcps,rxbvm,opt,branch_sites,complete
