workload,vm,entry,rank,transition,count,total_ns
bounce,rxvm,opt,5,external_entry,1,0
storage,rxvm,noopt,1,sequential_same_frame,5435222,0
storage,rxvm,noopt,2,branch_same_frame,783933,0
storage,rxvm,noopt,3,call_enter_frame,341340,0
storage,rxvm,noopt,4,return_leave_frame,341340,0
storage,rxvm,noopt,5,external_entry,1,0
storage,rxvm,opt,1,sequential_same_frame,4984702,0
storage,rxvm,opt,2,branch_same_frame,824893,0
storage,rxvm,opt,3,call_enter_frame,191130,0
storage,rxvm,opt,4,return_leave_frame,191130,0
storage,rxvm,opt,5,external_entry,1,0
list,rxvm,noopt,1,sequential_same_frame,35786822,0
list,rxvm,noopt,2,call_enter_frame,4396100,0
list,rxvm,noopt,3,return_leave_frame,4396100,0
list,rxvm,noopt,4,branch_same_frame,4035903,0
list,rxvm,noopt,5,external_entry,1,0
list,rxvm,opt,1,sequential_same_frame,23296622,0
list,rxvm,opt,2,branch_same_frame,4035903,0
list,rxvm,opt,3,call_enter_frame,572500,0
list,rxvm,opt,4,return_leave_frame,572500,0
list,rxvm,opt,5,external_entry,1,0
richards,rxvm,noopt,1,sequential_same_frame,7359912,0
richards,rxvm,noopt,2,branch_same_frame,1002931,0
richards,rxvm,noopt,3,call_enter_frame,469638,0
richards,rxvm,noopt,4,return_leave_frame,469638,0
richards,rxvm,noopt,5,external_entry,1,0
richards,rxvm,opt,1,sequential_same_frame,7156384,0
richards,rxvm,opt,2,branch_same_frame,1220546,0
richards,rxvm,opt,3,call_enter_frame,119157,0
richards,rxvm,opt,4,return_leave_frame,119157,0
richards,rxvm,opt,5,external_entry,1,0
json,rxvm,noopt,1,sequential_same_frame,87385031,0
json,rxvm,noopt,2,branch_same_frame,27615003,0
json,rxvm,noopt,3,call_enter_frame,745000,0
json,rxvm,noopt,4,return_leave_frame,745000,0
json,rxvm,noopt,5,external_entry,1,0
json,rxvm,opt,1,sequential_same_frame,87370021,0
json,rxvm,opt,2,branch_same_frame,27615003,0
json,rxvm,opt,3,call_enter_frame,745000,0
json,rxvm,opt,4,return_leave_frame,745000,0
json,rxvm,opt,5,external_entry,1,0
base64,rxvm,noopt,1,sequential_same_frame,51515365,0
base64,rxvm,noopt,2,branch_same_frame,12329056,0
base64,rxvm,noopt,3,call_enter_frame,2054007,0
base64,rxvm,noopt,4,return_leave_frame,2054007,0
base64,rxvm,noopt,5,external_entry,1,0
base64,rxvm,opt,1,sequential_same_frame,37136308,0
base64,rxvm,opt,2,branch_same_frame,9587060,0
base64,rxvm,opt,3,call_enter_frame,500,0
base64,rxvm,opt,4,return_leave_frame,500,0
base64,rxvm,opt,5,external_entry,1,0
rexxcps,rxvm,noopt,1,sequential_same_frame,5758139,0
rexxcps,rxvm,noopt,2,branch_same_frame,1062113,0
rexxcps,rxvm,noopt,3,call_enter_frame,156243,0
rexxcps,rxvm,noopt,4,return_leave_frame,156243,0
rexxcps,rxvm,noopt,5,external_entry,1,0
rexxcps,rxvm,opt,1,sequential_same_frame,5281701,0
rexxcps,rxvm,opt,2,branch_same_frame,760015,0
rexxcps,rxvm,opt,3,call_enter_frame,34442,0
rexxcps,rxvm,opt,4,return_leave_frame,34442,0
rexxcps,rxvm,opt,5,external_entry,1,0
sieve,rxbvm,noopt,1,sequential_same_frame,6055271,0
sieve,rxbvm,noopt,2,branch_same_frame,1857003,0
sieve,rxbvm,noopt,3,call_enter_frame,50,0
sieve,rxbvm,noopt,4,return_leave_frame,50,0
sieve,rxbvm,noopt,5,external_entry,1,0
sieve,rxbvm,opt,1,sequential_same_frame,4968371,0
sieve,rxbvm,opt,2,branch_same_frame,1857003,0
sieve,rxbvm,opt,3,external_entry,1,0
sieve,rxbvm,opt,4,terminal,1,0
permute,rxbvm,noopt,1,sequential_same_frame,12471322,0
permute,rxbvm,noopt,2,branch_same_frame,1118003,0
permute,rxbvm,noopt,3,call_enter_frame,937000,0
permute,rxbvm,noopt,4,return_leave_frame,937000,0
permute,rxbvm,noopt,5,external_entry,1,0
permute,rxbvm,opt,1,sequential_same_frame,10347972,0
permute,rxbvm,opt,2,branch_same_frame,685053,0
permute,rxbvm,opt,3,call_enter_frame,432950,0
permute,rxbvm,opt,4,return_leave_frame,432950,0
permute,rxbvm,opt,5,external_entry,1,0
mandelbrot,rxbvm,noopt,1,sequential_same_frame,120950062,0
mandelbrot,rxbvm,noopt,2,branch_same_frame,17259746,0
mandelbrot,rxbvm,noopt,3,call_enter_frame,1,0
mandelbrot,rxbvm,noopt,4,external_entry,1,0
mandelbrot,rxbvm,noopt,5,return_leave_frame,1,0
mandelbrot,rxbvm,opt,1,sequential_same_frame,111754507,0
mandelbrot,rxbvm,opt,2,branch_same_frame,17259745,0
mandelbrot,rxbvm,opt,3,external_entry,1,0
mandelbrot,rxbvm,opt,4,terminal,1,0
towers,rxbvm,noopt,1,sequential_same_frame,6842772,0
towers,rxbvm,noopt,2,branch_same_frame,791903,0
towers,rxbvm,noopt,3,call_enter_frame,737610,0
towers,rxbvm,noopt,4,return_leave_frame,737610,0
towers,rxbvm,noopt,5,external_entry,1,0
towers,rxbvm,opt,1,sequential_same_frame,5777682,0
towers,rxbvm,opt,2,branch_same_frame,1037873,0
towers,rxbvm,opt,3,call_enter_frame,163950,0
towers,rxbvm,opt,4,return_leave_frame,163950,0
towers,rxbvm,opt,5,external_entry,1,0
bounce,rxbvm,noopt,1,sequential_same_frame,19216022,0
bounce,rxbvm,noopt,2,branch_same_frame,2958603,0
bounce,rxbvm,noopt,3,call_enter_frame,692900,0
bounce,rxbvm,noopt,4,return_leave_frame,692900,0
bounce,rxbvm,noopt,5,external_entry,1,0
bounce,rxbvm,opt,1,sequential_same_frame,17845222,0
bounce,rxbvm,opt,2,branch_same_frame,3274303,0
bounce,rxbvm,opt,3,call_enter_frame,10100,0
bounce,rxbvm,opt,4,return_leave_frame,10100,0
bounce,rxbvm,opt,5,external_entry,1,0
storage,rxbvm,noopt,1,sequential_same_frame,5435222,0
storage,rxbvm,noopt,2,branch_same_frame,783933,0
storage,rxbvm,noopt,3,call_enter_frame,341340,0
storage,rxbvm,noopt,4,return_leave_frame,341340,0
storage,rxbvm,noopt,5,external_entry,1,0
storage,rxbvm,opt,1,sequential_same_frame,4984702,0
storage,rxbvm,opt,2,branch_same_frame,824893,0
storage,rxbvm,opt,3,call_enter_frame,191130,0
storage,rxbvm,opt,4,return_leave_frame,191130,0
storage,rxbvm,opt,5,external_entry,1,0
list,rxbvm,noopt,1,sequential_same_frame,35786822,0
list,rxbvm,noopt,2,call_enter_frame,4396100,0
list,rxbvm,noopt,3,return_leave_frame,4396100,0
list,rxbvm,noopt,4,branch_same_frame,4035903,0
list,rxbvm,noopt,5,external_entry,1,0
list,rxbvm,opt,1,sequential_same_frame,23296622,0
list,rxbvm,opt,2,branch_same_frame,4035903,0
list,rxbvm,opt,3,call_enter_frame,572500,0
list,rxbvm,opt,4,return_leave_frame,572500,0
list,rxbvm,opt,5,external_entry,1,0
richards,rxbvm,noopt,1,sequential_same_frame,7359912,0
richards,rxbvm,noopt,2,branch_same_frame,1002931,0
richards,rxbvm,noopt,3,call_enter_frame,469638,0
richards,rxbvm,noopt,4,return_leave_frame,469638,0
richards,rxbvm,noopt,5,external_entry,1,0
richards,rxbvm,opt,1,sequential_same_frame,7156384,0
richards,rxbvm,opt,2,branch_same_frame,1220546,0
richards,rxbvm,opt,3,call_enter_frame,119157,0
richards,rxbvm,opt,4,return_leave_frame,119157,0
richards,rxbvm,opt,5,external_entry,1,0
json,rxbvm,noopt,1,sequential_same_frame,87385031,0
json,rxbvm,noopt,2,branch_same_frame,27615003,0
json,rxbvm,noopt,3,call_enter_frame,745000,0
json,rxbvm,noopt,4,return_leave_frame,745000,0
json,rxbvm,noopt,5,external_entry,1,0
json,rxbvm,opt,1,sequential_same_frame,87370021,0
json,rxbvm,opt,2,branch_same_frame,27615003,0
json,rxbvm,opt,3,call_enter_frame,745000,0
json,rxbvm,opt,4,return_leave_frame,745000,0
json,rxbvm,opt,5,external_entry,1,0
base64,rxbvm,noopt,1,sequential_same_frame,51515365,0
base64,rxbvm,noopt,2,branch_same_frame,12329056,0
base64,rxbvm,noopt,3,call_enter_frame,2054007,0
base64,rxbvm,noopt,4,return_leave_frame,2054007,0
base64,rxbvm,noopt,5,external_entry,1,0
base64,rxbvm,opt,1,sequential_same_frame,37136308,0
base64,rxbvm,opt,2,branch_same_frame,9587060,0
base64,rxbvm,opt,3,call_enter_frame,500,0
base64,rxbvm,opt,4,return_leave_frame,500,0
base64,rxbvm,opt,5,external_entry,1,0
rexxcps,rxbvm,noopt,1,sequential_same_frame,6993730,0
rexxcps,rxbvm,noopt,2,branch_same_frame,1286516,0
rexxcps,rxbvm,noopt,3,call_enter_frame,189843,0
rexxcps,rxbvm,noopt,4,return_leave_frame,189843,0
rexxcps,rxbvm,noopt,5,external_entry,1,0
rexxcps,rxbvm,opt,1,sequential_same_frame,5281676,0
rexxcps,rxbvm,opt,2,branch_same_frame,760012,0
rexxcps,rxbvm,opt,3,call_enter_frame,34442,0
rexxcps,rxbvm,opt,4,return_leave_frame,34442,0
rexxcps,rxbvm,opt,5,external_entry,1,0
