workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
list,rxbvm,noopt,5,48614926,4396100,48,4396053,37129414,4608302,74411,361900,76800,852445,249298,3,8872948,28373072,8672,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
list,rxbvm,opt,5,28477526,572500,44,572457,15030414,4611602,76811,80800,74400,282470,224818,3,1220456,26319024,9728,19,6054805,4035903,2018902,1805100,0,0,0,0,0,0,complete
richards,rxbvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxbvm,opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
json,rxbvm,noopt,5,116490035,745000,12,744989,71645014,5855002,3511350012,235000,18090000,553352,36592904,3,1531453,31777872,26096,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
json,rxbvm,opt,5,116475025,745000,12,744989,71645012,5855002,3511350012,235000,18090000,553346,36591101,3,1531442,31773200,26096,11,43670005,27615003,16055002,4020000,0,0,0,0,0,0,complete
base64,rxbvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxbvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxbvm,noopt,5,8659933,189843,25,189819,2388002,209278,7171131,172025,639410,346358,5565974,595522,501621,4295064,28256,5,1723431,1286516,436915,63229,0,0,0,0,0,0,complete
rexxcps,rxbvm,opt,5,6110573,34442,21,34422,916586,243278,10330331,2624,8026,353939,15273763,673511,330174,58629368,27992,5,1017325,760012,257313,120230,0,0,0,0,0,0,complete
