crexx-nr05-call-census-manifest|1
# Fields: id|pair|workload|variant|mode|image|modules|args|expectation|source_trace|warmups|runs|image_sha256|module_sha256s
# Semicolons separate repeated values. Product timing is one diagnostic sample; NR-05 conclusions use schema-4 counts.
storage-noopt|storage|Storage|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_storage_noopt.rxbin|cmake-build-release/bin/library.rxbin|10|PASS: AWFY Storage|source=tests/benchmarks/awfy_storage.crexx;TRACE=Off|0|1|d3a4a3e5d068599cfb96f2a90c8ead958c8ea8b5fc4e82f251485ea7622a42be|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
storage-opt|storage|Storage|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxbin|cmake-build-release/bin/library.rxbin|10|PASS: AWFY Storage|source=tests/benchmarks/awfy_storage.crexx;TRACE=Off|0|1|c9f75429a3edb01c5db3e779e28d656ebadb7ce464b85b54d1489ab7c7065071|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
list-noopt|list|List|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_list_noopt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY List|source=tests/benchmarks/awfy_list.crexx;TRACE=Off|0|1|50141f47f2775bb5c51046d6c38061f3db2254c18cff1b048b59f1b18eff116f|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
list-opt|list|List|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_list_opt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY List|source=tests/benchmarks/awfy_list.crexx;TRACE=Off|0|1|093dfb1e24e589c7f261f975f874bff7f777e64456d2bab49e5ea9fa06580ebc|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
richards-noopt|richards|Richards|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_noopt.rxbin|cmake-build-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|d41233268f8f3eaca22deb8a0a096f1a4ea123fa1e872f63a5192ed173c9ed38|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
richards-opt|richards|Richards|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin|cmake-build-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|0|1|39a470aff8ef255139af82667ec08887d8208052aafc586a15303322996bcab9|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
json-noopt|json|JSON|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_json_parser_noopt.rxbin|cmake-build-release/bin/library.rxbin|5000|PASS: JSON Parser|source=tests/benchmarks/json_parser.crexx;TRACE=Off|0|1|86037310317068274cfaa1d8d87519c4a804ce0e3627d5afa976c3dd0775d1ab|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
json-opt|json|JSON|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_json_parser_opt.rxbin|cmake-build-release/bin/library.rxbin|5000|PASS: JSON Parser|source=tests/benchmarks/json_parser.crexx;TRACE=Off|0|1|e4762a7aec652947ecf62ad061f1d06f3872959e06258ca1eee8024871fd1f37|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
base64-noopt|base64|Base64|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_noopt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|0|1|4682af16db87f9864fee52fd5e133810242b711caf071cfdf9ad8dd8ca527d8a|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
base64-opt|base64|Base64|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|0|1|9d75b1d7561a9e53637234fec4a2c011899055b2865c2e42063bd9e336d7bbb6|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
rexxcps-noopt|rexxcps|RexxCPS|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_noopt.rxbin|cmake-build-release/bin/library.rxbin|1;1|PASS: RexxCPS 2.2c cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;bounded_overrides=1,1|0|1|88821683b69de5c1ceccf84b6ca3a5d79a5b917d35e28ec3cbe4c27afdfdae98|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
rexxcps-opt|rexxcps|RexxCPS|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin|cmake-build-release/bin/library.rxbin|1;1|PASS: RexxCPS 2.2c cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;bounded_overrides=1,1|0|1|f23c15e0066559d8b2f6d69773676e747cca4f5c5dd53093b882db0a0e66a1ba|ef017bc04eab57e8bb515df75f4e8cee2b52d7827c665278c095d3af96beaf6b
