# role|runtime|workload|form|path
crexx-artifact-inventory|1
benchmark|oorexx|Storage|source|tests/benchmarks/cross-runtime/oorexx/awfy_storage.rex
benchmark|oorexx|List|source|tests/benchmarks/cross-runtime/oorexx/awfy_list.rex
benchmark|oorexx|Richards|source|tests/benchmarks/cross-runtime/oorexx/awfy_richards.rex
benchmark|oorexx|JSON|source|tests/benchmarks/cross-runtime/oorexx/json_parser.rex
benchmark|oorexx|Base64|source|tests/benchmarks/cross-runtime/oorexx/base64_roundtrip.rex
benchmark|oorexx|RexxCPS|source|tests/benchmarks/cross-runtime/rexxcps/rexxcps_2_2.rex
benchmark|netrexx|Sieve|source|tests/benchmarks/cross-runtime/netrexx/awfy_sieve.nrx
generated|netrexx|Sieve|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_sieve.java.keep
generated|netrexx|Sieve|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_sieve.class
benchmark|netrexx|Permute|source|tests/benchmarks/cross-runtime/netrexx/awfy_permute.nrx
generated|netrexx|Permute|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_permute.java.keep
generated|netrexx|Permute|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_permute.class
generated|netrexx|Permute|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/PermuteBenchmark.class
benchmark|netrexx|Mandelbrot|source|tests/benchmarks/cross-runtime/netrexx/awfy_mandelbrot.nrx
generated|netrexx|Mandelbrot|java|performance/evidence/2026-07-15-nr-02-cross-runtime/mandelbrot/netrexx/awfy_mandelbrot.java
generated|netrexx|Mandelbrot|class|performance/evidence/2026-07-15-nr-02-cross-runtime/mandelbrot/netrexx/awfy_mandelbrot.class
benchmark|netrexx|Towers|source|tests/benchmarks/cross-runtime/netrexx/awfy_towers.nrx
generated|netrexx|Towers|java|performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/awfy_towers.java
generated|netrexx|Towers|class|performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/awfy_towers.class
generated|netrexx|Towers|class|performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/TowersBenchmark.class
generated|netrexx|Towers|class|performance/evidence/2026-07-15-nr-02-cross-runtime/towers/netrexx/TowersDisk.class
benchmark|netrexx|Bounce|source|tests/benchmarks/cross-runtime/netrexx/awfy_bounce.nrx
generated|netrexx|Bounce|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_bounce.java.keep
generated|netrexx|Bounce|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_bounce.class
generated|netrexx|Bounce|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceBenchmark.class
generated|netrexx|Bounce|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceBall.class
generated|netrexx|Bounce|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/BounceRandom.class
benchmark|netrexx|Storage|source|tests/benchmarks/cross-runtime/netrexx/awfy_storage.nrx
generated|netrexx|Storage|java|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_storage.java.keep
generated|netrexx|Storage|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_storage.class
generated|netrexx|Storage|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/StorageBenchmark.class
generated|netrexx|Storage|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/StorageRandom.class
benchmark|netrexx|List|source|tests/benchmarks/cross-runtime/netrexx/awfy_list.nrx
generated|netrexx|List|java|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_list.java.keep
generated|netrexx|List|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/awfy_list.class
generated|netrexx|List|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/ListBenchmark.class
generated|netrexx|List|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/ListElement.class
benchmark|netrexx|Richards|source|tests/benchmarks/cross-runtime/netrexx/awfy_richards.nrx
generated|netrexx|Richards|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_richards.java.keep
generated|netrexx|Richards|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/awfy_richards.class
generated|netrexx|Richards|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/RichardsScheduler.class
benchmark|netrexx|JSON|source|tests/benchmarks/cross-runtime/netrexx/json_parser.nrx
generated|netrexx|JSON|java|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/json_parser.java.keep
generated|netrexx|JSON|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/json_parser.class
generated|netrexx|JSON|class|performance/evidence/2026-07-15-nr-02-portfolio-expansion/generated/netrexx/JsonDomParser.class
benchmark|netrexx|Base64|source|tests/benchmarks/cross-runtime/netrexx/base64_roundtrip.nrx
generated|netrexx|Base64|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/base64_roundtrip.java.keep
generated|netrexx|Base64|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/netrexx-decimal/base64_roundtrip.class
benchmark|netrexx|RexxCPS|source|tests/benchmarks/cross-runtime/rexxcps/rexxcps_2_2n.nrx
generated|netrexx|RexxCPS|java|performance/evidence/2026-07-15-nr-02-cross-runtime/rexxcps/netrexx-2.2n/rexxcps_2_2n.java
generated|netrexx|RexxCPS|class|performance/evidence/2026-07-15-nr-02-cross-runtime/rexxcps/netrexx-2.2n/rexxcps_2_2n.class
lifecycle|crexx|Lifecycle|rxas|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/crexx/lifecycle_probe.rxas
lifecycle|crexx|Lifecycle|rxbin|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/crexx/lifecycle_probe.rxbin
lifecycle|oorexx|Lifecycle|translated-image|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/oorexx/lifecycle_probe.orx
lifecycle|netrexx|Lifecycle|source-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/netrexx/lifecycle_probe.nrx
lifecycle|netrexx|Lifecycle|java-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/netrexx/lifecycle_probe.java.keep
lifecycle|netrexx|Lifecycle|class-decimal|performance/evidence/2026-07-20-nr-10-formal-baseline/lifecycle-decimal/netrexx/lifecycle_probe.class
control|native-c|Mechanical|source|performance/evidence/2026-07-20-nr-10-formal-baseline/controls/rexxcps_mechanical.c
control|native-c|Mechanical|executable|performance/evidence/2026-07-20-nr-10-formal-baseline/controls/build/rexxcps_mechanical
control|native-c|Dynamic-value|source|performance/evidence/2026-07-20-nr-10-formal-baseline/controls/rexxcps_dynamic_value.c
control|native-c|Dynamic-value|executable|performance/evidence/2026-07-20-nr-10-formal-baseline/controls/build/rexxcps_dynamic_value
