round,workload,variant,order,elapsed_seconds
4,towers,locked_p1,4,0.018999100
5,towers,pre_p1,1,0.018551826
5,towers,a3,2,0.020238876
5,towers,locked_p1,3,0.019639015
5,towers,a1,4,0.022047043
6,towers,pre_p1,1,0.022814989
6,towers,a3,2,0.019338131
6,towers,a1,3,0.020877123
6,towers,locked_p1,4,0.019529819
7,towers,locked_p1,1,0.019881964
7,towers,pre_p1,2,0.019315004
7,towers,a1,3,0.022123098
7,towers,a3,4,0.019415140
8,towers,locked_p1,1,0.019181967
8,towers,pre_p1,2,0.019755125
8,towers,a3,3,0.019036055
8,towers,a1,4,0.018810034
9,towers,locked_p1,1,0.020472050
9,towers,a1,2,0.019608974
9,towers,pre_p1,3,0.019407988
9,towers,a3,4,0.019558907
10,towers,locked_p1,1,0.019088984
10,towers,a1,2,0.019888163
10,towers,a3,3,0.019634962
10,towers,pre_p1,4,0.019979000
11,towers,locked_p1,1,0.023727179
11,towers,a3,2,0.019541979
11,towers,pre_p1,3,0.019298792
11,towers,a1,4,0.018781900
12,towers,locked_p1,1,0.021203995
12,towers,a3,2,0.019514799
12,towers,a1,3,0.019644022
12,towers,pre_p1,4,0.020002127
13,towers,a1,1,0.019783020
13,towers,pre_p1,2,0.019971132
13,towers,locked_p1,3,0.023175001
13,towers,a3,4,0.020070791
14,towers,a1,1,0.020256996
14,towers,pre_p1,2,0.023550987
14,towers,a3,3,0.019607067
14,towers,locked_p1,4,0.020064116
15,towers,a1,1,0.019816160
15,towers,locked_p1,2,0.019687891
15,towers,pre_p1,3,0.019830942
15,towers,a3,4,0.024219036
16,towers,a1,1,0.020037889
16,towers,locked_p1,2,0.026176929
16,towers,a3,3,0.020403147
16,towers,pre_p1,4,0.024760008
17,towers,a1,1,0.020189047
17,towers,a3,2,0.019636869
17,towers,pre_p1,3,0.019905090
17,towers,locked_p1,4,0.020277977
18,towers,a1,1,0.020157099
18,towers,a3,2,0.019754171
18,towers,locked_p1,3,0.019696951
18,towers,pre_p1,4,0.020039082
19,towers,a3,1,0.018656969
19,towers,pre_p1,2,0.020019054
19,towers,locked_p1,3,0.022747040
19,towers,a1,4,0.023906946
20,towers,a3,1,0.020195007
20,towers,pre_p1,2,0.019762993
20,towers,a1,3,0.020061970
20,towers,locked_p1,4,0.018921137
21,towers,a3,1,0.020269871
21,towers,locked_p1,2,0.024639845
21,towers,pre_p1,3,0.019422054
21,towers,a1,4,0.019802809
22,towers,a3,1,0.019872904
22,towers,locked_p1,2,0.018835068
22,towers,a1,3,0.019685984
22,towers,pre_p1,4,0.019570112
23,towers,a3,1,0.018976927
23,towers,a1,2,0.020807028
23,towers,pre_p1,3,0.020054102
23,towers,locked_p1,4,0.020402908
24,towers,a3,1,0.019009829
24,towers,a1,2,0.019616842
24,towers,locked_p1,3,0.021346092
24,towers,pre_p1,4,0.019506216
25,richards,pre_p1,1,0.050473928
25,richards,locked_p1,2,0.050836086
25,richards,a1,3,0.053048134
25,richards,a3,4,0.056062937
26,richards,pre_p1,1,0.050009966
26,richards,a1,2,0.051466942
26,richards,a3,3,0.051000834
26,richards,locked_p1,4,0.052810907
27,richards,pre_p1,1,0.050554037
27,richards,a3,2,0.056113958
27,richards,locked_p1,3,0.051729918
27,richards,a1,4,0.050147057
28,richards,locked_p1,1,0.055684090
28,richards,pre_p1,2,0.054417849
28,richards,a3,3,0.058087826
28,richards,a1,4,0.053514004
29,richards,locked_p1,1,0.056275845
29,richards,a1,2,0.053278923
29,richards,pre_p1,3,0.051439047
29,richards,a3,4,0.052042007
30,richards,locked_p1,1,0.050426960
30,richards,a3,2,0.055254936
30,richards,a1,3,0.061625957
30,richards,pre_p1,4,0.052165031
31,richards,a1,1,0.051371813
31,richards,pre_p1,2,0.055471182
31,richards,locked_p1,3,0.051869869
31,richards,a3,4,0.054119110
32,richards,a1,1,0.051888943
32,richards,locked_p1,2,0.051126003
32,richards,a3,3,0.055277109
32,richards,pre_p1,4,0.054361105
33,richards,a1,1,0.055406094
33,richards,a3,2,0.053243876
33,richards,pre_p1,3,0.056720018
33,richards,locked_p1,4,0.054419994
34,richards,a3,1,0.052462101
34,richards,pre_p1,2,0.051486015
34,richards,a1,3,0.053197861
34,richards,locked_p1,4,0.053123951
35,richards,a3,1,0.051650047
35,richards,locked_p1,2,0.054822922
35,richards,pre_p1,3,0.049734116
35,richards,a1,4,0.062282801
36,richards,a3,1,0.054697990
36,richards,a1,2,0.049731970
36,richards,locked_p1,3,0.056250095
36,richards,pre_p1,4,0.052868843
25,towers,pre_p1,1,0.019312859
25,towers,locked_p1,2,0.023144007
25,towers,a1,3,0.024173021
25,towers,a3,4,0.022990942
26,towers,pre_p1,1,0.019389153
26,towers,a1,2,0.018945932
26,towers,a3,3,0.019533873
26,towers,locked_p1,4,0.018888950
27,towers,pre_p1,1,0.019608021
27,towers,a3,2,0.019346952
27,towers,locked_p1,3,0.018942118
27,towers,a1,4,0.019701958
28,towers,locked_p1,1,0.018827915
28,towers,pre_p1,2,0.019446850
28,towers,a3,3,0.019816875
28,towers,a1,4,0.019623995
29,towers,locked_p1,1,0.020076990
29,towers,a1,2,0.018790007
29,towers,pre_p1,3,0.018753052
29,towers,a3,4,0.019803047
30,towers,locked_p1,1,0.019584894
30,towers,a3,2,0.019577980
30,towers,a1,3,0.019099951
30,towers,pre_p1,4,0.018842936
31,towers,a1,1,0.020159960
31,towers,pre_p1,2,0.019008160
31,towers,locked_p1,3,0.018920898
31,towers,a3,4,0.019668102
32,towers,a1,1,0.018924952
32,towers,locked_p1,2,0.020442963
32,towers,a3,3,0.018857002
32,towers,pre_p1,4,0.021291971
33,towers,a1,1,0.019312143
33,towers,a3,2,0.019559860
33,towers,pre_p1,3,0.020322084
33,towers,locked_p1,4,0.020156145
34,towers,a3,1,0.020066977
34,towers,pre_p1,2,0.018369913
34,towers,a1,3,0.019839048
34,towers,locked_p1,4,0.020253897
35,towers,a3,1,0.019890070
35,towers,locked_p1,2,0.020060062
35,towers,pre_p1,3,0.019613981
35,towers,a1,4,0.019162893
36,towers,a3,1,0.019590855
36,towers,a1,2,0.018907070
36,towers,locked_p1,3,0.018597126
36,towers,pre_p1,4,0.022743940
