variant,artifact,bytes,sha256
C1a-R1,/private/tmp/crexx-perf3-02-c1a-r1.1XABpy/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,78574,f89805f0d7c7660ebb593c118f9f60407a8052aa235c63f2a4663acc0533a65d
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/CMakeCache.txt,41949,0fd0c63e3d1253030340fa9d241acd41bc6ffdca836c4bfed94dbfcbd47bf6a6
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/bin/rxc,2819472,0efd907b79883f882f36c6479743409111cea9121bf86a70140475cf3fd78df0
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/bin/rxvm,998840,afc8a7a149d9d4b72d7b7743bcf4c57dd33c3b15af8affa5cc66eb493af80ba9
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/bin/rxbvm,999016,c1dc68157e4471e6546aaf2530733da0316d861907ea8c02424664891ee2122a
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/bin/library.rxbin,935925,5defeb2490e7ddc8bf14096230fa49717eaad287c9dc40cc0c01d6bea809c5a8
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas,254827,ea1d884d979bf7867efae1cd60102cf7a4db88bc901ae989571d65e19d9274b0
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,78622,63a26e3a23c4f6090277218c7e406d481ff4dafe6dcc06266261dc4c79a93982
C1a-R2,/private/tmp/crexx-perf3-02-c1a-r2.wDliEF/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin,28686,62f0596b0f928bb4bec7187b77ee69057c896804294530c1d940a7f09c642ff8
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/CMakeCache.txt,41949,5b31b20c33784cca3db83aaadd69df101b301bf9015a9cc8c3414664ca329f23
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/bin/rxc,2819424,505fa03693001663ab084c0d32b17660a6ac26229c41a96ec05a4a46e303f77c
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/bin/rxvm,998840,6f518dc076229932772d34df2a15285d43afc4186750503050f96dc1faf23d77
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/bin/rxbvm,999016,c236bd14f79a20221ff7656090bf55a9f03af34e4a8f1d4c410c57c688574131
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/bin/library.rxbin,935669,d0dd159ca01909c8086f5e2e78c3f1345d3910ffbd3548d7f17a2edf9fc3e43c
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin,78734,f38cd5cea7a9a7d838e78de5933e6d156e72767d5c6a1da6b730b23ee7bcf03e
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas,81002,35ead6d2a0313e64986370c803bf960cc20a73bf5b1813d9c0e8d2ac2a7c3e4e
C1c-R1,/private/tmp/crexx-perf3-02-c1c-r1.34OsFa/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin,28646,2a89a49830608e755fe2eddb678e4efe4e783587b7e1f4d6bb625c9183dfa267
C2-E1,/private/tmp/crexx-perf3-02-c2-e1.TqLL2w/build-release/CMakeCache.txt,41849,6b15c2997c7119fdc933452a65c8a2bd2641014192ab5e5dc4649ad5d35568db
C2-E1,/private/tmp/crexx-perf3-02-c2-e1.TqLL2w/build-release/bin/rxas,579944,21f7b610e624161099252e8902d6659fadbfe0cdbf9d24f661ba5eef3c24b31e
