# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: reset_value_storage_for_reuse
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 27469022209
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.05%  ; 1          ;[.] reset_value_storage_for_reuse+0x214;
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0x20b;
 0.10%  ; 3          ;[.] reset_value_storage_for_reuse+0x1c4;
 0.11%  ; 3          ;[.] reset_value_storage_for_reuse+0x1b4;
 0.05%  ; 1          ;[.] reset_value_storage_for_reuse+0x1b0;
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0x1a0;
 0.05%  ; 1          ;[.] reset_value_storage_for_reuse+0x17b;
 0.05%  ; 1          ;[.] reset_value_storage_for_reuse+0x174;
 0.39%  ; 9          ;[.] reset_value_storage_for_reuse+0x134;
 0.08%  ; 2          ;[.] reset_value_storage_for_reuse+0x12d;
 0.13%  ; 3          ;[.] reset_value_storage_for_reuse+0x124;
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0xf9;-
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0xf4;-
 0.08%  ; 2          ;[.] reset_value_storage_for_reuse+0xeb;-
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0xe4;-
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0xcf;-
 0.26%  ; 6          ;[.] reset_value_storage_for_reuse+0xa4;-
 0.06%  ; 2          ;[.] reset_value_storage_for_reuse+0x9d;-
 0.28%  ; 7          ;[.] reset_value_storage_for_reuse+0x94;-
 0.08%  ; 2          ;[.] reset_value_storage_for_reuse+0x71;-
 0.21%  ; 5          ;[.] reset_value_storage_for_reuse+0x68;-
 0.09%  ; 2          ;[.] reset_value_storage_for_reuse+0x4c;-
 0.17%  ; 4          ;[.] reset_value_storage_for_reuse+0x21;-
 0.04%  ; 1          ;[.] reset_value_storage_for_reuse+0x15;-
 0.09%  ; 2          ;[.] reset_value_storage_for_reuse+0x0;- 


#
# (Cannot load tips.txt file, please install perf!)
#
