# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: run
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 16048119980
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.16%  ; 2          ;[.] run+0xd9be;-      -            
 0.05%  ; 1          ;[.] run+0xd9b5;-      -            
 0.16%  ; 2          ;[.] run+0xd9b1;-      -            
 0.08%  ; 1          ;[.] run+0xd9a8;-      -            
 0.06%  ; 1          ;[.] run+0xd9a4;-      -            
 0.14%  ; 2          ;[.] run+0xd9a0;-      -            
 0.08%  ; 1          ;[.] run+0xcfe8;-      -            
 0.39%  ; 7          ;[.] run+0xcf11;-      -            
 0.07%  ; 1          ;[.] run+0xcf05;-      -            
 0.24%  ; 3          ;[.] run+0xcedd;-      -            
 0.16%  ; 2          ;[.] run+0xced5;-      -            
 0.05%  ; 1          ;[.] run+0xced0;-      -            
 0.05%  ; 1          ;[.] run+0xcebf;-      -            
 0.05%  ; 1          ;[.] run+0xceb7;-      -            
 0.08%  ; 1          ;[.] run+0xce7d;-      -            
 0.65%  ; 9          ;[.] run+0xce68;-      -            
 0.30%  ; 4          ;[.] run+0xce61;-      -            
 0.16%  ; 2          ;[.] run+0xce58;-      -            
 0.05%  ; 1          ;[.] run+0xce50;-      -            
 0.08%  ; 1          ;[.] run+0x9c51;-      -            
 0.08%  ; 1          ;[.] run+0x8db8;-      -            
 0.07%  ; 1          ;[.] run+0x8db4;-      -            
 0.05%  ; 1          ;[.] run+0x5a23;-      -            
 0.06%  ; 1          ;[.] run+0x5a1c;-      -            
 0.05%  ; 1          ;[.] run+0x5a14;-      -            
 0.06%  ; 1          ;[.] run+0x5a0d;-      -            
 0.06%  ; 1          ;[.] run+0x4662;-      -            
 0.04%  ; 1          ;[.] run+0x465d;-      -            
 0.09%  ; 1          ;[.] run+0x4659;-      -            
 0.02%  ; 1          ;[.] run+0x4644;-      -            
 0.28%  ; 4          ;[.] run+0x463f;-      -            
 0.41%  ; 6          ;[.] run+0x4637;-      -            
 0.20%  ; 3          ;[.] run+0x4633;-      -            
 0.09%  ; 1          ;[.] run+0x462a;-      -            
 0.12%  ; 2          ;[.] run+0x45c7;-      -            
 0.08%  ; 1          ;[.] run+0x4566;-      -            
 0.09%  ; 1          ;[.] run+0x455e;-      -            
 0.08%  ; 1          ;[.] run+0x4552;-      -            
 0.19%  ; 3          ;[.] run+0x4545;-      -            
 0.07%  ; 1          ;[.] run+0x3135;-      -            
 0.29%  ; 4          ;[.] run+0x2d00;-      -            


#
# (Cannot load tips.txt file, please install perf!)
#
