# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: run
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 19789569375
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.91%  ; 17         ;[.] run+0x2a4150;-      -            
 1.86%  ; 35         ;[.] run+0x2a4147;-      -            
 0.07%  ; 1          ;[.] run+0x2a37a5;-      -            
 5.06%  ; 91         ;[.] run+0x2a37a1;-      -            
 2.83%  ; 46         ;[.] run+0x2a379d;-      -            
 6.40%  ; 111        ;[.] run+0x2a379a;-      -            
 3.42%  ; 57         ;[.] run+0x2a3796;-      -            
 0.67%  ; 12         ;[.] run+0x2a3793;-      -            
 2.70%  ; 45         ;[.] run+0x2a378d;-      -            
 1.82%  ; 33         ;[.] run+0x2a3789;-      -            
 2.84%  ; 49         ;[.] run+0x2a3786;-      -            
 0.34%  ; 5          ;[.] run+0x2a3783;-      -            
 0.08%  ; 2          ;[.] run+0x2a377e;-      -            
 0.06%  ; 1          ;[.] run+0x2a3779;-      -            
 3.12%  ; 52         ;[.] run+0x2a3777;-      -            
 1.25%  ; 21         ;[.] run+0x2a376c;-      -            
 0.39%  ; 7          ;[.] run+0x2a3767;-      -            
 2.34%  ; 38         ;[.] run+0x2a3765;-      -            
 2.36%  ; 41         ;[.] run+0x2a375a;-      -            
 2.80%  ; 48         ;[.] run+0x2a3755;-      -            
 7.02%  ; 120        ;[.] run+0x2a3753;-      -            
 3.15%  ; 54         ;[.] run+0x2a374b;-      -            
 0.07%  ; 1          ;[.] run+0x2a3716;-      -            
 0.08%  ; 1          ;[.] run+0x2a3637;-      -            
 0.05%  ; 1          ;[.] run+0x259468;-      -            
 0.12%  ; 2          ;[.] run+0x2593dc;-      -            
 0.07%  ; 1          ;[.] run+0x2593d0;-      -            
 0.07%  ; 1          ;[.] run+0x2591e8;-      -            
 0.05%  ; 1          ;[.] run+0x2591cc;-      -            
 0.04%  ; 1          ;[.] run+0x259008;-      -            
 0.05%  ; 1          ;[.] run+0x259001;-      -            
 0.06%  ; 1          ;[.] run+0x258fd4;-      -            
 0.06%  ; 1          ;[.] run+0x258fb3;-      -            
 0.06%  ; 1          ;[.] run+0x258cc9;-      -            
 0.12%  ; 2          ;[.] run+0x258bc0;-      -            
 0.06%  ; 1          ;[.] run+0x258bbc;-      -            
 0.05%  ; 1          ;[.] run+0x258bb8;-      -            
 0.07%  ; 1          ;[.] run+0x258b87;-      -            
 0.06%  ; 1          ;[.] run+0x247815;-      -            
 0.07%  ; 1          ;[.] run+0x2477ef;-      -            
 0.07%  ; 1          ;[.] run+0x2477e7;-      -            
 0.04%  ; 1          ;[.] run+0x2477e3;-      -            
 0.05%  ; 1          ;[.] run+0x247713;-      -            
 0.10%  ; 2          ;[.] run+0x2476f7;-      -            
 0.06%  ; 1          ;[.] run+0x2476f0;-      -            
 0.07%  ; 1          ;[.] run+0x2476e0;-      -            
 0.05%  ; 1          ;[.] run+0x2476db;-      -            
 0.18%  ; 3          ;[.] run+0x246c9d;-      -            
 0.26%  ; 4          ;[.] run+0x246c8d;-      -            
 0.16%  ; 3          ;[.] run+0x246c89;-      -            
 0.18%  ; 3          ;[.] run+0x246c7d;-      -            
 0.07%  ; 1          ;[.] run+0x246c6b;-      -            
 0.04%  ; 1          ;[.] run+0x246bbe;-      -            
 0.08%  ; 1          ;[.] run+0x246bb0;-      -            
 0.19%  ; 3          ;[.] run+0x246b57;-      -            
 0.56%  ; 9          ;[.] run+0x246aed;-      -            
 0.25%  ; 4          ;[.] run+0x246ae6;-      -            
 0.21%  ; 3          ;[.] run+0x246ae2;-      -            
 0.06%  ; 1          ;[.] run+0x246ad6;-      -            
 0.04%  ; 1          ;[.] run+0x2469ce;-      -            
 0.07%  ; 1          ;[.] run+0x24698a;-      -            
 0.04%  ; 1          ;[.] run+0x2468ff;-      -            
 0.04%  ; 1          ;[.] run+0x2468ef;-      -            
 0.23%  ; 4          ;[.] run+0x246868;-      -            
 0.07%  ; 1          ;[.] run+0x246864;-      -            
 0.07%  ; 1          ;[.] run+0x24685b;-      -            
 0.12%  ; 2          ;[.] run+0x24684f;-      -            
 0.13%  ; 2          ;[.] run+0x24684b;-      -            
 0.04%  ; 1          ;[.] run+0x246843;-      -            
 0.04%  ; 1          ;[.] run+0x24683e;-      -            
 0.04%  ; 1          ;[.] run+0x24683a;-      -            
 0.07%  ; 1          ;[.] run+0x246836;-      -            
 0.06%  ; 1          ;[.] run+0x246820;-      -            
 0.06%  ; 1          ;[.] run+0x2462da;-      -            
 0.04%  ; 1          ;[.] run+0x246250;-      -            
 0.07%  ; 1          ;[.] run+0x246240;-      -            
 0.06%  ; 1          ;[.] run+0x24622f;-      -            
 0.05%  ; 1          ;[.] run+0x245df1;-      -            
 0.14%  ; 2          ;[.] run+0x245d83;-      -            
 0.06%  ; 1          ;[.] run+0x245d6e;-      -            
 0.26%  ; 5          ;[.] run+0x245d67;-      -            
 0.04%  ; 1          ;[.] run+0x245d63;-      -            
 0.05%  ; 1          ;[.] run+0x245d5f;-      -            
 0.04%  ; 1          ;[.] run+0x245d57;-      -            
 0.12%  ; 2          ;[.] run+0x245d4e;-      -            
 0.04%  ; 1          ;[.] run+0x245d38;-      -            
 0.07%  ; 1          ;[.] run+0x244f29;-      -            
 0.25%  ; 4          ;[.] run+0x244f14;-      -            
 0.06%  ; 1          ;[.] run+0x244f0d;-      -            
 0.06%  ; 1          ;[.] run+0x244f09;-      -            
 0.04%  ; 1          ;[.] run+0x244efc;-      -            
 0.05%  ; 1          ;[.] run+0x2449ba;-      -            
 0.21%  ; 4          ;[.] run+0x244930;-      -            
 0.07%  ; 1          ;[.] run+0x244928;-      -            
 0.06%  ; 1          ;[.] run+0x244917;-      -            
 0.04%  ; 1          ;[.] run+0x24490a;-      -            
 0.06%  ; 1          ;[.] run+0x2448f9;-      -            
 0.05%  ; 1          ;[.] run+0x2444d1;-      -            
 0.10%  ; 2          ;[.] run+0x2444cd;-      -            
 0.06%  ; 1          ;[.] run+0x244463;-      -            
 0.07%  ; 1          ;[.] run+0x244447;-      -            
 0.16%  ; 3          ;[.] run+0x244443;-      -            
 0.05%  ; 1          ;[.] run+0x244432;-      -            
 0.07%  ; 1          ;[.] run+0x244418;-      -            
 0.07%  ; 1          ;[.] run+0x1e8571;-      -            
 0.07%  ; 1          ;[.] run+0x1e81cf;-      -            
 0.03%  ; 1          ;[.] run+0x1e81c8;-      -            
 0.07%  ; 1          ;[.] run+0x1e81bc;-      -            
 0.06%  ; 1          ;[.] run+0x1e7e1b;-      -            
 0.04%  ; 1          ;[.] run+0x1e7dfe;-      -            
 0.11%  ; 2          ;[.] run+0x1e7de2;-      -            
 0.04%  ; 1          ;[.] run+0x1e7ddd;-      -            
 0.07%  ; 1          ;[.] run+0x1e7dba;-      -            
 0.19%  ; 3          ;[.] run+0x1e7a15;-      -            
 0.06%  ; 1          ;[.] run+0x1e78db;-      -            
 0.08%  ; 1          ;[.] run+0x1e78d6;-      -            
 0.04%  ; 1          ;[.] run+0x1e78be;-      -            
 0.05%  ; 1          ;[.] run+0x1e7881;-      -            
 0.05%  ; 1          ;[.] run+0x1e7515;-      -            
 0.13%  ; 2          ;[.] run+0x1e74e8;-      -            
 0.04%  ; 1          ;[.] run+0x1e6d8f;-      -            
 0.04%  ; 1          ;[.] run+0x1e69be;-      -            
 0.05%  ; 1          ;[.] run+0x1e697b;-      -            
 0.05%  ; 1          ;[.] run+0x1e6973;-      -            
 0.05%  ; 1          ;[.] run+0x1d0316;-      -            
 0.06%  ; 1          ;[.] run+0x1d01ee;-      -            
 0.04%  ; 1          ;[.] run+0x1b89e1;-      -            
 0.07%  ; 1          ;[.] run+0x1b850b;-      -            
 0.07%  ; 1          ;[.] run+0x1b8506;-      -            
 0.11%  ; 2          ;[.] run+0x1b8503;-      -            
 0.18%  ; 3          ;[.] run+0x1b84fb;-      -            
 0.09%  ; 2          ;[.] run+0x1b84ef;-      -            
 0.14%  ; 2          ;[.] run+0x1b84da;-      -            
 0.12%  ; 2          ;[.] run+0x1b84d8;-      -            
 0.06%  ; 1          ;[.] run+0x1b84ce;-      -            
 0.10%  ; 2          ;[.] run+0x1b84ca;-      -            
 0.04%  ; 1          ;[.] run+0x1b83f4;-      -            
 0.19%  ; 3          ;[.] run+0x1b83d8;-      -            
 0.80%  ; 14         ;[.] run+0x1b83ce;-      -            
 0.25%  ; 4          ;[.] run+0x1b83c9;-      -            
 0.07%  ; 1          ;[.] run+0x1b83c5;-      -            
 0.23%  ; 4          ;[.] run+0x1b83b8;-      -            
 0.19%  ; 3          ;[.] run+0x1b83af;-      -            
 0.10%  ; 2          ;[.] run+0x1b83ab;-      -            
 0.06%  ; 1          ;[.] run+0x1b7173;-      -            
 0.05%  ; 1          ;[.] run+0x1b7170;-      -            
 0.06%  ; 1          ;[.] run+0x1b7152;-      -            
 0.05%  ; 1          ;[.] run+0x1b714e;-      -            
 0.04%  ; 1          ;[.] run+0x1b7141;-      -            
 0.12%  ; 2          ;[.] run+0x1b70e6;-      -            
 0.07%  ; 1          ;[.] run+0x1b63b6;-      -            
 0.13%  ; 2          ;[.] run+0x1b6393;-      -            
 0.05%  ; 1          ;[.] run+0x1b6387;-      -            
 0.06%  ; 1          ;[.] run+0x1b636d;-      -            
 0.04%  ; 1          ;[.] run+0x1b57ff;-      -            
 0.07%  ; 1          ;[.] run+0x1b4772;-      -            
 0.06%  ; 1          ;[.] run+0x1b474c;-      -            
 0.36%  ; 6          ;[.] run+0x1b473b;-      -            
 0.07%  ; 1          ;[.] run+0x1b471a;-      -            
 0.07%  ; 1          ;[.] run+0x1b423d;-      -            
 0.12%  ; 2          ;[.] run+0x192f85;-      -            
 0.12%  ; 2          ;[.] run+0x192b49;-      -            
 0.04%  ; 1          ;[.] run+0x192b05;-      -            
 0.12%  ; 2          ;[.] run+0x192ae3;-      -            
 0.03%  ; 1          ;[.] run+0x192ac8;-      -            
 0.06%  ; 1          ;[.] run+0x192ab3;-      -            
 0.05%  ; 1          ;[.] run+0x192821;-      -            
 0.08%  ; 2          ;[.] run+0x192764;-      -            
 0.05%  ; 1          ;[.] run+0xdfe35;-      -            
 0.08%  ; 1          ;[.] run+0xdf9dc;-      -            
 0.08%  ; 2          ;[.] run+0xdf9c1;-      -            
 0.04%  ; 1          ;[.] run+0xdf9ac;-      -            
 0.05%  ; 1          ;[.] run+0xdf996;-      -            
 0.06%  ; 1          ;[.] run+0xdd904;-      -            
 0.07%  ; 1          ;[.] run+0xdd8da;-      -            
 0.07%  ; 1          ;[.] run+0xdd795;-      -            
 0.08%  ; 1          ;[.] run+0xdd759;-      -            
 0.09%  ; 2          ;[.] run+0xdd733;-      -            
 0.04%  ; 1          ;[.] run+0xdd368;-      -            
 0.07%  ; 1          ;[.] run+0xdd337;-      -            
 0.08%  ; 1          ;[.] run+0xdd226;-      -            
 0.09%  ; 1          ;[.] run+0xdd10a;-      -            
 0.05%  ; 1          ;[.] run+0xda78e;-      -            
 0.12%  ; 2          ;[.] run+0xda70d;-      -            
 0.15%  ; 3          ;[.] run+0xda6fc;-      -            
 0.04%  ; 1          ;[.] run+0xda6ee;-      -            
 0.07%  ; 1          ;[.] run+0xda6e6;-      -            
 0.06%  ; 1          ;[.] run+0xda6bb;-      -            


#
# (Cannot load tips.txt file, please install perf!)
#
