# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: copy_value
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 27469022209
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.13%  ; 4          ;[.] copy_value+0x750;-      -           
 0.26%  ; 6          ;[.] copy_value+0x748;-      -           
 0.18%  ; 4          ;[.] copy_value+0x740;-      -           
 0.12%  ; 3          ;[.] copy_value+0x73c;-      -           
 0.11%  ; 3          ;[.] copy_value+0x72c;-      -           
 0.31%  ; 8          ;[.] copy_value+0x728;-      -           
 0.46%  ; 11         ;[.] copy_value+0x614;-      -           
 0.16%  ; 4          ;[.] copy_value+0x610;-      -           
 0.15%  ; 4          ;[.] copy_value+0x60e;-      -           
 0.53%  ; 13         ;[.] copy_value+0x607;-      -           
 0.26%  ; 6          ;[.] copy_value+0x5fa;-      -           
 1.53%  ; 38         ;[.] copy_value+0x5f1;-      -           
 2.20%  ; 55         ;[.] copy_value+0x5ed;-      -           
 0.39%  ; 10         ;[.] copy_value+0x5e9;-      -           
 0.12%  ; 3          ;[.] copy_value+0x5e2;-      -           
 0.19%  ; 5          ;[.] copy_value+0x5dc;-      -           
 0.04%  ; 1          ;[.] copy_value+0x5d5;-      -           
 0.04%  ; 1          ;[.] copy_value+0x5d0;-      -           
 0.15%  ; 3          ;[.] copy_value+0x5ab;-      -           
 0.09%  ; 2          ;[.] copy_value+0x5a7;-      -           
 0.12%  ; 4          ;[.] copy_value+0x5a3;-      -           
 0.03%  ; 1          ;[.] copy_value+0x59b;-      -           
 0.02%  ; 1          ;[.] copy_value+0x597;-      -           
 0.03%  ; 1          ;[.] copy_value+0x58b;-      -           
 0.08%  ; 2          ;[.] copy_value+0x553;-      -           
 0.05%  ; 1          ;[.] copy_value+0x550;-      -           
 0.05%  ; 1          ;[.] copy_value+0x542;-      -           
 0.04%  ; 1          ;[.] copy_value+0x53b;-      -           
 0.02%  ; 1          ;[.] copy_value+0x537;-      -           
 0.08%  ; 2          ;[.] copy_value+0x520;-      -           
 0.05%  ; 1          ;[.] copy_value+0x513;-      -           
 0.34%  ; 9          ;[.] copy_value+0x4fc;-      -           
 0.43%  ; 11         ;[.] copy_value+0x4f4;-      -           
 0.49%  ; 13         ;[.] copy_value+0x4e9;-      -           
 0.70%  ; 18         ;[.] copy_value+0x4e1;-      -           
 0.71%  ; 17         ;[.] copy_value+0x4d9;-      -           
 0.52%  ; 13         ;[.] copy_value+0x4d1;-      -           
 0.53%  ; 13         ;[.] copy_value+0x4c9;-      -           
 0.32%  ; 8          ;[.] copy_value+0x4c1;-      -           
 0.18%  ; 4          ;[.] copy_value+0x4b6;-      -           
 0.37%  ; 10         ;[.] copy_value+0x4ab;-      -           
 0.45%  ; 11         ;[.] copy_value+0x4a0;-      -           
 0.22%  ; 6          ;[.] copy_value+0x498;-      -           
 0.10%  ; 3          ;[.] copy_value+0x48d;-      -           
 0.09%  ; 3          ;[.] copy_value+0x482;-      -           
 0.50%  ; 14         ;[.] copy_value+0x477;-      -           
 0.33%  ; 9          ;[.] copy_value+0x46c;-      -           
 0.40%  ; 9          ;[.] copy_value+0x461;-      -           
 0.67%  ; 19         ;[.] copy_value+0x459;-      -           
 0.12%  ; 3          ;[.] copy_value+0x44e;-      -           
 0.46%  ; 11         ;[.] copy_value+0x447;-      -           
 0.23%  ; 6          ;[.] copy_value+0x440;-      -           
 0.07%  ; 2          ;[.] copy_value+0x41a;-      -           
 0.08%  ; 2          ;[.] copy_value+0x3f4;-      -           
 0.03%  ; 1          ;[.] copy_value+0x3eb;-      -           
 0.02%  ; 1          ;[.] copy_value+0x3e8;-      -           
 0.04%  ; 1          ;[.] copy_value+0x39b;-      -           
 0.12%  ; 3          ;[.] copy_value+0x381;-      -           
 0.04%  ; 1          ;[.] copy_value+0x37d;-      -           
 0.04%  ; 1          ;[.] copy_value+0x362;-      -           
 0.04%  ; 1          ;[.] copy_value+0x30d;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2fc;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2d5;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2c9;-      -           
 0.08%  ; 2          ;[.] copy_value+0x2c3;-      -           
 0.09%  ; 2          ;[.] copy_value+0x2bf;-      -           
 0.09%  ; 2          ;[.] copy_value+0x2bc;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2b9;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2b2;-      -           
 0.04%  ; 1          ;[.] copy_value+0x2a8;-      -           
 0.08%  ; 2          ;[.] copy_value+0x2a5;-      -           
 0.05%  ; 1          ;[.] copy_value+0x2a1;-      -           
 0.09%  ; 2          ;[.] copy_value+0x29e;-      -           
 0.09%  ; 2          ;[.] copy_value+0x29b;-      -           
 0.03%  ; 1          ;[.] copy_value+0x298;-      -           
 0.07%  ; 2          ;[.] copy_value+0x249;-      -           
 0.06%  ; 2          ;[.] copy_value+0x23e;-      -           
 0.17%  ; 4          ;[.] copy_value+0x237;-      -           
 0.48%  ; 12         ;[.] copy_value+0x22e;-      -           
 0.81%  ; 19         ;[.] copy_value+0x229;-      -           
 0.29%  ; 8          ;[.] copy_value+0x222;-      -           
 0.35%  ; 8          ;[.] copy_value+0x21b;-      -           
 0.13%  ; 3          ;[.] copy_value+0x200;-      -           
 0.07%  ; 2          ;[.] copy_value+0x1fd;-      -           
 0.38%  ; 9          ;[.] copy_value+0x1f6;-      -           
 0.07%  ; 2          ;[.] copy_value+0x1f4;-      -           
 0.19%  ; 5          ;[.] copy_value+0x1f0;-      -           
 0.41%  ; 10         ;[.] copy_value+0x141;-      -           
 0.12%  ; 3          ;[.] copy_value+0x13d;-      -           
 0.17%  ; 5          ;[.] copy_value+0xfb;-      -            
 0.10%  ; 3          ;[.] copy_value+0xf4;-      -            
 0.31%  ; 7          ;[.] copy_value+0xf0;-      -            
 0.23%  ; 6          ;[.] copy_value+0xe9;-      -            
 0.61%  ; 16         ;[.] copy_value+0xe5;-      -            
 0.13%  ; 4          ;[.] copy_value+0xe0;-      -            
 0.37%  ; 9          ;[.] copy_value+0xdc;-      -            
 0.43%  ; 10         ;[.] copy_value+0xda;-      -            
 0.31%  ; 7          ;[.] copy_value+0xd5;-      -            
 0.17%  ; 4          ;[.] copy_value+0xd2;-      -            
 0.94%  ; 23         ;[.] copy_value+0x80;-      -            
 0.42%  ; 11         ;[.] copy_value+0x79;-      -            
 3.94%  ; 99         ;[.] copy_value+0x24;-      -            
 0.82%  ; 20         ;[.] copy_value+0x16;-      -            
 0.11%  ; 3          ;[.] copy_value+0x12;-      -            
 0.03%  ; 1          ;[.] copy_value+0x11;-      -            
 0.52%  ; 12         ;[.] copy_value+0xf;-      -            
 0.04%  ; 1          ;[.] copy_value+0xd;-      -            
 0.04%  ; 1          ;[.] copy_value+0xb;-      -            
 0.66%  ; 16         ;[.] copy_value+0x0;-      -            


#
# (Cannot load tips.txt file, please install perf!)
#
