vm	opcode	n	loop_count	expanded_mean_us	fused_mean_us	speedup_percent	delta_per_call_mean_ns	delta_per_call_ci95_low_ns	delta_per_call_ci95_high_ns	faster_fraction	classification	portfolio_executions	estimated_portfolio_saved_ms	evidence
rxvm	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	192	500000	15077.625	14903.250	+1.170047	-0.309062	-0.588568	-0.029557	+0.578125	measurable-saving	10689396	+3.303691	new-16-offset-cell
rxbvm	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	192	2000000	8780.188	8016.281	+9.529434	-0.375859	-2.016688	+1.264970	+0.958333	noise-or-layout-sensitive	3343214	+1.256578	new-16-offset-cell
rxvm	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	192	2000000	8243.375	6195.188	+33.060944	-0.998953	-1.059524	-0.938382	+1.000000	measurable-saving	3343214	+3.339714	new-16-offset-cell
rxbvm	SETTPSWAP_REG_INT_REG	192	2000000	5329.625	4768.469	+11.768060	-0.286813	-0.301216	-0.272409	+0.984375	measurable-saving	1574500	+0.451586	new-16-offset-cell
rxvm	SETTPSWAP_REG_INT_REG	192	2000000	4825.656	4400.406	+9.663880	-0.210328	-0.256797	-0.163859	+0.973958	measurable-saving	1574500	+0.331162	new-16-offset-cell
rxbvm	SWAPCALL_REG_FUNC_REG_REG_REG	192	500000	14689.219	14500.594	+1.300809	-0.383000	-0.630236	-0.135764	+0.677083	measurable-saving	4013349	+1.537113	new-16-offset-cell
rxvm	SWAPCALL_REG_FUNC_REG_REG_REG	192	500000	14417.844	14373.906	+0.305675	-0.090812	-0.255655	+0.074030	+0.541667	noise-or-layout-sensitive	4013349	+0.364462	new-16-offset-cell
rxbvm	SWAPN_REG_REG_REG_REG	192	2000000	5478.344	4599.438	+19.108994	-0.434531	-0.450447	-0.418616	+0.994792	measurable-saving	3214852	+1.396954	new-16-offset-cell
rxvm	SWAPN_REG_REG_REG_REG	192	2000000	4846.344	4614.656	+5.020688	-0.141469	-0.190998	-0.091939	+0.734375	measurable-saving	3214852	+0.454801	new-16-offset-cell
rxbvm	SWAPN_REG_REG_REG_REG_REG_REG	192	2000000	6790.000	5283.156	+28.521658	-0.750672	-0.763280	-0.738063	+0.994792	measurable-saving	3138122	+2.355700	new-16-offset-cell
rxvm	SWAPN_REG_REG_REG_REG_REG_REG	192	2000000	5908.844	4843.312	+22.000052	-0.532703	-0.547693	-0.517713	+1.000000	measurable-saving	3138122	+1.671687	new-16-offset-cell
rxbvm	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	192	2000000	8110.688	7506.500	+8.048858	-0.305266	-0.377151	-0.233380	+0.875000	measurable-saving	6307858	+1.925572	new-16-offset-cell
rxvm	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	192	2000000	7221.906	5757.969	+25.424548	-0.741938	-0.764911	-0.718964	+0.994792	measurable-saving	6307858	+4.680036	new-16-offset-cell
rxbvm	SWAPSETTPSWAP_REG_REG_REG_INT_REG	192	2000000	7266.406	6334.469	+14.712165	-0.477406	-0.573693	-0.381119	+0.802083	measurable-saving	241920	+0.115494	new-16-offset-cell
rxvm	SWAPSETTPSWAP_REG_REG_REG_INT_REG	192	2000000	6729.625	5161.125	+30.390661	-0.760234	-0.800276	-0.720193	+0.973958	measurable-saving	241920	+0.183916	new-16-offset-cell
rxbvm	SWAPSETTP_REG_REG_REG_INT	192	2000000	5535.250	4721.750	+17.228782	-0.404813	-0.421366	-0.388259	+0.968750	measurable-saving	280704	+0.113632	new-16-offset-cell
rxvm	SWAPSETTP_REG_REG_REG_INT	192	2000000	4993.250	4423.906	+12.869706	-0.296219	-0.325087	-0.267351	+0.963542	measurable-saving	280704	+0.083150	new-16-offset-cell
rxbvm	UNLINKBR_REG_ID	192	500000	1641.188	1507.406	+8.874930	-0.259188	-0.280569	-0.237806	+0.968750	measurable-saving	268770	+0.069662	new-16-offset-cell
rxvm	UNLINKBR_REG_ID	192	500000	1530.469	1409.062	+8.616101	-0.232125	-0.280137	-0.184113	+0.885417	measurable-saving	268770	+0.062388	new-16-offset-cell
rxbvm	UNLINKLINKATTR1_REG_REG_REG_INT	192	500000	1912.688	1732.062	+10.428319	-0.361250	-0.379510	-0.342990	+0.973958	measurable-saving	30	+0.000011	new-16-offset-cell
rxvm	UNLINKLINKATTR1_REG_REG_REG_INT	192	500000	1840.000	1603.875	+14.722157	-0.449063	-0.511559	-0.386566	+0.963542	measurable-saving	30	+0.000013	new-16-offset-cell
rxbvm	UNLINKN_REG_REG	192	500000	2147.062	1944.531	+10.415428	-0.413562	-0.424463	-0.402662	+0.979167	measurable-saving	4661266	+1.927725	new-16-offset-cell
rxvm	UNLINKN_REG_REG	192	500000	2206.906	1880.594	+17.351568	-0.680438	-0.757072	-0.603803	+0.989583	measurable-saving	4661266	+3.171700	new-16-offset-cell
