image	workload	mode	opcode	count
towers-opt	towers	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	163950
towers-opt	towers	opt	UNLINKBR_REG_ID	109200
towers-opt	towers	opt	SETTPSWAP_REG_INT_REG	82050
towers-opt	towers	opt	SWAPN_REG_REG_REG_REG	150
towers-opt	towers	opt	ITOSCONCAT_REG_STRING_REG	1
towers-opt	towers	opt	MINSTOIATTR1_REG_REG_INT	1
towers-opt	towers	opt	SCONCATITOS_REG_STRING_REG	1
bounce-noopt	bounce	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	540100
bounce-noopt	bounce	noopt	ISETATTR1_REG_INT_REG	1365300
bounce-noopt	bounce	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	142600
bounce-noopt	bounce	noopt	UNLINKN_REG_REG	1000000
bounce-noopt	bounce	noopt	MINLINKATTR1_REG_REG_REG_INT	510000
bounce-noopt	bounce	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	10000
bounce-noopt	bounce	noopt	ITOSCONCAT_REG_STRING_REG	1
bounce-noopt	bounce	noopt	MINSTOIATTR1_REG_REG_INT	1
bounce-noopt	bounce	noopt	SCONCATITOS_REG_STRING_REG	1
bounce-opt	bounce	opt	ISETATTR1_REG_INT_REG	1365300
bounce-opt	bounce	opt	UNLINKN_REG_REG	1000000
bounce-opt	bounce	opt	MINLINKATTR1_REG_REG_REG_INT	510000
bounce-opt	bounce	opt	IGETUNLINK_REG_REG	182600
bounce-opt	bounce	opt	SETTPCALL_REG_FUNC_REG_REG_INT	10000
bounce-opt	bounce	opt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	100
bounce-opt	bounce	opt	ITOSCONCAT_REG_STRING_REG	1
bounce-opt	bounce	opt	MINSTOIATTR1_REG_REG_INT	1
bounce-opt	bounce	opt	SCONCATITOS_REG_STRING_REG	1
storage-noopt	storage	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	191150
storage-noopt	storage	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	95560
storage-noopt	storage	noopt	MINLINKATTR1_REG_REG_REG_INT	278800
storage-noopt	storage	noopt	SWAPN_REG_REG_REG_REG	191130
storage-noopt	storage	noopt	ISETATTR1_REG_INT_REG	245770
storage-noopt	storage	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	150170
storage-noopt	storage	noopt	SWAPSETTP_REG_REG_REG_INT	54600
storage-noopt	storage	noopt	SWAPSETTPSWAP_REG_REG_REG_INT_REG	40960
storage-noopt	storage	noopt	ITOSCONCAT_REG_STRING_REG	1
storage-noopt	storage	noopt	MINSTOIATTR1_REG_REG_INT	1
storage-noopt	storage	noopt	SCONCATITOS_REG_STRING_REG	1
storage-opt	storage	opt	SETTPCALL_REG_FUNC_REG_REG_INT	95560
storage-opt	storage	opt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	95570
storage-opt	storage	opt	MINLINKATTR1_REG_REG_REG_INT	278800
storage-opt	storage	opt	ISETATTR1_REG_INT_REG	245770
storage-opt	storage	opt	SWAPN_REG_REG_REG_REG	95560
storage-opt	storage	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	54600
storage-opt	storage	opt	SWAPSETTP_REG_REG_REG_INT	54600
storage-opt	storage	opt	SWAPSETTPSWAP_REG_REG_REG_INT_REG	40960
storage-opt	storage	opt	LOADSETTP2_REG_INT_REG_INT	40960
storage-opt	storage	opt	IGETUNLINK_REG_REG	40970
storage-opt	storage	opt	ITOSCONCAT_REG_STRING_REG	1
storage-opt	storage	opt	MINSTOIATTR1_REG_REG_INT	1
storage-opt	storage	opt	SCONCATITOS_REG_STRING_REG	1
list-noopt	list	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	4389400
list-noopt	list	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	571100
list-noopt	list	noopt	NULLN_REG_REG	565200
list-noopt	list	noopt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	280900
list-noopt	list	noopt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	280900
list-noopt	list	noopt	SWAPN_REG_REG_REG_REG_REG_REG	280900
list-noopt	list	noopt	NULLN_REG_REG_REG_REG	281000
list-noopt	list	noopt	SETTPSWAP_REG_INT_REG	280900
list-noopt	list	noopt	UNLINKN_REG_REG	216900
list-noopt	list	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	6200
list-noopt	list	noopt	MINLINKATTR1_REG_REG_REG_INT	6200
list-noopt	list	noopt	SWAPN_REG_REG_REG_REG	9000
list-noopt	list	noopt	ISETATTR1_REG_INT_REG	6300
list-noopt	list	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	300
list-noopt	list	noopt	ITOSCONCAT_REG_STRING_REG	1
list-noopt	list	noopt	MINSTOIATTR1_REG_REG_INT	1
list-noopt	list	noopt	SCONCATITOS_REG_STRING_REG	1
list-opt	list	opt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	4318300
list-opt	list	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	571100
list-opt	list	opt	SETTPCALL_REG_FUNC_REG_REG_INT	71400
list-opt	list	opt	NULLN_REG_REG	565200
list-opt	list	opt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	280900
list-opt	list	opt	SWAPN_REG_REG_REG_REG_REG_REG	280900
list-opt	list	opt	NULLN_REG_REG_REG_REG	281000
list-opt	list	opt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	280900
list-opt	list	opt	SETTPSWAP_REG_INT_REG	280900
list-opt	list	opt	UNLINKN_REG_REG	216900
list-opt	list	opt	SWAPCALL_REG_FUNC_REG_REG_REG	6200
list-opt	list	opt	MINLINKATTR1_REG_REG_REG_INT	6200
list-opt	list	opt	SWAPN_REG_REG_REG_REG	9000
list-opt	list	opt	ISETATTR1_REG_INT_REG	6300
list-opt	list	opt	ITOSCONCAT_REG_STRING_REG	1
list-opt	list	opt	MINSTOIATTR1_REG_REG_INT	1
list-opt	list	opt	SCONCATITOS_REG_STRING_REG	1
richards-noopt	richards	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	417075
richards-noopt	richards	noopt	SETLINKATTR1_REG_REG_INT_REG_INT	862469
richards-noopt	richards	noopt	UNLINKN_REG_REG	577320
richards-noopt	richards	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	427088
richards-noopt	richards	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	42549
richards-noopt	richards	noopt	SWAPN_REG_REG_REG_REG	345833
richards-noopt	richards	noopt	ISETATTR1_REG_INT_REG	236953
richards-noopt	richards	noopt	MINLINKATTR1_REG_REG_REG_INT	219184
richards-noopt	richards	noopt	IGETUNLINK_REG_REG	183606
richards-noopt	richards	noopt	ILOADSETUNLINKN_REG_REG_INT_REG	182074
richards-noopt	richards	noopt	SWAPN_REG_REG_REG_REG_REG_REG	71250
richards-noopt	richards	noopt	ISETUNLINKN_REG_REG_REG	72958
richards-noopt	richards	noopt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	23246
richards-noopt	richards	noopt	UNLINKBR_REG_ID	6975
richards-noopt	richards	noopt	MINSTOIATTR1_REG_REG_INT	1
richards-noopt	richards	noopt	ITOSCONCAT_REG_STRING_REG	1
richards-noopt	richards	noopt	SCONCATITOS_REG_STRING_REG	2
richards-opt	richards	opt	SWAPCALL_REG_FUNC_REG_REG_REG	97529
richards-opt	richards	opt	SETLINKATTR1_REG_REG_INT_REG_INT	862451
richards-opt	richards	opt	UNLINKN_REG_REG	554074
richards-opt	richards	opt	IGETUNLINK_REG_REG	369252
richards-opt	richards	opt	ISETATTR1_REG_INT_REG	236953
richards-opt	richards	opt	MINLINKATTR1_REG_REG_REG_INT	219184
richards-opt	richards	opt	ILOADSETUNLINKN_REG_REG_INT_REG	182099
richards-opt	richards	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	119155
richards-opt	richards	opt	SWAPN_REG_REG_REG_REG	77418
richards-opt	richards	opt	ISETUNLINKN_REG_REG_REG	72933
richards-opt	richards	opt	SWAPN_REG_REG_REG_REG_REG_REG	20114
richards-opt	richards	opt	UNLINKBR_REG_ID	6975
richards-opt	richards	opt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2
richards-opt	richards	opt	SETLINKATTR1_REG_REG_INT_INT	18
richards-opt	richards	opt	MINSTOIATTR1_REG_REG_INT	1
richards-opt	richards	opt	ITOSCONCAT_REG_STRING_REG	1
richards-opt	richards	opt	SCONCATITOS_REG_STRING_REG	2
json-noopt	json	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	740000
json-noopt	json	noopt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	2860000
json-noopt	json	noopt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1390000
json-noopt	json	noopt	SWAPN_REG_REG_REG_REG_REG_REG	785000
json-noopt	json	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	745000
json-noopt	json	noopt	SWAPN_REG_REG_REG_REG	120000
json-noopt	json	noopt	NULLN_REG_REG_REG_REG	80000
json-noopt	json	noopt	SWAPSETTPSWAP_REG_REG_REG_INT_REG	80000
json-noopt	json	noopt	SETTPSWAP_REG_INT_REG	80000
json-noopt	json	noopt	NULLN_REG_REG_REG	70000
json-noopt	json	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	5000
json-noopt	json	noopt	MINLINKATTR1_REG_REG_REG_INT	50000
json-noopt	json	noopt	ISETUNLINK_REG_REG	10000
json-noopt	json	noopt	MINSTOIATTR1_REG_REG_INT	1
json-noopt	json	noopt	ITOSCONCAT_REG_STRING_REG	1
json-noopt	json	noopt	SCONCATITOS_REG_STRING_REG	1
json-opt	json	opt	SWAPCALL_REG_FUNC_REG_REG_REG	740000
json-opt	json	opt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	2860000
json-opt	json	opt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1390000
json-opt	json	opt	SWAPN_REG_REG_REG_REG_REG_REG	785000
json-opt	json	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	740000
json-opt	json	opt	SWAPN_REG_REG_REG_REG	120000
json-opt	json	opt	NULLN_REG_REG_REG_REG	80000
json-opt	json	opt	SWAPSETTPSWAP_REG_REG_REG_INT_REG	80000
json-opt	json	opt	SETTPSWAP_REG_INT_REG	80000
json-opt	json	opt	NULLN_REG_REG_REG	70000
json-opt	json	opt	SETTPCALL_REG_FUNC_REG_REG_INT	5000
json-opt	json	opt	MINLINKATTR1_REG_REG_REG_INT	50000
json-opt	json	opt	ISETUNLINK_REG_REG	10000
json-opt	json	opt	LOADSETTP2_REG_INT_REG_INT	5000
json-opt	json	opt	MINSTOIATTR1_REG_REG_INT	1
json-opt	json	opt	ITOSCONCAT_REG_STRING_REG	1
json-opt	json	opt	SCONCATITOS_REG_STRING_REG	1
base64-noopt	base64	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	1368000
base64-noopt	base64	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	685005
base64-noopt	base64	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	1709001
base64-noopt	base64	noopt	SWAPN_REG_REG_REG_REG	1196501
base64-noopt	base64	noopt	NULLN_REG_REG_REG_REG	685000
base64-noopt	base64	noopt	SETTPSWAP_REG_INT_REG	683000
base64-noopt	base64	noopt	NULLN_REG_REG_REG	685000
base64-noopt	base64	noopt	LOADSETTP2_REG_INT_REG_INT	342000
base64-noopt	base64	noopt	SWAPSETTP_REG_REG_REG_INT	171500
base64-noopt	base64	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	1000
base64-noopt	base64	noopt	MINSTOIATTR1_REG_REG_INT	1
base64-noopt	base64	noopt	ITOSCONCAT_REG_STRING_REG	1
base64-noopt	base64	noopt	SCONCATITOS_REG_STRING_REG	2
base64-opt	base64	opt	NULLN_REG_REG_REG_REG	685000
base64-opt	base64	opt	NULLN_REG_REG_REG	685000
base64-opt	base64	opt	SETTPCALL_REG_FUNC_REG_REG_INT	500
base64-opt	base64	opt	MINSTOIATTR1_REG_REG_INT	1
base64-opt	base64	opt	ITOSCONCAT_REG_STRING_REG	1
base64-opt	base64	opt	SCONCATITOS_REG_STRING_REG	1
rexxcps-noopt	rexxcps	noopt	SETTPCALL_REG_FUNC_REG_REG_INT	66668
rexxcps-noopt	rexxcps	noopt	NULLN_REG_REG_REG_REG	239426
rexxcps-noopt	rexxcps	noopt	MINLINKATTR1_REG_REG_REG_INT	195365
rexxcps-noopt	rexxcps	noopt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	7400
rexxcps-noopt	rexxcps	noopt	NULLN_REG_REG	116308
rexxcps-noopt	rexxcps	noopt	LOADSETTPSWAP_REG_INT_REG_INT_REG	60476
rexxcps-noopt	rexxcps	noopt	UNLINKN_REG_REG	44136
rexxcps-noopt	rexxcps	noopt	IGETUNLINK_REG_REG	40331
rexxcps-noopt	rexxcps	noopt	SWAPN_REG_REG_REG_REG	9800
rexxcps-noopt	rexxcps	noopt	NULLN_REG_REG_REG	31450
rexxcps-noopt	rexxcps	noopt	MINLINKATTR1_REG_REG_INT	28002
rexxcps-noopt	rexxcps	noopt	ITOSCONCAT_REG_STRING_REG	2800
rexxcps-noopt	rexxcps	noopt	SETLINKATTR1_REG_REG_INT_REG	19415
rexxcps-noopt	rexxcps	noopt	ISETATTR1_REG_INT_REG	19253
rexxcps-noopt	rexxcps	noopt	UNLINKBR_REG_ID	18200
rexxcps-noopt	rexxcps	noopt	ISETUNLINK_REG_REG	9800
rexxcps-noopt	rexxcps	noopt	LOADSETTP2_REG_INT_REG_INT	8408
rexxcps-noopt	rexxcps	noopt	SWAPCALL_REG_FUNC_REG_REG_REG	802
rexxcps-noopt	rexxcps	noopt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1406
rexxcps-noopt	rexxcps	noopt	SETTPSWAP_REG_INT_REG	2800
rexxcps-noopt	rexxcps	noopt	SWAPN_REG_REG_REG_REG_REG_REG	9
rexxcps-noopt	rexxcps	noopt	SCONCATITOS_REG_STRING_REG	8
rexxcps-noopt	rexxcps	noopt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	7
rexxcps-noopt	rexxcps	noopt	SWAPSETTP_REG_REG_REG_INT	2
rexxcps-noopt	rexxcps	noopt	UNLINKLINKATTR1_REG_REG_REG_INT	15
rexxcps-noopt	rexxcps	noopt	MINSTOIATTR1_REG_REG_INT	1
rexxcps-noopt	rexxcps	noopt	ILOADSETUNLINKN_REG_REG_INT_REG	15
rexxcps-noopt	rexxcps	noopt	ITOF_REG_REG	3
rexxcps-opt	rexxcps	opt	SETTPCALL_REG_FUNC_REG_REG_INT	56968
rexxcps-opt	rexxcps	opt	NULLN_REG_REG_REG_REG	239426
rexxcps-opt	rexxcps	opt	MINLINKATTR1_REG_REG_REG_INT	195365
rexxcps-opt	rexxcps	opt	SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	10100
rexxcps-opt	rexxcps	opt	NULLN_REG_REG	116308
rexxcps-opt	rexxcps	opt	ITOSCONCAT_REG_STRING_REG	12600
rexxcps-opt	rexxcps	opt	LOADSETTPSWAP_REG_INT_REG_INT_REG	56274
rexxcps-opt	rexxcps	opt	SWAPN_REG_REG_REG_REG	11200
rexxcps-opt	rexxcps	opt	UNLINKN_REG_REG	44136
rexxcps-opt	rexxcps	opt	IGETUNLINK_REG_REG	40331
rexxcps-opt	rexxcps	opt	NULLN_REG_REG_REG	31450
rexxcps-opt	rexxcps	opt	MINLINKATTR1_REG_REG_INT	28002
rexxcps-opt	rexxcps	opt	SETLINKATTR1_REG_REG_INT_REG	19415
rexxcps-opt	rexxcps	opt	ISETATTR1_REG_INT_REG	19253
rexxcps-opt	rexxcps	opt	UNLINKBR_REG_ID	18200
rexxcps-opt	rexxcps	opt	ISETUNLINK_REG_REG	9800
rexxcps-opt	rexxcps	opt	SWAPCALL_REG_FUNC_REG_REG_REG	802
rexxcps-opt	rexxcps	opt	LOADSETTP2_REG_INT_REG_INT	5610
rexxcps-opt	rexxcps	opt	SWAPN_REG_REG_REG_REG_REG_REG_REG_REG	1406
rexxcps-opt	rexxcps	opt	SETTPSWAP_REG_INT_REG	2800
rexxcps-opt	rexxcps	opt	SWAPN_REG_REG_REG_REG_REG_REG	1409
rexxcps-opt	rexxcps	opt	SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1407
rexxcps-opt	rexxcps	opt	SWAPSETTP_REG_REG_REG_INT	2
rexxcps-opt	rexxcps	opt	SCONCATITOS_REG_STRING_REG	5
rexxcps-opt	rexxcps	opt	MINSTOIATTR1_REG_REG_INT	1
rexxcps-opt	rexxcps	opt	UNLINKLINKATTR1_REG_REG_REG_INT	15
rexxcps-opt	rexxcps	opt	ILOADSETUNLINKN_REG_REG_INT_REG	15
rexxcps-opt	rexxcps	opt	ITOF_REG_REG	1
