opcode	class	family	components	coherence	temporary_policy	future_calling_discount	program_sites	library_sites	static_workload_breadth	executions	dynamic_workload_breadth	use_band	performance_signal	rxvm_speedup_percent	rxvm_delta_per_call_ns	rxvm_estimated_portfolio_saved_ms	rxbvm_speedup_percent	rxbvm_delta_per_call_ns	rxbvm_estimated_portfolio_saved_ms	proposal	rationale
IGETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	acceptable	no-compiler-temporary-output	not-applicable	138	103	6	3282800	6	high	both-vms-saving	+8.032389	-0.223812	+0.734732	+9.528889	-0.306812	+1.007204	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ILOADSETUNLINK_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	acceptable	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							retain	Retain as the clean no-temporary destination for the trace-preserving wide-form redesign.
ISETUNLINKN_REG_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	acceptable	no-compiler-temporary-output	not-applicable	69	0	2	1153691	2	high	both-vms-saving	+22.019809	-0.939125	+1.083460	+16.378219	-0.747437	+0.862312	retain	Coherent form with representative executions and a positive ordinary-Release signal.
UNLINKBR_REG_ID	2	unlink-cleanup	UNLINK_REG;BR_ID	acceptable	no-compiler-temporary-output	not-applicable	29	39	2	268770	3	medium	both-vms-saving	+8.616101	-0.232125	+0.062388	+8.874930	-0.259188	+0.069662	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ILOADSETUNLINKN_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	acceptable	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							retain	Retain as the clean no-temporary destination for the trace-preserving wide-form redesign.
SETLINKATTR1_REG_REG_INT_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	26	0	2	1218	2	low	both-vms-saving	+17.038790	-0.515375	+0.000628	+6.783842	-0.243188	+0.000296	remove	Coherent but only 1218 executions; projected portfolio saving is below 0.001 ms and does not justify a dedicated form.
SETLINKATTR1_REG_REG_INT_REG	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG	acceptable	no-compiler-temporary-output	not-applicable	6	3	1	2145630	2	high	both-vms-saving	+16.046615	-0.484375	+1.039290	+9.247016	-0.309437	+0.663938	retain	Coherent form with representative executions and a positive ordinary-Release signal.
SETLINKATTR1_REG_REG_INT_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	acceptable	compiler-temporary-elided	not-applicable	196	0	2	5754920	2	high	both-vms-saving	+30.618621	-1.095000	+6.301637	+34.313072	-1.232750	+7.094378	retain	Coherent form with representative executions and a positive ordinary-Release signal.
MINLINKATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	44	119	1	56004	1	low	both-vms-saving	+10.670756	-0.253688	+0.014208	+6.700148	-0.174375	+0.009766	retain	Coherent form with representative executions and a positive ordinary-Release signal.
MINLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_REG_INT;LINKATTR1_REG_REG_REG	acceptable	no-compiler-temporary-output	not-applicable	149	479	3	2519098	6	high	both-vms-saving	+15.766341	-0.405813	+1.022281	+15.143181	-0.419813	+1.057549	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ITOF_REG_REG	2	typed-conversion-copy	ICOPY_REG_REG;ITOF_REG	acceptable	no-compiler-temporary-output	not-applicable	12	0	2	1002004	2	high	cross-vm-regression	-6.995311	+0.184031	-0.184400	+10.203556	-0.252250	+0.252756	remove	Coherent but measurably slower in rxvm and only oppositely positive in rxbvm; one million calls do not yield a cross-VM product win.
STOI_REG_REG	2	typed-conversion-copy	STOI_REG;ICOPY_REG_REG	acceptable	compiler-temporary-elided	not-applicable	2	1	1	0	0	static-only	unmeasured-no-execution							retain	Coherent form has static evidence or a specific replacement role; retain provisionally despite no bounded execution.
FDIVSUB_REG_REG_REG_FLOAT	2	arithmetic	FDIV_REG_REG_REG;FSUB_REG_REG_FLOAT	weak-caller-temporary	temporary-register-passed	not-applicable	4	0	1	501000	1	medium	both-vms-saving	+34.379221	-1.107312	+0.554764	+23.874186	-0.812125	+0.406875	replace-current-form	Double-digit dual-VM saving at 501k calls justifies the concept, but rxc should not preserve the quotient side effect; replace with clean result-only semantics.
FMULTICOPY_REG_FLOAT_REG_REG	2	arithmetic	FMULT_REG_REG_FLOAT;ICOPY_REG_REG	weak-independent	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Independent effects and no material observed use; coupling them into one opcode adds complexity without portfolio benefit.
FSUBILOAD_REG_REG_FLOAT_REG_INT	2	arithmetic	FSUB_REG_REG_FLOAT;LOAD_REG_INT	weak-independent	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Independent effects and no material observed use; coupling them into one opcode adds complexity without portfolio benefit.
ITOSCONCAT_REG_STRING_REG	2	string-conversion-concat	ITOS_REG;CONCAT_REG_STRING_REG	weak-caller-temporary	temporary-register-passed	not-applicable	56	7	11	15420	11	low	both-vms-saving	+0.820714	-0.237500	+0.003662	+1.236194	-0.513437	+0.007917	remove	Caller-visible conversion temporary buys only 0.8-1.2% in-cell and about 0.004-0.008 ms across the bounded portfolio.
SCONCATITOS_REG_STRING_REG	2	string-conversion-concat	SCONCAT_REG_REG_STRING;ITOS_REG	weak-independent	no-compiler-temporary-output	not-applicable	39	6	11	36	11	low	positive-but-layout-sensitive	+2.183377	-0.859375	+0.000031	-0.162065	+0.325625	-0.000012	remove	Independent effects, only 36 executions, and no consistent dual-VM saving.
ILOADGETATTRS_REG_INT_REG_REG_INT	2	load-get-attributes	LOAD_REG_INT;GETATTRS_REG_REG_INT	weak-independent	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Independent effects and no material observed use; coupling them into one opcode adds complexity without portfolio benefit.
IGETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
MINIGETATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
ISETATTR1_REG_INT_REG	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	228	293	6	5105092	7	high	both-vms-saving	+41.195834	-0.992125	+5.064889	+39.507492	-1.075375	+5.489888	retain	Coherent form with representative executions and a positive ordinary-Release signal.
ISETATTR1_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
RELINKATTR1_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
UNLINKRELINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;UNLINK_REG;LINKATTR1_REG_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
LINKSETATTRS_REG_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT	mixed-retained-intermediate	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	acceptable	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
SETATTRSADD_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT	mixed-retained-intermediate	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
LINKILOAD_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT	weak-independent	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Independent effects and no material observed use; coupling them into one opcode adds complexity without portfolio benefit.
SETLINKILOAD_REG_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG;LOAD_REG_INT	weak-independent	no-compiler-temporary-output	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Independent effects and no material observed use; coupling them into one opcode adds complexity without portfolio benefit.
UNLINKLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	acceptable	no-compiler-temporary-output	not-applicable	0	16	0	30	1	low	both-vms-saving	+14.722157	-0.449063	+0.000013	+10.428319	-0.361250	+0.000011	remove	Coherent but only 30 executions; projected portfolio saving is below 0.001 ms and does not justify a dedicated form.
LINKATTR1ADD_REG_REG_REG_INT	2	attribute-index-link	IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	acceptable	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
ISETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
STOIATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	No program sites, library sites or executions across the 22-image portfolio; speculative form is not earning its opcode and maintenance cost.
MINSTOIATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	strong	compiler-temporary-elided	not-applicable	22	6	11	22	11	low	both-vms-saving	+9.551269	-2.105625	+0.000046	+6.865062	-1.685000	+0.000037	remove	Coherent but only 22 executions; projected portfolio saving is below 0.001 ms and does not justify a dedicated form.
ILOADSETUNLINK_REG_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	weak-caller-temporary	trace-temporary-register-passed	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Caller/compiler temporary is exposed only to retain an intermediate side effect, with no material evidence strong enough to justify redesign.
ILOADSETUNLINKN_REG_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	weak-caller-temporary	trace-temporary-register-passed	not-applicable	119	5	1	364203	2	medium	positive-but-layout-sensitive	+11.792739	-0.565750	+0.206048	+18.184749	-0.864500	+0.314853	replace-current-form	Double-digit cell saving at 364k calls justifies redesign, but the explicit trace-only load register must disappear; route to a trace-correct compact form.
LINKILOADSETUNLINK_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	weak-caller-temporary	trace-temporary-register-passed	not-applicable	0	0	0	0	0	none	unmeasured-no-execution							remove	Caller/compiler temporary is exposed only to retain an intermediate side effect, with no material evidence strong enough to justify redesign.
