phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,8,97,rxtvml,channel-latency,candidate,132659.670941831835,7719
recorded,8,97,rxtvml,channel-throughput,candidate,2608.332399360143,98147
recorded,8,98,rxtvml,channel-latency,accepted,138284.942606347060,7405
recorded,8,98,rxtvml,channel-throughput,accepted,2588.839673968003,98886
recorded,8,99,rxtvml,spin-w4,candidate,4731.627975750,54104.000
recorded,8,100,rxtvml,spin-w4,accepted,4563.523896109,56097.000
recorded,8,101,rxtvml,spin-w1,candidate,1202.013372399,212976.000
recorded,8,102,rxtvml,spin-w1,accepted,1283.819362604,199405.000
recorded,8,103,rxbvml,channel-latency,candidate,134383.202099737537,7620
recorded,8,103,rxbvml,channel-throughput,candidate,3078.699249567058,83152
recorded,8,104,rxbvml,channel-latency,accepted,125091.619838749088,8186
recorded,8,104,rxbvml,channel-throughput,accepted,2977.852224083380,85968
recorded,8,105,rxbvml,spin-w4,candidate,5936.094235496,43126.000
recorded,8,106,rxbvml,spin-w4,accepted,6169.864070182,41492.000
recorded,8,107,rxbvml,spin-w1,candidate,1572.249791186,162824.000
recorded,8,108,rxbvml,spin-w1,accepted,1547.257848103,165454.000
recorded,9,109,rxbvml,spin-w1,accepted,1679.558591008,152421.000
recorded,9,110,rxbvml,spin-w1,candidate,1749.733439046,146308.000
recorded,9,111,rxbvml,spin-w4,accepted,5863.356313415,43661.000
recorded,9,112,rxbvml,spin-w4,candidate,6195.696894891,41319.000
recorded,9,113,rxbvml,channel-latency,accepted,124211.547792333819,8244
recorded,9,113,rxbvml,channel-throughput,accepted,2971.388776043178,86155
recorded,9,114,rxbvml,channel-latency,candidate,138117.075802535750,7414
recorded,9,114,rxbvml,channel-throughput,candidate,2949.240800903205,86802
recorded,9,115,rxtvml,spin-w1,accepted,1249.097332006,204948.000
recorded,9,116,rxtvml,spin-w1,candidate,1187.852353664,215515.000
recorded,9,117,rxtvml,spin-w4,accepted,4818.823529412,53125.000
recorded,9,118,rxtvml,spin-w4,candidate,4856.302760125,52715.000
recorded,9,119,rxtvml,channel-latency,accepted,129702.343255224827,7895
recorded,9,119,rxtvml,channel-throughput,accepted,2609.582059123344,98100
recorded,9,120,rxtvml,channel-latency,candidate,137063.311471021269,7471
recorded,9,120,rxtvml,channel-throughput,candidate,2564.462164165648,99826
recorded,10,121,rxtvml,channel-latency,candidate,140082.079343365243,7310
recorded,10,121,rxtvml,channel-throughput,candidate,2616.891215014413,97826
recorded,10,122,rxtvml,channel-latency,accepted,137838.201642212953,7429
recorded,10,122,rxtvml,channel-throughput,accepted,2477.139677778315,103345
recorded,10,123,rxtvml,spin-w4,candidate,4685.726836768,54634.000
recorded,10,124,rxtvml,spin-w4,accepted,4688.730562831,54599.000
recorded,10,125,rxtvml,spin-w1,candidate,1146.249837689,223337.000
recorded,10,126,rxtvml,spin-w1,accepted,1263.367763395,202633.000
recorded,10,127,rxbvml,channel-latency,candidate,131873.792659368977,7765
recorded,10,127,rxbvml,channel-throughput,candidate,3054.965512303396,83798
recorded,10,128,rxbvml,channel-latency,accepted,140370.116518163122,7295
recorded,10,128,rxbvml,channel-throughput,accepted,2956.188364627359,86598
recorded,10,129,rxbvml,spin-w4,candidate,5954.596203945,42992.000
