rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,109230,6,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R16;c1=int:0;c2=label@948;r3=R6;r4=R14;c3=int:2;r5=R15","benchmark_awfy_towers_opt",923
21,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r3,c1)","r1=R13;r2=R17;r3=R12;r4=R14;c1=int:256","benchmark_awfy_towers_opt",1605
22,81900,2,1,8,candidate,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R17;r2=R13;r3=R16;c1=string@11;r4=R7;r5=R44;c2=int:0;c3=label@1464","benchmark_awfy_towers_opt",1441
23,81900,2,1,7,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r4,c2,r3,r1,r5)","r1=R12;r2=R14;r3=R13;c1=int:256;r4=R7;c2=func@10520;r5=R45","benchmark_awfy_towers_opt",1608
24,81900,2,1,7,candidate,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r4,r5,c2)","r1=R16;r2=R17;r3=R13;c1=string@11;r4=R7;r5=R44;c2=int:0","benchmark_awfy_towers_opt",1439
25,81830,3,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r4,c2,r3)","r1=R6;r2=R15;r3=R5;c1=int:1;r4=R14;c2=int:3","benchmark_awfy_towers_opt",934
26,81830,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R14;c1=int:2;r3=R15;r4=R5;c2=int:1","benchmark_awfy_towers_opt",930
27,81800,1,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | COPY_REG_REG(r5,r3)","r1=R11;r2=R15;r3=R6;r4=R3;r5=R7;c1=int:3","benchmark_awfy_towers_opt",898
28,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R6;r2=R3;r3=R7;r4=R11;c1=int:3","benchmark_awfy_towers_opt",901
29,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R7;r2=R6;c1=int:1;r3=R11;c2=int:2","benchmark_awfy_towers_opt",908
30,81800,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R11;c1=int:2;r2=R6;r3=R15;r4=R7;r5=R16;c2=int:0;c3=label@948","benchmark_awfy_towers_opt",916
31,81800,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R11;c1=int:3;r3=R6;c2=int:1","benchmark_awfy_towers_opt",904
32,81800,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | IEQ_REG_REG_INT(r4,r5,c3)","r1=R6;c1=int:1;r2=R11;c2=int:2;r3=R15;r4=R7;r5=R16;c3=int:0","benchmark_awfy_towers_opt",913
33,81800,1,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | COPY_REG_REG(r4,r3)","r1=R7;r2=R6;c1=int:1;r3=R11;c2=int:2;r4=R15","benchmark_awfy_towers_opt",911
34,54750,2,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGETUNLINK_REG_REG(r4,r2) | BRF_ID_REG(c3,r4)","c1=label@812;r1=R5;r2=R6;r3=R14;c2=int:3;r4=R1;c3=label@859","benchmark_awfy_towers_opt",788
35,54750,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3)","r1=R5;r2=R16;c1=int:0;c2=label@812;r3=R6;r4=R14;c3=int:3;r5=R1","benchmark_awfy_towers_opt",784
36,54730,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R14;c1=int:2;r3=R3;c2=label@859","benchmark_awfy_towers_opt",801
37,54630,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINK_REG(r2)","c1=label@948;r1=R7;r2=R6;r3=R14;c2=int:2;r4=R15","benchmark_awfy_towers_opt",927
38,54630,2,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | BR_ID(c3)","r1=R6;r2=R5;c1=int:1;r3=R14;c2=int:3;c3=label@989","benchmark_awfy_towers_opt",937
39,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINKBR_REG_ID(r2,c3)","c1=label@1533;r1=R7;r2=R4;r3=R17;c2=int:2;r4=R5;c3=label@1559","benchmark_awfy_towers_opt",1520
40,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINKBR_REG_ID(r2,c3)","c1=label@1464;r1=R7;r2=R6;r3=R17;c2=int:2;r4=R16;c3=label@1490","benchmark_awfy_towers_opt",1451
41,54600,4,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r5,r3)","r1=R7;r2=R44;c1=int:0;c2=label@1464;r3=R6;r4=R17;c3=int:2;r5=R16","benchmark_awfy_towers_opt",1447
42,40960,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | NULL_REG(r4) | COPY_REG_REG(r5,r2)","c1=label@1642;r1=R8;r2=R13;r3=R42;r4=R16;r5=R17","benchmark_awfy_towers_opt",1433
43,40960,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | NULL_REG(r5)","r1=R8;r2=R43;c1=int:1;c2=label@1642;r3=R13;r4=R42;r5=R16","benchmark_awfy_towers_opt",1429
44,40960,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | COPY_REG_REG(r3,r4)","c1=int:18;c2=int:1;r1=R8;r2=R43;c3=label@1642;r3=R13;r4=R42","benchmark_awfy_towers_opt",1425
45,40960,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | COPY_REG_REG(r4,r2) | BR_ID(c2)","r1=R21;r2=R13;c1=int:1;r3=R20;r4=R42;c2=label@1885","benchmark_awfy_towers_opt",1631
46,40950,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | COPY_REG_REG(r4,r3) | ASSERTTYPE_REG_STRING(r4,c2)","r1=R32;r2=R29;r3=R25;c1=int:3;r4=R23;c2=string@9","benchmark_awfy_towers_opt",236
47,40940,1,1,10,candidate,"COPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | SETTP_REG_INT(r1,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r5,c3,r1,r3,r6,r7)","r1=R42;r2=R29;r3=R38;r4=R43;c1=int:1;c2=int:256;r5=R27;c3=func@12064;r6=R22;r7=R45","benchmark_awfy_towers_opt",1868
48,40940,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | ISUB_REG_REG_INT(r4,r5,c1) | SETTP_REG_INT(r3,c2)","r1=R29;c1=int:1;r2=R25;r3=R42;r4=R38;r5=R43;c2=int:256","benchmark_awfy_towers_opt",1864
49,40940,1,1,10,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | ISUB_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_INT(r5,r6,c2) | SETTP_REG_INT(r7,c3)","r1=R21;c1=int:3;r2=R44;r3=R22;r4=R45;r5=R25;r6=R43;c2=int:1;r7=R42;c3=int:256","benchmark_awfy_towers_opt",1642
50,40940,1,1,10,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | SETTP_REG_INT(r6,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r2,c3,r6,r4,r7,r1)","r1=R22;r2=R21;r3=R45;r4=R25;r5=R43;c1=int:1;r6=R42;c2=int:256;c3=func@12064;r7=R44","benchmark_awfy_towers_opt",1646
51,40940,1,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | COPY_REG_REG(r4,r2) | ISUB_REG_REG_INT(r5,r6,c1)","r1=R26;r2=R29;c1=int:1;r3=R25;r4=R42;r5=R38;r6=R43","benchmark_awfy_towers_opt",1862
52,27380,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R1;c1=int:0;r2=R5;r3=R16;c2=label@812;r4=R6;r5=R14;c3=int:3","benchmark_awfy_towers_opt",781
53,27370,1,1,9,candidate,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R15;r2=R11;r3=R7;r4=R16;c1=int:0;c2=label@948;r5=R6;r6=R14;c3=int:2","benchmark_awfy_towers_opt",920
54,27360,2,1,9,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | LINKATTR1_REG_REG_INT(r4,r5,c4)","r1=R16;c1=string@11;r2=R7;r3=R44;c2=int:0;c3=label@1464;r4=R6;r5=R17;c4=int:2","benchmark_awfy_towers_opt",1444
55,27360,2,1,7,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R7;r2=R44;c1=int:0;c2=label@1533;r3=R4;r4=R17;c3=int:2","benchmark_awfy_towers_opt",1514
56,27310,3,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | ENDLIFE_REG(r2) | BR_ID(c1)","r1=R25;r2=R23;c1=label@271","benchmark_awfy_towers_opt",255
57,27310,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | ENDLIFE_REG(r3)","r1=R25;r2=R30;c1=int:2;r3=R23","benchmark_awfy_towers_opt",251
58,27310,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r3)","r1=R25;r2=R30;c1=int:2;r3=R29;r4=R31","benchmark_awfy_towers_opt",213
59,27300,2,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R16;r2=R2;r3=R18;r4=R7;c1=int:2","benchmark_awfy_towers_opt",1485
60,27300,2,1,6,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IGETUNLINK_REG_REG(r5,r4)","r1=R2;r2=R18;r3=R16;r4=R7;c1=int:2;r5=R6","benchmark_awfy_towers_opt",1488
61,27290,1,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5)","r1=R3;r2=R7;c1=label@923;r3=R1;r4=R9;r5=R15","benchmark_awfy_towers_opt",854
62,27290,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R14;c1=int:6;r3=R3;c2=label@923;r4=R1","benchmark_awfy_towers_opt",850
63,27290,1,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R7;c1=label@923;r2=R1;r3=R9;r4=R15;c2=int:1","benchmark_awfy_towers_opt",857
64,27200,1,1,5,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | RET()","r1=R12;r2=R5;c1=int:1;r3=R14;c2=int:7","benchmark_awfy_towers_opt",980
65,150,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SETTP_REG_INT(r1,c2)","r1=R8;r2=R14;r3=R18;c1=int:0;r4=R10;c2=int:256","benchmark_awfy_towers_opt",144
66,150,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2) | CALL3_REG_FUNC_REG_REG_REG(r4,c3,r2,r3,r1)","r1=R18;c1=int:0;r2=R10;c2=int:256;r3=R8;r4=R19;c3=func@10520","benchmark_awfy_towers_opt",147
67,140,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | ISETATTR1_REG_INT_REG(r2,c4,r3)","c1=label@168;r1=R12;r2=R14;c2=int:4;c3=string@9;c4=int:1;r3=R7","benchmark_awfy_towers_opt",124
68,140,1,1,7,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R12;r2=R7;r3=R11;c1=label@168;r4=R14;c2=int:4;c3=string@9","benchmark_awfy_towers_opt",120
69,140,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R14;c1=int:2;r2=R16;r3=R8;r4=R18;c2=int:0;r5=R10;c3=int:256","benchmark_awfy_towers_opt",140
70,140,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3) | COPY_REG_REG(r4,r1)","r1=R14;c1=int:1;r2=R7;r3=R16;c2=int:0;c3=int:2;r4=R8","benchmark_awfy_towers_opt",133
71,140,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c1)","r1=R16;c1=int:0;r2=R14;c2=int:2;r3=R8;r4=R18","benchmark_awfy_towers_opt",137
72,140,1,1,7,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r3,c4)","r1=R14;c1=int:4;c2=string@9;c3=int:1;r2=R7;r3=R16;c4=int:0","benchmark_awfy_towers_opt",127
73,140,1,1,7,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | ISETATTR1_REG_INT_REG(r1,c2,r2) | LOAD_REG_INT(r3,c3) | ISETATTR1_REG_INT_REG(r1,c4,r3)","r1=R14;c1=string@9;c2=int:1;r2=R7;r3=R16;c3=int:0;c4=int:2","benchmark_awfy_towers_opt",130
74,30,3,1,8,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R10;r2=R5;r3=R7;c1=int:13;r4=R11;c2=int:0;r5=R13;c3=int:-1","benchmark_awfy_towers_opt",108
75,20,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R5;c1=int:1;r2=R17;r3=R20;r4=R23;c2=int:12;r5=R24;c3=int:0","benchmark_awfy_towers_opt",176
76,20,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R7;c1=int:0;r2=R6;c2=int:5;c3=int:7","benchmark_awfy_towers_opt",84
77,20,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R23;c1=int:12;r2=R24;c2=int:0;r3=R25;c3=int:2;r4=R20;c4=int:256","benchmark_awfy_towers_opt",183
78,20,2,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | CALL4_REG_FUNC_REG_REG_REG_REG(r4,c4,r3,r5,r1,r2)","r1=R24;c1=int:0;r2=R25;c2=int:2;r3=R20;c3=int:256;r4=R18;c4=func@12064;r5=R23","benchmark_awfy_towers_opt",186
79,10,1,1,5,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r1)","r1=R23;c1=string@9;r2=R25;r3=R30;c2=int:2","benchmark_awfy_towers_opt",246
80,10,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@376;r1=R3;r2=R6;c2=int:8;c3=string@8;r3=R8;c4=int:0","benchmark_awfy_towers_opt",68
81,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R23;r2=R25;c1=string@9;r3=R30;c2=int:2","benchmark_awfy_towers_opt",243
82,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:13;r5=R11;c2=int:0","benchmark_awfy_towers_opt",105
83,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | LOAD_REG_INT(r6,c1)","r1=R28;r2=R29;r3=R27;r4=R30;r5=R26;r6=R25;c1=int:1","benchmark_awfy_towers_opt",271
84,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r1,c2)","r1=R27;r2=R30;r3=R26;r4=R28;r5=R25;c1=int:1;c2=int:256","benchmark_awfy_towers_opt",274
85,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | COPY_REG_REG(r5,r4)","r1=R5;r2=R20;r3=R37;c1=int:1;r4=R9;r5=R2","benchmark_awfy_towers_opt",331
86,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r1,c2,r3) | COPY_REG_REG(r4,r1)","r1=R5;r2=R10;r3=R17;c1=int:0;c2=int:1;r4=R20","benchmark_awfy_towers_opt",170
87,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | COPY_REG_REG(r3,r4)","r1=R30;r2=R27;r3=R29;c1=string@11;r4=R25;c2=int:2","benchmark_awfy_towers_opt",207
88,10,1,1,4,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R29;r2=R25;r3=R31;c1=int:2","benchmark_awfy_towers_opt",217
89,10,1,1,6,candidate,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | ISETATTR1_REG_INT_REG(r2,c2,r4)","r1=R8;r2=R5;r3=R10;r4=R17;c1=int:0;c2=int:1","benchmark_awfy_towers_opt",168
