entry,name,count,bytes,max_bytes,high_water,status
base64-noopt,frame_blocks,12,40440,7088,0,complete
base64-noopt,standalone_values,39,9672,248,0,complete
base64-noopt,attribute_value_blocks,2,3968,1984,0,complete
base64-noopt,attribute_pointer_storage,6,384,64,0,complete
base64-noopt,string_buffers,509,1026688,2048,0,complete
base64-noopt,binary_buffers,1003,1539136,2048,0,complete
base64-noopt,value_slots,186,46128,6200,0,complete
base64-noopt,frame_activations,2054008,0,0,4,complete
base64-noopt,frame_reuses,2053996,0,0,0,complete
base64-opt,frame_blocks,2,22888,11840,0,complete
base64-opt,standalone_values,39,9672,248,0,complete
base64-opt,attribute_value_blocks,1,1984,1984,0,complete
base64-opt,attribute_pointer_storage,3,192,64,0,complete
base64-opt,string_buffers,14,16832,2048,0,complete
base64-opt,binary_buffers,511,524352,2048,0,complete
base64-opt,value_slots,130,32240,10664,0,complete
base64-opt,frame_activations,501,0,0,2,complete
base64-opt,frame_reuses,499,0,0,0,complete
rexxcps-noopt,frame_blocks,25,146968,28256,0,complete
rexxcps-noopt,standalone_values,39,9672,248,0,complete
rexxcps-noopt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-noopt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-noopt,string_buffers,99029,3170560,128,0,complete
rexxcps-noopt,binary_buffers,2,4096,2048,0,complete
rexxcps-noopt,value_slots,785,194680,26040,0,complete
rexxcps-noopt,frame_activations,156244,0,0,5,complete
rexxcps-noopt,frame_reuses,156219,0,0,0,complete
rexxcps-opt,frame_blocks,21,134720,27992,0,complete
rexxcps-opt,standalone_values,115539,28653672,248,0,complete
rexxcps-opt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-opt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-opt,string_buffers,29423,942784,128,0,complete
rexxcps-opt,binary_buffers,2,4096,2048,0,complete
rexxcps-opt,value_slots,116246,28829008,25792,0,complete
rexxcps-opt,frame_activations,34443,0,0,5,complete
rexxcps-opt,frame_reuses,34422,0,0,0,complete
