phase,round,engine,mode,sequence,variant,elapsed_ns,jobs_per_second
recorded,9,rxtvml,executor2,2,candidate,1405083000,7117.017286523
recorded,10,rxbvml,direct,1,candidate,2167154000,4614.346742317
recorded,10,rxbvml,direct,2,baseline,2193032000,4559.896982807
recorded,10,rxbvml,executor1,1,candidate,2159994000,4629.642489748
recorded,10,rxbvml,executor1,2,baseline,2210626000,4523.605530741
recorded,10,rxbvml,executor2,1,candidate,1204227000,8304.082203771
recorded,10,rxbvml,executor2,2,baseline,1260225000,7935.090955980
recorded,10,rxtvml,direct,1,candidate,2711846000,3687.525029076
recorded,10,rxtvml,direct,2,baseline,2470959000,4047.011706791
recorded,10,rxtvml,executor1,1,candidate,2584602000,3869.067655291
recorded,10,rxtvml,executor1,2,baseline,2495014000,4007.993542321
recorded,10,rxtvml,executor2,1,candidate,1393116000,7178.153147333
recorded,10,rxtvml,executor2,2,baseline,1408464000,7099.932976633
recorded,11,rxbvml,direct,1,baseline,2208612000,4527.730538456
recorded,11,rxbvml,direct,2,candidate,2143138000,4666.055102378
recorded,11,rxbvml,executor1,1,baseline,2242341000,4459.625007972
recorded,11,rxbvml,executor1,2,candidate,2170354000,4607.543285565
recorded,11,rxbvml,executor2,1,baseline,1300380000,7690.059828665
recorded,11,rxbvml,executor2,2,candidate,1485850000,6730.154457045
recorded,11,rxtvml,direct,1,baseline,2573181000,3886.240416045
recorded,11,rxtvml,direct,2,candidate,2512811000,3979.606902389
recorded,11,rxtvml,executor1,1,baseline,2499959000,4000.065601076
recorded,11,rxtvml,executor1,2,candidate,2520734000,3967.098472112
recorded,11,rxtvml,executor2,1,baseline,1663995000,6009.633442408
recorded,11,rxtvml,executor2,2,candidate,1806550000,5535.412803410
recorded,12,rxbvml,direct,1,candidate,2208975000,4526.986498263
recorded,12,rxbvml,direct,2,baseline,2223810000,4496.787045656
recorded,12,rxbvml,executor1,1,candidate,2194549000,4556.744916609
recorded,12,rxbvml,executor1,2,baseline,2267583000,4409.981905844
recorded,12,rxbvml,executor2,1,candidate,1345007000,7434.905543243
recorded,12,rxbvml,executor2,2,baseline,1413546000,7074.407200049
recorded,12,rxtvml,direct,1,candidate,2653154000,3769.098966739
recorded,12,rxtvml,direct,2,baseline,2554063000,3915.330201330
recorded,12,rxtvml,executor1,1,candidate,2798312000,3573.582931424
recorded,12,rxtvml,executor1,2,baseline,2605574000,3837.925923424
recorded,12,rxtvml,executor2,1,candidate,1571500000,6363.347120585
recorded,12,rxtvml,executor2,2,baseline,1666766000,5999.642421312
