rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6169002,64,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R7;r2=R6;r3=R28;r4=R29","benchmark_base64_roundtrip_opt",361
36,171500,2,1,7,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | LOAD_REG_STRING(r6,c1)","r1=R20;r2=R19;r3=R41;r4=R17;r5=R1;r6=R11;c1=string@50384","benchmark_base64_roundtrip_opt",813
37,171500,2,1,8,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | LOAD_REG_INT(r6,c2)","r1=R19;r2=R41;r3=R17;r4=R1;r5=R11;c1=string@50384;r6=R13;c2=int:0","benchmark_base64_roundtrip_opt",815
38,171000,1,1,8,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1) | IADD_REG_REG_INT(r1,r5,c1) | BGETU8_REG_REG_REG(r6,r2,r7)","r1=R36;r2=R15;r3=R29;r4=R21;r5=R20;c1=int:1;r6=R35;r7=R30","benchmark_base64_roundtrip_opt",267
39,171000,1,1,8,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1) | IGT_REG_REG_INT(r5,r6,c1) | BRF_ID_REG(c2,r5)","r1=R35;r2=R15;r3=R30;r4=R21;r5=R36;r6=R33;c1=int:1;c2=label@308","benchmark_base64_roundtrip_opt",279
40,171000,1,1,9,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c1) | IGT_REG_REG_INT(r6,r7,c2)","r1=R7;r2=R16;r3=R19;r4=R6;c1=int:0;r5=R28;r6=R35;r7=R33;c2=int:1","benchmark_base64_roundtrip_opt",190
41,171000,1,1,9,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | BGETU8_REG_REG_REG(r5,r6,r4) | LOAD_REG_INT(r7,c2)","c1=label@361;r1=R34;r2=R33;r3=R18;r4=R19;r5=R7;r6=R16;r7=R6;c2=int:0","benchmark_base64_roundtrip_opt",183
42,171000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","c1=label@2347;r1=R17;r2=R14;r3=R13;r4=R11","benchmark_base64_roundtrip_opt",1205
43,171000,1,1,5,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1) | IADD_REG_REG_INT(r3,r4,c1) | ILT_REG_REG_REG(r3,r2,r3)","r1=R6;r2=R4;r3=R39;c1=int:1;r4=R3","benchmark_base64_roundtrip_opt",2253
44,171000,1,1,7,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r3,r2,c1) | BGETU8_REG_REG_REG(r4,r5,r6) | BSETU8_REG_REG_REG(r1,r3,r4)","r1=R21;r2=R20;r3=R36;c1=int:1;r4=R35;r5=R15;r6=R30","benchmark_base64_roundtrip_opt",271
45,171000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4) | NULL_REG(r4)","r1=R38;r2=R36;r3=R20;r4=R39","benchmark_base64_roundtrip_opt",1704
46,171000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ICOPY_REG_REG(r3,r4) | NULL_REG(r5)","r1=R16;r2=R15;r3=R21;r4=R38;r5=R35","benchmark_base64_roundtrip_opt",1452
47,171000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R16;r2=R15;r3=R23;r4=R14;r5=R19;c1=int:0","benchmark_base64_roundtrip_opt",2056
48,171000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4) | NULL_REG(r5)","r1=R16;r2=R15;r3=R24;r4=R14;r5=R39","benchmark_base64_roundtrip_opt",1880
49,171000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | NULL_REG(r3) | NULL_REG(r4)","r1=R36;r2=R20;r3=R39;r4=R38","benchmark_base64_roundtrip_opt",1706
50,171000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ICOPY_REG_REG(r2,r3) | NULL_REG(r4) | NULL_REG(r5)","r1=R15;r2=R21;r3=R38;r4=R35;r5=R34","benchmark_base64_roundtrip_opt",1454
51,171000,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c1)","r1=R15;r2=R23;r3=R14;r4=R19;c1=int:0;r5=R18","benchmark_base64_roundtrip_opt",2058
52,171000,1,1,3,candidate,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | NULL_REG(r3) | SCOPY_REG_REG(r1,r2)","r1=R35;r2=R16;r3=R38","benchmark_base64_roundtrip_opt",1378
53,171000,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | NULL_REG(r3) | SCOPY_REG_REG(r4,r2)","r1=R12;r2=R38;r3=R39;r4=R34","benchmark_base64_roundtrip_opt",1630
54,171000,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | SCOPY_REG_REG(r2,r3) | NULL_REG(r4) | NULL_REG(r5)","r1=R15;r2=R24;r3=R14;r4=R39;r5=R38","benchmark_base64_roundtrip_opt",1882
55,171000,1,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5) | BSETU8_REG_REG_REG(r6,r1,r3) | IGT_REG_REG_INT(r1,r7,c1)","r1=R36;r2=R20;c1=int:1;r3=R35;r4=R15;r5=R30;r6=R21;r7=R33","benchmark_base64_roundtrip_opt",275
56,171000,1,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c1) | IADD_REG_REG_INT(r1,r5,c1)","r1=R39;r2=R38;r3=R6;r4=R4;c1=int:1;r5=R3","benchmark_base64_roundtrip_opt",2249
57,171000,1,1,8,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r2,r4,c1) | IMULT_REG_REG_INT(r2,r2,c2) | IDIV_REG_REG_INT(r3,r5,c3)","r1=R30;r2=R36;r3=R35;r4=R6;c1=int:16;c2=int:4;r5=R28;c3=int:64","benchmark_base64_roundtrip_opt",243
58,171000,1,1,10,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r4,r5,c1) | BGETU8_REG_REG_REG(r2,r6,r7) | BSETU8_REG_REG_REG(r8,r9,r2)","r1=R31;r2=R36;r3=R35;r4=R32;r5=R28;c1=int:64;r6=R15;r7=R29;r8=R21;r9=R20","benchmark_base64_roundtrip_opt",259
59,171000,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R20;r2=R39;r3=R38;r4=R35","benchmark_base64_roundtrip_opt",1708
60,171000,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | NULL_REG(r3) | NULL_REG(r4) | NULL_REG(r5)","r1=R21;r2=R38;r3=R35;r4=R34;r5=R32","benchmark_base64_roundtrip_opt",1456
61,171000,1,1,6,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | IMOD_REG_REG_INT(r4,r2,c1) | IMULT_REG_REG_INT(r4,r4,c2)","r1=R35;r2=R6;c1=int:16;r3=R30;r4=R36;c2=int:4","benchmark_base64_roundtrip_opt",239
62,171000,1,1,8,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | IMOD_REG_REG_INT(r5,r2,c1) | BGETU8_REG_REG_REG(r4,r6,r7)","r1=R35;r2=R28;c1=int:64;r3=R31;r4=R36;r5=R32;r6=R15;r7=R29","benchmark_base64_roundtrip_opt",255
63,171000,1,1,7,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_INT(r3,r2,c1) | IMULT_REG_REG_INT(r3,r3,c2) | IDIV_REG_REG_INT(r4,r5,c2)","r1=R29;r2=R7;c1=int:4;r3=R36;c2=int:16;r4=R35;r5=R6","benchmark_base64_roundtrip_opt",227
64,171000,1,1,6,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | NULL_REG(r4) | NULL_REG(r5)","r1=R17;r2=R2;r3=R1;c1=label@2347;r4=R14;r5=R13","benchmark_base64_roundtrip_opt",1201
65,171000,1,1,7,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r4,r3,r2) | BGETU8_REG_REG_REG(r5,r6,r2)","r1=R34;r2=R19;r3=R18;c1=label@361;r4=R33;r5=R7;r6=R16","benchmark_base64_roundtrip_opt",179
66,171000,1,1,9,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5) | BSETU8_REG_REG_REG(r6,r7,r3) | IADD_REG_REG_INT(r3,r7,c2)","r1=R32;r2=R28;c1=int:64;r3=R36;r4=R15;r5=R29;r6=R21;r7=R20;c2=int:1","benchmark_base64_roundtrip_opt",263
67,171000,1,1,7,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2) | IDIV_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r5,r1,r3)","r1=R36;r2=R7;c1=int:4;c2=int:16;r3=R35;r4=R6;r5=R30","benchmark_base64_roundtrip_opt",231
68,171000,1,1,8,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2) | IDIV_REG_REG_INT(r3,r4,c3) | IADD_REG_REG_REG(r5,r1,r3)","r1=R36;r2=R6;c1=int:16;c2=int:4;r3=R35;r4=R28;c3=int:64;r5=R31","benchmark_base64_roundtrip_opt",247
69,171000,1,1,5,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c1) | IADD_REG_REG_REG(r4,r1,r2) | IMOD_REG_REG_INT(r1,r3,c1)","r1=R36;c1=int:16;r2=R35;r3=R6;r4=R30","benchmark_base64_roundtrip_opt",235
70,171000,1,1,7,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2) | IADD_REG_REG_REG(r4,r1,r2) | IMOD_REG_REG_INT(r5,r3,c2)","r1=R36;c1=int:4;r2=R35;r3=R28;c2=int:64;r4=R31;r5=R32","benchmark_base64_roundtrip_opt",251
71,171000,1,1,8,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r4,c2) | IADD_REG_REG_REG(r1,r1,r3) | BSETU8_REG_REG_REG(r5,r6,r1)","r1=R39;r2=R21;c1=int:4;r3=R38;r4=R20;c2=int:16;r5=R6;r6=R4","benchmark_base64_roundtrip_opt",2241
72,171000,1,1,8,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | BGETU8_REG_REG_REG(r4,r5,r3) | LOAD_REG_INT(r6,c1) | LOAD_REG_INT(r7,c1)","r1=R33;r2=R18;r3=R19;r4=R7;r5=R16;r6=R6;c1=int:0;r7=R28","benchmark_base64_roundtrip_opt",186
73,171000,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | IGT_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R6;c1=int:0;r2=R28;r3=R35;r4=R33;c2=int:1;c3=label@215","benchmark_base64_roundtrip_opt",194
74,171000,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | RNE_REG_REG_STRING(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R19;c1=int:0;r2=R18;r3=R39;r4=R24;c2=string@58824;c3=label@2155","benchmark_base64_roundtrip_opt",2063
75,171000,1,1,8,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1) | RNE_REG_REG_STRING(r5,r6,c2)","r1=R23;r2=R14;r3=R19;c1=int:0;r4=R18;r5=R39;r6=R24;c2=string@58824","benchmark_base64_roundtrip_opt",2060
76,171000,1,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | NULL_REG(r3) | NULL_REG(r4) | NULL_REG(r5)","r1=R24;r2=R14;r3=R39;r4=R38;r5=R35","benchmark_base64_roundtrip_opt",1884
77,170500,1,1,9,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | BLE_ID_REG_INT(c1,r4,c2) | IADD_REG_REG_INT(r5,r6,c2) | BGETU8_REG_REG_REG(r7,r2,r5)","r1=R6;r2=R16;r3=R36;c1=label@227;r4=R33;c2=int:2;r5=R35;r6=R19;r7=R28","benchmark_base64_roundtrip_opt",211
78,170500,1,1,8,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IDIV_REG_REG_INT(r4,r5,c1) | IMOD_REG_REG_INT(r6,r5,c1) | IMULT_REG_REG_INT(r6,r6,c2)","r1=R28;r2=R16;r3=R35;r4=R29;r5=R7;c1=int:4;r6=R36;c2=int:16","benchmark_base64_roundtrip_opt",223
79,170500,1,1,10,over_3_symbols,"BLE_ID_REG_INT(c1,r1,c2) | IADD_REG_REG_INT(r2,r3,c2) | BGETU8_REG_REG_REG(r4,r5,r2) | IDIV_REG_REG_INT(r6,r7,c3)","c1=label@227;r1=R33;c2=int:2;r2=R35;r3=R19;r4=R28;r5=R16;r6=R29;r7=R7;c3=int:4","benchmark_base64_roundtrip_opt",215
80,170500,1,1,10,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | BGETU8_REG_REG_REG(r4,r5,r2) | BLE_ID_REG_INT(c3,r6,c4)","c1=label@215;r1=R35;r2=R36;r3=R19;c2=int:1;r4=R6;r5=R16;c3=label@227;r6=R33;c4=int:2","benchmark_base64_roundtrip_opt",204
81,170500,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | IMOD_REG_REG_INT(r2,r3,c2) | IMULT_REG_REG_INT(r2,r2,c2) | IDIV_REG_REG_INT(r4,r5,c3)","c1=label@2303;r1=R39;r2=R38;r3=R20;c2=int:16;r4=R36;r5=R19;c3=int:4","benchmark_base64_roundtrip_opt",2276
82,170500,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | IMOD_REG_REG_INT(r2,r3,c2) | IMULT_REG_REG_INT(r2,r2,c3) | IADD_REG_REG_REG(r2,r2,r4)","c1=label@2341;r1=R39;r2=R38;r3=R19;c2=int:4;c3=int:64;r4=R18","benchmark_base64_roundtrip_opt",2318
83,170500,1,1,7,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1) | IADD_REG_REG_INT(r4,r4,c2) | BR_ID(c3)","r1=R6;r2=R4;r3=R38;c1=int:1;r4=R2;c2=int:4;c3=label@1201","benchmark_base64_roundtrip_opt",2333
84,170500,1,1,6,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1) | IADD_REG_REG_INT(r4,r5,c1) | ILT_REG_REG_REG(r4,r2,r4)","r1=R6;r2=R4;r3=R38;c1=int:1;r4=R39;r5=R3","benchmark_base64_roundtrip_opt",2295
85,170500,1,1,8,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r2,r4,c1) | BRF_ID_REG(c2,r2) | IADD_REG_REG_INT(r3,r5,c3)","r1=R21;r2=R36;r3=R35;r4=R33;c1=int:1;c2=label@308;r5=R20;c3=int:2","benchmark_base64_roundtrip_opt",283
