# PERF3 closeout portfolio-v2 Apple M5 product/source/generated inventory.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
benchmark|crexx|JSON-query|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_query_opt.rxas
benchmark|crexx|JSON-query|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_query_opt.rxbin
benchmark|crexx|Base64-v1|source|tests/benchmarks/base64_roundtrip.crexx
benchmark|crexx|Base64-v1|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxas
benchmark|crexx|Base64-v1|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin
benchmark|crexx|Base64-v2|source|tests/benchmarks/base64_roundtrip_v2.crexx
benchmark|crexx|Base64-v2|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_base64_roundtrip_v2_opt.rxas
benchmark|crexx|Base64-v2|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_base64_roundtrip_v2_opt.rxbin
benchmark|crexx|RexxCPS|source|tests/benchmarks/rexxcps_levelb.crexx
benchmark|crexx|RexxCPS|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxas
benchmark|crexx|RexxCPS|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin
benchmark|crexx|Queens|source|tests/benchmarks/awfy_queens.crexx
benchmark|crexx|Queens|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_queens_opt.rxas
benchmark|crexx|Queens|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_queens_opt.rxbin
benchmark|crexx|NBody|source|tests/benchmarks/awfy_nbody.crexx
benchmark|crexx|NBody|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_nbody_opt.rxas
benchmark|crexx|NBody|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_nbody_opt.rxbin
benchmark|oorexx|Base64-v2|source|tests/benchmarks/cross-runtime/oorexx/base64_roundtrip_v2.rex
benchmark|netrexx|Base64-v2|source|tests/benchmarks/cross-runtime/netrexx/base64_roundtrip_v2.nrx
generated|netrexx|Base64-v2|staged-source|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/netrexx-v2/base64_roundtrip_v2.nrx
generated|netrexx|Base64-v2|java|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/netrexx-v2/base64_roundtrip_v2.java.keep
generated|netrexx|Base64-v2|class|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/netrexx-v2/base64_roundtrip_v2.class
runtime|oorexx|all|executable|/Users/adrian/.local/opt/oorexx/5.1.0-12973/bin/rexx
runtime|regina|RexxCPS|executable|/opt/homebrew/bin/regina
runtime|java|all|executable|/Library/Java/JavaVirtualMachines/temurin-26.jdk/Contents/Home/bin/java
runtime|netrexx|all|runtime-jar|/Users/adrian/.local/opt/netrexx/5.10-GA/runlib/NetRexxR.jar
compiler|netrexx|all|compiler-jar|/Users/adrian/.local/opt/netrexx/5.10-GA/lib/NetRexxC.jar
lifecycle|crexx|Lifecycle|source|tests/benchmarks/cross-runtime/lifecycle/lifecycle_probe.crexx
lifecycle|oorexx|Lifecycle|source|tests/benchmarks/cross-runtime/lifecycle/lifecycle_probe.rex
lifecycle|netrexx|Lifecycle|source|tests/benchmarks/cross-runtime/lifecycle/lifecycle_probe.nrx
lifecycle|crexx|Lifecycle|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/crexx/lifecycle_probe.rxas
lifecycle|crexx|Lifecycle|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/crexx/lifecycle_probe.rxbin
lifecycle|oorexx|Lifecycle|translated-image|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/oorexx/lifecycle_probe.orx
lifecycle|netrexx|Lifecycle|staged-source|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/netrexx/lifecycle_probe.nrx
lifecycle|netrexx|Lifecycle|java|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/netrexx/lifecycle_probe.java.keep
lifecycle|netrexx|Lifecycle|class|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/lifecycle/netrexx/lifecycle_probe.class
