vm,opcode,baseline_count,candidate_count,delta
rxvm,FGT_REG_REG_FLOAT,1,1,+0
rxvm,FNDBLNK_REG_REG_REG,2801,2801,+0
rxvm,FNDNBLNK_REG_REG_REG,31285,31285,+0
rxvm,FSUB_REG_REG_REG,1,1,+0
rxvm,FTOS_REG,402,402,+0
rxvm,GETANDTP_REG_REG_INT,23950,23950,+0
rxvm,GETATTRS_REG_REG_INT,37816,37816,+0
rxvm,IADD_REG_REG_INT,575484,575484,+0
rxvm,IADD_REG_REG_REG,335208,335208,+0
rxvm,ICOPY_REG_REG,1125713,1056312,-69401
rxvm,IEQ_REG_REG_INT,916959,916959,+0
rxvm,IEQ_REG_REG_REG,232649,232649,+0
rxvm,IGETUNLINK_REG_REG,0,40331,+40331
rxvm,IGTE_REG_REG_INT,92406,92406,+0
rxvm,IGTE_REG_REG_REG,184800,184800,+0
rxvm,IGT_REG_REG_INT,249426,249426,+0
rxvm,IGT_REG_REG_REG,513667,513667,+0
rxvm,ILOADSETUNLINKN_REG_REG_INT_REG,0,15,+15
rxvm,ILTE_REG_REG_INT,142800,142800,+0
rxvm,ILTE_REG_REG_REG,98000,98000,+0
rxvm,ILT_REG_REG_INT,321887,321887,+0
rxvm,ILT_REG_REG_REG,269439,269439,+0
rxvm,IMOD_REG_REG_REG,129400,129400,+0
rxvm,IMULT_REG_REG_INT,272200,272200,+0
rxvm,INE_REG_REG_INT,178371,178387,+16
rxvm,ISETATTR1_REG_INT_REG,0,19253,+19253
rxvm,ISETUNLINK_REG_REG,0,9800,+9800
rxvm,ISTYPE_REG_REG_STRING,7,7,+0
rxvm,ISUB_REG_INT_REG,18646,18646,+0
rxvm,ISUB_REG_REG_INT,305206,305206,+0
rxvm,ISUB_REG_REG_REG,107023,107023,+0
rxvm,ITOF_REG,401,400,-1
rxvm,ITOF_REG_REG,0,1,+1
rxvm,ITOSCONCAT_REG_STRING_REG,0,12600,+12600
rxvm,ITOS_REG,12606,1,-12605
rxvm,LINKATTR1_REG_REG_INT,306613,259342,-47271
rxvm,LINKATTR1_REG_REG_REG,214780,0,-214780
rxvm,LOADSETTP2_REG_INT_REG_INT,0,5610,+5610
rxvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,0,56274,+56274
rxvm,LOAD_REG_DECIMAL,4200,4200,+0
rxvm,LOAD_REG_FLOAT,406,406,+0
rxvm,LOAD_REG_INT,669930,608031,-61899
rxvm,LOAD_REG_STRING,300886,300886,+0
rxvm,MINATTRS_REG_INT,28003,0,-28003
rxvm,MINATTRS_REG_REG_INT,195365,0,-195365
rxvm,MINLINKATTR1_REG_REG_INT,0,28002,+28002
rxvm,MINLINKATTR1_REG_REG_REG_INT,0,195365,+195365
rxvm,MINSTOIATTR1_REG_REG_INT,0,1,+1
rxvm,MTIME_REG,400,400,+0
rxvm,NOT_REG_REG,33756,33756,+0
rxvm,NULLN_REG_REG,0,116308,+116308
rxvm,NULLN_REG_REG_REG,0,31450,+31450
rxvm,NULLN_REG_REG_REG_REG,0,239426,+239426
rxvm,NULL_REG,1359142,74472,-1284670
rxvm,NUMSCI_INT_INT_INT,108498,108498,+0
rxvm,POSCHAR_REG_REG_REG,7,7,+0
rxvm,REQ_REG_REG_REG,53621,53621,+0
rxvm,REQ_REG_REG_STRING,69885,69885,+0
rxvm,RET,34329,34329,+0
rxvm,RET_INT,5009,5009,+0
rxvm,RET_REG,67364,67364,+0
rxvm,RET_STRING,3000,3000,+0
rxvm,RNE_REG_REG_STRING,64401,64401,+0
rxvm,RXVERS_REG,1,1,+0
rxvm,SAY_REG,6,6,+0
rxvm,SAY_STRING,5,5,+0
rxvm,SCONCATITOS_REG_STRING_REG,0,5,+5
rxvm,SCONCAT_REG_REG_REG,1,1,+0
rxvm,SCONCAT_REG_REG_STRING,12,7,-5
rxvm,SCONCAT_REG_STRING_REG,4,4,+0
rxvm,SCOPY_REG_REG,805703,805703,+0
rxvm,SEQ_REG_REG_REG,17884,17884,+0
rxvm,SEQ_REG_REG_STRING,3512,3512,+0
rxvm,SETATTRS_REG_INT,23625,4210,-19415
rxvm,SETLINKATTR1_REG_REG_INT_REG,0,19415,+19415
rxvm,SETNUMCAS_INT,2,2,+0
rxvm,SETNUMFUZ_INT,4,4,+0
rxvm,SETNUMSTD_INT,4,4,+0
rxvm,SETOBJTYPE_REG_STRING,4210,4210,+0
rxvm,SETOBJUNINIT_REG_STRING,9813,9813,+0
