entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,elapsed,benchmark_awfy_bounce_noopt,factory,100,63999,639,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,inclusive_body,benchmark_awfy_bounce_noopt,factory,100,24206,242,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,self,benchmark_awfy_bounce_noopt,factory,100,24206,242,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,native_child,benchmark_awfy_bounce_noopt,factory,100,0,0,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,entry_overhead,benchmark_awfy_bounce_noopt,factory,100,28121,281,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,exit_overhead,benchmark_awfy_bounce_noopt,factory,100,11672,116,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-opt,1,awfy_bounce.main,elapsed,benchmark_awfy_bounce_opt,procedure,1,886546375,886546375,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,inclusive_body,benchmark_awfy_bounce_opt,procedure,1,886543250,886543250,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,self,benchmark_awfy_bounce_opt,procedure,1,123130,123130,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,native_child,benchmark_awfy_bounce_opt,procedure,1,0,0,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,entry_overhead,benchmark_awfy_bounce_opt,procedure,1,2708,2708,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,exit_overhead,benchmark_awfy_bounce_opt,procedure,1,417,417,1,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,elapsed,benchmark_awfy_bounce_opt,method,100,886420120,8864201,100,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,inclusive_body,benchmark_awfy_bounce_opt,method,100,886176454,8861764,100,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,self,benchmark_awfy_bounce_opt,method,100,865061807,8650618,100,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,native_child,benchmark_awfy_bounce_opt,method,100,0,0,100,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,entry_overhead,benchmark_awfy_bounce_opt,method,100,28586,285,100,0,.int,,complete
bounce-opt,2,awfy_bounce.bouncebenchmark.run,exit_overhead,benchmark_awfy_bounce_opt,method,100,215080,2150,100,0,.int,,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,elapsed,benchmark_awfy_bounce_opt,factory,10000,21114647,2111,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,inclusive_body,benchmark_awfy_bounce_opt,factory,10000,18086199,1808,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,self,benchmark_awfy_bounce_opt,factory,10000,18086199,1808,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,native_child,benchmark_awfy_bounce_opt,factory,10000,0,0,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,entry_overhead,benchmark_awfy_bounce_opt,factory,10000,1290456,129,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-opt,3,awfy_bounce.bounceball.§factory,exit_overhead,benchmark_awfy_bounce_opt,factory,10000,1737992,173,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
richards-noopt,1,awfy_richards.main,elapsed,benchmark_awfy_richards_noopt,procedure,1,333322334,333322334,1,0,.int,,complete
richards-noopt,1,awfy_richards.main,inclusive_body,benchmark_awfy_richards_noopt,procedure,1,333318625,333318625,1,0,.int,,complete
richards-noopt,1,awfy_richards.main,self,benchmark_awfy_richards_noopt,procedure,1,72708,72708,1,0,.int,,complete
richards-noopt,1,awfy_richards.main,native_child,benchmark_awfy_richards_noopt,procedure,1,0,0,1,0,.int,,complete
richards-noopt,1,awfy_richards.main,entry_overhead,benchmark_awfy_richards_noopt,procedure,1,3209,3209,1,0,.int,,complete
richards-noopt,1,awfy_richards.main,exit_overhead,benchmark_awfy_richards_noopt,procedure,1,500,500,1,0,.int,,complete
richards-noopt,2,awfy_richards.richardsscheduler.run,elapsed,benchmark_awfy_richards_noopt,method,1,333225792,333225792,1,0,.boolean,,complete
