vm,round,order,position,variant,cps,provenance,result
rxvm,28,candidate-control,2,control,44355851,canonical-default,PASS
rxvm,29,control-candidate,1,control,45097415,canonical-default,PASS
rxvm,29,control-candidate,2,candidate,43042150,canonical-default,PASS
rxvm,30,candidate-control,1,candidate,46294667,canonical-default,PASS
rxvm,30,candidate-control,2,control,46169203,canonical-default,PASS
rxvm,31,control-candidate,1,control,45762737,canonical-default,PASS
rxvm,31,control-candidate,2,candidate,43696516,canonical-default,PASS
rxvm,32,candidate-control,1,candidate,46803289,canonical-default,PASS
rxvm,32,candidate-control,2,control,46351274,canonical-default,PASS
rxvm,33,control-candidate,1,control,46105173,canonical-default,PASS
rxvm,33,control-candidate,2,candidate,46607140,canonical-default,PASS
rxvm,34,candidate-control,1,candidate,45357563,canonical-default,PASS
rxvm,34,candidate-control,2,control,44228179,canonical-default,PASS
rxvm,35,control-candidate,1,control,46397469,canonical-default,PASS
rxvm,35,control-candidate,2,candidate,46049929,canonical-default,PASS
rxvm,36,candidate-control,1,candidate,45433151,canonical-default,PASS
rxvm,36,candidate-control,2,control,45251531,canonical-default,PASS
