workload,round,order,variant,elapsed_s
RexxCPS,24,1,stage5,0.048450947
RexxCPS,24,2,frozen,0.051373005
RexxCPS,25,1,frozen,0.052706957
RexxCPS,25,2,stage5,0.060862780
RexxCPS,26,1,stage5,0.050930977
RexxCPS,26,2,frozen,0.059267044
RexxCPS,27,1,frozen,0.049425840
RexxCPS,27,2,stage5,0.049057961
RexxCPS,28,1,stage5,0.049475908
RexxCPS,28,2,frozen,0.049821854
RexxCPS,29,1,frozen,0.050002813
RexxCPS,29,2,stage5,0.049234152
RexxCPS,30,1,stage5,0.054857969
RexxCPS,30,2,frozen,0.057805777
