module,procedure,null,endlife,copies,unlink,reference_ops
_address,find_normalized_sandbox_key_index(),0,0,1,2,0
_address,dispatch_address_request(),10,1,46,19,0
_address,execute_system_command(),10,1,49,27,0
_address,_address_execute_system_command(),0,0,0,0,0
_address,_address_unknown_command_response(),1,1,19,10,0
_address,_address_normalize_environment_name(),1,0,3,0,0
_address,_address_normalize_command(),1,0,3,0,0
_address,_address_first_chars(),0,0,4,0,0
_address,spawn_request(),16,1,41,26,0
_address,normalize_environment_name(),1,0,1,0,0
_address,_noredir(),1,0,0,0,0
_address,_redir2array(),1,0,0,0,0
_address,_redir2string(),1,0,0,0,0
_address,_array2redir(),1,0,0,0,0
_rxsystem,_string2redir(),1,0,0,0,0
_rxsystem,_exit(),0,0,1,0,0
_rxsystem,_open(),5,0,11,11,0
_jdn,_close(),2,0,4,5,0
_jdn,_jdn(),0,0,17,0,0
_jdn,_datevalid(),0,0,8,0,0
_jdn,_leapyear(),0,0,1,0,0
_jdn,_daysinmonth(),0,0,3,0,0
_jdn,_dateformat(),101,0,77,0,0
_datei,_datefromjdn(),10,0,8,0,0
_datei,_datei(),43,0,79,0,0
_datei,_date_separated(),13,0,31,0,0
_datei,_date_named(),148,0,163,0,0
_datei,_date_month_number(),50,0,38,0,0
_datei,_date_weekday_number(),30,0,23,0,0
_dateo,_date_unsigned_span(),1,0,2,0,0
_ftrunc,_dateo(),109,0,176,0,0
_itrunc,_ftrunc(),2,0,1,0,0
_typedformat,_itrunc(),1,0,2,0,0
abbrev,_typedformat(),21,0,36,0,0
abs,abbrev(),5,0,2,0,0
intabs,abs(),0,0,0,0,0
floatabs,intabs(),1,0,1,0,0
b2x,floatabs(),0,0,0,0,0
b2d,b2x(),4,0,1,0,0
binary,b2d(),2,0,1,0,0
binary,binlength(),0,0,1,0,0
binary,binbyte(),0,0,1,0,0
binary,binsetbyte(),1,0,2,0,0
binary,binsubstr(),1,0,2,0,0
binary,binconcat(),1,0,2,0,0
binary,binoverlay(),1,0,2,0,0
binary,bininsert(),1,0,4,0,0
binary,bindelstr(),1,0,4,0,0
binary,binpos(),0,0,3,0,0
binary,bincompare(),0,0,4,0,0
binary,binresize(),0,0,1,0,0
binary,binclear(),0,0,0,0,0
binary,binfill(),0,0,1,0,0
binary,binfillat(),0,0,1,0,0
binary,bincopy(),0,0,6,0,0
binary,binmemmove(),0,0,4,0,0
binary,binappend(),0,0,1,0,0
binary,binupdate(),0,0,2,0,0
binary,binmakegap(),0,0,3,0,0
binary,bindrop(),0,0,2,0,0
binary,bin2x(),0,0,1,0,0
c2x,x2bin(),1,0,1,0,0
c2d,c2x(),1,0,1,0,0
center,c2d(),2,0,1,0,0
centre,center(),6,0,6,0,0
changestr,centre(),6,0,6,0,0
compare,changestr(),5,0,4,0,0
copies,compare(),8,0,7,0,0
countstr,copies(),3,0,3,0,0
d2b,countstr(),3,0,3,0,0
d2c,d2b(),2,0,2,0,0
d2x,d2c(),0,0,2,0,0
date,d2x(),7,0,4,0,0
delstr,date(),11,0,2,0,0
delword,delstr(),5,0,3,0,0
fileio,delword(),1,0,8,0,0
fileio,lineout(),0,0,2,0,0
fileio,linein(),0,0,7,3,0
fileio,lines(),0,0,6,0,0
fileio,charin(),0,0,3,0,0
fileio,charout(),0,0,2,0,0
fileio,_execio(),0,0,7,2,0
fileio,readlines(),5,0,9,2,0
fileio,loadtext(),6,0,5,0,0
fileio,erasefile(),0,0,1,0,0
fileio,find_line_pending(),0,0,1,2,0
fileio,set_line_pending(),0,0,7,7,0
filter,clear_line_pending(),0,0,2,3,0
format,filter(),0,0,2,0,0
intformat,format(),22,0,36,0,0
floatformat,intformat(),0,0,1,0,0
fnv,floatformat(),0,0,1,0,0
getenv,fnv(),0,0,2,0,0
insert,getenv(),0,0,1,0,0
length,insert(),6,0,7,0,0
linesize,length(),0,0,1,0,0
loadmodule,linesize(),0,0,0,0,0
lower,loadmodule(),1,0,1,0,0
max,lower(),0,0,1,0,0
intmax,max(),0,0,5,2,0
floatmax,intmax(),0,0,5,2,0
min,floatmax(),0,0,7,4,0
intmin,min(),0,0,5,2,0
floatmin,intmin(),0,0,5,2,0
numeric,floatmin(),0,0,7,4,0
numeric,digits(),1,0,0,0,0
numeric,fuzz(),1,0,0,0,0
numeric,form(),1,0,0,0,0
numeric,numcase(),1,0,0,0,0
overlay,standard(),1,0,0,0,0
pos,overlay(),8,0,6,0,0
qscan,pos(),1,0,3,0,0
qscan,qscan_outside_matches(),5,0,6,1,0
qscan,qscan_safe_matches(),10,0,10,3,0
qscan,qscan_pair_spans(),6,0,13,4,0
qscan,qscan_line_comment_spans(),5,0,7,2,0
qpos,qscan_word_spans(),4,0,10,4,0
qsplit,qpos(),1,0,0,0,0
qsplitsafe,qsplit(),17,0,20,3,0
qextractall,qsplitsafe(),17,0,20,3,0
qextractpair,qextractall(),21,0,26,8,0
qstripcomment,qextractpair(),19,0,24,6,0
qremoveall,qstripcomment(),24,0,26,4,0
fsayfmt,qremoveall(),23,0,27,4,0
fsayfmt,fsayfmt(),91,0,117,0,0
fsayfmt,_fsay_decode_template(),21,0,13,0,0
fsayfmt,_fsay_placeholder(),69,0,89,0,0
lastpos,_fsay_format(),46,0,42,0,0
left,lastpos(),4,0,5,0,0
right,left(),4,0,4,0,0
raise,right(),5,0,4,0,0
reverse,raise(),2,0,2,0,0
signal,reverse(),3,0,1,0,0
signal,§rxfnsb.standard_signal.§match(),0,0,0,0,0
signal,§rxfnsb.standard_signal.§factory(),0,0,3,2,0
signal,§rxfnsb.standard_signal.name(),0,0,0,0,0
signal,§rxfnsb.standard_signal.code(),2,0,31,1,0
signal,§rxfnsb.standard_signal.module(),0,0,0,0,0
signal,§rxfnsb.standard_signal.address(),0,0,0,0,0
signal,§rxfnsb.standard_signal.message(),0,0,0,0,0
signal,§rxfnsb.standard_signal.payload(),0,0,0,0,0
signal,§rxfnsb.standard_signal.file(),0,0,0,0,0
signal,§rxfnsb.standard_signal.line(),0,0,0,0,0
signal,§rxfnsb.standard_signal.column(),0,0,0,0,0
signal,§rxfnsb.standard_signal.source(),0,0,0,0,0
signal,§rxfnsb.runtime_signal_raw.name(),0,0,0,0,0
signal,§rxfnsb.runtime_signal_raw.code(),0,0,0,0,0
signal,§rxfnsb.runtime_signal_raw.module(),0,0,0,0,0
signal,§rxfnsb.runtime_signal_raw.address(),0,0,0,0,0
signal,§rxfnsb.runtime_signal_raw.message(),0,0,1,1,0
signal,§rxfnsb.runtime_signal_raw.payload(),0,0,1,1,0
signal,§rxfnsb.runtime_signal.§factory(),0,0,4,3,0
signal,§rxfnsb.runtime_signal.set_raw(),0,0,2,2,0
signal,§rxfnsb.runtime_signal.name(),0,0,2,3,0
signal,§rxfnsb.runtime_signal.code(),2,0,33,4,0
signal,§rxfnsb.runtime_signal.module(),0,0,2,3,0
signal,§rxfnsb.runtime_signal.address(),0,0,2,3,0
signal,§rxfnsb.runtime_signal.message(),0,0,3,3,0
signal,§rxfnsb.runtime_signal.payload(),0,0,3,3,0
signal,§rxfnsb.runtime_signal.file(),0,0,10,6,0
signal,§rxfnsb.runtime_signal.line(),0,0,10,6,0
signal,§rxfnsb.runtime_signal.column(),0,0,10,6,0
signal,§rxfnsb.runtime_signal.source(),0,0,10,6,0
signal,§rxfnsb.standard_signalaction.§factory.retry(),0,0,1,1,0
signal,§rxfnsb.standard_signalaction.§factory.skip(),0,0,1,1,0
signal,§rxfnsb.standard_signalaction.§factory.fail(),0,0,1,1,0
signal,§rxfnsb.standard_signalaction.kind(),0,0,0,0,0
signal,_signal_metadata_string(),0,0,3,0,0
trace,_signal_metadata_int(),1,0,3,0,0
trace,§rxfnsb.trace_interrupt_raw.code(),0,0,0,0,0
trace,§rxfnsb.trace_interrupt_raw.module(),0,0,0,0,0
trace,§rxfnsb.trace_interrupt_raw.address(),0,0,0,0,0
trace,§rxfnsb.trace_interrupt_raw.name(),0,0,0,0,0
trace,§rxfnsb.tracecontext.§factory(),0,0,19,18,0
trace,§rxfnsb.tracecontext.signal_code(),0,0,0,0,0
trace,§rxfnsb.tracecontext.signal_name(),0,0,0,0,0
trace,§rxfnsb.tracecontext.module(),0,0,0,0,0
trace,§rxfnsb.tracecontext.address(),0,0,0,0,0
trace,§rxfnsb.tracecontext.mode(),0,0,0,0,0
trace,§rxfnsb.tracecontext.source_file(),0,0,0,0,0
trace,§rxfnsb.tracecontext.line(),0,0,0,0,0
trace,§rxfnsb.tracecontext.column(),0,0,0,0,0
trace,§rxfnsb.tracecontext.source(),0,0,0,0,0
trace,§rxfnsb.tracecontext.source_line(),0,0,0,0,0
trace,§rxfnsb.tracecontext.has_source(),0,0,0,0,0
trace,§rxfnsb.tracecontext.closest_source_line(),4,0,10,8,0
trace,§rxfnsb.tracecontext.asm_line(),0,0,2,5,0
trace,§rxfnsb.tracecontext.procedure(),0,0,2,5,0
trace,§rxfnsb.tracecontext.ensure_source(),5,0,7,13,0
trace,§rxfnsb.tracecontext.prepare_procedure(),0,0,2,5,0
trace,§rxfnsb.tracecontext.prepare_content(),0,0,3,6,0
trace,§rxfnsb.tracecontroller.§factory(),0,0,19,19,0
trace,§rxfnsb.tracecontroller.mode(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.set_mode(),0,0,3,1,0
trace,§rxfnsb.tracecontroller.toggle_mode(),0,0,2,3,0
trace,§rxfnsb.tracecontroller.set_first_client_module(),0,0,2,1,0
trace,§rxfnsb.tracecontroller.first_client_module(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.set_latest_module_only(),0,0,2,2,0
trace,§rxfnsb.tracecontroller.latest_module_only(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.set_include_runtime(),0,0,2,2,0
trace,§rxfnsb.tracecontroller.include_runtime(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.reset_namespace_filters(),0,0,8,6,0
trace,§rxfnsb.tracecontroller.suppress_namespace(),20,0,41,4,0
trace,§rxfnsb.tracecontroller.unsuppress_namespace(),20,0,41,4,0
trace,§rxfnsb.tracecontroller.namespace_is_suppressed(),36,2,76,14,0
trace,§rxfnsb.tracecontroller.clear_namespace_cache(),0,0,4,4,0
trace,§rxfnsb.tracecontroller.add_suppressed_namespace(),21,1,46,8,0
trace,§rxfnsb.tracecontroller.add_included_namespace(),21,1,46,8,0
trace,§rxfnsb.tracecontroller.remove_suppressed_namespace(),20,0,37,8,0
trace,§rxfnsb.tracecontroller.remove_included_namespace(),20,0,37,8,0
trace,§rxfnsb.tracecontroller.namespace_list_contains(),0,0,0,1,0
trace,§rxfnsb.tracecontroller.namespace_list_matches(),7,0,9,1,0
trace,§rxfnsb.tracecontroller.enable_breakpoints(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.disable_breakpoints(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.context(),0,0,30,25,0
trace,§rxfnsb.tracecontroller.context_from_interrupt(),0,0,31,23,0
trace,§rxfnsb.tracecontroller.should_trace(),0,0,30,18,0
trace,§rxfnsb.tracecontroller.should_trace_module(),0,0,4,3,0
trace,§rxfnsb.tracecontroller.exact_source_line(),4,0,0,0,0
trace,§rxfnsb.tracecontroller.closest_source_line(),4,0,7,0,0
trace,§rxfnsb.tracecontroller.asm_line(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.procedure_name(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.loaded_module_count(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.module_name(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.load_module(),0,0,1,0,0
trace,§rxfnsb.tracecontroller.load_library(),0,0,2,0,0
trace,§rxfnsb.tracecontroller.loaded_proc_count(),0,0,1,0,0
trace,§rxfnsb.tracecontroller.loaded_proc_name(),0,0,2,0,0
trace,§rxfnsb.tracecontroller.loaded_proc_id(),0,0,2,0,0
trace,§rxfnsb.tracecontroller.find_proc(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.clear_pending_result(),0,0,9,9,0
trace,§rxfnsb.tracecontroller.capture_result_target(),0,0,26,16,0
trace,§rxfnsb.tracecontroller.pending_result(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_module(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_prefix(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_type(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_register(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_const(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.pending_has_const(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.supply_parent_value(),0,0,2,2,0
trace,§rxfnsb.tracecontroller.supplied_result(),0,0,0,0,0
trace,§rxfnsb.tracecontroller.supplied_value(),0,0,0,0,0
trace,_trace_set(),0,0,25,11,0
trace,_trace_set_from_env(),8,0,13,0,0
trace,_trace_set_format(),0,0,1,0,0
trace,_trace_set_output(),0,0,4,0,0
trace,_trace_suppress_namespace(),0,0,0,0,0
trace,_trace_unsuppress_namespace(),0,0,0,0,0
trace,_trace_reset_namespace_filters(),0,0,10,6,0
trace,_trace_current_mode(),0,0,2,1,0
trace,_trace_current_format(),0,0,0,0,0
trace,_trace_context_from_raw(),0,1,35,23,0
trace,_trace_should_trace_module(),0,0,14,3,0
trace,_trace_should_trace_context(),0,1,39,18,0
trace,_trace_should_emit_key(),0,0,1,0,0
trace,_trace_ensure_runtime(),0,0,30,25,0
trace,_trace_normalize_mode(),79,0,76,0,0
trace,_trace_mode_from_option(),0,0,0,0,0
trace,_trace_needs_breakpoints(),0,0,1,0,0
trace,_trace_is_signed_integer(),22,0,29,0,0
trace,_trace_command_before(),4,0,4,1,0
trace,_trace_command_after(),4,0,18,1,0
trace,_trace_capture_result_target(),0,0,0,0,0
trace,_trace_pending_result(),0,0,2,1,0
trace,_trace_pending_module(),0,0,2,1,0
trace,_trace_pending_prefix(),0,0,2,1,0
trace,_trace_pending_has_const(),0,0,2,1,0
trace,_trace_pending_const(),0,0,2,1,0
trace,_trace_supplied_result(),0,0,2,1,0
trace,_trace_supplied_value(),0,0,2,1,0
trace,_trace_clear_pending_result(),0,0,11,9,0
trace,_trace_pending_parent_register(),0,0,12,6,0
trace,_trace_supply_parent_value(),0,0,5,2,0
trace,_trace_event_visible_in_mode(),0,0,17,0,0
trace,_trace_escape_text(),4,0,1,0,0
trace,_trace_write_line(),0,0,2,0,0
trace,_trace_exact_source(),0,0,5,0,0
trace,_trace_exact_source_file(),0,0,2,0,0
trace,_trace_procedure_name(),0,0,2,0,0
trace,_trace_asm_line(),36,0,37,0,0
trace,_trace_operand_description(),12,0,13,0,0
trace,_trace_module_name(),0,0,1,0,0
trace,_trace_normalize_namespace(),20,0,31,0,0
trace,_trace_is_trace_runtime(),45,0,64,0,0
sign,_trace_find_proc(),0,0,4,0,0
intsign,sign(),0,0,0,0,0
floatsign,intsign(),0,0,0,0,0
space,floatsign(),0,0,0,0,0
strip,space(),6,0,5,0,0
substr,strip(),11,0,4,0,0
substro,substr(),7,0,4,0,0
symbol,substro(),7,0,4,0,0
time,symbol(),15,0,11,0,0
translate,time(),0,0,3,0,0
trunc,translate(),6,0,7,0,0
floattrunc,trunc(),15,0,7,0,0
upper,floattrunc(),15,0,7,0,0
value,upper(),0,0,0,0,0
verify,value(),14,0,5,3,0
version,verify(),7,0,2,0,0
word,version(),1,0,0,0,0
words,word(),1,0,3,0,0
wordindex,words(),1,0,1,0,0
subword,wordindex(),1,0,1,0,0
wordlength,subword(),1,0,6,0,0
wordpos,wordlength(),1,0,3,0,0
qword,wordpos(),2,0,8,0,0
qwordlength,qword(),8,0,8,2,0
qwords,qwordlength(),1,0,0,0,0
qwordindex,qwords(),2,0,0,0,0
qwordpos,qwordindex(),1,0,0,1,0
qsubword,qwordpos(),18,0,19,4,0
regex,qsubword(),9,0,9,3,0
regex,regexmatch(),42,2,72,3,0
regex,__regexmatch(),42,1,64,3,0
regex,regexfind(),157,5,217,12,0
regex,regexsplit(),28,0,43,4,0
regex,regexreplace(),14,0,20,0,0
regex,regexreplace_limit(),14,0,21,0,0
regex,regexfindall(),14,0,18,1,0
regex,regextest(),49,2,82,3,0
regex,regexdetails(),1,0,7,6,0
regex,regexsubstr(),7,0,8,0,0
regex,__expandrepl(),21,0,24,0,0
regex,__matchhere(),281,12,413,26,0
regex,__matchstar(),99,4,142,8,0
regex,__matchone(),30,0,59,0,0
regex,__escapepredicate(),0,0,14,0,0
regex,__readclass(),49,0,49,0,0
regex,__classhas(),48,0,54,4,0
regex,__matchstarlazy(),99,4,130,8,0
x2b,__altsplit(),22,0,26,2,0
x2c,x2b(),6,0,4,0,0
x2d,x2c(),5,0,4,0,0
random,x2d(),7,0,15,0,0
random,§rxfnsb.rexxrandomstate.§factory(),0,0,2,2,0
random,§rxfnsb.rexxrandomstate.seed(),0,0,3,4,0
random,§rxfnsb.rexxrandomstate.nextraw(),1,0,9,7,0
random,§rxfnsb.rexxrandomstate.bounded(),1,0,13,8,0
random,§rxfnsb.rexxrandomstate.seedfromclock(),1,0,6,4,0
reradix,random(),2,0,31,14,0
sequence,reradix(),5,0,10,9,0
find,sequence(),5,0,3,0,0
index,find(),0,0,0,0,0
xrange,index(),1,0,3,0,0
parsecompile,xrange(),4,0,3,0,0
parsecompile,parsecompile(),29,0,132,14,0
parsecompile,_validate_legacy_template(),42,0,64,0,0
parsestring,_validate_legacy_segment(),17,0,26,0,0
parsestring,parsestring(),23,0,79,22,0
parsestring,_validate_legacy_plan(),18,0,22,8,0
parse,_legacy_span(),1,0,2,0,0
datatype,parse(),10,0,10,2,0
datatype,datatype(),20,0,71,0,0
arrayfind,_datatype_number(),2,0,3,0,0
splice,arrayfind(),2,0,7,2,0
arrayinsert,splice(),6,0,6,0,0
arraydelete,arrayinsert(),0,0,6,1,0
arrayappend,arraydelete(),0,0,4,0,0
