rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
11,685000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2)","c1=label@88;r1=R3;r2=R14;r3=R20;c2=int:0","substr",77
12,685000,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3)","c1=label@38;r1=R21;c2=int:256;r2=R4;c3=string@329248","substr",26
13,685000,1,1,4,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1)","c1=label@13;r1=R18;c2=int:512;r2=R12","substr",4
14,685000,1,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0","substr",57
15,685000,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BGE_ID_REG_REG(c1,r3,r2)","r1=R1;r2=R20;c1=label@171;r3=R0","substr",161
16,685000,1,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R14;r2=R11;c1=int:0;c2=label@189","substr",178
17,685000,1,1,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R14;r2=R20;c1=int:0;c2=label@94;c3=label@97","substr",80
18,685000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R11;r2=R19;c1=int:1;r3=R0;r4=R13","substr",113
19,685000,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R0;r2=R13;r3=R11;c1=label@128;c2=int:0","substr",117
20,685000,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BLE_ID_REG_INT(c1,r1,c2)","r1=R8;r2=R20;r3=R1;c1=label@231;c2=int:0","substr",215
21,685000,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | BRF_ID_REG(c2,r1)","r1=R16;c1=int:0;c2=label@208","substr",200
22,685000,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R6;c1=int:0;r2=R9;c2=string@28856","substr",61
23,685000,1,1,5,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2)","r1=R9;c1=string@28856;r2=R14;r3=R19;c2=int:1","substr",64
24,685000,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R4;c1=string@329248;c2=int:0","substr",30
25,685000,1,1,3,candidate,"NOT_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R14;r2=R3;c1=label@155","substr",128
26,685000,1,1,6,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | GETANDTP_REG_REG_INT(r4,r5,c1)","r1=R0;r2=R8;r3=R11;r4=R3;r5=R20;c1=int:256","substr",53
