rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
52,40960,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r4,r1,r5,c3,r6)","r1=R0;r2=R11;c1=int:2;r3=R5;c2=int:3;r4=R6;r5=R13;c3=int:256;r6=R7","benchmark_awfy_storage_opt",590
53,40960,1,1,11,candidate,"LOAD_REG_INT(r1,c1) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r2,r3,r4,c2,r5) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r6,c3,r1,r7,c2,r8)","r1=R5;c1=int:3;r2=R6;r3=R0;r4=R13;c2=int:256;r5=R7;r6=R9;c3=func@17624;r7=R12;r8=R8","benchmark_awfy_storage_opt",594
54,40960,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | LOAD_REG_INT(r3,c4)","c1=int:18;c2=int:1;r1=R0;r2=R11;c3=int:2;r3=R5;c4=int:3","benchmark_awfy_storage_opt",586
55,40960,1,1,6,candidate,"SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2)","r1=R1;c1=int:256;r2=R7;r3=R9;c2=int:0;r4=R3","objectarrayappend",19
56,40960,1,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL3_REG_FUNC_REG_REG_REG(r3,c3,r1,r4,r2)","r1=R1;c1=int:256;r2=R3;c2=int:768;r3=R4;c3=func@25096;r4=R5","benchmark_awfy_storage_opt",479
57,40960,1,1,7,candidate,"SWAPN_REG_REG_REG_REG(r1,r2,r3,r4) | ISETATTR1_REG_INT_REG(r5,c1,r6) | RET()","r1=R13;r2=R7;r3=R12;r4=R8;r5=R11;c1=int:1;r6=R9","benchmark_awfy_storage_opt",615
58,40960,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | SWAPN_REG_REG_REG_REG(r3,r4,r5,r6)","r1=R0;r2=R6;r3=R13;r4=R7;r5=R12;r6=R8","benchmark_awfy_storage_opt",610
59,40960,1,1,4,candidate,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2)","r1=R3;r2=R2;c1=int:13849;c2=int:65536","benchmark_awfy_storage_opt",439
60,40960,1,1,8,candidate,"UNLINK_REG(r1) | SWAPN_REG_REG_REG_REG(r2,r3,r4,r5) | ISETATTR1_REG_INT_REG(r6,c1,r7)","r1=R0;r2=R13;r3=R7;r4=R12;r5=R8;r6=R11;c1=int:1;r7=R9","benchmark_awfy_storage_opt",613
61,13650,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R0;c1=int:4;r2=R12;r3=R1;c2=label@350","benchmark_awfy_storage_opt",286
62,13650,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R1;c1=int:1;r2=R0;c2=int:4;r3=R12","benchmark_awfy_storage_opt",283
63,40,1,1,6,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","c1=label@350;r1=R12;r2=R15;c2=int:6;r3=R10;c3=int:256","benchmark_awfy_storage_opt",293
64,40,1,1,3,candidate,"COPY_REG_REG(r1,r2) | INC1() | BR_ID(c1)","r1=R8;r2=R18;c1=label@289","benchmark_awfy_storage_opt",344
65,40,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R12;r2=R1;r3=R0;c1=label@350;r4=R15;c2=int:6","benchmark_awfy_storage_opt",289
66,40,1,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | INC1()","r1=R18;c1=int:1;r2=R14;r3=R8","benchmark_awfy_storage_opt",340
67,40,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2)","r1=R15;c1=int:6;r2=R10;c2=int:256;r3=R3","benchmark_awfy_storage_opt",296
68,10,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | SETATTRS_REG_INT(r2,c3)","r1=R25;c1=int:18;c2=int:1;r2=R6;c3=int:2","benchmark_awfy_storage_opt",221
69,10,1,1,5,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3)","c1=label@126;r1=R3;r2=R6;c2=int:2;c3=string@8","benchmark_awfy_storage_opt",68
