comparison,compiler,engine,workload,candidate,baseline,ratio_higher_is_better,percent
r3_profile30_vs_r2_inline,gcc,rxtvm,Towers,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,0.9843491839115601,-1.5650816088439878
r3_profile30_vs_r2_inline,gcc,rxtvm,RexxCPS,rxtvm-gcc-r3-profile30,rxtvm-gcc-r2-inline,1.0727414017659187,7.27414017659187
r3_profile30_vs_r3_inline,gcc,rxbvm,Sieve,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.3503892598172462,35.038925981724624
r3_profile30_vs_r3_inline,gcc,rxbvm,Permute,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.2200978300955598,22.00978300955598
r3_profile30_vs_r3_inline,gcc,rxbvm,Bounce,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.3228835042155638,32.28835042155638
r3_profile30_vs_r3_inline,gcc,rxbvm,Richards,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.0771282102075952,7.712821020759519
r3_profile30_vs_r3_inline,gcc,rxbvm,Base64,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.054060680053901,5.406068005390097
r3_profile30_vs_r3_inline,gcc,rxbvm,Towers,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,1.006385925176798,0.6385925176797924
r3_profile30_vs_r3_inline,gcc,rxbvm,RexxCPS,rxbvm-gcc-r3-profile30,rxbvm-gcc-r3-inline,0.9131511430932069,-8.684885690679312
r3_inline_vs_r2_inline,gcc,rxbvm,Sieve,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,1.0241832209721973,2.4183220972197272
r3_inline_vs_r2_inline,gcc,rxbvm,Permute,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,0.9216409171437798,-7.8359082856220175
r3_inline_vs_r2_inline,gcc,rxbvm,Bounce,rxbvm-gcc-r3-inline,rxbvm-gcc-r2-inline,0.9254531247285155,-7.454687527148451
