handler,file,line,callee,decision,all_inline_count,profile30_count,delta
IMULT_REG_REG_INT,rxvmhandlers_control.inc,1081,set_int,inlined,1,1,0
IMULT_REG_REG_INT,rxvmhandlers_control.inc,1081,value_zero,inlined,1,1,0
INC1,rxvmhandlers_numeric.inc,842,rxinteger_checked_add,inlined,1,1,0
INC1,rxvmhandlers_numeric.inc,842,rxsignal_mask,inlined,1,1,0
INC1,rxvmhandlers_numeric.inc,842,value_zero,inlined,1,1,0
INE_REG_REG_INT,rxvmhandlers_numeric.inc,1009,set_int,inlined,1,1,0
INE_REG_REG_REG,rxvmhandlers_numeric.inc,997,set_int,inlined,1,1,0
INSATTRS1_REG_REG_REG,rxvmhandlers_numeric.inc,102,rxsignal_mask,inlined,1,1,0
INSATTRS1_REG_REG_REG,rxvmhandlers_numeric.inc,102,rxvm_insert_attributes1_checked,inlined,1,1,0
INSATTRS1_REG_REG_REG,rxvmhandlers_numeric.inc,102,value_zero,inlined,1,1,0
ISETATTR1_REG_INT_REG,rxvmhandlers_system.inc,1506,rxsignal_mask,inlined,1,1,0
ISETATTR1_REG_INT_REG,rxvmhandlers_system.inc,1506,value_zero,inlined,1,1,0
ISHL_REG_REG_INT,rxvmhandlers_numeric.inc,2185,set_int,inlined,1,1,0
ISHL_REG_REG_REG,rxvmhandlers_numeric.inc,2173,set_int,inlined,1,1,0
ISUB_REG_INT_REG,rxvmhandlers_numeric.inc,920,rxinteger_checked_sub,inlined,1,1,0
ISUB_REG_INT_REG,rxvmhandlers_numeric.inc,920,rxsignal_mask,inlined,1,1,0
ISUB_REG_INT_REG,rxvmhandlers_numeric.inc,920,set_int,inlined,1,1,0
ISUB_REG_INT_REG,rxvmhandlers_numeric.inc,920,value_zero,inlined,1,1,0
ISUB_REG_REG_INT,rxvmhandlers_numeric.inc,904,rxinteger_checked_sub,inlined,1,1,0
ISUB_REG_REG_INT,rxvmhandlers_numeric.inc,904,rxsignal_mask,inlined,1,1,0
ISUB_REG_REG_INT,rxvmhandlers_numeric.inc,904,set_int,inlined,1,1,0
ISUB_REG_REG_INT,rxvmhandlers_numeric.inc,904,value_zero,inlined,1,1,0
ISUB_REG_REG_REG,rxvmhandlers_control.inc,1109,rxinteger_checked_sub,inlined,1,1,0
ISUB_REG_REG_REG,rxvmhandlers_control.inc,1109,rxsignal_mask,inlined,1,1,0
ISUB_REG_REG_REG,rxvmhandlers_control.inc,1109,set_int,inlined,1,1,0
ISUB_REG_REG_REG,rxvmhandlers_control.inc,1109,value_zero,inlined,1,1,0
ITOS_REG,rxvmhandlers_string.inc,350,int_to_string,inlined,1,1,0
