-- Install configuration: "Release"
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM/Contents
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM/Contents/Resources
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM/Contents/Resources/Relocations
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM/Contents/Resources/Relocations/aarch64
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.dSYM/Contents/Resources/DWARF
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector_tui.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector_ansi.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector_gtk.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/test_text_inspector_tui.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/test_host.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/test_text_inspector_gtk.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/test_text_inspector_core.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/text_inspector.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ui/text-inspector/fixtures
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/date1.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/stems_the_hidden_gems.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/rxqueue_named.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/time_sample.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/system.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/nthroot.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/sort.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/xref.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/classes
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/classes/global_object_keys.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/classes/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/plugins
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/plugins/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/userInteractions.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/lcm.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/metaRexx-sample-api.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/Service_registry.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/anagram.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/sieveEratosthenes.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/classFactory.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/caesar.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exposeVars.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/strings1.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/stems.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ooBank.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/gausssqr.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/gcd.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/fibonacci.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/metaRexx-sample.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting/array_formatting_example.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting/arrayformat.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/array-formatting/arraydump.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/functions/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/factorial.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/keydb_traversal.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/keydb_lookup_benchmark.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/objects_the_hidden_gems.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/MonteCarlo.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/hello.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/pprint
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/pprint/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/pprint/pprint_example.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/pprint/Pprint.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/exits/README.md
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/rexxscript_test.crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/examples/ts_subtask_min.rxpp
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/CREXXTargets.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/CREXXConfig.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/CREXXConfigVersion.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/CrexxOperationContract.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/RXPluginFunction.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/lib/cmake/CREXX/WriteProviderPackage.cmake
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxprecomp.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvector_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxplatform.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/address_spawn_group_fixture
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxtvm_instrumented
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfnsc.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rxmath_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxpp-sh
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxvmmemory.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_treemap.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxvmmeta
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_strings.rxplugin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/rxllama.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_cipher.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_keyaccess.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx-contract
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxpashim.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_getpi.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/messages
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/messages/diagnostics.en_GB.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/messages/diagnostics.nl_NL.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/messages/diagnostics.de_DE.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/messages/diagnostics.en_US.msg
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_compiler
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_id_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/library.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/exittestsupport.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxvmref.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_local_resources.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxpa.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfnsg.rxbin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/crexxsaa
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxbin_size_bench
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxconsole.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxc
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_odbc_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxdb
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxbin.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxas
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_map.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxseqfile
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxbvm
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libplatform.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/address_spawn_transfer_fixture
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfloat_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_hash_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxstats_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxvector_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxplatform.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml.0.23.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxvector.a
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama.rxplugin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama.runtime.json
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama.native.json
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rx_hash.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-llama-engine.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml-metal.so
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxconsole.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfs.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfloat.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxplatform.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfloat_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rx_hash_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxstats_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxsqlite_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-llama-engine.0.4.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml-base.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxid.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfs.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxsqlite.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-llama.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxplatform_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxvector.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxid.a
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama-NOTICES.txt
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml-base.0.23.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml-cpu.so
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-llama-engine.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml.0.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml-base.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfs_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxid_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxstats.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rx_hash.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxfloat.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxsqlite.rxplugin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxllama.a
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-llama.1.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/libcrexx-ggml.dylib
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/providers/rxstats.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/libavl_tree.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxcrexxcmd_flush
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_libs_argv
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxsqlite_static.a
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/crexx-provider-package
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_db_decimal_manual.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxlink
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_rxtcp_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_e5native.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_llist_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_cflags
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxclib.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_system.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/linein_tty_harness
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxbvme
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxcpack
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_recv390.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rexxscript
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_ldflags
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxtvm
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/maclib.rexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxid.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxfs.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvm_mc_decimal.rxvmplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_stack_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_ldflags_argv
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_id.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_dialogs.rxbin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_cflags_argv
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxsha256
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxbvm_instrumented
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/test_rxspawn_diagnostics
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rx_odbc.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxvmplugin.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/crexx_native_compiler_style
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxpp
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/macsys.rexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxplatform_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxvector.rxplugin
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/ui_ansi.rxbin
-- Installing: /tmp/llama-typed-release-installed/installed Ω/bin/mathlib.rexx
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxprecomp_static.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/librxbvml.a
-- Up-to-date: /tmp/llama-typed-release-installed/installed Ω/bin/rxas_test_flatten
