rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,129850,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3) | ICOPY_REG_REG(r5,r4)","r1=R11;r2=R23;r3=R7;c1=int:2;r4=R1;r5=R8","benchmark_awfy_richards_opt",2793
22,53463,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R28;r2=R56;c1=int:2;c2=label@3660;c3=int:3;c4=label@4126","benchmark_awfy_richards_opt",3649
23,46496,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1) | BRF_ID_REG(c5,r5)","r1=R12;r2=R11;c1=int:20;c2=int:6;r3=R7;r4=R3;c3=int:1;r5=R5;c4=int:0;c5=label@2891","benchmark_awfy_richards_opt",2806
24,44175,7,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5)","r1=R9;r2=R55;c1=int:17;r3=R4;r4=R1;c2=int:0;r5=R8","benchmark_awfy_richards_opt",3062
25,42540,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c1)","r1=R7;r2=R4;c1=int:0;r3=R5;c2=label@2976;r4=R8","benchmark_awfy_richards_opt",2958
26,41859,10,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R10;r2=R47;c1=int:9;r3=R11;c2=int:1","benchmark_awfy_richards_opt",450
27,41163,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5) | ICOPY_REG_REG(r6,r5)","r1=R6;r2=R5;c1=int:23;c2=int:6;r3=R8;r4=R4;c3=int:1;c4=label@6684;r5=R2;c5=int:0;r6=R7","benchmark_awfy_richards_opt",6665
28,41163,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4) | LOAD_REG_INT(r1,c5)","r1=R2;r2=R6;r3=R5;c1=int:23;c2=int:6;r4=R8;r5=R4;c3=int:1;c4=label@6684;c5=int:0","benchmark_awfy_richards_opt",6662
29,40814,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R4;r2=R14;c1=int:2;r3=R2;r4=R9;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",6722
30,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1) | UNLINKN_REG_REG(r1,r2)","r1=R2;r2=R9;c1=int:6;r3=R4;c2=int:1;r4=R14;c3=int:2","benchmark_awfy_richards_opt",6726
31,40814,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4) | BR_ID(c2)","r1=R4;r2=R14;c1=int:2;r3=R2;r4=R9;c2=label@6617","benchmark_awfy_richards_opt",6732
32,38010,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","r1=R9;r2=R55;c1=int:23;c2=int:6;r3=R11;r4=R56;c3=int:1;r5=R6;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3097
33,37200,4,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4) | UNLINK_REG(r5)","r1=R4;r2=R9;r3=R1;c1=int:0;r4=R8;r5=R5","benchmark_awfy_richards_opt",3066
34,35253,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3) | BRTF_ID_ID_REG(c5,c6,r5)","r1=R6;r2=R5;c1=int:25;c2=int:6;r3=R8;r4=R4;c3=int:1;c4=label@6705;r5=R2;c5=label@6718;c6=label@6743","benchmark_awfy_richards_opt",6687
35,35253,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1) | LOAD_REG_INT(r5,c3)","r1=R8;r2=R6;r3=R5;c1=int:25;c2=int:6;r4=R4;c3=int:1;c4=label@6705;r5=R2","benchmark_awfy_richards_opt",6684
36,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5) | IGETUNLINK_REG_REG(r3,r6)","r1=R5;r2=R55;c1=int:20;c2=int:6;r3=R8;r4=R56;c3=int:1;r5=R9;c4=int:17;r6=R4;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3054
37,33245,2,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R4;r2=R14;c1=int:0;c2=label@2598;c3=int:5;c4=label@2609","benchmark_awfy_richards_opt",2587
38,32545,6,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R12;r2=R16;r3=R55;r4=R15;r5=R19;c1=label@3368","benchmark_awfy_richards_opt",3270
39,32545,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r4)","r1=R10;r2=R15;c1=int:2;r3=R8;r4=R6;c2=int:6;c3=int:1;r5=R5","benchmark_awfy_richards_opt",3232
40,32538,2,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","c1=label@3649;r1=R18;r2=R22;r3=R55;r4=R19;r5=R1;c2=int:0;c3=label@3426","benchmark_awfy_richards_opt",3374
41,28809,5,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | SETLINKATTR1_REG_REG_INT_REG_INT(r5,r2,c4,r4,c5)","c1=label@3426;r1=R19;r2=R8;r3=R22;c2=int:25;r4=R17;c3=int:2;r5=R10;c4=int:6;c5=int:1","benchmark_awfy_richards_opt",3384
42,25579,2,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | COPY_REG_REG(r3,r4)","c1=label@3660;r1=R28;r2=R56;c2=int:3;c3=label@4126;r3=R34;r4=R55","benchmark_awfy_richards_opt",3653
43,25573,2,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3) | IGETUNLINK_REG_REG(r3,r5)","r1=R7;r2=R23;c1=int:15;r3=R8;r4=R24;c2=int:0;r5=R5;c3=int:1","benchmark_awfy_richards_opt",2774
44,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4) | UNLINKN_REG_REG(r1,r2)","r1=R8;r2=R7;r3=R24;c1=int:0;r4=R5;r5=R23;c2=int:1","benchmark_awfy_richards_opt",2778
45,24758,2,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5) | BRF_ID_REG(c1,r1)","r1=R11;r2=R7;r3=R8;r4=R9;r5=R5;c1=label@2675","benchmark_awfy_richards_opt",2660
46,24627,1,1,5,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2) | BR_ID(c3)","c1=label@2976;r1=R7;r2=R8;c2=int:0;c3=label@3038","benchmark_awfy_richards_opt",2965
47,24627,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | ICOPY_REG_REG(r3,r4)","r1=R4;r2=R5;c1=label@2976;r3=R7;r4=R8;c2=int:0","benchmark_awfy_richards_opt",2962
48,23253,9,1,8,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2) | IGETUNLINK_REG_REG(r6,r1)","r1=R15;r2=R4;r3=R11;c1=int:0;r4=R10;r5=R47;c2=int:9;r6=R9","benchmark_awfy_richards_opt",617
49,23252,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","c1=label@4126;r1=R28;r2=R34;r3=R55;r4=R29;r5=R1;c2=int:0;c3=label@3758","benchmark_awfy_richards_opt",3660
50,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r3,r7,c3)","r1=R8;r2=R4;r3=R9;r4=R5;r5=R10;r6=R55;c1=int:20;c2=int:6;r7=R56;c3=int:1","benchmark_awfy_richards_opt",3071
51,23250,1,1,12,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | LINKATTR1_REG_REG_INT(r8,r5,c4)","r1=R1;r2=R6;r3=R4;r4=R5;r5=R55;c1=int:20;c2=int:6;r6=R8;r7=R56;c3=int:1;r8=R9;c4=int:17","benchmark_awfy_richards_opt",3049
52,23250,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r2,c1,c2,r7,r4,c3)","r1=R4;r2=R55;c1=int:20;c2=int:6;r3=R6;r4=R56;c3=int:1;r5=R1;r6=R5;r7=R8","benchmark_awfy_richards_opt",3041
53,23250,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1) | BRTF_ID_ID_REG(c2,c3,r3)","r1=R8;r2=R6;c1=int:1;r3=R7;c2=label@3041;c3=label@3177","benchmark_awfy_richards_opt",3025
54,23250,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3) | IEQ_REG_REG_INT(r2,r1,c4)","r1=R9;r2=R8;r3=R5;r4=R10;r5=R55;c1=int:20;c2=int:6;r6=R56;c3=int:1;c4=int:0","benchmark_awfy_richards_opt",3074
55,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4) | UNLINKN_REG_REG(r4,r2)","r1=R5;r2=R10;r3=R55;c1=int:20;c2=int:6;r4=R9;r5=R56;c3=int:1;r6=R8;c4=int:0","benchmark_awfy_richards_opt",3077
56,23250,1,1,12,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4) | MINLINKATTR1_REG_REG_REG_INT(r1,r6,r7,c5)","r1=R4;r2=R5;r3=R55;c1=int:20;c2=int:6;r4=R8;r5=R56;c3=int:1;r6=R9;c4=int:17;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3052
57,23248,4,1,9,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r4,c4)","r1=R19;r2=R1;c1=int:0;c2=label@3426;r3=R8;r4=R22;c3=int:25;r5=R17;c4=int:2","benchmark_awfy_richards_opt",3380
58,23248,4,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r3)","r1=R23;r2=R17;r3=R20;r4=R55;r5=R22;r6=R29","benchmark_awfy_richards_opt",3412
59,23248,4,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4) | COPY_REG_REG(r7,r6)","r1=R7;r2=R10;c1=int:1;r3=R8;r4=R17;r5=R22;c2=int:2;r6=R23;r7=R20","benchmark_awfy_richards_opt",3403
60,23248,4,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | COPY_REG_REG(r5,r2)","r1=R17;r2=R22;c1=int:2;r3=R23;r4=R20;r5=R55","benchmark_awfy_richards_opt",3408
61,23248,4,1,8,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2) | LINKATTR1_REG_REG_INT(r3,r5,c3)","r1=R10;r2=R8;c1=int:6;r3=R17;c2=int:1;r4=R7;r5=R22;c3=int:2","benchmark_awfy_richards_opt",3395
62,23246,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1) | LINKATTR1_REG_REG_INT(r3,r1,c3)","r1=R23;c1=int:18;c2=int:1;r2=R6;r3=R8;c3=int:15","benchmark_awfy_richards_opt",2681
63,23246,1,1,8,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R6;r2=R23;r3=R8;c1=int:15;r4=R7;r5=R24;c2=int:0;r6=R0","benchmark_awfy_richards_opt",2687
64,23246,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R5;r2=R7;c1=int:1;r3=R23;c2=int:18;c3=int:17","benchmark_awfy_richards_opt",2750
65,23246,2,1,6,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R9;r2=R3;r3=R23;r4=R11;r5=R21;c1=label@2934","benchmark_awfy_richards_opt",2878
66,23246,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3) | IGT_REG_REG_INT(r3,r1,c3)","r1=R5;r2=R0;r3=R8;c1=int:0;c2=label@2718;c3=int:5","benchmark_awfy_richards_opt",2704
67,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4) | UNLINKN_REG_REG(r5,r3)","r1=R8;r2=R1;r3=R12;r4=R11;c1=int:20;c2=int:6;r5=R7;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2803
68,23246,1,1,11,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3) | IEQ_REG_REG_INT(r7,r2,c4)","r1=R1;r2=R7;r3=R8;r4=R12;r5=R11;c1=int:20;c2=int:6;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2800
69,23246,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r3,r5,c1)","r1=R8;r2=R5;r3=R7;r4=R11;r5=R23;c1=int:2","benchmark_awfy_richards_opt",2787
70,23246,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | ICOPY_REG_REG(r4,r1) | ILT_REG_REG_INT(r3,r4,c1)","r1=R0;r2=R7;r3=R8;r4=R5;c1=int:0","benchmark_awfy_richards_opt",2699
71,23246,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R5;r2=R8;c1=int:0;r3=R7;r4=R23;c2=int:15;r5=R24;c3=int:1","benchmark_awfy_richards_opt",2769
72,23246,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r4,c3,r3)","r1=R23;c1=int:18;r2=R5;r3=R7;c2=int:17;r4=R8;r5=R24;c3=int:0","benchmark_awfy_richards_opt",2756
73,23246,1,1,11,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | ICOPY_REG_REG(r4,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c2,c3,r1,r7,c4)","r1=R7;r2=R23;c1=int:2;r3=R1;r4=R8;r5=R12;r6=R11;c2=int:20;c3=int:6;r7=R3;c4=int:1","benchmark_awfy_richards_opt",2796
74,23246,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4) | COPY_REG_REG(r5,r2)","r1=R5;r2=R23;c1=int:1;r3=R8;r4=R7;r5=R11","benchmark_awfy_richards_opt",2783
