workload,round,order,variant,elapsed_s
RexxCPS,20,1,stage3,0.049525976
RexxCPS,20,2,frozen-stage0,0.055546045
RexxCPS,21,1,frozen-stage0,0.060230970
RexxCPS,21,2,stage3,0.047142029
RexxCPS,22,1,stage3,0.055171013
RexxCPS,22,2,frozen-stage0,0.058179140
RexxCPS,23,1,frozen-stage0,0.052265882
RexxCPS,23,2,stage3,0.048079014
RexxCPS,24,1,stage3,0.058426142
RexxCPS,24,2,frozen-stage0,0.052526951
RexxCPS,25,1,frozen-stage0,0.054779053
RexxCPS,25,2,stage3,0.054531813
RexxCPS,26,1,stage3,0.051278114
RexxCPS,26,2,frozen-stage0,0.057343006
RexxCPS,27,1,frozen-stage0,0.047417164
RexxCPS,27,2,stage3,0.051626205
RexxCPS,28,1,stage3,0.057125092
RexxCPS,28,2,frozen-stage0,0.058972836
RexxCPS,29,1,frozen-stage0,0.047795057
RexxCPS,29,2,stage3,0.048101187
RexxCPS,30,1,stage3,0.053289175
RexxCPS,30,2,frozen-stage0,0.049241066
