rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6110000,14,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | IEQ_REG_REG_INT(r6,r4,c2)","r1=R7;r2=R27;r3=R43;c1=label@1289;r4=R8;r5=R42;r6=R6;c2=int:32","rxjson",1226
34,460000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r5,r6,r3)","r1=R13;c1=int:0;r2=R26;r3=R103;r4=R0;c2=label@10151;r5=R27;r6=R3","rxjson",9502
35,440000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","c1=label@10853;r1=R49;r2=R50;c2=int:-1;r3=R46;r4=R60;c3=int:0;c4=label@10470","rxjson",10453
36,440000,1,1,9,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | IGTE_REG_REG_INT(r5,r6,c3)","r1=R49;r2=R103;r3=R57;c1=label@10853;r4=R50;c2=int:-1;r5=R46;r6=R60;c3=int:0","rxjson",10449
37,420000,3,1,7,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | COPY_REG_REG(r3,r4)","r1=R58;c1=int:44;c2=label@1589;r2=R27;c3=int:1;r3=R62;r4=R33","rxjson",1503
38,330000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","c1=label@1589;r1=R58;r2=R27;c2=int:1;r3=R62;r4=R33;r5=R63;r6=R28","rxjson",1507
39,305000,5,1,4,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R6;r2=R4;r3=R3;r4=R0","rxjson",1175
40,290000,1,1,8,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4) | LOAD_REG_INT(r5,c3)","r1=R15;r2=R101;r3=R103;r4=R14;c1=int:34;c2=label@10198;r5=R13;c3=int:0","rxjson",9452
41,290000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","c1=label@10198;r1=R14;r2=R13;c2=int:0;r3=R3;r4=R101;r5=R0;r6=R102","rxjson",9460
42,290000,1,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r3,c3) | COPY_REG_REG(r4,r5)","r1=R14;r2=R15;c1=int:34;c2=label@10198;r3=R13;c3=int:0;r4=R3;r5=R101","rxjson",9456
43,225000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | IEQ_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","c1=label@10843;r1=R83;r2=R103;c2=int:1;r3=R82;r4=R60;r5=R55;c3=label@10823","rxjson",10805
44,225000,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3) | IEQ_REG_REG_REG(r3,r4,r5)","r1=R83;c1=int:93;c2=label@10843;r2=R103;c3=int:1;r3=R82;r4=R60;r5=R55","rxjson",10801
45,205000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2) | BRT_ID_REG(c3,r5)","c1=label@11372;r1=R72;r2=R79;r3=R76;r4=R103;r5=R71;c2=int:48;c3=label@11351","rxjson",11333
46,205000,1,1,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2) | ILT_REG_REG_INT(r6,r4,c2)","r1=R72;r2=R103;r3=R75;c1=label@11372;r4=R79;r5=R76;r6=R71;c2=int:48","rxjson",11329
47,190000,3,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@10873;r1=R61;r2=R58;r3=R101;r4=R57;r5=R102;r6=R51;r7=R4","rxjson",10287
48,180000,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R61;r2=R15;c1=int:91;c2=label@10873;r3=R58;r4=R101;r5=R57;r6=R102","rxjson",10283
49,170000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c2) | COPY_REG_REG(r5,r6)","c1=label@13119;r1=R0;r2=R3;r3=R82;r4=R12;c2=int:0;r5=R24;r6=R80","rxjson",11771
50,170000,2,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ILT_REG_REG_REG(r4,r1,r5) | BRF_ID_REG(c2,r4)","r1=R82;c1=int:1;r2=R21;r3=R80;r4=R12;r5=R81;c2=label@11717","rxjson",11647
51,170000,1,1,8,candidate,"IADD_REG_REG_INT(r1,r1,c1) | LOAD_REG_INT(r2,c2) | IGTE_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R82;c1=int:1;r2=R13;c2=int:-1;r3=R48;r4=R84;c3=int:0;c4=label@12591","rxjson",12573
52,170000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r2,r6) | BRF_ID_REG(c1,r5)","r1=R4;r2=R82;r3=R49;r4=R80;r5=R45;r6=R81;c1=label@12553","rxjson",12484
53,170000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R3;r2=R82;r3=R12;c1=int:0;r4=R24;r5=R80;r6=R26;r7=R81","rxjson",11774
54,170000,1,1,7,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r4,r2) | LOAD_REG_INT(r5,c2)","r1=R0;r2=R82;r3=R81;c1=label@13119;r4=R3;r5=R12;c2=int:0","rxjson",11767
55,160000,3,1,8,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R33;r2=R1;r3=R28;r4=R2;r5=R9;r6=R12;r7=R37;r8=R13","rxjson",1204
56,150000,1,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4) | IGT_REG_REG_INT(r4,r1,c3)","r1=R79;r2=R76;r3=R103;r4=R71;c1=int:48;c2=label@11351;c3=int:57","rxjson",11336
57,150000,2,1,4,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | RET_REG(r4)","r1=R25;r2=R24;r3=R10;r4=R58","rxjson",1598
58,150000,1,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R71;r2=R79;c1=int:48;c2=label@11351;c3=int:57;c4=label@11356","rxjson",11340
59,150000,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | LOAD_REG_INT(r5,c3)","r1=R31;c1=int:0;r2=R8;r3=R27;r4=R37;c2=label@1589;r5=R49;c3=int:-1","rxjson",1327
60,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R53;r2=R106;r3=R52;r4=R107;r5=R54;r6=R108;r7=R56;r8=R109","rxjson",10305
61,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | IADD_REG_REG_INT(r7,r7,c1)","r1=R52;r2=R107;r3=R54;r4=R108;r5=R56;r6=R109;r7=R103;c1=int:1","rxjson",10308
62,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r5,c1) | COPY_REG_REG(r6,r7)","r1=R54;r2=R108;r3=R56;r4=R109;r5=R103;c1=int:1;r6=R67;r7=R58","rxjson",10311
63,145000,1,1,8,candidate,"COPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r3,c1) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R56;r2=R109;r3=R103;c1=int:1;r4=R67;r5=R58;r6=R68;r7=R57","rxjson",10314
64,145000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R55;r2=R105;r3=R53;r4=R106;r5=R52;r6=R107;r7=R54;r8=R108","rxjson",10302
65,145000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R60;r2=R104;r3=R55;r4=R105;r5=R53;r6=R106;r7=R52;r8=R107","rxjson",10299
66,145000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | COPY_REG_REG(r7,r8)","r1=R51;r2=R4;r3=R60;r4=R104;r5=R55;r6=R105;r7=R53;r8=R106","rxjson",10296
67,145000,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R57;r2=R102;r3=R51;r4=R4;r5=R60;r6=R104;r7=R55;r8=R105","rxjson",10293
68,105000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ILT_REG_REG_REG(r6,r7,r4)","c1=label@11641;r1=R82;r2=R76;r3=R101;r4=R75;r5=R102;r6=R74;r7=R103","rxjson",11251
69,105000,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3) | BGETU8_REG_REG_REG(r3,r5,r4)","r1=R75;r2=R102;r3=R74;r4=R103;c1=label@11275;r5=R76","rxjson",11257
70,105000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R73;r2=R79;c1=int:69;c2=label@11487;c3=int:101;c4=label@11597","rxjson",11476
71,95000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c3,r3)","c1=label@11248;r1=R83;r2=R15;c2=int:57;r3=R82;c3=label@11641","rxjson",11241
72,95000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | ILTE_REG_REG_INT(r2,r3,c4)","c1=label@11251;r1=R82;r2=R83;r3=R15;c2=int:48;c3=label@11248;c4=int:57","rxjson",11234
73,95000,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R82;r2=R83;c1=label@11641;r3=R76;r4=R101;r5=R75;r6=R102","rxjson",11248
74,95000,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGTE_REG_REG_INT(r3,r2,c3) | BRF_ID_REG(c4,r3)","r1=R82;r2=R15;c1=int:45;c2=label@11251;r3=R83;c3=int:48;c4=label@11248","rxjson",11230
75,95000,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | ICOPY_REG_REG(r3,r1)","r1=R83;r2=R15;c1=int:48;c2=label@11248;c3=int:57;r3=R82","rxjson",11237
76,95000,1,1,7,candidate,"ILTE_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | COPY_REG_REG(r4,r5)","r1=R83;r2=R15;c1=int:57;r3=R82;c2=label@11641;r4=R76;r5=R101","rxjson",11244
77,90000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | COPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r2,r6)","c1=label@13065;r1=R72;r2=R82;c2=int:1;r3=R76;r4=R80;r5=R68;r6=R81","rxjson",12990
78,85000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2) | ILT_REG_REG_REG(r3,r2,r4) | BRF_ID_REG(c3,r3)","c1=label@11364;r1=R73;r2=R103;c2=int:1;r3=R72;r4=R75;c3=label@11372","rxjson",11322
79,85000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | IADD_REG_REG_INT(r3,r3,c4)","c1=label@11322;r1=R73;r2=R79;c2=int:57;c3=label@11364;r3=R103;c4=int:1","rxjson",11315
80,85000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | ILT_REG_REG_REG(r2,r1,r3) | BRF_ID_REG(c2,r2) | BGETU8_REG_REG_REG(r4,r5,r1)","r1=R103;c1=int:1;r2=R72;r3=R75;c2=label@11372;r4=R79;r5=R76","rxjson",11325
81,85000,1,1,6,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILTE_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R73;r2=R79;c1=int:49;c2=label@11322;c3=int:57;c4=label@11364","rxjson",11311
82,85000,1,1,8,candidate,"ILTE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3) | ILT_REG_REG_REG(r4,r3,r5)","r1=R73;r2=R79;c1=int:57;c2=label@11364;r3=R103;c3=int:1;r4=R72;r5=R75","rxjson",11318
83,80000,1,1,19,candidate,"BRF_ID_REG(c1,r1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r5,r6,r7,r8,r9,r10,r11,r12) | SWAPSETTPSWAP_REG_REG_REG_INT_REG(r13,r14,r15,c3,r16)","c1=label@10283;r1=R46;r2=R47;c2=int:14;r3=R101;c3=int:256;r4=R48;r5=R49;r6=R102;r7=R50;r8=R103;r9=R51;r10=R4;r11=R52;r12=R104;r13=R53;r14=R105;r15=R106;r16=R54","rxjson",10202
