rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,245960,6,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | ICOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R33;r2=R31;r3=R27;c1=int:2;r4=R26","benchmark_awfy_towers_opt",295
20,82050,4,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R11;c1=int:256;r2=R18;r3=R8;r4=R19","benchmark_awfy_towers_opt",200
21,82020,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | ICOPY_REG_REG(r5,r4)","c1=label@1216;r1=R1;r2=R9;r3=R16;r4=R7;c2=int:1;r5=R6","benchmark_awfy_towers_opt",1137
22,82020,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1) | ICOPY_REG_REG(r2,r5)","r1=R8;r2=R6;r3=R10;r4=R3;r5=R7;c1=int:1","benchmark_awfy_towers_opt",1154
23,82020,3,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R1;r2=R6;c1=label@1137;r3=R15;c2=int:2","benchmark_awfy_towers_opt",1067
24,82020,3,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r1,r3,c2) | COPY_REG_REG(r4,r1)","r1=R6;c1=label@1137;r2=R1;r3=R15;c2=int:2;r4=R3","benchmark_awfy_towers_opt",1070
25,81910,3,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | LOAD_REG_INT(r6,c1)","r1=R30;r2=R31;r3=R29;r4=R32;r5=R28;r6=R27;c1=int:1","benchmark_awfy_towers_opt",354
26,81910,3,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | COPY_REG_REG(r4,r3) | ASSERTTYPE_REG_STRING(r4,c2)","r1=R34;r2=R31;r3=R27;c1=int:3;r4=R25;c2=string@1416","benchmark_awfy_towers_opt",314
27,81910,3,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R25;r2=R26;c1=int:1;r3=R27;r4=R29","benchmark_awfy_towers_opt",395
28,81910,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2) | UNLINK_REG(r1)","r1=R27;r2=R34;c1=int:3;r3=R25;c2=string@1416","benchmark_awfy_towers_opt",317
29,81910,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R26;r2=R29;c1=int:1;r3=R25;r4=R27","benchmark_awfy_towers_opt",391
30,81910,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRTF_ID_ID_REG(c2,c3,r3)","r1=R27;r2=R33;c1=int:2;r3=R26;c2=label@314;c3=label@342","benchmark_awfy_towers_opt",298
31,81910,3,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R26;r2=R27;r3=R29;c1=int:1;r4=R25","benchmark_awfy_towers_opt",399
32,81900,2,1,6,over_3_symbols,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R15;c1=string@1416;r2=R17;r3=R10;c2=int:0;c3=label@2003","benchmark_awfy_towers_opt",1980
33,81900,2,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R15;r2=R17;c1=string@1416;r3=R10;c2=int:0","benchmark_awfy_towers_opt",1977
34,81900,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r1,c2)","r1=R8;r2=R12;r3=R5;r4=R9;r5=R20;c1=int:3;c2=int:256","benchmark_awfy_towers_opt",2091
35,81900,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | NULL_REG(r7)","r1=R8;r2=R45;r3=R6;r4=R47;r5=R7;r6=R48;r7=R11","benchmark_awfy_towers_opt",1886
36,81900,2,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | SETOBJUNINIT_REG_STRING(r5,c1) | IEQ_REG_REG_INT(r6,r3,c2)","r1=R12;r2=R8;r3=R10;r4=R6;r5=R11;c1=string@13784;r6=R13;c2=int:0","benchmark_awfy_towers_opt",1897
37,81900,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R5;r2=R9;r3=R20;c1=int:3;r4=R8;c2=int:256;r5=R21","benchmark_awfy_towers_opt",2094
38,81900,2,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | NULL_REG(r5) | COPY_REG_REG(r6,r7)","r1=R6;r2=R47;r3=R7;r4=R48;r5=R11;r6=R12;r7=R8","benchmark_awfy_towers_opt",1889
39,81900,2,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R7;r2=R48;r3=R11;r4=R12;r5=R8;r6=R10;r7=R6","benchmark_awfy_towers_opt",1892
40,81900,2,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | BRF_ID_REG(c3,r4)","r1=R10;r2=R6;r3=R11;c1=string@13784;r4=R13;c2=int:0;c3=label@1924","benchmark_awfy_towers_opt",1900
41,81900,2,1,6,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | SETOBJUNINIT_REG_STRING(r1,c1)","r1=R11;r2=R12;r3=R8;r4=R10;r5=R6;c1=string@13784","benchmark_awfy_towers_opt",1895
42,81900,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","c1=int:1;r1=R4;r2=R46;c2=label@2152","benchmark_awfy_towers_opt",1875
43,81900,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R4;r2=R46","benchmark_awfy_towers_opt",1873
44,81900,2,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R5;c1=int:256;r2=R22;r3=R23;r4=R7;r5=R17;c2=func@10944;r6=R20","benchmark_awfy_towers_opt",2106
45,81900,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IADD_REG_REG_INT(r5,r3,c1) | UNLINK_REG(r3)","r1=R7;r2=R23;r3=R22;r4=R8;c1=int:1;r5=R21","benchmark_awfy_towers_opt",2125
46,81900,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SWAP_REG_REG(r5,r6)","r1=R21;r2=R8;r3=R5;c1=int:256;r4=R22;r5=R23;r6=R7","benchmark_awfy_towers_opt",2103
47,81900,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r5,c1) | IADD_REG_REG_INT(r6,r2,c1)","r1=R5;r2=R22;r3=R7;r4=R23;r5=R8;c1=int:1;r6=R21","benchmark_awfy_towers_opt",2122
48,81900,2,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | LINKATTR1_REG_REG_INT(r4,r1,c1)","r1=R8;r2=R21;r3=R5;r4=R22;r5=R7;r6=R23;c1=int:1","benchmark_awfy_towers_opt",2119
49,81880,2,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R26;r2=R46;c1=int:1;r3=R24;c2=int:4;r4=R45;c3=int:256;r5=R25","benchmark_awfy_towers_opt",2160
50,81880,2,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R24;c1=int:4;r2=R45;c2=int:256;r3=R25;r4=R27;r5=R47","benchmark_awfy_towers_opt",2164
51,81880,2,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R45;c1=int:256;r2=R25;r3=R27;r4=R47;r5=R28;r6=R23","benchmark_awfy_towers_opt",2167
52,81880,2,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | CALL_REG_FUNC_REG(r7,c1,r8)","r1=R25;r2=R45;r3=R27;r4=R47;r5=R28;r6=R23;r7=R22;c1=func@12520;r8=R24","benchmark_awfy_towers_opt",2170
53,81830,3,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c2)","r1=R6;r2=R16;r3=R5;c1=int:1;r4=R15;c2=int:3","benchmark_awfy_towers_opt",1227
54,81830,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R15;c1=int:2;r3=R16;r4=R5;c2=int:1","benchmark_awfy_towers_opt",1223
55,81800,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | COPY_REG_REG(r5,r3)","r1=R12;r2=R16;r3=R6;r4=R3;r5=R7;c1=int:3","benchmark_awfy_towers_opt",1186
56,81800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R6;r2=R3;r3=R7;r4=R12;c1=int:3","benchmark_awfy_towers_opt",1189
57,81800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R7;r2=R6;c1=int:1;r3=R12;c2=int:2","benchmark_awfy_towers_opt",1196
58,81800,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r1,r5,c1)","r1=R7;r2=R6;r3=R16;r4=R12;r5=R17;c1=int:0","benchmark_awfy_towers_opt",1208
59,81800,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R12;c1=int:3;r3=R6;c2=int:1","benchmark_awfy_towers_opt",1192
60,81800,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R7;r2=R16;r3=R12;r4=R17;c1=int:0;c2=label@1246","benchmark_awfy_towers_opt",1211
61,54750,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@1086;r1=R5;r2=R6;r3=R15;c2=int:3;r4=R1","benchmark_awfy_towers_opt",1060
62,54750,2,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | ICOPY_REG_REG(r5,r3)","r1=R5;r2=R17;c1=int:0;c2=label@1086;r3=R6;r4=R15;c3=int:3;r5=R1","benchmark_awfy_towers_opt",1056
63,54630,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R15;c1=int:3;r3=R5;c2=label@1297","benchmark_awfy_towers_opt",1235
64,54600,4,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r5,r3)","r1=R13;r2=R10;c1=int:0;c2=label@1924;r3=R14;r4=R12;c3=int:2;r5=R11","benchmark_awfy_towers_opt",1906
65,54600,4,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | BR_ID(c2)","r1=R14;r2=R12;c1=int:2;r3=R15;c2=label@2030","benchmark_awfy_towers_opt",1992
66,40960,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","c1=label@2152;r1=R4;r2=R8;r3=R45;r4=R6;r5=R47;r6=R7;r7=R48","benchmark_awfy_towers_opt",1883
67,40960,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R23;r2=R21;r3=R45;r4=R8;c1=label@2490","benchmark_awfy_towers_opt",2142
68,40960,1,1,8,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R4;r2=R46;c1=int:1;c2=label@2152;r3=R8;r4=R45;r5=R6;r6=R47","benchmark_awfy_towers_opt",1879
69,40960,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","c1=int:1;r1=R4;r2=R46;c2=label@2152;r3=R8;r4=R45","benchmark_awfy_towers_opt",1877
70,40940,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | LOAD_REG_INT(r5,c2) | SETTP_REG_INT(r1,c3)","r1=R45;r2=R32;r3=R41;r4=R46;c1=int:1;r5=R39;c2=int:4;c3=int:256","benchmark_awfy_towers_opt",2453
71,40940,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | ISUB_REG_REG_INT(r5,r6,c1)","r1=R28;r2=R26;r3=R45;r4=R32;r5=R41;r6=R46;c1=int:1","benchmark_awfy_towers_opt",2448
72,40940,1,1,10,over_3_symbols,"ISUB_REG_INT_REG(r1,c1,r2) | ISUB_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_INT(r5,r6,c2) | LOAD_REG_INT(r7,c3)","r1=R22;c1=int:3;r2=R47;r3=R23;r4=R48;r5=R26;r6=R46;c2=int:1;r7=R24;c3=int:4","benchmark_awfy_towers_opt",2152
73,40940,1,1,10,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | LOAD_REG_INT(r6,c2) | SETTP_REG_INT(r7,c3)","r1=R23;r2=R22;r3=R48;r4=R26;r5=R46;c1=int:1;r6=R24;c2=int:4;r7=R45;c3=int:256","benchmark_awfy_towers_opt",2156
74,40940,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r8)","r1=R23;r2=R28;r3=R32;r4=R45;r5=R30;r6=R47;r7=R31;r8=R48","benchmark_awfy_towers_opt",2189
75,40940,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | ICOPY_REG_REG(r7,r1)","r1=R47;r2=R27;r3=R23;r4=R28;r5=R32;r6=R45;r7=R30","benchmark_awfy_towers_opt",2186
76,40940,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ENDLIFE_REG(r1) | RET()","r1=R23;r2=R42;r3=R48;r4=R43","benchmark_awfy_towers_opt",2482
77,40940,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | COPY_REG_REG(r7,r1)","r1=R45;r2=R25;r3=R47;r4=R27;r5=R23;r6=R28;r7=R32","benchmark_awfy_towers_opt",2183
78,40940,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | ENDLIFE_REG(r3)","r1=R45;r2=R40;r3=R23;r4=R42;r5=R48;r6=R43","benchmark_awfy_towers_opt",2479
79,40940,1,1,8,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | LOAD_REG_INT(r6,c2)","r1=R28;r2=R45;r3=R32;r4=R41;r5=R46;c1=int:1;r6=R39;c2=int:4","benchmark_awfy_towers_opt",2451
80,27380,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R1;c1=int:0;r2=R5;r3=R17;c2=label@1086;r4=R6;r5=R15;c3=int:3","benchmark_awfy_towers_opt",1053
81,27370,1,1,9,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R16;r2=R12;r3=R7;r4=R17;c1=int:0;c2=label@1246;r5=R6;r6=R15;c3=int:2","benchmark_awfy_towers_opt",1213
82,27360,2,1,9,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | LINKATTR1_REG_REG_INT(r4,r5,c4)","r1=R11;c1=string@13784;r2=R13;r3=R10;c2=int:0;c3=label@1924;r4=R14;r5=R12;c4=int:2","benchmark_awfy_towers_opt",1903
83,27360,2,1,7,over_3_symbols,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R17;r2=R10;c1=int:0;c2=label@2003;r3=R14;r4=R12;c3=int:2","benchmark_awfy_towers_opt",1983
84,27310,3,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | ENDLIFE_REG(r2) | BR_ID(c1)","r1=R27;r2=R25;c1=label@354","benchmark_awfy_towers_opt",333
85,27310,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | ENDLIFE_REG(r3)","r1=R27;r2=R32;c1=int:2;r3=R25","benchmark_awfy_towers_opt",329
86,27310,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r3)","r1=R27;r2=R32;c1=int:2;r3=R31;r4=R33","benchmark_awfy_towers_opt",286
87,27290,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5)","r1=R3;r2=R7;c1=label@1216;r3=R1;r4=R9;r5=R16","benchmark_awfy_towers_opt",1132
88,27290,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R15;c1=int:6;r3=R3;c2=label@1216;r4=R1","benchmark_awfy_towers_opt",1128
89,27290,1,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R7;c1=label@1216;r2=R1;r3=R9;r4=R16;c2=int:1","benchmark_awfy_towers_opt",1135
90,27200,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET()","r1=R13;r2=R15;c1=int:7;r3=R5","benchmark_awfy_towers_opt",1288
91,13660,2,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R31;r2=R27;r3=R33;c1=int:2","benchmark_awfy_towers_opt",290
