rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,328010,9,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R27;r2=R33;c1=int:2;r3=R26","benchmark_awfy_towers_opt",298
24,82050,1,1,4,over_3_symbols,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R3;c1=string@13784;r2=R1;c2=int:0","benchmark_awfy_towers_opt",1048
25,82050,1,1,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","benchmark_awfy_towers_opt",1044
26,82050,1,1,3,candidate,"SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2)","c1=int:1;r1=R3;c2=string@13784","benchmark_awfy_towers_opt",1046
27,82050,1,1,6,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@13784;r2=R1;c2=int:0;r3=R5;r4=R17","benchmark_awfy_towers_opt",1050
28,82050,4,1,4,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1)","r1=R11;c1=int:256;r2=R18;r3=R8","benchmark_awfy_towers_opt",200
29,82050,4,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R18;r2=R11;r3=R8;c1=int:256;r4=R19","benchmark_awfy_towers_opt",203
30,82020,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@1216;r1=R1;r2=R9;r3=R16;r4=R7;c2=int:1","benchmark_awfy_towers_opt",1137
31,82020,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1)","r1=R8;r2=R6;r3=R10;r4=R3;r5=R7;c1=int:1","benchmark_awfy_towers_opt",1154
32,82020,1,1,5,over_3_symbols,"IGTE_REG_REG_REG(r1,r2,r1) | ICOPY_REG_REG(r3,r1) | BRTF_ID_ID_REG(c1,c2,r3)","r1=R6;r2=R8;r3=R5;c1=label@1185;c2=label@1186","benchmark_awfy_towers_opt",1171
33,82020,3,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R6;c1=label@1137;r2=R1;r3=R15;c2=int:2","benchmark_awfy_towers_opt",1070
34,81910,3,1,3,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2)","r1=R25;r2=R27;c1=string@1416","benchmark_awfy_towers_opt",321
35,81910,3,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R30;r2=R31;r3=R29;r4=R32;r5=R28","benchmark_awfy_towers_opt",354
36,81910,3,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1)","r1=R29;r2=R32;r3=R28;r4=R30;r5=R27;c1=int:1","benchmark_awfy_towers_opt",357
37,81910,3,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | COPY_REG_REG(r4,r3)","r1=R34;r2=R31;r3=R27;c1=int:3;r4=R25","benchmark_awfy_towers_opt",314
38,81910,3,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R25;r2=R26;c1=int:1;r3=R27;r4=R29","benchmark_awfy_towers_opt",395
39,81910,3,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R26;r2=R27;c1=label@314;c2=label@342","benchmark_awfy_towers_opt",302
40,81910,3,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2)","r1=R27;r2=R34;c1=int:3;r3=R25;c2=string@1416","benchmark_awfy_towers_opt",317
41,81910,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","r1=R26;r2=R29;c1=int:1;r3=R25","benchmark_awfy_towers_opt",391
42,81910,3,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4)","r1=R26;r2=R27;r3=R29;c1=int:1;r4=R25","benchmark_awfy_towers_opt",399
43,81900,2,1,5,over_3_symbols,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R15;c1=string@1416;r2=R17;r3=R10;c2=int:0","benchmark_awfy_towers_opt",1980
44,81900,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R8;r2=R45;r3=R6;r4=R47;r5=R7;r6=R48","benchmark_awfy_towers_opt",1886
45,81900,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | SETOBJUNINIT_REG_STRING(r5,c1)","r1=R12;r2=R8;r3=R10;r4=R6;r5=R11;c1=string@13784","benchmark_awfy_towers_opt",1897
46,81900,2,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R5;r2=R9;r3=R20;c1=int:3;r4=R8;c2=int:256","benchmark_awfy_towers_opt",2094
47,81900,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | NULL_REG(r5)","r1=R6;r2=R47;r3=R7;r4=R48;r5=R11","benchmark_awfy_towers_opt",1889
48,81900,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r5)","r1=R7;r2=R48;r3=R11;r4=R12;r5=R8","benchmark_awfy_towers_opt",1892
49,81900,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | IEQ_REG_REG_INT(r4,r1,c2)","r1=R10;r2=R6;r3=R11;c1=string@13784;r4=R13;c2=int:0","benchmark_awfy_towers_opt",1900
50,81900,2,1,5,over_3_symbols,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R11;r2=R12;r3=R8;r4=R10;r5=R6","benchmark_awfy_towers_opt",1895
51,81900,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R4;r2=R46","benchmark_awfy_towers_opt",1875
52,81900,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","c1=int:1;r1=R4;r2=R46;c2=label@2152","benchmark_awfy_towers_opt",1877
53,81900,2,1,6,over_3_symbols,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R11;c1=string@13784;r2=R13;r3=R10;c2=int:0;c3=label@1924","benchmark_awfy_towers_opt",1903
54,81900,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IADD_REG_REG_INT(r5,r3,c1)","r1=R7;r2=R23;r3=R22;r4=R8;c1=int:1;r5=R21","benchmark_awfy_towers_opt",2125
55,81900,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r2,r5,c1)","r1=R5;r2=R22;r3=R7;r4=R23;r5=R8;c1=int:1","benchmark_awfy_towers_opt",2122
56,81900,2,1,4,over_3_symbols,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R17;r2=R10;c1=int:0;c2=label@2003","benchmark_awfy_towers_opt",1983
57,81880,2,1,7,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3)","r1=R26;r2=R46;c1=int:1;r3=R24;c2=int:4;r4=R45;c3=int:256","benchmark_awfy_towers_opt",2160
58,81830,3,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1)","r1=R6;r2=R16;r3=R5;c1=int:1","benchmark_awfy_towers_opt",1227
59,81800,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1)","r1=R12;r2=R16;r3=R6;r4=R3;r5=R7;c1=int:3","benchmark_awfy_towers_opt",1186
60,81800,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R16;r2=R12;r3=R7;r4=R17;c1=int:0;c2=label@1246","benchmark_awfy_towers_opt",1213
61,81800,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1)","r1=R6;r2=R3;r3=R7;r4=R12;c1=int:3","benchmark_awfy_towers_opt",1189
62,81800,1,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R7;r2=R6;c1=int:1","benchmark_awfy_towers_opt",1196
63,81800,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1)","r1=R7;r2=R16;r3=R12;r4=R17;c1=int:0","benchmark_awfy_towers_opt",1211
64,54750,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2)","c1=label@1086;r1=R5;r2=R6;r3=R15;c2=int:3;r4=R1","benchmark_awfy_towers_opt",1060
65,54630,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | BR_ID(c1)","r1=R6;r2=R5;c1=label@1297","benchmark_awfy_towers_opt",1239
66,54600,4,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | BR_ID(c1)","r1=R14;r2=R15;c1=label@2030","benchmark_awfy_towers_opt",1996
67,40960,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","c1=label@2152;r1=R4;r2=R8;r3=R45;r4=R6;r5=R47","benchmark_awfy_towers_opt",1883
68,40960,1,1,6,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4)","r1=R4;r2=R46;c1=int:1;c2=label@2152;r3=R8;r4=R45","benchmark_awfy_towers_opt",1879
69,40960,1,1,4,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | BR_ID(c1)","r1=R23;r2=R45;r3=R8;c1=label@2490","benchmark_awfy_towers_opt",2145
70,40940,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | LOAD_REG_INT(r5,c2)","r1=R45;r2=R32;r3=R41;r4=R46;c1=int:1;r5=R39;c2=int:4","benchmark_awfy_towers_opt",2453
71,40940,1,1,8,over_3_symbols,"ISUB_REG_INT_REG(r1,c1,r2) | ISUB_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_INT(r5,r6,c2)","r1=R22;c1=int:3;r2=R47;r3=R23;r4=R48;r5=R26;r6=R46;c2=int:1","benchmark_awfy_towers_opt",2152
72,40940,1,1,8,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | LOAD_REG_INT(r6,c2)","r1=R23;r2=R22;r3=R48;r4=R26;r5=R46;c1=int:1;r6=R24;c2=int:4","benchmark_awfy_towers_opt",2156
73,40940,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R23;r2=R28;r3=R32;r4=R45;r5=R30;r6=R47","benchmark_awfy_towers_opt",2189
74,40940,1,1,3,candidate,"SWAP_REG_REG(r1,r2) | ENDLIFE_REG(r3) | RET()","r1=R48;r2=R43;r3=R23","benchmark_awfy_towers_opt",2485
75,40940,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | COPY_REG_REG(r5,r6)","r1=R47;r2=R27;r3=R23;r4=R28;r5=R32;r6=R45","benchmark_awfy_towers_opt",2186
76,40940,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ENDLIFE_REG(r1)","r1=R23;r2=R42;r3=R48;r4=R43","benchmark_awfy_towers_opt",2482
77,40940,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ISUB_REG_REG_INT(r4,r5,c1)","r1=R28;r2=R45;r3=R32;r4=R41;r5=R46;c1=int:1","benchmark_awfy_towers_opt",2451
78,27310,3,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | ENDLIFE_REG(r2)","r1=R27;r2=R25","benchmark_awfy_towers_opt",333
79,27310,3,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1)","r1=R31;r2=R27;r3=R33","benchmark_awfy_towers_opt",290
80,27310,3,1,3,candidate,"UNLINK_REG(r1) | ENDLIFE_REG(r2) | BR_ID(c1)","r1=R27;r2=R25;c1=label@354","benchmark_awfy_towers_opt",336
81,27290,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R3;r2=R7;c1=label@1216;r3=R1","benchmark_awfy_towers_opt",1132
82,27290,1,1,5,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4)","r1=R7;c1=label@1216;r2=R1;r3=R9;r4=R16","benchmark_awfy_towers_opt",1135
83,27200,1,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | RET()","r1=R13;r2=R5","benchmark_awfy_towers_opt",1292
84,13660,2,1,4,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c1)","r1=R27;r2=R33;r3=R31;c1=int:2","benchmark_awfy_towers_opt",293
85,13650,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R24;r2=R37;r3=R35;r4=R28;c1=int:2","benchmark_awfy_towers_opt",2255
86,180,5,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R11;r2=R10;r3=R7;c1=int:13;r4=R12;c2=int:0","benchmark_awfy_towers_opt",142
87,170,4,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R20;c1=int:0;r2=R17;c2=int:3;r3=R11;c3=int:256","benchmark_awfy_towers_opt",194
88,170,4,1,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | CALL_REG_FUNC_REG(r3,c2,r4)","r1=R8;c1=int:256;r2=R19;r3=R21;c2=func@10944;r4=R17","benchmark_awfy_towers_opt",206
89,160,3,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1)","r1=R17;r2=R8;r3=R16;r4=R20;c1=int:0","benchmark_awfy_towers_opt",189
90,150,2,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3)","c1=label@490;r1=R3;r2=R6;c2=int:8;c3=string@56","benchmark_awfy_towers_opt",79
91,140,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R15;r2=R7;r3=R17;r4=R16;c1=int:1","benchmark_awfy_towers_opt",167
92,140,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1)","r1=R17;r2=R15;r3=R18;c1=int:0","benchmark_awfy_towers_opt",174
93,140,1,1,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2)","r1=R13;r2=R7;r3=R12;c1=label@228;r4=R16;c2=int:4","benchmark_awfy_towers_opt",154
94,140,1,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | ICOPY_REG_REG(r2,r3)","r1=R16;c1=int:4;c2=string@1416;r2=R15;r3=R7","benchmark_awfy_towers_opt",161
95,140,1,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | ICOPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r1,c2)","r1=R16;c1=string@1416;r2=R15;r3=R7;r4=R17;c2=int:1","benchmark_awfy_towers_opt",164
96,140,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_REG(r3,r4,r3) | BR_ID(c1)","r1=R8;r2=R19;r3=R7;r4=R14;c1=label@154","benchmark_awfy_towers_opt",219
97,140,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | IADD_REG_REG_REG(r5,r6,r5)","r1=R11;r2=R18;r3=R8;r4=R19;r5=R7;r6=R14","benchmark_awfy_towers_opt",216
98,50,5,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R7;c1=int:13;r2=R12;c2=int:0;r3=R14;c3=int:-1","benchmark_awfy_towers_opt",145
99,20,2,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R8;r2=R7;c1=int:0","benchmark_awfy_towers_opt",107
100,10,1,1,5,over_3_symbols,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R25;c1=string@1416;r2=R27;r3=R32;c2=int:2","benchmark_awfy_towers_opt",324
101,10,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R5;r2=R6;r3=R10;r4=R11","benchmark_awfy_towers_opt",136
102,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R10;r2=R5;r3=R11;r4=R7;c1=int:13","benchmark_awfy_towers_opt",139
103,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r3,c1)","r1=R5;r2=R10;r3=R2;r4=R9;r5=R39;c1=int:8191","benchmark_awfy_towers_opt",450
104,10,1,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R2;r2=R9;r3=R39;c1=int:8191;c2=label@487","benchmark_awfy_towers_opt",453
105,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2)","r1=R10;r2=R11;r3=R19;c1=int:0;r4=R20;c2=int:1","benchmark_awfy_towers_opt",232
106,10,1,1,4,over_3_symbols,"COPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r1)","r1=R29;r2=R22;r3=R31;r4=R32","benchmark_awfy_towers_opt",275
107,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2)","r1=R32;r2=R29;r3=R31;c1=string@13784;r4=R27;c2=int:2","benchmark_awfy_towers_opt",280
108,10,1,1,5,over_3_symbols,"ENDLIFE_REG(r1) | COPY_REG_REG(r2,r3) | LOAD_REG_INT(r4,c1)","r1=R7;r2=R10;r3=R11;r4=R19;c1=int:0","benchmark_awfy_towers_opt",230
109,10,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | COPY_REG_REG(r3,r4)","r1=R8;r2=R7;r3=R10;r4=R11","benchmark_awfy_towers_opt",228
110,10,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r1,c1)","r1=R7;r2=R8;c1=int:0","benchmark_awfy_towers_opt",95
111,10,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4)","r1=R9;r2=R39;r3=R5;r4=R10","benchmark_awfy_towers_opt",445
112,10,1,1,6,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2)","r1=R3;r2=R4;r3=R1;c1=label@490;r4=R6;c2=int:8","benchmark_awfy_towers_opt",75
