entry,section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
sieve-noopt,unwind,signal,argument_windows_restored,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,unwind,signal,argument_slots_restored,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,unwind,signal,interrupted_native_windows_restored,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,unwind,signal,interrupted_native_slots_restored,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,unwind,signal,restoration_failures,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-noopt,call,awfy_sieve.main,external_root,0,1,0,0,0,0,0,1,,,,benchmark_awfy_sieve_noopt,procedure,,,fresh,success,0,0,0,complete
sieve-noopt,call,awfy_sieve.sieve_once,direct_bytecode,71,1,0,0,0,0,0,0,,,,benchmark_awfy_sieve_noopt,procedure,,,fresh,success,0,0,0,complete
sieve-noopt,call,awfy_sieve.sieve_once,direct_bytecode,71,49,0,0,0,0,0,0,,,,benchmark_awfy_sieve_noopt,procedure,,,reused,success,0,0,0,complete
sieve-opt,status,instructions,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,procedures,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,allocations,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,call_census,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,frame_entry,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,value_operations,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,status,branch_sites,complete,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
sieve-opt,value_operation,copy,scalar,,50,0,0,0,0,0,,,,,,,,,,,0,0,,complete
