rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
77,23250,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3)","r1=R9;r2=R8;r3=R5;r4=R10;r5=R55;c1=int:20;c2=int:6;r6=R56;c3=int:1","benchmark_awfy_richards_opt",3074
78,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","r1=R5;r2=R10;r3=R55;c1=int:20;c2=int:6;r4=R9;r5=R56;c3=int:1;r6=R8;c4=int:0","benchmark_awfy_richards_opt",3077
79,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4)","r1=R4;r2=R5;r3=R55;c1=int:20;c2=int:6;r4=R8;r5=R56;c3=int:1;r6=R9;c4=int:17","benchmark_awfy_richards_opt",3052
80,23249,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3)","r1=R14;r2=R11;c1=int:23;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R13;c4=int:24","benchmark_awfy_richards_opt",2836
81,23248,4,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r5)","r1=R23;r2=R17;r3=R20;r4=R55;r5=R22","benchmark_awfy_richards_opt",3412
82,23248,4,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r3)","r1=R17;r2=R22;c1=int:2;r3=R23;r4=R20","benchmark_awfy_richards_opt",3408
83,23246,1,1,7,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2)","r1=R6;r2=R23;r3=R8;c1=int:15;r4=R7;r5=R24;c2=int:0","benchmark_awfy_richards_opt",2687
84,23246,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R9;r2=R3;r3=R23;r4=R11;r5=R21","benchmark_awfy_richards_opt",2878
85,23246,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R3;r2=R8;c1=int:0;c2=label@2746","benchmark_awfy_richards_opt",2734
86,23246,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3)","r1=R5;r2=R0;r3=R8;c1=int:0;c2=label@2718","benchmark_awfy_richards_opt",2704
87,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4)","r1=R8;r2=R1;r3=R12;r4=R11;c1=int:20;c2=int:6;r5=R7;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2803
