entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,3,348829000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,4,324238000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,5,297672000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,6,361410000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,7,294572000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,8,292533000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,9,356981000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,10,299550000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,11,330994000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,12,279527000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,13,358608000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,14,279534000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,15,300575000,0,pass
