-- Install configuration: "MinSizeRel"
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/macsys.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/mathlib.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/mc_decimal.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/mc_decimal.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/messages
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.de_DE.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.en_GB.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.en_US.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.nl_NL.msg
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/platform.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/precomp.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/precomp.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rexxscript.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rexxscript.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxas.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxaslib.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxbin.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxbvm.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxbvme.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxbvml.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxbvm_instrumented.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxc.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxcexits.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxclib.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxcpack.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxdas.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxdb.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxfnsc.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxfnsg.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxfnsl.rxbin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxlink.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxpa.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxpashim.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxpp.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxprecomp.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxprecomp_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxseq.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvme.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvml.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvmmemory.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvmplugin.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvmref.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm_db_decimal.rxvmplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm_db_decimal_manual.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal.rxvmplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal_manual.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_arrays.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_cipher.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_cipher_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_e5native.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_fileio.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_getpi.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_id.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_id_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_keyaccess.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_keyaccess_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_llist.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_llist_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_map.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_matrix.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_recv390.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_recv390_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxmath.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxmath_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxml.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxpa_session_failure.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxtcp.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_rxtcp_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_stack.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_stack_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_strings.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_system.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_system_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_treemap.rxplugin
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/rx_treemap_static.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/syslib.rexx
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/test_rxcrexxcmd_flush.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/test_rxgraph.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/test_rxseqfile.exe
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_arrays.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_arrays.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_cipher.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_cipher.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_fileio.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_fileio.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_getpi.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_getpi.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_id.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_id.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_keyaccess.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_keyaccess.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_llist.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_llist.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_map.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_map.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_matrix.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_matrix.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_odbc.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_odbc.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_recv390.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_recv390.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxmath.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxmath.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxml.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxml.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxpa_session_failure.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxpa_session_failure.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxtcp.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_rxtcp.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_stack.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_stack.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_strings.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_strings.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_system.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_system.lib
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_treemap.exp
-- Installing: C:\crexx-qa\windows-msvc-2b793c81e-evidence\install\prefix/bin/_treemap.lib
