vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	4	3	4	current-first	4272	3842	-430	-0.430000	-10.065543
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	1	alternative-first	3926	3499	-427	-0.427000	-10.876210
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	2	current-first	4025	3553	-472	-0.472000	-11.726708
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	3	alternative-first	4028	3492	-536	-0.536000	-13.306852
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	4	current-first	3916	3592	-324	-0.324000	-8.273749
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	1	alternative-first	4183	3938	-245	-0.245000	-5.857040
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	2	current-first	4199	3904	-295	-0.295000	-7.025482
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	3	alternative-first	4280	3961	-319	-0.319000	-7.453271
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	1	4	current-first	4248	3916	-332	-0.332000	-7.815443
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	1	alternative-first	4439	3815	-624	-0.624000	-14.057220
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	2	current-first	4398	3796	-602	-0.602000	-13.688040
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	3	alternative-first	4394	3854	-540	-0.540000	-12.289486
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	4	current-first	4302	3895	-407	-0.407000	-9.460716
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	1	alternative-first	4120	3809	-311	-0.311000	-7.548544
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	2	current-first	4598	3697	-901	-0.901000	-19.595476
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	3	alternative-first	4334	3540	-794	-0.794000	-18.320258
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	2	4	current-first	4141	3622	-519	-0.519000	-12.533205
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	1	alternative-first	3961	3552	-409	-0.409000	-10.325675
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	2	current-first	3978	3601	-377	-0.377000	-9.477124
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	3	alternative-first	3966	3533	-433	-0.433000	-10.917801
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	4	current-first	3991	3573	-418	-0.418000	-10.473566
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	1	alternative-first	4272	3936	-336	-0.336000	-7.865169
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	2	current-first	4223	3996	-227	-0.227000	-5.375326
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	3	alternative-first	4279	4014	-265	-0.265000	-6.193036
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	12	3	4	current-first	4339	3970	-369	-0.369000	-8.504264
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	1	alternative-first	4004	3609	-395	-0.395000	-9.865135
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	2	current-first	4018	3558	-460	-0.460000	-11.448482
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	3	alternative-first	4051	3580	-471	-0.471000	-11.626759
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	4	current-first	3994	3540	-454	-0.454000	-11.367051
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	2	1	1	alternative-first	4197	3868	-329	-0.329000	-7.838933
