rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4396101,12,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_list_noopt",0
33,210700,1,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | LOAD_REG_INT(r3,c1) | RET_REG(r3)","r1=R9;r2=R10;r3=R13;c1=int:0","benchmark_awfy_list_noopt",841
34,210700,1,1,4,over_3_symbols,"UNLINK_REG(r1) | ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | LOAD_REG_INT(r3,c1)","r1=R9;r2=R10;r3=R13;c1=int:0","benchmark_awfy_list_noopt",839
35,210700,1,1,2,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | ENDLIFE_REG(r2) | ENDLIFE_REG(r1)","r1=R10;r2=R9","benchmark_awfy_list_noopt",837
36,210600,3,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R34;r2=R29;r3=R25;c1=int:4;r4=R31;c2=int:256;r5=R26","benchmark_awfy_list_noopt",1014
37,210600,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r6,c2)","r1=R33;r2=R28;r3=R34;r4=R29;r5=R25;c1=int:4;r6=R31;c2=int:256","benchmark_awfy_list_noopt",1011
38,210600,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | LOAD_REG_INT(r7,c1)","r1=R4;r2=R27;r3=R33;r4=R28;r5=R34;r6=R29;r7=R25;c1=int:4","benchmark_awfy_list_noopt",1008
39,70200,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3) | UNLINK_REG(r4)","c1=label@1160;r1=R24;r2=R23;r3=R32;r4=R22","benchmark_awfy_list_noopt",908
40,70200,1,1,5,over_3_symbols,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3)","r1=R12;c1=int:0;c2=label@793;r2=R13;c3=int:1","benchmark_awfy_list_noopt",779
41,70200,1,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3) | RET_REG(r2)","r1=R12;c1=int:0;c2=label@793;r2=R13;c3=int:1","benchmark_awfy_list_noopt",781
42,70200,1,1,5,over_3_symbols,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | UNLINK_REG(r5)","r1=R23;r2=R32;r3=R22;r4=R33;r5=R21","benchmark_awfy_list_noopt",913
43,70200,1,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r1)","r1=R32;r2=R23;c1=label@1160;r3=R24","benchmark_awfy_list_noopt",905
44,70200,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | BRF_ID_REG(c1,r5) | UNLINK_REG(r4)","r1=R33;r2=R22;r3=R32;r4=R23;c1=label@1160;r5=R24","benchmark_awfy_list_noopt",902
45,70200,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6) | RET_REG(r7)","r1=R0;r2=R27;r3=R1;r4=R28;r5=R2;r6=R29;r7=R20","benchmark_awfy_list_noopt",1137
46,6200,2,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R4;r2=R11;c1=int:2;r3=R6;c2=int:1;c3=int:0;r4=R5","benchmark_awfy_list_noopt",374
47,6200,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_REG(r4,r3,r1) | UNLINK_REG(r1)","r1=R6;r2=R11;c1=int:1;r3=R4;c2=int:0;r4=R5","benchmark_awfy_list_noopt",378
48,3400,1,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R3;r2=R5;r3=R11;r4=R20;c1=int:0;c2=label@654","benchmark_awfy_list_noopt",637
49,3400,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | NULL_REG(r1) | NULL_REG(r2) | IEQ_REG_REG_INT(r3,r4,c2)","c1=int:1;r1=R3;r2=R5;r3=R11;r4=R20;c2=int:0","benchmark_awfy_list_noopt",635
50,3300,3,1,5,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | SETNUMDGTS_INT(c2) | SETNUMFUZ_INT(c3) | SETNUMFRM_INT(c4)","r1=R1;c1=string@776;c2=int:18;c3=int:0;c4=int:1","benchmark_awfy_list_noopt",184
51,3200,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET_REG(r2)","r1=R2;r2=R1;c1=int:2;r3=R4","benchmark_awfy_list_noopt",197
52,3200,2,1,6,over_3_symbols,"LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2) | SWAP_REG_REG(r4,r1)","r1=R1;r2=R2;r3=R14;c1=int:1;c2=int:256;r4=R15","benchmark_awfy_list_noopt",604
53,3200,2,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | SETNUMDGTS_INT(c3) | SETNUMFUZ_INT(c4)","r1=R1;c1=int:3;c2=string@776;c3=int:18;c4=int:0","benchmark_awfy_list_noopt",181
54,3200,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r5) | LINKREF_REG_REG(r5,r6)","r1=R4;r2=R14;r3=R5;r4=R15;r5=R1;r6=R2","benchmark_awfy_list_noopt",596
55,3200,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R1;r2=R2;r3=R14;c1=int:1;c2=int:256","benchmark_awfy_list_noopt",602
56,3100,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R9;r3=R4;r4=R7;r5=R11;c1=int:2","benchmark_awfy_list_noopt",405
57,3100,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R5;c1=int:1;r3=R4;r4=R11","benchmark_awfy_list_noopt",359
58,3100,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R4;r2=R6;r3=R11;c1=int:2;c2=int:1","benchmark_awfy_list_noopt",369
59,3100,1,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R16;r2=R20;c1=int:1;r3=R14;c2=int:3;r4=R19;c3=int:256;r5=R15","benchmark_awfy_list_noopt",654
60,3100,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R5;r2=R11;c1=int:1;r3=R6;r4=R4","benchmark_awfy_list_noopt",355
61,3100,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R4;r2=R11;c1=int:1;r3=R6;c2=int:2","benchmark_awfy_list_noopt",365
62,3100,1,1,7,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | LOAD_REG_INT(r4,c1) | SWAP_REG_REG(r5,r6)","r1=R5;r2=R4;r3=R6;r4=R7;c1=int:1;r5=R8;r6=R12","benchmark_awfy_list_noopt",386
63,3100,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | MKREF_REG_REG(r4,r1) | UNLINK_REG(r1)","r1=R8;r2=R7;r3=R9;r4=R0","benchmark_awfy_list_noopt",424
64,3100,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R15;c1=int:2;r2=R0;c2=int:256;r3=R16;r4=R17;r5=R20","benchmark_awfy_list_noopt",688
65,3100,1,1,6,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | UNLINK_REG(r2) | LOAD_REG_INT(r4,c2)","r1=R4;r2=R6;c1=int:0;r3=R5;r4=R7;c2=int:1","benchmark_awfy_list_noopt",382
66,3100,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | UNLINK_REG(r2) | MKREF_REG_REG(r4,r3)","r1=R7;r2=R9;c1=int:0;r3=R8;r4=R0","benchmark_awfy_list_noopt",420
67,3100,1,1,3,candidate,"MKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | RET_REG(r1)","r1=R0;r2=R8;r3=R7","benchmark_awfy_list_noopt",430
68,3100,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1)","c1=int:1;r1=R5;r2=R11;r3=R6","benchmark_awfy_list_noopt",351
69,3100,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r1,r3)","c1=int:1;r1=R2;r2=R1;c2=int:2;r3=R4","benchmark_awfy_list_noopt",193
70,3100,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R2;r2=R1;c2=int:2","benchmark_awfy_list_noopt",191
71,3100,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","c1=int:1;r1=R5;r2=R11;r3=R6","benchmark_awfy_list_noopt",353
72,3100,1,1,5,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","c1=int:1;r1=R2;r2=R1;c2=int:2;r3=R4","benchmark_awfy_list_noopt",195
73,3100,1,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R0;c1=int:256;r2=R16;r3=R17;r4=R20;r5=R3;c2=func@16432;r6=R15","benchmark_awfy_list_noopt",691
74,3100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | UNLINK_REG(r3) | UNLINK_REG(r5)","r1=R12;r2=R8;r3=R5;r4=R9;r5=R4","benchmark_awfy_list_noopt",402
75,3100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | UNLINK_REG(r5) | LINKREF_REG_REG(r5,r3)","r1=R19;r2=R15;r3=R21;r4=R17;r5=R0","benchmark_awfy_list_noopt",677
76,3100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1)","r1=R21;r2=R17;r3=R0;r4=R15;c1=int:2","benchmark_awfy_list_noopt",680
77,3100,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4) | REFVALID_REG_REG(r2,r5)","r1=R20;r2=R17;r3=R2;r4=R3;r5=R5","benchmark_awfy_list_noopt",707
78,3100,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINATTRS_REG_REG_INT(r1,r3,c3)","r1=R4;r2=R11;c1=int:2;r3=R6;c2=int:1;c3=int:0","benchmark_awfy_list_noopt",372
79,3100,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R5;r2=R4;r3=R11;c1=int:1;r4=R6","benchmark_awfy_list_noopt",363
80,3100,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r3,c2) | MINATTRS_REG_REG_INT(r2,r4,c3)","r1=R4;r2=R7;r3=R11;c1=int:2;r4=R9;c2=int:1;c3=int:0","benchmark_awfy_list_noopt",410
81,3100,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r4) | BRF_ID_REG(c1,r3)","r1=R2;r2=R3;r3=R17;r4=R5;c1=label@746","benchmark_awfy_list_noopt",710
82,3100,1,1,7,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r2)","r1=R6;r2=R7;c1=int:1;r3=R8;r4=R12;r5=R9;c2=func@9688","benchmark_awfy_list_noopt",390
83,3100,1,1,4,over_3_symbols,"UNLINK_REG(r1) | MKREF_REG_REG(r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r4)","r1=R9;r2=R0;r3=R8;r4=R7","benchmark_awfy_list_noopt",428
84,3100,1,1,7,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R5;r2=R4;r3=R7;r4=R11;c1=int:2;r5=R9;c2=int:1","benchmark_awfy_list_noopt",408
85,2800,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","c1=label@746;r1=R17;r2=R14;c2=int:2;r3=R2;c3=int:256;r4=R15","benchmark_awfy_list_noopt",718
86,2800,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET()","r1=R3;r2=R5;c1=int:1;r3=R6","benchmark_awfy_list_noopt",303
87,2800,1,1,7,over_3_symbols,"LINKREF_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r4) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r5,c2)","r1=R2;r2=R3;r3=R17;r4=R5;c1=label@746;r5=R14;c2=int:2","benchmark_awfy_list_noopt",712
88,2800,1,1,7,over_3_symbols,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3)","r1=R17;r2=R5;c1=label@746;r3=R14;c2=int:2;r4=R2;c3=int:256","benchmark_awfy_list_noopt",715
89,2800,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3)","c1=int:1;r1=R3;r2=R5;r3=R6","benchmark_awfy_list_noopt",299
90,2800,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","c1=int:1;r1=R3;r2=R5;r3=R6","benchmark_awfy_list_noopt",301
91,1000,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | REFVALID_REG_REG(r3,r1) | UNLINK_REG(r1) | BTOI_REG(r3)","r1=R2;r2=R6;c1=int:1;r3=R3","benchmark_awfy_list_noopt",220
92,1000,1,1,3,candidate,"REFVALID_REG_REG(r1,r2) | UNLINK_REG(r2) | BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R3;r2=R2;c1=int:0","benchmark_awfy_list_noopt",224
93,1000,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | REFVALID_REG_REG(r3,r1)","c1=int:1;r1=R2;r2=R6;r3=R3","benchmark_awfy_list_noopt",216
94,1000,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | REFVALID_REG_REG(r3,r1) | UNLINK_REG(r1)","c1=int:1;r1=R2;r2=R6;r3=R3","benchmark_awfy_list_noopt",218
95,1000,1,1,4,over_3_symbols,"UNLINK_REG(r1) | BTOI_REG(r2) | IEQ_REG_REG_INT(r2,r2,c1) | BRF_ID_REG(c2,r2)","r1=R2;r2=R3;c1=int:0;c2=label@240","benchmark_awfy_list_noopt",227
96,900,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R3;r2=R6;c1=int:1;r3=R0","benchmark_awfy_list_noopt",240
97,900,1,1,5,over_3_symbols,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R0;r2=R3;r3=R2;c1=int:1;c2=int:256","benchmark_awfy_list_noopt",246
98,900,1,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | LOAD_REG_INT(r3,c1)","r1=R0;r2=R3;r3=R2;c1=int:1","benchmark_awfy_list_noopt",244
