rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
159,1015,2,2,5,candidate,"BRF_ID_REG(c1,r1) | BEQ_ID_REG_INT(c2,r2,c3)","c1=label@206;r1=R19;c2=label@162;r2=R9;c3=int:76","strip",148
160,1003,8,2,3,candidate,"INE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R27;c1=int:0;c2=label@149","benchmark_rexxcps_levelb_noopt",36
161,1000,3,2,5,candidate,"BRT_ID_REG(c1,r1) | REQ_REG_REG_STRING(r2,r3,c2)","c1=label@13900;r1=R26;r2=R25;r3=R5;c2=string@1535376","trace",13889
162,1000,3,2,5,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R25;r2=R5;c1=string@1535376;c2=label@13906;c3=label@13911","trace",13892
163,800,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | REQ_REG_REG_STRING(r2,r3,c2)","r1=R13;c1=int:0;r2=R14;r3=R7;c2=string@1533096","time",92
164,800,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | SWAPCALL_REG_FUNC_REG_REG_REG(r2,c2,r1,r3,r4)","r1=R19;c1=int:1;r2=R16;c2=func@1624728;r3=R1;r4=R20","time",272
165,717,24,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1)","r1=R4;c1=int:0;r2=R25;c2=int:8","trace",10126
166,636,7,2,4,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R53;r2=R4;r3=R2;c1=label@701","_typedformat",680
167,633,6,2,5,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2)","r1=R11;c1=string@7352;r2=R33;r3=R12;c2=int:1","benchmark_rexxcps_levelb_noopt",146
168,603,6,2,4,candidate,"LOAD_REG_INT(r1,c1) | CALL_REG_FUNC_REG(r2,c2,r1)","r1=R33;c1=int:0;r2=R24;c2=func@10008","benchmark_rexxcps_levelb_noopt",177
169,543,11,4,3,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c1)","r1=R0;c1=string@464;r2=R2","benchmark_rexxcps_levelb_noopt",3099
170,432,2,1,5,candidate,"BEQ_ID_REG_INT(c1,r1,c2) | IEQ_REG_REG_INT(r2,r1,c3)","c1=label@162;r1=R9;c2=int:76;r2=R20;c3=int:66","strip",151
171,432,2,1,5,candidate,"FNDNBLNK_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R14;r2=R15;r3=R12;c1=label@175;c2=int:0","strip",165
172,432,4,1,4,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1)","r1=R16;r2=R17;r3=R19;r4=R20","trace",4379
173,416,3,1,6,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r6)","r1=R10;r2=R13;r3=R15;r4=R18;r5=R17;r6=R5","trace",4293
174,410,14,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2)","r1=R25;c1=int:8;r2=R4;c2=int:0","trace",10129
175,409,13,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r1,r3)","r1=R5;r2=R25;c1=int:15;r3=R4","trace",10157
176,409,13,1,5,candidate,"LOAD_REG_STRING(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R4;c1=string@1533056;r2=R5;r3=R25;c2=int:15","trace",10154
177,409,13,1,2,candidate,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1)","r1=R5;r2=R4","trace",10161
178,401,1,1,3,candidate,"COPY_REG_REG(r1,r2) | RET_INT(c1)","r1=R3;r2=R5;c1=int:0","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",31
179,401,1,1,4,candidate,"LOAD_REG_STRING(r1,c1) | COPY_REG_REG(r2,r3)","r1=R2;c1=string@2717592;r2=R3;r3=R5","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",28
180,400,2,1,6,candidate,"BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5)","c1=label@13380;r1=R21;r2=R19;r3=R17;r4=R14;r5=R3","trace",13255
181,400,1,1,4,candidate,"FCOPY_REG_REG(r1,r2) | FDIV_REG_REG_FLOAT(r3,r1,c1)","r1=R18;r2=R16;r3=R22;c1=float@1629112","time",329
182,400,1,1,3,candidate,"FDIV_REG_REG_FLOAT(r1,r2,c1) | FTOS_REG(r1)","r1=R22;r2=R18;c1=float@1629112","time",332
183,400,1,1,1,candidate,"FTOS_REG(r1) | RET_REG(r1)","r1=R22","time",336
184,400,1,1,2,candidate,"ITOF_REG(r1) | FCOPY_REG_REG(r2,r1)","r1=R16;r2=R18","time",327
185,400,1,1,3,candidate,"LOAD_REG_FLOAT(r1,c1) | ITOF_REG(r2)","r1=R18;c1=float@473216;r2=R16","time",324
186,400,1,1,2,candidate,"LOAD_REG_INT(r1,c1) | RET_INT(c1)","r1=R3;c1=int:0","/private/tmp/crexx-perf3-k04e-scorecard.tTgMRO/src/lib/rxfnsb/rxas/_elapsed",23
187,400,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2)","r1=R1;c1=int:0;r2=R0;r3=R24;c2=string@28856","time",17
