[0/2] Re-checking globbed directories...
[52/72] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvml/rxvm_run.c.o
[53/72] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxspawn.c.o
[54/72] Linking C static library bin/librxaslib.a
[55/72] Building C object interpreter/CMakeFiles/rxbvm.dir/rxvmmain.c.o
[56/72] Building C object interpreter/CMakeFiles/rxvml.dir/rxvmlib.c.o
[57/72] Building C object interpreter/CMakeFiles/rxtvm.dir/rxvmmain.c.o
[58/72] Building C object binutils/CMakeFiles/test_rxgraph.dir/tests/test_rxgraph.c.o
[59/72] Linking C executable bin/rxas
[60/72] Linking C executable bin/test_rxgraph
[61/72] Building C object interpreter/CMakeFiles/rxvml.dir/rxvml.c.o
[62/72] Building C object interpreter/CMakeFiles/rxvm_platform_objects.dir/rxvmsock.c.o
[63/72] Building C object interpreter/CMakeFiles/rxbvm_core_objects.dir/rxvmintp.c.o
[64/72] Building C object interpreter/CMakeFiles/rxtvm_core_objects.dir/rxvmintp.c.o
[65/72] Linking C static library bin/librxvml.a
[66/72] Linking C executable bin/rxbvm
[67/72] Linking C executable bin/rxtvm
[68/72] Assembling Gate F F1b channel benchmark ...
[69/72] Assembling Gate F F1e process channel fixture ...
[70/72] Building C object interpreter/CMakeFiles/test_rxvmchannel_process.dir/tests/test_rxvmchannel_process.c.o
[71/72] Linking C executable interpreter/test_rxvmchannel_process
